Date,div_yield
2009-03-10,4.36
2009-03-11,4.36
2009-03-12,4.3
2009-03-13,4.25
2009-03-16,4.18
2009-03-17,4.13
2009-03-18,4.25
2009-03-19,4.24
2009-03-20,4.29
2009-03-23,4.07
2009-03-24,4.05
2009-03-25,4.04
2009-03-26,4.05
2009-03-27,4.01
2009-03-30,4.19
2009-03-31,4.18
2009-04-01,4.11
2009-04-02,4.03
2009-04-03,4.05
2009-04-06,3.93
2009-04-07,4.03
2009-04-08,3.99
2009-04-09,3.91
2009-04-10,3.91
2009-04-13,3.82
2009-04-14,3.7800000000000002
2009-04-15,3.81
2009-04-16,3.69
2009-04-17,3.7199999999999998
2009-04-20,3.82
2009-04-21,3.77
2009-04-22,3.8
2009-04-23,3.8
2009-04-24,3.83
2009-04-27,3.95
2009-04-28,3.93
2009-04-29,3.7800000000000002
2009-04-30,3.73
2009-05-01,3.76
2009-05-04,3.4699999999999998
2009-05-05,3.45
2009-05-06,3.42
2009-05-07,3.37
2009-05-08,3.4
2009-05-11,3.41
2009-05-12,3.4
2009-05-13,3.46
2009-05-14,3.4
2009-05-15,3.32
2009-05-18,3.22
2009-05-19,3.25
2009-05-20,3.25
2009-05-21,3.26
2009-05-22,3.4
2009-05-25,3.36
2009-05-26,3.32
2009-05-27,3.43
2009-05-28,3.38
2009-05-29,3.36
2009-06-01,3.19
2009-06-02,3.19
2009-06-03,3.25
2009-06-04,3.2
2009-06-05,3.17
2009-06-08,3.22
2009-06-09,3.2
2009-06-10,3.2
2009-06-11,3.19
2009-06-12,3.18
2009-06-15,3.22
2009-06-16,3.2
2009-06-17,3.2800000000000002
2009-06-18,3.2
2009-06-19,3.17
2009-06-22,2.96
2009-06-23,2.99
2009-06-24,2.9699999999999998
2009-06-25,2.92
2009-06-26,2.86
2009-06-29,2.88
2009-06-30,2.89
2009-07-01,2.91
2009-07-02,2.95
2009-07-03,2.93
2009-07-06,2.94
2009-07-07,2.95
2009-07-08,2.9699999999999998
2009-07-09,2.99
2009-07-10,3.01
2009-07-13,2.94
2009-07-14,2.86
2009-07-15,2.7800000000000002
2009-07-16,2.75
2009-07-17,2.73
2009-07-20,2.69
2009-07-21,2.71
