Date,div_yield
2015-12-31,1.81
2016-01-01,1.81
2016-01-04,2.04
2016-01-05,2.03
2016-01-06,2.05
2016-01-07,2.05
2016-01-08,2.05
2016-01-11,2.13
2016-01-12,2.17
2016-01-13,2.25
2016-01-14,2.35
2016-01-15,2.35
2016-01-18,2.79
2016-01-19,2.7199999999999998
2016-01-20,2.86
2016-01-21,2.87
2016-01-22,2.85
2016-01-25,2.77
2016-01-26,2.77
2016-01-27,2.73
2016-01-28,2.73
2016-01-29,2.73
2016-02-01,2.77
2016-02-02,2.74
2016-02-03,2.71
2016-02-04,2.67
2016-02-05,2.68
2016-02-08,2.8
2016-02-09,2.86
2016-02-10,2.84
2016-02-11,2.92
2016-02-12,2.91
2016-02-15,2.88
2016-02-16,2.86
2016-02-17,2.83
2016-02-18,2.82
2016-02-19,2.81
2016-02-22,2.8
2016-02-23,2.77
2016-02-24,2.79
2016-02-25,2.77
2016-02-26,2.77
2016-02-29,2.63
2016-03-01,2.6
2016-03-02,2.61
2016-03-03,2.6
2016-03-04,2.59
2016-03-07,2.96
2016-03-08,2.94
2016-03-09,2.92
2016-03-10,2.73
2016-03-11,2.73
2016-03-14,2.82
2016-03-15,2.75
2016-03-16,2.7
2016-03-17,2.56
2016-03-18,2.58
2016-03-21,2.62
2016-03-22,2.62
2016-03-23,2.62
2016-03-24,2.54
2016-03-25,2.54
2016-03-28,2.5
2016-03-29,2.48
2016-03-30,2.59
2016-03-31,2.55
2016-04-01,2.55
2016-04-04,2.49
2016-04-05,2.43
2016-04-06,2.45
2016-04-07,2.43
2016-04-08,2.43
2016-04-11,2.49
2016-04-12,2.46
2016-04-13,2.43
2016-04-14,2.41
2016-04-15,2.4
2016-04-18,2.36
2016-04-19,2.32
2016-04-20,2.34
2016-04-21,2.37
2016-04-22,2.38
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-09,0
2016-05-10,0
2016-05-11,2.48
2016-05-12,2.4699999999999998
2016-05-13,2.48
2016-05-16,2.5300000000000002
2016-05-17,2.49
2016-05-18,2.48
2016-05-19,2.52
2016-05-20,2.5300000000000002
2016-05-23,2.54
2016-05-24,2.51
2016-05-25,2.5
2016-05-26,2.52
2016-05-27,2.52
2016-05-30,2.54
2016-05-31,2.57
2016-06-01,2.54
2016-06-02,2.21
2016-06-03,2.19
2016-06-06,2.23
2016-06-07,2.21
2016-06-08,2.18
2016-06-09,2.19
2016-06-10,2.18
2016-06-13,2.23
2016-06-14,2.27
2016-06-15,2.29
2016-06-16,2.39
2016-06-17,2.39
2016-06-20,2.43
2016-06-21,2.43
2016-06-22,2.45
2016-06-23,2.4699999999999998
2016-06-24,2.48
2016-06-27,2.54
2016-06-28,2.54
2016-06-29,2.46
2016-06-30,2.44
2016-07-01,2.4
2016-07-04,2.34
2016-07-05,2.34
2016-07-06,2.32
2016-07-07,2.33
2016-07-08,2.32
2016-07-11,2.27
2016-07-12,2.2800000000000002
2016-07-13,2.22
2016-07-14,2.22
2016-07-15,2.22
2016-07-18,2.21
2016-07-19,2.23
2016-07-20,2.27
2016-07-21,2.34
2016-07-22,2.34
2016-07-25,2.34
2016-07-26,2.33
2016-07-27,2.24
2016-07-28,2.23
2016-07-29,2.23
2016-08-01,2.3
2016-08-02,2.27
2016-08-03,2.26
2016-08-04,2.24
2016-08-05,2.25
2016-08-08,2.24
2016-08-09,2.21
2016-08-10,2.14
2016-08-11,2.14
2016-08-12,2.14
2016-08-15,2.13
2016-08-16,2.15
2016-08-17,2.15
2016-08-18,2.18
2016-08-19,2.18
2016-08-22,2.19
2016-08-23,2.2
2016-08-24,2.2
2016-08-25,2.23
2016-08-26,2.23
2016-08-29,2.25
