Date,div_yield
2019-03-28,2.4
2019-03-29,2.41
2019-04-01,2.4
2019-04-02,2.38
2019-04-03,2.39
2019-04-04,2.36
2019-04-05,2.36
2019-04-08,2.38
2019-04-09,2.35
2019-04-10,2.36
2019-04-11,2.39
2019-04-12,2.39
2019-04-15,2.39
2019-04-16,2.37
2019-04-17,2.38
2019-04-18,2.35
2019-04-19,2.35
2019-04-22,2.39
2019-04-23,2.37
2019-04-24,2.38
2019-04-25,2.42
2019-04-26,2.4
2019-04-29,2.39
2019-04-30,2.39
2019-05-01,2.4
2019-05-02,2.43
2019-05-03,2.46
2019-05-06,2.46
2019-05-07,2.41
2019-05-08,2.42
2019-05-09,2.68
2019-05-10,2.68
2019-05-13,2.7199999999999998
2019-05-14,2.75
2019-05-15,2.81
2019-05-16,2.88
2019-05-17,2.92
2019-05-20,2.85
2019-05-21,2.83
2019-05-22,2.84
2019-05-23,2.77
2019-05-24,2.75
2019-05-27,2.73
2019-05-28,2.77
2019-05-29,2.67
2019-05-30,2.67
2019-05-31,2.59
2019-06-03,2.59
2019-06-04,2.59
2019-06-05,2.59
2019-06-06,2.59
2019-06-07,2.6
2019-06-10,2.55
2019-06-11,2.55
2019-06-12,2.56
2019-06-13,2.56
2019-06-14,2.57
2019-06-17,2.61
2019-06-18,2.57
2019-06-19,2.52
2019-06-20,2.52
2019-06-21,2.52
2019-06-24,2.56
2019-06-25,2.55
2019-06-26,2.57
2019-06-27,2.54
2019-06-28,2.5300000000000002
2019-07-01,2.51
2019-07-02,2.51
2019-07-03,2.52
2019-07-04,2.52
2019-07-05,2.51
2019-07-08,2.5300000000000002
2019-07-09,2.51
2019-07-10,2.5
2019-07-11,2.49
2019-07-12,2.51
2019-07-15,2.4699999999999998
2019-07-16,2.49
2019-07-17,2.5
2019-07-18,2.49
2019-07-19,2.4699999999999998
2019-07-22,2.49
2019-07-23,2.5
2019-07-24,2.51
2019-07-25,2.51
2019-07-26,2.54
2019-07-29,2.55
2019-07-30,2.51
2019-07-31,2.51
2019-08-01,2.5300000000000002
2019-08-02,2.56
2019-08-05,2.65
2019-08-06,2.68
2019-08-07,2.6
2019-08-08,2.56
2019-08-09,2.57
2019-08-12,2.6
2019-08-13,2.6
2019-08-14,2.6
2019-08-15,2.59
2019-08-16,2.59
2019-08-19,2.57
2019-08-20,2.58
2019-08-21,2.6
2019-08-22,2.6
2019-08-23,2.58
2019-08-26,2.6
2019-08-27,2.58
2019-08-28,2.58
2019-08-29,2.58
2019-08-30,2.55
2019-09-02,2.57
2019-09-03,2.6
2019-09-04,2.58
2019-09-05,2.55
2019-09-06,2.55
2019-09-09,2.5300000000000002
2019-09-10,2.5300000000000002
2019-09-11,2.5
2019-09-12,2.52
2019-09-13,2.52
2019-09-16,2.56
2019-09-17,2.56
2019-09-18,2.54
2019-09-19,2.55
2019-09-20,2.56
2019-09-23,2.57
2019-09-24,2.61
2019-09-25,2.62
2019-09-26,2.57
