Date,div_yield
2005-08-10,1.31
2005-08-11,1.3
2005-08-12,1.29
2005-08-15,1.29
2005-08-16,1.29
2005-08-17,1.29
2005-08-18,1.28
2005-08-19,1.28
2005-08-22,1.26
2005-08-23,1.26
2005-08-24,1.25
2005-08-25,1.26
2005-08-26,1.25
2005-08-29,1.26
2005-08-30,1.25
2005-08-31,1.18
2005-09-01,1.18
2005-09-02,1.17
2005-09-05,1.16
2005-09-06,1.16
2005-09-07,1.18
2005-09-08,1.18
2005-09-09,1.17
2005-09-12,1.15
2005-09-13,1.1400000000000001
2005-09-14,1.15
2005-09-15,1.1400000000000001
2005-09-16,1.1400000000000001
2005-09-19,1.1400000000000001
2005-09-20,1.12
2005-09-21,1.11
2005-09-22,1.11
2005-09-23,1.11
2005-09-26,1.08
2005-09-27,1.09
2005-09-28,1.06
2005-09-29,1.04
2005-09-30,1.06
2005-10-03,1.05
2005-10-04,1.04
2005-10-05,1.05
2005-10-06,1.08
2005-10-07,1.08
2005-10-10,1.08
2005-10-11,1.06
2005-10-12,1.06
2005-10-13,1.06
2005-10-14,1.06
2005-10-17,1.07
2005-10-18,1.07
2005-10-19,1.08
2005-10-20,1.09
2005-10-21,1.09
2005-10-24,1.09
2005-10-25,1.08
2005-10-26,1.07
2005-10-27,1.07
2005-10-28,1.08
2005-10-31,1.08
2005-11-01,1.06
2005-11-02,1.05
2005-11-03,1.05
2005-11-04,1.03
2005-11-07,1.04
2005-11-08,1.04
2005-11-09,1.05
2005-11-10,1.05
2005-11-11,1.04
2005-11-14,1.05
2005-11-15,1.06
2005-11-16,1.05
2005-11-17,1.03
2005-11-18,1.01
2005-11-21,1.02
2005-11-22,1.02
2005-11-23,1.02
2005-11-24,1.02
2005-11-25,1.02
2005-11-28,1.01
2005-11-29,1.01
2005-11-30,1.01
2005-12-01,1
2005-12-02,0.98
2005-12-05,0.98
2005-12-06,0.98
2005-12-07,0.98
2005-12-08,1
2005-12-09,0.98
2005-12-12,0.97
2005-12-13,0.96
2005-12-14,0.98
2005-12-15,0.98
2005-12-16,0.98
2005-12-19,0.97
2005-12-20,0.96
2005-12-21,0.94
2005-12-22,0.94
2005-12-23,0.94
2005-12-26,0.94
2005-12-27,0.94
2005-12-28,0.93
2005-12-29,0.93
2005-12-30,0.94
2006-01-02,0.94
2006-01-03,0.94
2006-01-04,0.93
2006-01-05,0.92
2006-01-06,0.92
2006-01-09,0.92
2006-01-10,0.94
2006-01-11,0.94
2006-01-12,0.93
2006-01-13,0.93
2006-01-16,0.94
2006-01-17,0.96
2006-01-18,0.99
2006-01-19,0.96
2006-01-20,0.96
2006-01-23,0.98
2006-01-24,0.97
2006-01-25,0.97
2006-01-26,0.95
2006-01-27,0.93
2006-01-30,0.92
2006-01-31,0.92
2006-02-01,0.93
2006-02-02,0.92
2006-02-03,0.92
2006-02-06,0.92
2006-02-07,0.92
2006-02-08,0.95
2006-02-09,0.94
2006-02-10,0.95
2006-02-13,0.98
2006-02-14,0.96
2006-02-15,0.97
2006-02-16,0.97
2006-02-17,0.98
2006-02-20,1
2006-02-21,0.98
2006-02-22,0.98
2006-02-23,0.97
2006-02-24,0.97
2006-02-27,0.96
2006-02-28,0.96
2006-03-01,0.97
2006-03-02,0.97
2006-03-03,0.99
2006-03-06,0.98
2006-03-07,0.98
2006-03-08,0.99
2006-03-09,0.97
2006-03-10,0.97
2006-03-13,0.95
2006-03-14,0.96
2006-03-15,0.96
2006-03-16,0.97
2006-03-17,0.96
2006-03-20,0.95
2006-03-21,0.94
2006-03-22,0.95
2006-03-23,0.95
2006-03-24,0.95
2006-03-27,0.94
2006-03-28,0.96
2006-03-29,0.95
2006-03-30,0.94
2006-03-31,0.94
2006-04-03,0.99
2006-04-04,0.99
2006-04-05,0.99
2006-04-06,0.97
2006-04-07,0.97
2006-04-10,0.97
2006-04-11,0.98
2006-04-12,0.99
2006-04-13,0.99
2006-04-14,0.99
2006-04-17,1.01
2006-04-18,0.99
2006-04-19,0.99
2006-04-20,0.99
2006-04-21,0.98
2006-04-24,1.01
2006-04-25,1
2006-04-26,1
2006-04-27,1
2006-04-28,1.02
2006-05-01,1.03
2006-05-02,1.02
2006-05-03,1.02
2006-05-04,1.02
2006-05-05,1.02
2006-05-08,1.01
2006-05-09,1.01
2006-05-10,1.03
2006-05-11,1.04
2006-05-12,1.06
2006-05-15,1.07
2006-05-16,1.1
2006-05-17,1.09
2006-05-18,1.11
2006-05-19,1.1
2006-05-22,1.12
2006-05-23,1.15
2006-05-24,1.13
2006-05-25,1.18
2006-05-26,1.16
2006-05-29,1.16
2006-05-30,1.16
2006-05-31,1.18
2006-06-01,1.17
2006-06-02,1.15
2006-06-05,1.16
2006-06-06,1.18
2006-06-07,1.21
2006-06-08,1.25
2006-06-09,1.23
2006-06-12,1.23
2006-06-13,1.27
2006-06-14,1.27
2006-06-15,1.25
2006-06-16,1.21
2006-06-19,1.22
2006-06-20,1.23
2006-06-21,1.24
2006-06-22,1.2
2006-06-23,1.21
2006-06-26,1.2
2006-06-27,1.2
2006-06-28,1.22
2006-06-29,1.2
2006-06-30,1.17
2006-07-03,1.17
2006-07-04,1.19
2006-07-05,1.2
2006-07-06,1.21
2006-07-07,1.21
2006-07-10,1.2
2006-07-11,1.21
2006-07-12,1.22
2006-07-13,1.23
2006-07-14,1.26
2006-07-17,1.26
2006-07-18,1.3
2006-07-19,1.29
2006-07-20,1.25
2006-07-21,1.26
2006-07-24,1.26
2006-07-25,1.24
2006-07-26,1.25
2006-07-27,1.23
2006-07-28,1.22
2006-07-31,1.21
2006-08-01,1.22
2006-08-02,1.22
2006-08-03,1.21
2006-08-04,1.21
2006-08-07,1.24
2006-08-08,1.19
2006-08-09,1.18
2006-08-10,1.18
2006-08-11,1.18
2006-08-14,1.16
2006-08-15,1.16
2006-08-16,1.1400000000000001
2006-08-17,1.1400000000000001
2006-08-18,1.1400000000000001
2006-08-21,1.15
2006-08-22,1.1400000000000001
2006-08-23,1.1400000000000001
2006-08-24,1.15
2006-08-25,1.15
2006-08-28,1.17
2006-08-29,1.16
2006-08-30,1.16
2006-08-31,1.1400000000000001
2006-09-01,1.1400000000000001
2006-09-04,1.13
2006-09-05,1.13
2006-09-06,1.1400000000000001
2006-09-07,1.16
2006-09-08,1.16
2006-09-11,1.17
2006-09-12,1.18
2006-09-13,1.18
2006-09-14,1.17
2006-09-15,1.17
2006-09-18,1.17
2006-09-19,1.17
2006-09-20,1.19
2006-09-21,1.18
2006-09-22,1.19
2006-09-25,1.2
2006-09-26,1.22
2006-09-27,1.18
2006-09-28,1.18
2006-09-29,1.17
2006-10-02,1.15
2006-10-03,1.16
2006-10-04,1.17
2006-10-05,1.1400000000000001
2006-10-06,1.1400000000000001
2006-10-09,1.1400000000000001
2006-10-10,1.1400000000000001
2006-10-11,1.15
2006-10-12,1.15
2006-10-13,1.1400000000000001
2006-10-16,1.13
2006-10-17,1.1400000000000001
2006-10-18,1.1400000000000001
2006-10-19,1.1400000000000001
2006-10-20,1.13
2006-10-23,1.12
2006-10-24,1.12
2006-10-25,1.12
2006-10-26,1.12
2006-10-27,1.13
2006-10-30,1.15
2006-10-31,1.16
2006-11-01,1.15
2006-11-02,1.15
2006-11-03,1.15
2006-11-06,1.16
2006-11-07,1.17
2006-11-08,1.17
2006-11-09,1.18
2006-11-10,1.18
2006-11-13,1.18
2006-11-14,1.19
2006-11-15,1.18
2006-11-16,1.16
2006-11-17,1.16
2006-11-20,1.2
2006-11-21,1.2
2006-11-22,1.19
2006-11-23,1.19
2006-11-24,1.2
2006-11-27,1.19
2006-11-28,1.19
2006-11-29,1.17
2006-11-30,1.15
2006-12-01,1.15
2006-12-04,1.15
2006-12-05,1.16
2006-12-06,1.15
2006-12-07,1.1400000000000001
2006-12-08,1.15
2006-12-11,1.1400000000000001
2006-12-12,1.1400000000000001
2006-12-13,1.1400000000000001
2006-12-14,1.13
2006-12-15,1.12
2006-12-18,1.12
2006-12-19,1.13
2006-12-20,1.11
2006-12-21,1.11
2006-12-22,1.11
2006-12-25,1.11
2006-12-26,1.11
2006-12-27,1.1
2006-12-28,1.1
2006-12-29,1.1
2007-01-01,1.1
2007-01-02,1.1
2007-01-03,1.1
2007-01-04,1.09
2007-01-05,1.11
2007-01-08,1.11
2007-01-09,1.1
2007-01-10,1.12
2007-01-11,1.12
2007-01-12,1.1
2007-01-15,1.09
2007-01-16,1.09
2007-01-17,1.09
2007-01-18,1.08
2007-01-19,1.09
2007-01-22,1.08
2007-01-23,1.08
2007-01-24,1.07
2007-01-25,1.08
2007-01-26,1.08
2007-01-29,1.08
2007-01-30,1.08
2007-01-31,1.09
2007-02-01,1.08
2007-02-02,1.08
2007-02-05,1.1
2007-02-06,1.09
2007-02-07,1.09
2007-02-08,1.1
2007-02-09,1.08
2007-02-12,1.08
2007-02-13,1.07
2007-02-14,1.07
2007-02-15,1.06
2007-02-16,1.06
2007-02-19,1.06
2007-02-20,1.06
2007-02-21,1.06
2007-02-22,1.05
2007-02-23,1.04
2007-02-26,1.04
2007-02-27,1.04
2007-02-28,1.08
2007-03-01,1.09
2007-03-02,1.1
2007-03-05,1.1400000000000001
2007-03-06,1.12
2007-03-07,1.12
2007-03-08,1.1
2007-03-09,1.1
2007-03-12,1.09
2007-03-13,1.1
2007-03-14,1.1400000000000001
2007-03-15,1.12
2007-03-16,1.13
2007-03-19,1.12
2007-03-20,1.11
2007-03-21,1.11
2007-03-22,1.1
2007-03-23,1.09
2007-03-26,1.09
2007-03-27,1.11
2007-03-28,1.11
2007-03-29,1.12
2007-03-30,1.11
2007-04-02,1.28
2007-04-03,1.26
2007-04-04,1.24
2007-04-05,1.25
2007-04-06,1.25
2007-04-09,1.24
2007-04-10,1.24
2007-04-11,1.24
2007-04-12,1.25
2007-04-13,1.26
2007-04-16,1.25
2007-04-17,1.26
2007-04-18,1.25
2007-04-19,1.26
2007-04-20,1.26
2007-04-23,1.27
2007-04-24,1.27
2007-04-25,1.28
2007-04-26,1.28
2007-04-27,1.28
2007-04-30,1.28
2007-05-01,1.3
2007-05-02,1.29
2007-05-03,1.29
2007-05-04,1.29
2007-05-07,1.27
2007-05-08,1.27
2007-05-09,1.26
2007-05-10,1.27
2007-05-11,1.29
2007-05-14,1.28
2007-05-15,1.3
2007-05-16,1.3
2007-05-17,1.3
2007-05-18,1.31
2007-05-21,1.3
2007-05-22,1.29
2007-05-23,1.29
2007-05-24,1.27
2007-05-25,1.28
2007-05-28,1.28
2007-05-29,1.27
2007-05-30,1.28
2007-05-31,1.26
2007-06-01,1.25
2007-06-04,1.27
2007-06-05,1.27
2007-06-06,1.27
2007-06-07,1.27
2007-06-08,1.29
2007-06-11,1.29
2007-06-12,1.3
2007-06-13,1.3
2007-06-14,1.29
2007-06-15,1.28
2007-06-18,1.27
2007-06-19,1.28
2007-06-20,1.28
2007-06-21,1.27
2007-06-22,1.28
2007-06-25,1.29
2007-06-26,1.29
2007-06-27,1.31
2007-06-28,1.3
2007-06-29,1.28
2007-07-02,1.28
2007-07-03,1.28
2007-07-04,1.28
2007-07-05,1.28
2007-07-06,1.28
2007-07-09,1.28
2007-07-10,1.28
2007-07-11,1.29
2007-07-12,1.3
2007-07-13,1.28
2007-07-16,1.28
2007-07-17,1.29
2007-07-18,1.3
2007-07-19,1.29
2007-07-20,1.29
2007-07-23,1.3
2007-07-24,1.29
2007-07-25,1.31
2007-07-26,1.32
2007-07-27,1.35
2007-07-30,1.35
2007-07-31,1.35
2007-08-01,1.38
2007-08-02,1.38
2007-08-03,1.38
2007-08-06,1.38
2007-08-07,1.38
2007-08-08,1.38
2007-08-09,1.3599999999999999
2007-08-10,1.41
2007-08-13,1.41
2007-08-14,1.41
2007-08-15,1.44
2007-08-16,1.47
2007-08-17,1.56
2007-08-20,1.51
2007-08-21,1.49
2007-08-22,1.49
2007-08-23,1.45
2007-08-24,1.45
2007-08-27,1.45
2007-08-28,1.45
2007-08-29,1.48
2007-08-30,1.47
2007-08-31,1.43
2007-09-03,1.44
2007-09-04,1.44
2007-09-05,1.47
2007-09-06,1.47
2007-09-07,1.48
2007-09-10,1.51
2007-09-11,1.51
2007-09-12,1.51
2007-09-13,1.51
2007-09-14,1.49
2007-09-17,1.49
2007-09-18,1.52
2007-09-19,1.47
2007-09-20,1.47
2007-09-21,1.48
2007-09-24,1.48
2007-09-25,1.46
2007-09-26,1.45
2007-09-27,1.42
2007-09-28,1.41
2007-10-01,1.42
2007-10-02,1.4
2007-10-03,1.38
2007-10-04,1.3900000000000001
2007-10-05,1.38
2007-10-08,1.38
2007-10-09,1.38
2007-10-10,1.38
2007-10-11,1.37
2007-10-12,1.38
2007-10-15,1.38
2007-10-16,1.41
2007-10-17,1.43
2007-10-18,1.42
2007-10-19,1.44
2007-10-22,1.47
2007-10-23,1.46
2007-10-24,1.47
2007-10-25,1.49
2007-10-26,1.46
2007-10-29,1.43
2007-10-30,1.43
2007-10-31,1.42
2007-11-01,1.41
2007-11-02,1.44
2007-11-05,1.46
2007-11-06,1.47
2007-11-07,1.49
2007-11-08,1.53
2007-11-09,1.55
2007-11-12,1.6
2007-11-13,1.6
2007-11-14,1.55
2007-11-15,1.56
2007-11-16,1.58
2007-11-19,1.6
2007-11-20,1.5899999999999999
2007-11-21,1.62
2007-11-22,1.62
2007-11-23,1.62
2007-11-26,1.5899999999999999
2007-11-27,1.58
2007-11-28,1.58
2007-11-29,1.54
2007-11-30,1.53
2007-12-03,1.49
2007-12-04,1.51
2007-12-05,1.5
2007-12-06,1.47
2007-12-07,1.46
2007-12-10,1.47
2007-12-11,1.46
2007-12-12,1.47
2007-12-13,1.51
2007-12-14,1.53
2007-12-17,1.56
2007-12-18,1.56
2007-12-19,1.58
2007-12-20,1.5699999999999998
2007-12-21,1.56
2007-12-24,1.56
2007-12-25,1.53
2007-12-26,1.52
2007-12-27,1.53
2007-12-28,1.55
2007-12-31,1.55
2008-01-01,1.56
2008-01-02,1.56
2008-01-03,1.56
2008-01-04,1.63
2008-01-07,1.65
2008-01-08,1.6400000000000001
2008-01-09,1.6099999999999999
2008-01-10,1.6400000000000001
2008-01-11,1.67
2008-01-14,1.67
2008-01-15,1.7
2008-01-16,1.76
2008-01-17,1.73
2008-01-18,1.71
2008-01-21,1.78
2008-01-22,1.8900000000000001
2008-01-23,1.8399999999999999
2008-01-24,1.79
2008-01-25,1.71
2008-01-28,1.78
2008-01-29,1.73
2008-01-30,1.74
2008-01-31,1.71
2008-02-01,1.73
2008-02-04,1.69
2008-02-05,1.7
2008-02-06,1.78
2008-02-07,1.77
2008-02-08,1.8
2008-02-11,1.8
2008-02-12,1.8
2008-02-13,1.8
2008-02-14,1.73
2008-02-15,1.73
2008-02-18,1.73
2008-02-19,1.71
2008-02-20,1.77
2008-02-21,1.73
2008-02-22,1.75
2008-02-25,1.7
2008-02-26,1.71
2008-02-27,1.69
2008-02-28,1.71
2008-02-29,1.75
2008-03-03,1.8199999999999998
2008-03-04,1.83
2008-03-05,1.83
2008-03-06,1.8
2008-03-07,1.8599999999999999
2008-03-10,1.9
2008-03-11,1.88
2008-03-12,1.85
2008-03-13,1.9100000000000001
2008-03-14,1.95
2008-03-17,2.02
2008-03-18,2
2008-03-19,1.94
2008-03-20,1.95
2008-03-21,1.9100000000000001
2008-03-24,1.9
2008-03-25,1.87
2008-03-26,1.8900000000000001
2008-03-27,1.9100000000000001
2008-03-28,1.88
2008-03-31,1.9300000000000002
2008-04-01,2
2008-04-02,1.9100000000000001
2008-04-03,1.88
2008-04-04,1.8900000000000001
2008-04-07,1.87
2008-04-08,1.9
2008-04-09,1.92
2008-04-10,1.94
2008-04-11,1.9
2008-04-14,1.95
2008-04-15,1.9300000000000002
2008-04-16,1.9
2008-04-17,1.87
2008-04-18,1.85
2008-04-21,1.81
2008-04-22,1.8399999999999999
2008-04-23,1.83
2008-04-24,1.8399999999999999
2008-04-25,1.8
2008-04-28,1.77
2008-04-29,1.77
2008-04-30,1.78
2008-05-01,1.79
2008-05-02,1.75
2008-05-05,1.75
2008-05-06,1.75
2008-05-07,1.73
2008-05-08,1.76
2008-05-09,1.8
2008-05-12,1.8
2008-05-13,1.77
2008-05-14,1.76
2008-05-15,1.74
2008-05-16,1.73
2008-05-19,1.72
2008-05-20,1.73
2008-05-21,1.76
2008-05-22,1.75
2008-05-23,1.76
2008-05-26,1.8
2008-05-27,1.77
2008-05-28,1.8
2008-05-29,1.75
2008-05-30,1.71
2008-06-02,1.77
2008-06-03,1.79
2008-06-04,1.76
2008-06-05,1.77
2008-06-06,1.76
2008-06-09,1.8
2008-06-10,1.8199999999999998
2008-06-11,1.81
2008-06-12,1.85
2008-06-13,1.8399999999999999
2008-06-16,1.79
2008-06-17,1.79
2008-06-18,1.78
2008-06-19,1.83
2008-06-20,1.8599999999999999
2008-06-23,1.87
2008-06-24,1.87
2008-06-25,1.87
2008-06-26,1.88
2008-06-27,1.9100000000000001
2008-06-30,1.92
2008-07-01,1.92
2008-07-02,1.94
2008-07-03,1.95
2008-07-04,1.95
2008-07-07,1.9300000000000002
2008-07-08,1.97
2008-07-09,1.97
2008-07-10,1.96
2008-07-11,1.97
2008-07-14,1.98
2008-07-15,2.02
2008-07-16,2.03
2008-07-17,2.01
2008-07-18,2.03
2008-07-21,2.03
2008-07-22,1.97
2008-07-23,1.94
2008-07-24,1.8599999999999999
2008-07-25,1.9100000000000001
2008-07-28,1.8599999999999999
2008-07-29,1.8900000000000001
2008-07-30,1.8599999999999999
2008-07-31,1.8599999999999999
2008-08-01,1.9100000000000001
2008-08-04,1.94
2008-08-05,1.95
2008-08-06,1.9
2008-08-07,1.9300000000000002
2008-08-08,1.92
2008-08-11,1.8900000000000001
2008-08-12,1.9
2008-08-13,1.94
2008-08-14,1.95
2008-08-15,1.94
2008-08-18,1.92
2008-08-19,1.96
2008-08-20,1.97
2008-08-21,1.98
2008-08-22,1.99
2008-08-25,1.95
2008-08-26,1.97
2008-08-27,1.98
2008-08-28,1.99
2008-08-29,1.9300000000000002
2008-09-01,1.97
2008-09-02,2
