Date,div_yield
2005-07-25,3.0587
2005-07-26,3.04084
2005-07-27,3.04143
2005-07-28,3.04322
2005-07-29,3.0803
2005-08-01,3.04187
2005-08-02,3.03783
2005-08-03,3.05069
2005-08-04,3.07394
2005-08-05,3.1093
2005-08-08,3.08806
2005-08-09,3.06025
2005-08-10,3.02478
2005-08-11,3.05923
2005-08-12,3.09614
2005-08-15,3.10516
2005-08-16,3.11991
2005-08-17,3.12267
2005-08-18,3.13517
2005-08-19,3.1141199999999998
2005-08-22,3.11202
2005-08-23,3.13708
2005-08-24,3.15754
2005-08-25,3.19164
2005-08-26,3.23365
2005-08-29,3.23907
2005-08-30,3.24451
2005-08-31,3.25209
2005-09-01,3.22693
2005-09-02,3.22554
2005-09-05,3.20648
2005-09-06,3.18322
2005-09-07,3.18967
2005-09-08,3.16753
2005-09-09,3.1609
2005-09-12,3.16411
2005-09-13,3.18189
2005-09-14,3.17876
2005-09-15,3.20153
2005-09-16,3.18226
2005-09-19,3.17526
2005-09-20,3.15642
2005-09-21,3.19867
2005-09-22,3.20474
2005-09-23,3.19364
2005-09-26,3.14959
2005-09-27,3.15795
2005-09-28,3.12706
2005-09-29,3.14199
2005-09-30,3.11364
2005-10-03,3.07405
2005-10-04,3.3283
2005-10-05,3.3541
2005-10-06,3.39759
2005-10-07,3.41023
2005-10-10,3.40952
2005-10-11,3.41228
2005-10-12,3.4507
2005-10-13,3.47113
2005-10-14,3.4405200000000002
2005-10-17,3.443
2005-10-18,3.44968
2005-10-19,3.50823
2005-10-20,3.48416
2005-10-21,3.50685
2005-10-24,3.48032
2005-10-25,3.49081
2005-10-26,3.47982
2005-10-27,3.53217
2005-10-28,3.53587
2005-10-31,3.45772
2005-11-01,3.44507
2005-11-02,3.41553
2005-11-03,3.39798
2005-11-04,3.40588
2005-11-07,3.40251
2005-11-08,3.38287
2005-11-09,3.37204
2005-11-10,3.34635
2005-11-11,3.32135
2005-11-14,3.31607
2005-11-15,3.31658
2005-11-16,3.31612
2005-11-17,3.29936
2005-11-18,3.27379
2005-11-21,3.27104
2005-11-22,3.26181
2005-11-23,3.24595
2005-11-24,3.26011
2005-11-25,3.25496
2005-11-28,3.25585
2005-11-29,3.23447
2005-11-30,3.23743
2005-12-01,3.18745
2005-12-02,3.16525
2005-12-05,3.17286
2005-12-06,3.13998
2005-12-07,3.14631
2005-12-08,3.14874
2005-12-09,3.15284
2005-12-12,3.1286
2005-12-13,3.13286
2005-12-14,3.14333
2005-12-15,3.12468
2005-12-16,3.10542
2005-12-19,3.10949
2005-12-20,3.11161
2005-12-21,3.09197
2005-12-22,3.09791
2005-12-23,3.08978
2005-12-26,3.08978
2005-12-27,3.08007
2005-12-28,3.0877
2005-12-29,3.07281
2005-12-30,3.10414
2006-01-02,3.3212
2006-01-03,3.31358
2006-01-04,3.28746
2006-01-05,3.30962
2006-01-06,3.2886699999999998
2006-01-09,3.27235
2006-01-10,3.30914
2006-01-11,3.29056
2006-01-12,3.2862
2006-01-13,3.33567
2006-01-16,3.33277
2006-01-17,3.37745
2006-01-18,3.41722
2006-01-19,3.39213
2006-01-20,3.4325200000000002
2006-01-23,3.43867
2006-01-24,3.4436
2006-01-25,3.40555
2006-01-26,3.35913
2006-01-27,3.32257
2006-01-30,3.31908
2006-01-31,3.33155
2006-02-01,3.28904
2006-02-02,3.31725
2006-02-03,3.30456
2006-02-06,3.30396
2006-02-07,3.29763
2006-02-08,3.29953
2006-02-09,3.27494
2006-02-10,3.28514
2006-02-13,3.26039
2006-02-14,3.24752
2006-02-15,3.24658
2006-02-16,3.23889
2006-02-17,3.22125
2006-02-20,3.22499
2006-02-21,3.23704
2006-02-22,3.22381
2006-02-23,3.23402
2006-02-24,3.23455
2006-02-27,3.21581
2006-02-28,3.28313
2006-03-01,3.24671
2006-03-02,3.29056
2006-03-03,3.30763
2006-03-06,3.27889
2006-03-07,3.30166
2006-03-08,3.33613
2006-03-09,3.31152
2006-03-10,3.2552
2006-03-13,3.23841
2006-03-14,3.22758
2006-03-15,3.20388
2006-03-16,3.20658
2006-03-17,3.20606
2006-03-20,3.18091
2006-03-21,3.16894
2006-03-22,3.17224
2006-03-23,3.18401
2006-03-24,3.16361
2006-03-27,3.17864
2006-03-28,3.18839
2006-03-29,3.18405
2006-03-30,3.15906
2006-03-31,3.18523
2006-04-03,3.17569
2006-04-04,3.20052
2006-04-05,3.19977
2006-04-06,3.19202
2006-04-07,3.19964
2006-04-10,3.1962099999999998
2006-04-11,3.25243
2006-04-12,3.27696
2006-04-13,3.28243
2006-04-14,3.28243
2006-04-17,3.28243
2006-04-18,3.29719
2006-04-19,3.2456
2006-04-20,3.21144
2006-04-21,3.16318
2006-04-24,3.18365
2006-04-25,3.18463
2006-04-26,3.17618
2006-04-27,3.18392
2006-04-28,3.21916
2006-05-01,3.21916
2006-05-02,3.22363
2006-05-03,3.40056
2006-05-04,3.39305
2006-05-05,3.3531
2006-05-08,3.34205
2006-05-09,3.339
2006-05-10,3.36623
2006-05-11,3.3920500000000002
2006-05-12,3.47924
2006-05-15,3.51942
2006-05-16,3.51623
2006-05-17,3.62691
2006-05-18,3.63305
2006-05-19,3.62404
2006-05-22,3.74161
2006-05-23,3.64738
2006-05-24,3.67806
2006-05-25,3.64795
2006-05-26,3.60404
2006-05-29,3.60202
2006-05-30,3.69839
2006-05-31,3.64927
2006-06-01,3.6431
2006-06-02,3.6547
2006-06-05,3.68159
2006-06-06,3.74957
2006-06-07,3.70799
2006-06-08,3.83648
2006-06-09,3.7799199999999997
2006-06-12,3.82837
2006-06-13,3.90971
2006-06-14,3.89878
2006-06-15,3.79812
2006-06-16,3.82636
2006-06-19,3.78692
2006-06-20,3.77002
2006-06-21,3.74579
2006-06-22,3.72222
2006-06-23,3.7309799999999997
2006-06-26,3.74423
2006-06-27,3.78937
2006-06-28,3.78855
2006-06-29,3.71395
2006-06-30,3.63923
2006-07-03,3.61624
2006-07-04,3.60834
2006-07-05,3.65849
2006-07-06,3.62448
2006-07-07,3.65193
2006-07-10,3.64181
2006-07-11,3.68166
2006-07-12,3.65966
2006-07-13,3.70983
2006-07-14,3.77108
2006-07-17,3.77727
2006-07-18,3.7781700000000003
2006-07-19,3.67424
2006-07-20,3.66021
2006-07-21,3.68527
2006-07-24,3.59572
2006-07-25,3.61342
2006-07-26,3.43751
2006-07-27,3.4007899999999998
2006-07-28,3.36847
2006-07-31,3.38018
2006-08-01,3.41966
2006-08-02,3.3763
2006-08-03,3.4163
2006-08-04,3.38093
2006-08-07,3.42462
2006-08-08,3.43005
2006-08-09,3.41014
2006-08-10,3.43469
2006-08-11,3.4402
2006-08-14,3.40366
2006-08-15,3.36346
2006-08-16,3.34342
2006-08-17,3.33313
2006-08-18,3.3379
2006-08-21,3.33629
2006-08-22,3.32514
2006-08-23,3.34478
2006-08-24,3.31898
2006-08-25,3.3069100000000002
2006-08-28,3.28158
2006-08-29,3.27297
2006-08-30,3.25567
2006-08-31,3.25808
2006-09-01,3.2427
2006-09-04,3.22386
2006-09-05,3.2525399999999998
2006-09-06,3.28421
2006-09-07,3.30255
2006-09-08,3.2935499999999998
2006-09-11,3.2987
2006-09-12,3.2486
2006-09-13,3.23448
2006-09-14,3.22964
2006-09-15,3.19961
2006-09-18,3.2046
2006-09-19,3.23673
2006-09-20,3.19041
2006-09-21,3.18144
2006-09-22,3.2152
2006-09-25,3.21186
2006-09-26,3.16235
2006-09-27,3.1562
2006-09-28,3.15529
2006-09-29,3.149
2006-10-02,3.15451
2006-10-03,3.16
2006-10-04,3.13857
2006-10-05,3.12848
2006-10-06,3.1269
2006-10-09,3.12182
2006-10-10,3.10801
2006-10-11,3.1047
2006-10-12,3.09071
2006-10-13,3.09508
2006-10-16,3.09699
2006-10-17,3.14189
2006-10-18,3.10753
2006-10-19,3.10382
2006-10-20,3.11026
2006-10-23,3.08844
2006-10-24,3.08899
2006-10-25,3.09833
2006-10-26,3.1072
2006-10-27,3.11755
2006-10-30,3.13461
2006-10-31,3.14467
2006-11-01,3.14496
2006-11-02,3.15141
2006-11-03,3.15688
2006-11-06,3.11992
2006-11-07,3.10152
2006-11-08,3.09984
2006-11-09,3.13043
2006-11-10,3.1386
2006-11-13,3.13712
2006-11-14,3.14048
2006-11-15,3.1155
2006-11-16,3.12466
2006-11-17,3.14057
2006-11-20,3.14262
2006-11-21,3.13978
2006-11-22,3.14985
2006-11-23,3.16753
2006-11-24,3.18716
2006-11-27,3.23789
2006-11-28,3.24011
2006-11-29,3.2201
2006-11-30,3.2493
2006-12-01,3.2934200000000002
2006-12-04,3.2838
2006-12-05,3.26669
2006-12-06,3.27725
2006-12-07,3.27989
2006-12-08,3.28294
2006-12-11,3.25829
2006-12-12,3.23042
2006-12-13,3.18574
2006-12-14,3.15252
2006-12-15,3.14529
2006-12-18,3.15081
2006-12-19,3.15623
2006-12-20,3.13655
2006-12-21,3.14379
2006-12-22,3.16437
2006-12-25,3.16437
2006-12-26,3.16437
2006-12-27,3.12122
2006-12-28,3.12436
2006-12-29,3.13362
2007-01-01,3.13362
2007-01-02,3.04643
2007-01-03,3.04387
2007-01-04,3.04244
2007-01-05,3.07364
2007-01-08,3.07871
2007-01-09,3.05841
2007-01-10,3.07711
2007-01-11,3.02858
2007-01-12,3.01489
2007-01-15,3.00641
2007-01-16,3.00824
2007-01-17,3.00215
2007-01-18,3.00035
2007-01-19,2.99425
2007-01-22,3.02092
2007-01-23,3.04107
2007-01-24,3.02406
2007-01-25,3.04805
2007-01-26,3.06358
2007-01-29,3.06243
2007-01-30,3.05294
2007-01-31,3.06979
2007-02-01,3.03877
2007-02-02,3.02107
2007-02-05,3.02582
2007-02-06,3.01885
2007-02-07,3.00506
2007-02-08,3.02949
2007-02-09,3.00893
2007-02-12,3.03759
2007-02-13,3.02434
2007-02-14,3.01197
2007-02-15,3.01281
2007-02-16,3.02115
2007-02-19,3.00506
2007-02-20,3.00806
2007-02-21,3.00159
2007-02-22,2.98988
2007-02-23,2.9927799999999998
2007-02-26,2.9926
2007-02-27,3.08234
2007-02-28,3.13456
2007-03-01,3.19953
2007-03-02,3.1856
2007-03-05,3.20207
2007-03-06,3.18958
2007-03-07,3.15824
2007-03-08,3.11173
2007-03-09,3.10239
2007-03-12,3.11023
2007-03-13,3.14525
2007-03-14,3.22643
2007-03-15,3.15668
2007-03-16,3.15639
2007-03-19,3.07679
2007-03-20,3.02504
2007-03-21,3.01607
2007-03-22,2.9725200000000003
2007-03-23,2.94142
2007-03-26,2.96916
2007-03-27,2.98501
2007-03-28,3.00893
2007-03-29,2.9748
2007-03-30,2.9907399999999997
2007-04-02,2.97914
2007-04-03,2.95207
2007-04-04,2.93562
2007-04-05,2.92439
2007-04-06,2.92439
2007-04-09,2.92439
2007-04-10,2.89278
2007-04-11,2.9056800000000003
2007-04-12,2.92707
2007-04-13,2.90824
2007-04-16,2.83623
2007-04-17,2.84164
2007-04-18,2.84232
2007-04-19,2.85511
2007-04-20,2.82607
2007-04-23,2.83634
2007-04-24,2.84923
2007-04-25,2.8277099999999997
2007-04-26,2.85149
2007-04-27,2.86395
2007-04-30,2.86382
2007-05-01,2.86382
2007-05-02,2.86049
2007-05-03,2.84337
2007-05-04,2.83663
2007-05-07,2.83691
2007-05-08,2.87256
2007-05-09,2.88564
2007-05-10,2.90754
2007-05-11,2.89017
2007-05-14,2.90017
2007-05-15,2.8861
2007-05-16,2.91088
2007-05-17,2.88973
2007-05-18,2.8738799999999998
2007-05-21,2.8747
2007-05-22,2.86096
2007-05-23,2.85807
2007-05-24,2.89037
2007-05-25,2.88206
2007-05-28,2.87115
2007-05-29,2.87034
2007-05-30,2.88165
2007-05-31,2.85046
2007-06-01,2.85912
2007-06-04,2.85093
2007-06-05,2.86307
2007-06-06,2.90922
2007-06-07,2.91052
2007-06-08,2.9259
2007-06-11,2.92227
2007-06-12,2.96272
2007-06-13,2.95673
2007-06-14,2.91806
2007-06-15,2.89077
2007-06-18,2.89255
2007-06-19,2.8970700000000003
2007-06-20,2.88686
2007-06-21,2.9197100000000002
2007-06-22,2.92434
2007-06-25,2.93812
2007-06-26,2.95955
2007-06-27,2.98017
2007-06-28,2.95456
2007-06-29,2.98453
2007-07-02,2.9841800000000003
2007-07-03,2.95979
2007-07-04,2.94718
2007-07-05,2.9595700000000003
2007-07-06,2.95054
2007-07-09,2.93756
2007-07-10,2.94876
2007-07-11,2.96454
2007-07-12,2.9246
2007-07-13,2.9099500000000003
2007-07-16,2.87354
2007-07-17,2.87818
2007-07-18,2.90236
2007-07-19,2.88325
2007-07-20,2.9020099999999998
2007-07-23,2.88646
2007-07-24,2.91089
2007-07-25,2.94225
2007-07-26,3.01486
2007-07-27,3.05059
2007-07-30,3.01487
2007-07-31,2.94854
2007-08-01,3.01114
2007-08-02,2.9841699999999998
2007-08-03,3.02069
2007-08-06,3.30087
2007-08-07,3.26476
2007-08-08,3.20511
2007-08-09,3.29083
2007-08-10,3.38501
2007-08-13,3.31152
2007-08-14,3.3387000000000002
2007-08-15,3.35768
2007-08-16,3.47865
2007-08-17,3.39955
2007-08-20,3.3620200000000002
2007-08-21,3.36028
2007-08-22,3.30994
2007-08-23,3.29193
2007-08-24,3.29309
2007-08-27,3.28556
2007-08-28,3.35069
2007-08-29,3.34057
2007-08-30,3.30035
2007-08-31,3.27618
2007-09-03,3.27008
2007-09-04,3.24941
2007-09-05,3.2965999999999998
2007-09-06,3.27472
2007-09-07,3.32482
2007-09-10,3.35044
2007-09-11,3.29252
2007-09-12,3.27472
2007-09-13,3.23647
2007-09-14,3.25761
2007-09-17,3.28062
2007-09-18,3.23488
2007-09-19,3.1759
2007-09-20,3.19201
2007-09-21,3.19239
2007-09-24,3.22918
2007-09-25,3.25163
2007-09-26,3.21747
2007-09-27,3.20372
2007-09-28,3.20488
2007-10-01,3.16865
2007-10-02,3.17659
2007-10-03,3.17998
2007-10-04,3.18157
2007-10-05,3.16154
2007-10-08,3.15974
2007-10-09,3.13642
2007-10-10,3.11536
2007-10-11,3.10887
2007-10-12,3.09802
2007-10-15,3.14832
2007-10-16,3.1627
2007-10-17,3.12025
2007-10-18,3.13627
2007-10-19,3.14278
2007-10-22,3.19182
2007-10-23,3.17583
2007-10-24,3.20975
2007-10-25,3.19196
2007-10-26,3.2129
2007-10-29,3.20077
2007-10-30,3.22512
2007-10-31,3.19585
2007-11-01,3.29876
2007-11-02,3.29772
2007-11-05,3.30603
2007-11-06,3.3117900000000002
2007-11-07,3.34063
2007-11-08,3.36165
2007-11-09,3.42016
2007-11-12,3.415
2007-11-13,3.4122
2007-11-14,3.3836399999999998
2007-11-15,3.42464
2007-11-16,3.47082
2007-11-19,3.5371
2007-11-20,3.54319
2007-11-21,3.63502
2007-11-22,3.63213
2007-11-23,3.56794
2007-11-26,3.5868700000000002
2007-11-27,3.56836
2007-11-28,3.5102
2007-11-29,3.50981
2007-11-30,3.46384
2007-12-03,3.4344
2007-12-04,3.46406
2007-12-05,3.40644
2007-12-06,3.39343
2007-12-07,3.37395
2007-12-10,3.36129
2007-12-11,3.36826
2007-12-12,3.38268
2007-12-13,3.43398
2007-12-14,3.40562
2007-12-17,3.45159
2007-12-18,3.45794
2007-12-19,3.47019
2007-12-20,3.44657
2007-12-21,3.40892
2007-12-24,3.38978
2007-12-25,3.38978
2007-12-26,3.38978
2007-12-27,3.40527
2007-12-28,3.4059
2007-12-31,3.39993
2008-01-01,3.39993
2008-01-02,3.4892
2008-01-03,3.52554
2008-01-04,3.5784000000000002
2008-01-07,3.57189
2008-01-08,3.57897
2008-01-09,3.60504
2008-01-10,3.65592
2008-01-11,3.64471
2008-01-14,3.61592
2008-01-15,3.72638
2008-01-16,3.82076
2008-01-17,3.808
2008-01-18,3.91643
2008-01-21,4.15632
2008-01-22,4.0637
2008-01-23,4.17086
2008-01-24,3.91639
2008-01-25,3.94209
2008-01-28,3.96417
2008-01-29,3.87414
2008-01-30,3.90966
2008-01-31,3.92776
2008-02-01,3.85411
2008-02-04,3.84041
2008-02-05,3.96758
2008-02-06,3.92699
2008-02-07,3.99601
2008-02-08,4.01509
2008-02-11,4.05679
2008-02-12,3.94796
2008-02-13,3.91524
2008-02-14,3.94631
2008-02-15,3.98355
2008-02-18,3.88586
2008-02-19,3.83605
2008-02-20,3.86834
2008-02-21,3.83054
2008-02-22,3.87244
2008-02-25,3.81296
