Date,divy
2016-12-29,3.95
2016-12-30,3.9
2017-01-02,4.15
2017-01-03,4.14
2017-01-04,4.15
2017-01-05,4.08
2017-01-06,4.09
2017-01-09,4.12
2017-01-10,4.12
2017-01-11,4.12
2017-01-12,4.09
2017-01-13,4.1
2017-01-16,4.15
2017-01-17,4.13
2017-01-18,4.14
2017-01-19,4.16
2017-01-20,4.15
2017-01-23,4.1
2017-01-24,4.1
2017-01-25,4.1
2017-01-26,4.09
2017-01-27,4.09
2017-01-30,4.09
2017-01-31,4.09
2017-02-01,4.09
2017-02-02,4.07
2017-02-03,4.11
2017-02-06,4.07
2017-02-07,4.06
2017-02-08,4.08
2017-02-09,4.05
2017-02-10,4.02
2017-02-13,4.02
2017-02-14,4.02
2017-02-15,3.99
2017-02-16,4.01
2017-02-17,4
2017-02-20,4.03
2017-02-21,4.02
2017-02-22,4.02
2017-02-23,4.02
2017-02-24,4.04
2017-02-27,4.04
2017-02-28,4.04
2017-03-01,4.08
2017-03-02,4.06
2017-03-03,4.11
2017-03-06,4.09
2017-03-07,4.05
2017-03-08,4.04
2017-03-09,4.1
2017-03-10,4.11
2017-03-13,4.07
2017-03-14,4.06
2017-03-15,4.05
2017-03-16,4.01
2017-03-17,3.9699999999999998
2017-03-20,3.98
2017-03-21,3.94
2017-03-22,3.98
2017-03-23,3.98
2017-03-24,4
2017-03-27,3.98
2017-03-28,3.9699999999999998
2017-03-29,4
2017-03-30,4.02
2017-03-31,4.05
2017-04-03,4.06
2017-04-04,4.05
2017-04-05,3.98
2017-04-06,4.03
2017-04-07,4.06
2017-04-10,4.06
2017-04-11,4.06
2017-04-12,4.06
2017-04-13,4.04
2017-04-14,4.07
2017-04-17,4.13
2017-04-18,4.13
2017-04-19,4.17
2017-04-20,4.17
2017-04-21,4.13
2017-04-24,4.12
2017-04-25,4.05
2017-04-26,4.05
2017-04-27,4.08
2017-04-28,4.07
2017-05-01,4.06
2017-05-02,4.01
2017-05-03,4.01
2017-05-04,4.02
2017-05-05,4.05
2017-05-08,4.02
2017-05-09,4.04
2017-05-10,4.03
2017-05-11,4.03
2017-05-12,4.04
2017-05-15,4.04
2017-05-16,4.03
2017-05-17,4.04
2017-05-18,4.07
2017-05-19,4.1
2017-05-22,4.06
2017-05-23,4.07
2017-05-24,4.04
2017-05-25,3.99
2017-05-26,4
2017-05-29,4
2017-05-30,4
2017-05-31,4.03
2017-06-01,3.98
2017-06-02,3.96
2017-06-05,3.93
2017-06-06,3.94
2017-06-07,3.93
2017-06-08,3.93
2017-06-09,3.94
2017-06-12,3.99
2017-06-13,3.99
2017-06-14,4.01
2017-06-15,4
2017-06-16,3.99
2017-06-19,3.93
2017-06-20,3.89
2017-06-21,3.89
2017-06-22,3.87
2017-06-23,3.88
2017-06-26,3.81
2017-06-27,3.82
2017-06-28,3.86
2017-06-29,3.83
