Date,div_yield
2005-04-29,3.3
2005-05-02,3.32
2005-05-03,3.31
2005-05-04,3.3
2005-05-05,3.24
2005-05-06,3.25
2005-05-09,3.16
2005-05-10,3.18
2005-05-11,3.2
2005-05-12,3.19
2005-05-13,3.23
2005-05-16,3.23
2005-05-17,3.31
2005-05-18,3.31
2005-05-19,3.26
2005-05-20,3.33
2005-05-23,3.36
2005-05-24,3.35
2005-05-25,3.39
2005-05-26,3.42
2005-05-27,3.35
2005-05-30,3.32
2005-05-31,3.3
2005-06-01,3.29
2005-06-02,3.33
2005-06-03,3.32
2005-06-06,3.26
2005-06-07,3.25
2005-06-08,3.22
2005-06-09,3.2800000000000002
2005-06-10,3.25
2005-06-13,3.25
2005-06-14,3.29
2005-06-15,3.27
2005-06-16,3.25
2005-06-17,3.26
2005-06-20,3.24
2005-06-21,3.24
2005-06-22,3.19
2005-06-23,3.19
2005-06-24,3.19
2005-06-27,3.2
2005-06-28,3.15
2005-06-29,3.15
2005-06-30,3.17
2005-07-01,3.17
2005-07-04,3.16
2005-07-05,3.17
2005-07-06,3.14
2005-07-07,3.18
2005-07-08,3.1
2005-07-11,3.09
2005-07-12,3.09
2005-07-13,3.07
2005-07-14,3.05
2005-07-15,3.05
2005-07-18,3.02
2005-07-19,2.99
2005-07-20,2.9699999999999998
2005-07-21,2.86
2005-07-22,2.84
2005-07-25,2.85
2005-07-26,2.85
2005-07-27,2.85
2005-07-28,2.83
2005-07-29,2.79
2005-08-01,2.76
2005-08-02,2.7199999999999998
2005-08-03,2.77
2005-08-04,2.76
2005-08-05,2.76
2005-08-08,2.7199999999999998
2005-08-09,2.74
2005-08-10,2.71
2005-08-11,2.71
2005-08-12,2.7
2005-08-15,2.7
2005-08-16,2.7199999999999998
2005-08-17,2.73
2005-08-18,2.82
2005-08-19,2.86
2005-08-22,2.83
2005-08-23,2.87
2005-08-24,2.9
2005-08-25,3.07
2005-08-26,3.21
2005-08-29,3.22
2005-08-30,3.22
2005-08-31,3.27
2005-09-01,3.18
2005-09-02,3.18
2005-09-05,3.18
2005-09-06,3.18
2005-09-07,3.46
2005-09-08,3.5
2005-09-09,3.54
2005-09-12,3.45
2005-09-13,3.49
2005-09-14,3.5
2005-09-15,3.5
2005-09-16,3.5
2005-09-19,3.51
2005-09-20,3.42
2005-09-21,3.42
2005-09-22,3.4699999999999998
2005-09-23,3.4699999999999998
2005-09-26,3.4699999999999998
2005-09-27,3.48
2005-09-28,3.46
2005-09-29,3.36
2005-09-30,3.35
2005-10-03,3.37
2005-10-04,3.37
2005-10-05,3.43
2005-10-06,3.52
2005-10-07,3.52
2005-10-10,3.49
2005-10-11,3.32
2005-10-12,3.48
2005-10-13,3.48
2005-10-14,3.56
2005-10-17,3.5300000000000002
2005-10-18,3.49
2005-10-19,3.55
2005-10-20,3.54
2005-10-21,3.55
2005-10-24,3.59
