Date,div_yield
2005-07-04,3.85435
2005-07-05,3.84357
2005-07-06,3.84323
2005-07-07,3.963
2005-07-08,3.94524
2005-07-11,3.9608499999999998
2005-07-12,3.97136
2005-07-13,3.8920500000000002
2005-07-14,4.0068
2005-07-15,4.06673
2005-07-18,4.00785
2005-07-19,4.01717
2005-07-20,4.00554
2005-07-21,4.03591
2005-07-22,4.03591
2005-07-25,3.9465
2005-07-26,3.96976
2005-07-27,3.94275
2005-07-28,3.93533
2005-07-29,3.88786
2005-08-01,3.89556
2005-08-02,3.80785
2005-08-03,3.7947100000000002
2005-08-04,3.8512
2005-08-05,3.85816
2005-08-08,3.878
2005-08-09,3.92501
2005-08-10,3.91097
2005-08-11,3.92683
2005-08-12,3.92683
2005-08-15,3.96408
2005-08-16,4.1043
2005-08-17,4.16446
2005-08-18,4.12208
2005-08-19,4.08389
2005-08-22,4.01435
2005-08-23,4.02334
2005-08-24,3.99468
2005-08-25,4.03084
2005-08-26,4.00322
2005-08-29,4.02788
2005-08-30,4.02407
2005-08-31,3.99138
2005-09-01,3.90451
2005-09-02,3.91761
2005-09-05,3.92888
2005-09-06,3.94692
2005-09-07,3.92499
2005-09-08,3.8752
2005-09-09,3.92653
2005-09-12,3.95423
2005-09-13,3.97121
2005-09-14,3.9458
2005-09-15,3.97913
2005-09-16,3.9928
2005-09-19,3.98614
2005-09-20,3.8969
2005-09-21,3.90768
2005-09-22,3.88027
2005-09-23,3.9037699999999997
2005-09-26,3.92847
2005-09-27,3.92061
2005-09-28,3.9222099999999998
2005-09-29,3.91811
2005-09-30,3.8983
2005-10-03,3.9607099999999997
2005-10-04,3.98622
2005-10-05,3.97379
2005-10-06,4.01182
2005-10-07,4.02712
2005-10-10,4.06377
2005-10-11,4.0594
2005-10-12,4.04931
2005-10-13,4.08847
2005-10-14,4.13205
2005-10-17,4.16012
2005-10-18,4.18366
2005-10-19,4.27612
2005-10-20,4.27485
2005-10-21,4.25291
2005-10-24,4.25291
2005-10-25,4.31381
2005-10-26,4.24694
2005-10-27,4.24369
2005-10-28,4.26961
2005-10-31,4.25843
2005-11-01,4.22204
2005-11-02,4.17115
2005-11-03,4.12456
2005-11-04,4.10996
2005-11-07,4.15582
2005-11-08,4.24193
2005-11-09,4.24015
2005-11-10,4.25066
2005-11-11,4.27066
2005-11-14,4.29219
2005-11-15,4.32217
2005-11-16,4.37858
2005-11-17,4.39691
2005-11-18,4.38631
2005-11-21,4.41603
2005-11-22,4.40263
2005-11-23,4.4249
2005-11-24,4.4209
2005-11-25,4.38077
2005-11-28,4.38473
2005-11-29,4.38749
2005-11-30,4.42713
2005-12-01,4.45505
2005-12-02,4.45855
2005-12-05,4.45855
2005-12-06,4.33399
2005-12-07,4.20005
2005-12-08,4.1882
2005-12-09,4.16235
2005-12-12,4.16235
2005-12-13,4.18752
2005-12-14,4.14935
2005-12-15,4.18825
2005-12-16,4.18198
2005-12-19,4.18086
2005-12-20,4.12234
2005-12-21,4.12829
2005-12-22,4.13421
2005-12-23,4.12322
2005-12-26,4.10156
2005-12-27,4.07434
2005-12-28,4.08691
2005-12-29,4.05734
2005-12-30,4.03705
2006-01-02,4.03705
2006-01-03,3.9834199999999997
2006-01-04,3.8603300000000003
2006-01-05,3.86668
2006-01-06,3.84898
2006-01-09,3.76125
2006-01-10,3.76573
2006-01-11,3.76641
2006-01-12,3.8302300000000002
2006-01-13,3.83509
2006-01-16,3.84957
2006-01-17,3.84523
2006-01-18,3.92497
2006-01-19,3.88941
2006-01-20,3.87129
2006-01-23,3.83763
2006-01-24,3.8449299999999997
2006-01-25,3.7407500000000002
2006-01-26,3.75582
2006-01-27,3.7568200000000003
2006-01-30,3.78445
2006-01-31,3.74328
2006-02-01,3.76552
2006-02-02,3.85119
2006-02-03,3.85
2006-02-06,3.8654
2006-02-07,3.86468
2006-02-08,3.91436
2006-02-09,3.91342
2006-02-10,3.89006
2006-02-13,3.89006
2006-02-14,3.96416
2006-02-15,3.99042
2006-02-16,3.92995
2006-02-17,3.88501
2006-02-20,3.89701
2006-02-21,3.96001
2006-02-22,3.94156
2006-02-23,3.9292
2006-02-24,3.87536
2006-02-27,3.81377
2006-02-28,3.8989599999999998
2006-03-01,3.86972
2006-03-02,3.84704
2006-03-03,3.84002
2006-03-06,3.85108
2006-03-07,3.9232
2006-03-08,4.03921
2006-03-09,4.0031
2006-03-10,4.00349
2006-03-13,3.97959
2006-03-14,3.96282
2006-03-15,3.9571899999999998
2006-03-16,3.96406
2006-03-17,3.97818
2006-03-20,3.88612
2006-03-21,3.9101
2006-03-22,3.96491
2006-03-23,3.90959
2006-03-24,3.89107
2006-03-27,3.88157
2006-03-28,3.9184
2006-03-29,3.95173
2006-03-30,3.9319800000000003
2006-03-31,3.91952
2006-04-03,3.95796
2006-04-04,3.90901
2006-04-05,3.7750500000000002
2006-04-06,3.7750500000000002
2006-04-07,3.75521
2006-04-10,3.8089399999999998
2006-04-11,3.83027
2006-04-12,3.85807
2006-04-13,3.85807
2006-04-14,3.85807
2006-04-17,3.81763
2006-04-18,3.7995900000000002
2006-04-19,3.7995900000000002
2006-04-20,3.76137
2006-04-21,3.7564
2006-04-24,3.76137
2006-04-25,3.79389
2006-04-26,3.73095
2006-04-27,3.75267
2006-04-28,3.77887
2006-05-01,3.77887
2006-05-02,3.79117
2006-05-03,3.7561999999999998
2006-05-04,3.7339700000000002
2006-05-05,3.7339700000000002
2006-05-08,3.63805
2006-05-09,3.60249
2006-05-10,3.60645
2006-05-11,3.6523
2006-05-12,3.6523
2006-05-15,3.7475300000000002
2006-05-16,3.75672
2006-05-17,3.73996
2006-05-18,3.82958
2006-05-19,3.83298
2006-05-22,3.94154
2006-05-23,3.92554
2006-05-24,4.01982
2006-05-25,4.10143
2006-05-26,4.00079
2006-05-29,3.96003
2006-05-30,4.02443
2006-05-31,4.03919
2006-06-01,4.04781
2006-06-02,3.97472
2006-06-05,4.03817
2006-06-06,4.1133
2006-06-07,4.21734
2006-06-08,4.29427
2006-06-09,4.34977
2006-06-12,4.34977
2006-06-13,4.34977
2006-06-14,4.50334
2006-06-15,4.50488
2006-06-16,4.3454
2006-06-19,4.40034
2006-06-20,4.49602
2006-06-21,4.46867
2006-06-22,4.39452
2006-06-23,4.38286
2006-06-26,4.39217
2006-06-27,4.40055
2006-06-28,4.32372
2006-06-29,4.29896
2006-06-30,4.23567
2006-07-03,4.18404
2006-07-04,4.10365
2006-07-05,4.21009
2006-07-06,4.15217
2006-07-07,4.16866
2006-07-10,4.16111
2006-07-11,4.16111
2006-07-12,4.1432
2006-07-13,4.25606
2006-07-14,4.34117
2006-07-17,4.37668
