Date,f_flow
2014-04-25,0
2014-04-28,0
2014-04-29,0
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,0.9625
2014-05-16,0
2014-05-19,0
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,0
2014-05-26,0
2014-05-27,0
2014-05-28,0
2014-05-29,0
2014-05-30,0
2014-06-02,0
2014-06-03,1.0075
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-09,0
2014-06-10,0
2014-06-11,0
2014-06-12,0
2014-06-13,0
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-30,1.107
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-14,1.156
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,3.4545
2014-07-21,2.252
2014-07-22,11.18
2014-07-23,3.3045
2014-07-24,0
2014-07-25,0
2014-07-28,1.083
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-04,2.189
2014-08-05,0
2014-08-06,0
2014-08-07,0
2014-08-08,0
2014-08-11,0
2014-08-12,0
2014-08-13,0
2014-08-14,0
2014-08-15,0
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-25,0
2014-08-26,0
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-08,0
2014-09-09,2.128
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-15,2.154
2014-09-16,0
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-22,0
2014-09-23,0
2014-09-24,-8.588
2014-09-25,0
2014-09-26,-2.148
2014-09-29,-4.246
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-06,-2.014
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-13,0
2014-10-14,0
2014-10-15,0
2014-10-16,-0.95
2014-10-17,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-27,0
2014-10-28,0
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-03,0
