Date,f_flow
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-17,0
2015-08-18,-4.098
2015-08-19,0
2015-08-20,-3.003
2015-08-21,-5.799
2015-08-24,-6.3805
2015-08-25,-0.928
2015-08-26,-11.13
2015-08-27,-0.9925
2015-08-28,3.9939999999999998
2015-08-31,2.018
2015-09-01,-5.868
2015-09-02,0
2015-09-03,0
2015-09-04,-5.853
2015-09-07,-5.853
2015-09-08,0
2015-09-09,-6.622
2015-09-10,-0.942
2015-09-11,0
2015-09-14,0
2015-09-15,-3.7439999999999998
2015-09-16,0
2015-09-17,3.77
2015-09-18,1.892
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,-13.155
2015-09-28,-4.2575
2015-09-29,-3.4699999999999998
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-05,16.623
2015-10-06,1.9449999999999998
2015-10-07,4.074
2015-10-08,6.099
2015-10-09,20.5295
2015-10-12,7.6405
2015-10-13,2.058
2015-10-14,0
2015-10-15,3.15
2015-10-16,0
2015-10-19,4.266
2015-10-20,0
2015-10-21,0
2015-10-22,2.123
2015-10-23,2.169
2015-10-26,4.38
2015-10-27,0
2015-10-28,0
2015-10-29,-24.732
2015-10-30,-10.185
2015-11-02,-9.216
2015-11-03,2.111
2015-11-04,11.858
2015-11-05,0
2015-11-06,0
2015-11-09,1.033
2015-11-10,-10.215
2015-11-11,-15.3525
2015-11-12,0
2015-11-13,-3.0765
2015-11-16,-3.0345
2015-11-17,0
2015-11-18,0
2015-11-19,10.34
2015-11-20,9.4905
2015-11-23,2.085
2015-11-24,0
2015-11-25,1.059
2015-11-26,1.059
2015-11-27,-1.046
2015-11-30,-3.0105
2015-12-01,0
2015-12-02,0
2015-12-03,0
2015-12-04,0
2015-12-07,1.0395
2015-12-08,0
2015-12-09,0
2015-12-10,2.028
2015-12-11,-7.9399999999999995
2015-12-14,-0.978
2015-12-15,0
2015-12-16,0
2015-12-17,3.111
2015-12-18,3.054
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,-5.1725
2016-01-11,-4.064
2016-01-12,0
2016-01-13,-4.184
2016-01-14,0
2016-01-15,-5.15
2016-01-18,-5.15
2016-01-19,0
2016-01-20,-2.004
2016-01-21,0
2016-01-22,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,3.1365
2016-01-29,1.061
2016-02-01,0
2016-02-02,14.77
2016-02-03,0
2016-02-04,3.243
2016-02-05,3.372
2016-02-08,0
2016-02-09,11.14
2016-02-10,0
2016-02-11,7.9345
2016-02-12,32.2335
2016-02-15,32.2335
2016-02-16,0
2016-02-17,10.143
2016-02-18,7.9205
2016-02-19,25.369
2016-02-22,2.21
2016-02-23,2.181
2016-02-24,0
2016-02-25,0
2016-02-26,1.1175
2016-02-29,0
2016-03-01,4.52
2016-03-02,16.107
2016-03-03,18.568
2016-03-04,8.204
2016-03-07,9.376
2016-03-08,26.7375
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-14,11.925
2016-03-15,0
2016-03-16,0
2016-03-17,11.94
2016-03-18,4.774
2016-03-21,0
2016-03-22,10.674
2016-03-23,-1.18
2016-03-24,-4.664
2016-03-25,-4.664
2016-03-28,-5.7025
2016-03-29,0
2016-03-30,8.1235
2016-03-31,-10.512
2016-04-01,3.534
2016-04-04,7.095
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-11,-1.1615
2016-04-12,0
2016-04-13,0
2016-04-14,2.325
2016-04-15,0
2016-04-18,-1.1825
2016-04-19,1.1895
2016-04-20,9.548
2016-04-21,2.393
2016-04-22,0
2016-04-25,-1.1865
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,-2.318
2016-05-02,0
2016-05-03,-2.303
2016-05-04,-5.745
2016-05-05,0
2016-05-06,-5.745
2016-05-09,-16.8975
2016-05-10,-4.536
2016-05-11,-1.142
2016-05-12,-7.98
2016-05-13,-2.248
2016-05-16,-4.466
2016-05-17,-2.231
2016-05-18,-4.444
2016-05-19,-3.267
2016-05-20,-7.6125
2016-05-23,-2.2
2016-05-24,-1.085
2016-05-25,-1.1065
2016-05-26,0
2016-05-27,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,2.263
2016-06-06,23.32
2016-06-07,4.74
2016-06-08,5.8975
2016-06-09,2.335
2016-06-10,2.312
2016-06-13,0
2016-06-14,0
2016-06-15,-1.146
2016-06-16,0
2016-06-17,0
2016-06-20,0
2016-06-21,11.725
2016-06-22,5.83
2016-06-23,2.326
2016-06-24,4.564
2016-06-27,-1.144
2016-06-28,-2.344
2016-06-29,0
2016-06-30,22.933
2016-07-01,10.8315
2016-07-04,10.8315
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-11,23.4935
2016-07-12,24.9
2016-07-13,5.036
2016-07-14,14.916
2016-07-15,6.255
2016-07-18,0
2016-07-19,0
2016-07-20,5.128
2016-07-21,0
2016-07-22,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-08-01,2.645
2016-08-02,0
2016-08-03,1.305
2016-08-04,0
2016-08-05,0
2016-08-08,0
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-15,0
2016-08-16,0
2016-08-17,0
2016-08-18,0
2016-08-19,2.63
2016-08-22,2.628
2016-08-23,0
2016-08-24,-1.3025
2016-08-25,1.3165
2016-08-26,0
2016-08-29,-1.2865
2016-08-30,0
2016-08-31,0
2016-09-01,-11.4795
2016-09-02,0
2016-09-05,0
2016-09-06,0
2016-09-07,0
2016-09-08,-1.307
2016-09-09,-5.12
2016-09-12,0
2016-09-13,-1.2555
2016-09-14,-7.407
2016-09-15,-3.822
2016-09-16,0
2016-09-19,0
2016-09-20,0
2016-09-21,0
2016-09-22,3.942
2016-09-23,2.635
2016-09-26,0
2016-09-27,0
2016-09-28,0
2016-09-29,1.3415
2016-09-30,-13.1
2016-10-03,0
2016-10-04,0
2016-10-05,-13.29
2016-10-06,0
2016-10-07,0
2016-10-10,0
2016-10-11,0
2016-10-12,0
2016-10-13,-3.8865
2016-10-14,0
2016-10-17,0
2016-10-18,0
2016-10-19,-6.6075
2016-10-20,0
2016-10-21,0
2016-10-24,0
2016-10-25,0
2016-10-26,0
2016-10-27,0
2016-10-28,0
2016-10-31,-3.945
2016-11-01,0
2016-11-02,-3.918
2016-11-03,-7.698
2016-11-04,-5.164
2016-11-07,-20.696
2016-11-08,0
2016-11-09,3.888
2016-11-10,-3.9074999999999998
2016-11-11,-31.733
2016-11-14,-15.288
2016-11-15,-3.501
2016-11-16,0
2016-11-17,0
2016-11-18,0
2016-11-21,0
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-28,0
2016-11-29,0
2016-11-30,3.483
2016-12-01,0
2016-12-02,0
2016-12-05,0
2016-12-06,0
2016-12-07,-16.982
2016-12-08,0
2016-12-09,0
2016-12-12,0
2016-12-13,-3.678
2016-12-14,2.434
2016-12-15,0
2016-12-16,0
2016-12-19,0
2016-12-20,0
2016-12-21,-1.1605
2016-12-22,-11.45
2016-12-23,-6.828
2016-12-26,-6.828
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,8.5015
2017-01-02,8.5015
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-09,-3.684
2017-01-10,-4.934
2017-01-11,0
2017-01-12,0
2017-01-13,-3.6585
2017-01-16,-3.6585
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,-4.812
2017-01-23,-2.411
2017-01-24,1.218
2017-01-25,0
2017-01-26,2.45
2017-01-27,0
2017-01-30,0
2017-01-31,1.2115
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-13,8.7535
2017-02-14,4.962
2017-02-15,0
2017-02-16,0
2017-02-17,-22.14
2017-02-20,-22.14
2017-02-21,0
2017-02-22,-1.2345
2017-02-23,-2.474
2017-02-24,0
2017-02-27,0
2017-02-28,-1.2365
2017-03-01,-25.725
2017-03-02,-2.469
2017-03-03,-6.145
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,-2.468
2017-03-10,-6.1475
2017-03-13,0
2017-03-14,1.238
2017-03-15,0
2017-03-16,3.7935
2017-03-17,15.288
2017-03-20,3.828
2017-03-21,2.556
2017-03-22,12.795
2017-03-23,3.87
2017-03-24,2.578
2017-03-27,2.5629999999999997
2017-03-28,0
2017-03-29,2.5949999999999998
2017-03-30,0
2017-03-31,0
2017-04-03,0
2017-04-04,2.624
2017-04-05,3.9495
2017-04-06,3.9525
2017-04-07,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,1.3035
2017-04-14,1.3035
2017-04-17,0
2017-04-18,6.47
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-05-01,0
2017-05-02,-11.9385
2017-05-03,0
2017-05-04,-2.6630000000000003
2017-05-05,-6.67
2017-05-08,0
2017-05-09,-2.67
2017-05-10,1.3245
2017-05-11,0
2017-05-12,2.661
2017-05-15,0
2017-05-16,0
2017-05-17,-5.228
2017-05-18,-11.8035
2017-05-19,-1.3565
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,-10.724
2017-06-09,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-19,0
2017-06-20,9.464
2017-06-21,0
2017-06-22,1.3519999999999999
2017-06-23,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,1.3519999999999999
2017-06-30,0
2017-07-03,1.376
2017-07-04,1.376
2017-07-05,0
2017-07-06,6.7775
2017-07-07,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,6.755
2017-07-14,0
2017-07-17,6.82
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-31,0
2017-08-01,-4.026
2017-08-02,0
2017-08-03,0
2017-08-04,-5.326
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,-7.9559999999999995
2017-08-14,0
2017-08-15,2.685
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-21,0
2017-08-22,0
2017-08-23,-2.7199999999999998
2017-08-24,0
2017-08-25,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,-1.3345
2017-09-08,-2.703
2017-09-11,-2.715
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-09,0
2017-10-10,0
2017-10-11,-10.58
2017-10-12,0
2017-10-13,0
2017-10-16,-5.398
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-13,0
2017-11-14,0
2017-11-15,-1.3275000000000001
2017-11-16,0
2017-11-17,0
2017-11-20,0
2017-11-21,-5.386
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-27,0
2017-11-28,0
2017-11-29,0
2017-11-30,-2.649
2017-12-01,0
2017-12-04,-10.692
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-11,0
2017-12-12,0
2017-12-13,0
2017-12-14,12.3435
2017-12-15,0
2017-12-18,0
2017-12-19,2.741
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-25,0
2017-12-26,0
2017-12-27,7.005
2017-12-28,0
2017-12-29,25.551
2018-01-01,25.551
2018-01-02,0
2018-01-03,2.811
2018-01-04,2.851
2018-01-05,0
2018-01-08,0
2018-01-09,2.8810000000000002
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-22,0
2018-01-23,0
2018-01-24,3.015
2018-01-25,3.011
2018-01-26,7.59
2018-01-29,4.5344999999999995
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,-4.4715
2018-02-05,-11.776
2018-02-06,-2.884
2018-02-07,16.0325
2018-02-08,0
2018-02-09,-11.52
2018-02-12,0
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,13.23
2018-02-19,13.23
2018-02-20,0
2018-02-21,8.889
2018-02-22,0
2018-02-23,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-05,0
2018-03-06,0
2018-03-07,4.1535
2018-03-08,0
2018-03-09,11.232
2018-03-12,4.2735
2018-03-13,5.63
2018-03-14,0
2018-03-15,2.754
2018-03-16,0
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,-1.343
2018-03-26,-12.0735
2018-03-27,0
2018-03-28,-5.298
2018-03-29,0
2018-03-30,0
2018-04-02,1.3595
2018-04-03,0
2018-04-04,0
2018-04-05,0
2018-04-06,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,0
2018-04-16,0
2018-04-17,0
2018-04-18,0
2018-04-19,0
2018-04-20,0
2018-04-23,-8.166
2018-04-24,-4.0305
2018-04-25,0
2018-04-26,-12.595
2018-04-27,7.599
2018-04-30,0
2018-05-01,-3.8445
2018-05-02,-12.87
2018-05-03,-8.7395
2018-05-04,-6.1525
2018-05-07,-4.958
2018-05-08,-6.075
2018-05-09,-14.982
2018-05-10,1.2485
2018-05-11,0
2018-05-14,0
2018-05-15,0
2018-05-16,-4.896
2018-05-17,-2.435
2018-05-18,0
2018-05-21,-15.3595
2018-05-22,-10.719
2018-05-23,-7.179
2018-05-24,0
2018-05-25,0
2018-05-28,0
2018-05-29,0
2018-05-30,-8.9075
2018-05-31,1.2690000000000001
2018-06-01,0
2018-06-04,3.858
2018-06-05,6.5125
2018-06-06,0
2018-06-07,0
2018-06-08,-3.792
2018-06-11,0
2018-06-12,0
2018-06-13,0
2018-06-14,0
2018-06-15,0
2018-06-18,0
2018-06-19,6.2075
2018-06-20,6.08
2018-06-21,0
2018-06-22,0
2018-06-25,-2.3609999999999998
2018-06-26,0
2018-06-27,-10.4085
2018-06-28,-17.744
2018-06-29,0
2018-07-02,-2.269
2018-07-03,0
2018-07-04,0
2018-07-05,0
2018-07-06,-2.251
2018-07-09,3.477
2018-07-10,5.8525
2018-07-11,-2.34
2018-07-12,2.347
2018-07-13,0
2018-07-16,0
2018-07-17,-3.4845
2018-07-18,0
2018-07-19,3.483
2018-07-20,0
2018-07-23,0
2018-07-24,0
2018-07-25,1.183
2018-07-26,1.185
2018-07-27,0
2018-07-30,14.508
2018-07-31,9.452
2018-08-01,0
2018-08-02,0
2018-08-03,1.197
2018-08-06,2.447
2018-08-07,0
2018-08-08,18.315
2018-08-09,0
2018-08-10,0
2018-08-13,0
2018-08-14,-2.263
2018-08-15,0
2018-08-16,-9.044
2018-08-17,0
2018-08-20,0
2018-08-21,0
2018-08-22,0
2018-08-23,3.5475
2018-08-24,0
2018-08-27,9.572
2018-08-28,7.185
2018-08-29,0
2018-08-30,7.107
2018-08-31,0
2018-09-03,0
2018-09-04,0
2018-09-05,-5.4225
2018-09-06,-14.3975
2018-09-07,0
2018-09-10,-6.735
2018-09-11,0
2018-09-12,-2.223
2018-09-13,1.127
2018-09-14,3.4425
2018-09-17,0
2018-09-18,0
2018-09-19,2.2560000000000002
2018-09-20,2.293
2018-09-21,6.942
2018-09-24,14.742
2018-09-25,5.64
2018-09-26,2.258
2018-09-27,0
2018-09-28,0
2018-10-01,0
2018-10-02,0
2018-10-03,0
2018-10-04,-6.501
2018-10-05,-24.6675
2018-10-08,0
2018-10-09,0
2018-10-10,-3.2595
2018-10-11,-7.392
2018-10-12,2.146
2018-10-15,0
2018-10-16,0
2018-10-17,0
2018-10-18,0
2018-10-19,-5.4775
2018-10-22,0
2018-10-23,-1.086
2018-10-24,0
2018-10-25,0
2018-10-26,0
2018-10-29,0
2018-10-30,0
