Date,f_flow
2016-02-26,0
2016-02-29,0
2016-03-01,0
2016-03-02,1.838
2016-03-03,0
2016-03-04,0
2016-03-07,0
2016-03-08,1.9095
2016-03-09,3.8369999999999997
2016-03-10,0
2016-03-11,0
2016-03-14,0
2016-03-15,1.9075
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-28,1.9705
2016-03-29,0
2016-03-30,4.096
2016-03-31,0
2016-04-01,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,6.066
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,4.164
2016-04-18,0
2016-04-19,0
2016-04-20,4.259
2016-04-21,0
2016-04-22,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,2.0895
2016-05-06,4.149
2016-05-09,0
2016-05-10,2.0535
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,4.14
2016-05-30,4.14
2016-05-31,0
2016-06-01,0
2016-06-02,-2.1065
2016-06-03,0
2016-06-06,0
2016-06-07,0
2016-06-08,2.162
2016-06-09,0
2016-06-10,0
2016-06-13,0
2016-06-14,0
2016-06-15,0
2016-06-16,0
2016-06-17,0
2016-06-20,0
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-27,0
2016-06-28,2.063
2016-06-29,2.1135
2016-06-30,0
2016-07-01,0
2016-07-04,0
2016-07-05,0
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,0
2016-07-18,0
2016-07-19,0
2016-07-20,2.2085
2016-07-21,0
2016-07-22,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-08-01,0
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,2.279
2016-08-08,9.174
2016-08-09,0
2016-08-10,0
2016-08-11,0
2016-08-12,0
2016-08-15,0
2016-08-16,0
2016-08-17,20.9115
2016-08-18,0
2016-08-19,0
2016-08-22,2.379
2016-08-23,0
2016-08-24,0
2016-08-25,0
2016-08-26,0
2016-08-29,0
2016-08-30,0
2016-08-31,0
2016-09-01,2.3645
2016-09-02,0
2016-09-05,0
2016-09-06,0
2016-09-07,2.467
2016-09-08,0
2016-09-09,0
2016-09-12,4.646
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-19,0
2016-09-20,2.333
