Date,f_flow
2011-08-12,0
2011-08-15,-1.991
2011-08-16,0
2011-08-17,-1.996
2011-08-18,-3.904
2011-08-19,-1.96
2011-08-22,0
2011-08-23,0
2011-08-24,-1.9915
2011-08-25,-3.99
2011-08-26,0
2011-08-29,-2.04
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,-4.176
2011-09-05,-4.176
2011-09-06,-2.0565
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-19,-2.046
2011-09-20,-2.054
2011-09-21,-6.0885
2011-09-22,1.883
2011-09-23,0
2011-09-26,0
2011-09-27,0
2011-09-28,-12.733
2011-09-29,0
2011-09-30,0
2011-10-03,0
2011-10-04,-1.7165
2011-10-05,-5.2905
2011-10-06,0
2011-10-07,0
2011-10-10,-1.8519999999999999
2011-10-11,0
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-17,0
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,5.748
2011-10-24,1.976
2011-10-25,1.967
2011-10-26,0
2011-10-27,4.114
2011-10-28,0
2011-10-31,-1.9995
2011-11-01,0
2011-11-02,-4.001
2011-11-03,-4.049
2011-11-04,-2.005
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-14,0
2011-11-15,0
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-21,0
2011-11-22,15.484
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-28,-1.9285
2011-11-29,0
2011-11-30,1.9985
2011-12-01,5.976
2011-12-02,5.982
2011-12-05,2.008
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-19,0
2011-12-20,0
2011-12-21,0
2011-12-22,-1.952
2011-12-23,0
2011-12-26,0
2011-12-27,0
2011-12-28,0
2011-12-29,0
2011-12-30,0
2012-01-02,0
2012-01-03,-1.9875
2012-01-04,0
2012-01-05,0
2012-01-06,-1.9665
2012-01-09,0
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-23,2.0975
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,6.6225000000000005
2012-02-03,0
2012-02-06,4.455
2012-02-07,0
2012-02-08,0
2012-02-09,2.211
2012-02-10,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-20,0
2012-02-21,2.227
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-27,0
2012-02-28,0
2012-02-29,-4.427
2012-03-01,-2.242
2012-03-02,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-19,0
2012-03-20,0
2012-03-21,2.24
2012-03-22,0
2012-03-23,0
2012-03-26,0
2012-03-27,18.3
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-04-02,11.7325
2012-04-03,7.0395
2012-04-04,4.612
2012-04-05,0
2012-04-06,0
2012-04-09,0
2012-04-10,0
2012-04-11,-9.192
2012-04-12,-4.655
2012-04-13,-4.609
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,-2.3145
2012-04-20,0
2012-04-23,0
2012-04-24,0
2012-04-25,-11.5125
2012-04-26,-2.308
2012-04-27,-4.674
2012-04-30,-4.638
2012-05-01,0
2012-05-02,-11.4625
2012-05-03,13.575
2012-05-04,-2.2565
2012-05-07,-8.958
2012-05-08,-24.1285
2012-05-09,-2.1905
2012-05-10,0
2012-05-11,0
2012-05-14,0
2012-05-15,-4.211
2012-05-16,-4.201
2012-05-17,-10.38
2012-05-18,-2.0655
2012-05-21,-2.086
2012-05-22,-8.406
2012-05-23,-2.0815
2012-05-24,0
2012-05-25,0
2012-05-28,0
2012-05-29,0
2012-05-30,-4.192
2012-05-31,0
2012-06-01,-2.083
2012-06-04,-2.0505
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,12.732
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,-2.095
2012-06-15,-2.1075
2012-06-18,-2.1285
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,2.1145
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,-4.24
2012-07-09,-2.108
2012-07-10,0
2012-07-11,-4.165
2012-07-12,-2.0655
2012-07-13,0
2012-07-16,-2.088
2012-07-17,0
2012-07-18,0
2012-07-19,-4.187
2012-07-20,-2.071
2012-07-23,-2.0385
2012-07-24,-4.04
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-30,-4.124
2012-07-31,-2.0415
2012-08-01,-6.039
2012-08-02,9.99
2012-08-03,0
2012-08-06,-2.0295
2012-08-07,-4.071
2012-08-08,-4.069
2012-08-09,-2.029
2012-08-10,-4.069
2012-08-13,-4.034
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,-8.188
2012-08-24,0
2012-08-27,0
2012-08-28,-2.0575
2012-08-29,0
2012-08-30,0
2012-08-31,-2.0665
2012-09-03,-2.0665
2012-09-04,-12.282
2012-09-05,-2.0435
2012-09-06,-8.288
2012-09-07,-4.225
2012-09-10,0
2012-09-11,0
2012-09-12,-2.154
2012-09-13,0
2012-09-14,6.783
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,2.2254
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-08,0
2012-10-09,-2.2195
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-15,0
2012-10-16,0
2012-10-17,-2.2415
2012-10-18,0
2012-10-19,17.904
2012-10-22,17.94
2012-10-23,17.66
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-05,4.413
2012-11-06,0
2012-11-07,0
2012-11-08,2.224
2012-11-09,0
2012-11-12,0
2012-11-13,4.443
2012-11-14,0
2012-11-15,2.1665
2012-11-16,0
2012-11-19,4.41
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-26,2.2275
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,-10.9825
2012-12-10,-2.199
2012-12-11,35.56
2012-12-12,13.404
2012-12-13,15.617
2012-12-14,0
2012-12-17,20.196
2012-12-18,20.3535
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,2.3675
2013-01-14,0
2013-01-15,0
2013-01-16,2.393
2013-01-17,0
2013-01-18,0
2013-01-21,0
2013-01-22,-4.754
2013-01-23,19.004
2013-01-24,0
2013-01-25,-4.67
2013-01-28,-9.142
2013-01-29,-4.585
2013-01-30,4.621
2013-01-31,0
2013-02-01,0
2013-02-04,2.302
2013-02-05,4.573
2013-02-06,20.727
2013-02-07,0
2013-02-08,2.3085
2013-02-11,2.2904999999999998
2013-02-12,2.298
2013-02-13,2.3035
2013-02-14,0
2013-02-15,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,-24.5795
2013-03-08,-4.469
2013-03-11,0
2013-03-12,-8.924
2013-03-13,-17.556
2013-03-14,-21.9
2013-03-15,-4.423
2013-03-18,-2.2045
2013-03-19,-8.732
2013-03-20,-6.582
2013-03-21,0
2013-03-22,0
2013-03-25,-15.3475
2013-03-26,-2.2085
2013-03-27,-2.2175
2013-03-28,0
2013-03-29,0
2013-04-01,-6.7005
2013-04-02,-8.834
2013-04-03,0
2013-04-04,-6.5535
2013-04-05,-4.354
2013-04-08,0
2013-04-09,-8.742
2013-04-10,-2.181
2013-04-11,-2.184
2013-04-12,0
2013-04-15,-4.153
2013-04-16,0
2013-04-17,-2.0255
2013-04-18,-2.014
2013-04-19,0
2013-04-22,0
2013-04-23,-4.028
2013-04-24,-4.057
2013-04-25,-4.121
2013-04-26,-4.053
2013-04-29,-4.058
2013-04-30,-21.9835
2013-05-01,0
2013-05-02,15.984
2013-05-03,0
2013-05-06,0
2013-05-07,0
2013-05-08,16.544
2013-05-09,0
2013-05-10,0
2013-05-13,0
2013-05-14,-6.0975
2013-05-15,9.94
2013-05-16,-9.6025
2013-05-17,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,-1.9104999999999999
2013-05-27,-1.9104999999999999
2013-05-28,-1.897
2013-05-29,-1.8765
2013-05-30,-5.6129999999999995
2013-05-31,-5.4675
2013-06-03,-3.641
2013-06-04,0
2013-06-05,-1.804
2013-06-06,0
2013-06-07,0
2013-06-10,-1.806
2013-06-11,-1.7530000000000001
2013-06-12,0
2013-06-13,21.576
2013-06-14,3.606
2013-06-17,7.318
2013-06-18,9.1025
2013-06-19,7.2
2013-06-20,0
2013-06-21,0
2013-06-24,0
2013-06-25,0
2013-06-26,6.662
2013-06-27,0
2013-06-28,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-08,0
2013-07-09,-1.612
2013-07-10,0
2013-07-11,-1.6155
2013-07-12,0
2013-07-15,0
2013-07-16,0
2013-07-17,3.249
2013-07-18,0
2013-07-19,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,0
2013-08-09,5.034
2013-08-12,6.984
2013-08-13,3.476
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,1.7309999999999999
2013-08-26,1.7255
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-09-02,0
2013-09-03,1.7149999999999999
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-09,0
