Date,f_flow
2011-08-12,22.4912
2011-08-15,0
2011-08-16,0
2011-08-17,9.5273
2011-08-18,13.8741
2011-08-19,71.7795
2011-08-22,67.0061
2011-08-23,0
2011-08-24,0
2011-08-25,9.2425
2011-08-26,0
2011-08-29,0
2011-08-30,0
2011-08-31,9.6714
2011-09-01,19.4652
2011-09-02,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-12,-13.2118
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-19,0
2011-09-20,-17.5701
2011-09-21,-4.384
2011-09-22,0
2011-09-23,-16.1626
2011-09-26,-19.8997
2011-09-27,0
2011-09-28,0
2011-09-29,-16.6929
2011-09-30,0
2011-10-03,0
2011-10-04,0
2011-10-05,-15.9854
2011-10-06,0
2011-10-07,-13.0408
2011-10-10,0
2011-10-11,-13.3807
2011-10-12,0
2011-10-13,0
2011-10-14,-18.4035
2011-10-17,0
2011-10-18,-18.0914
2011-10-19,-18.4052
2011-10-20,0
2011-10-21,-4.5308
2011-10-24,32.8954
2011-10-25,14.0435
2011-10-26,0
2011-10-27,0
2011-10-28,14.8451
2011-10-31,14.4941
2011-11-01,4.6190999999999995
2011-11-02,0
2011-11-03,13.7127
2011-11-04,0
2011-11-07,0
2011-11-08,0
2011-11-09,0
2011-11-10,0
2011-11-11,0
2011-11-14,0
2011-11-15,-46.3332
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-21,0
2011-11-22,0
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-28,0
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,0
2011-12-12,0
2011-12-13,0
2011-12-14,0
2011-12-15,0
2011-12-16,0
2011-12-19,0
2011-12-20,50.6378
2011-12-21,0
2011-12-22,-17.1636
2011-12-23,0
2011-12-26,0
2011-12-27,0
2011-12-28,-17.1027
2011-12-29,0
2011-12-30,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-09,-13.0272
2012-01-10,0
2012-01-11,0
2012-01-12,0
2012-01-13,22.3136
2012-01-16,22.3136
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,-32.0018
2012-01-23,0
2012-01-24,0
2012-01-25,18.502299999999998
2012-01-26,0
2012-01-27,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,4.7255
2012-02-06,-9.5081
2012-02-07,66.6698
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,-4.6286000000000005
2012-02-20,-4.6286000000000005
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,-19.0876
2012-02-27,-42.7657
2012-02-28,0
2012-02-29,-28.9219
2012-03-01,-38.1443
2012-03-02,0
2012-03-05,-18.9026
2012-03-06,0
2012-03-07,-9.0886
2012-03-08,-50.5896
2012-03-09,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-26,0
2012-03-27,0
2012-03-28,-9.3933
2012-03-29,-18.6903
2012-03-30,0
2012-04-02,0
2012-04-03,-28.143
2012-04-04,0
2012-04-05,-9.2935
2012-04-06,-9.2935
2012-04-09,0
2012-04-10,0
2012-04-11,-13.71
2012-04-12,0
2012-04-13,0
2012-04-16,0
2012-04-17,-18.6195
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-07,0
2012-05-08,0
2012-05-09,-13.4731
2012-05-10,0
2012-05-11,0
2012-05-14,0
2012-05-15,-26.8601
2012-05-16,0
2012-05-17,-13.0253
2012-05-18,0
2012-05-21,-50.6475
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,-8.273
2012-05-28,-8.273
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,-8.5664
2012-06-22,0
2012-06-25,0
2012-06-26,-12.5344
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,-9.1007
2012-07-20,-18.0871
2012-07-23,-17.6146
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-30,0
2012-07-31,0
2012-08-01,-13.9797
2012-08-02,0
2012-08-03,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-13,0
2012-08-14,0
2012-08-15,18.6681
2012-08-16,51.8856
2012-08-17,0
2012-08-20,0
2012-08-21,0
2012-08-22,14.3277
2012-08-23,0
2012-08-24,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-03,0
2012-09-04,0
2012-09-05,-50.4446
2012-09-06,0
2012-09-07,0
2012-09-10,0
2012-09-11,-28.4652
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-17,0
2012-09-18,0
2012-09-19,-38.9357
2012-09-20,0
2012-09-21,-14.5655
2012-09-24,0
2012-09-25,-9.616
2012-09-26,-52.2059
2012-09-27,0
2012-09-28,0
2012-10-01,0
2012-10-02,0
2012-10-03,-38.128
2012-10-04,-9.584
2012-10-05,-19.3601
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,-14.622
2012-10-29,-14.622
2012-10-30,-14.622
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,-14.202
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-10,15.234
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-17,0
2012-12-18,0
2012-12-19,9.908
2012-12-20,0
2012-12-21,0
2012-12-24,29.5799
2012-12-25,29.5799
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,76.5
2013-01-04,0
2013-01-07,0
2013-01-08,0
2013-01-09,-25.31
2013-01-10,0
2013-01-11,0
2013-01-14,0
2013-01-15,0
2013-01-16,-20.4559
2013-01-17,0
2013-01-18,-10.252
2013-01-21,-10.252
2013-01-22,20.6559
2013-01-23,0
2013-01-24,15.4802
2013-01-25,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
2013-02-01,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-11,-10.456
2013-02-12,-41.936
2013-02-13,53.12
2013-02-14,0
2013-02-15,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,10.7598
2013-03-22,0
2013-03-25,0
2013-03-26,0
2013-03-27,-75.8799
2013-03-28,0
2013-03-29,0
2013-04-01,0
2013-04-02,-21.7201
2013-04-03,32.4601
2013-04-04,0
2013-04-05,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-15,-10.768
2013-04-16,-16.038
2013-04-17,-43.0562
2013-04-18,0
2013-04-19,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,-42.304
2013-05-20,0
2013-05-21,-21.2319
2013-05-22,-15.7202
2013-05-23,-36.0498
2013-05-24,-20.2081
2013-05-27,-20.2081
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-03,-19.9361
2013-06-04,-14.892
2013-06-05,0
2013-06-06,-23.91
2013-06-07,0
2013-06-10,0
2013-06-11,-42.2279
2013-06-12,-18.8481
2013-06-13,0
2013-06-14,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,-22.96
2013-06-21,-18.3361
2013-06-24,0
2013-06-25,-4.5339
2013-06-26,23.21
2013-06-27,0
2013-06-28,0
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-08,0
2013-07-09,0
2013-07-10,-4.6179
2013-07-11,-9.32
2013-07-12,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,0
2013-08-05,0
2013-08-06,14.1
2013-08-07,-9.232
2013-08-08,-14.196
2013-08-09,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,0
2013-08-19,-19.2321
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,-23.8
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,23.47
2013-08-30,0
2013-09-02,0
2013-09-03,0
2013-09-04,-24.52
2013-09-05,0
2013-09-06,-14.7
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0
2013-09-13,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,26.01
2013-09-20,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-28,0
2013-10-29,-53.52
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,0
2013-11-08,0
2013-11-11,0
2013-11-12,21.0401
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-12-02,0
2013-12-03,0
2013-12-04,-4.9901
2013-12-05,0
2013-12-06,-4.9479
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-16,-4.7679
2013-12-17,-4.7421
2013-12-18,0
2013-12-19,0
2013-12-20,4.7901
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-30,0
2013-12-31,0
2014-01-01,0
2014-01-02,0
2014-01-03,-4.9001
2014-01-06,-9.732
2014-01-07,-14.496
2014-01-08,0
2014-01-09,4.8241
2014-01-10,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,-14.2921
2014-01-17,-23.78
2014-01-20,-23.78
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-27,0
2014-01-28,-46.32
2014-01-29,-4.6699
2014-01-30,0
2014-01-31,0
2014-02-03,-55.92
2014-02-04,-4.6219
2014-02-05,-18.4321
2014-02-06,0
2014-02-07,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-24,0
2014-02-25,0
2014-02-26,-10.008
2014-02-27,0
2014-02-28,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-17,0
2014-03-18,0
2014-03-19,0
2014-03-20,-24.69
2014-03-21,0
2014-03-24,0
2014-03-25,0
2014-03-26,0
2014-03-27,-20.4879
2014-03-28,0
2014-03-31,0
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,0
2014-04-07,0
2014-04-08,0
2014-04-09,37.044
2014-04-10,16.02
2014-04-11,0
2014-04-14,0
2014-04-15,0
2014-04-16,0
2014-04-17,0
2014-04-18,0
2014-04-21,0
2014-04-22,0
2014-04-23,0
2014-04-24,0
2014-04-25,0
2014-04-28,42.496
2014-04-29,36.862
2014-04-30,0
2014-05-01,0
2014-05-02,41.872
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,15.93
2014-05-09,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,0
2014-05-16,0
