Date,f_flow
2019-03-08,0
2019-03-11,-7.708
2019-03-12,0
2019-03-13,0
2019-03-14,0
2019-03-15,0
2019-03-18,0
2019-03-19,0
2019-03-20,0
2019-03-21,0
2019-03-22,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,-1.992
2019-04-01,0
2019-04-02,0
2019-04-03,0
2019-04-04,0
2019-04-05,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0
2019-04-12,0
2019-04-15,0
2019-04-16,2.156
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-29,0
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-06,0
2019-05-07,4.078
2019-05-08,2.044
2019-05-09,0
2019-05-10,0
2019-05-13,0
2019-05-14,0
2019-05-15,0
2019-05-16,0
2019-05-17,0
2019-05-20,0
2019-05-21,0
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-27,0
2019-05-28,0
2019-05-29,0
2019-05-30,0
2019-05-31,-1.9529999999999998
2019-06-03,0
2019-06-04,-5.964
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-10,0
2019-06-11,0
2019-06-12,0
2019-06-13,0
2019-06-14,0
2019-06-17,0
2019-06-18,-1.946
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-07-01,0
2019-07-02,-1.983
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,-1.853
2019-08-16,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-30,0
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,-0.9925
2019-10-18,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-28,0
2019-10-29,3.114
2019-10-30,2.068
2019-10-31,0
2019-11-01,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-11,6.252
2019-11-12,4.168
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-18,0
2019-11-19,0
2019-11-20,0
2019-11-21,0
2019-11-22,0
2019-11-25,0
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,0
2019-12-06,0
2019-12-09,0
2019-12-10,0
2019-12-11,0
2019-12-12,0
2019-12-13,0
2019-12-16,0
2019-12-17,0
2019-12-18,0
2019-12-19,1.038
2019-12-20,0
2019-12-23,2.083
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-06,3.141
2020-01-07,-2.076
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-17,0
2020-02-18,0
2020-02-19,1.012
2020-02-20,0
2020-02-21,0
2020-02-24,0
2020-02-25,0
