Date,f_flow
2013-05-31,0
2013-06-03,0
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-10,0
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-24,0
2013-06-25,0
2013-06-26,0
2013-06-27,0
2013-06-28,0
2013-07-01,0
2013-07-02,0
2013-07-03,0.748
2013-07-04,0.748
2013-07-05,1.522
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-15,0
2013-07-16,1.51
2013-07-17,0
2013-07-18,0
2013-07-19,0
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0.785
2013-07-26,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,0
2013-08-02,0
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,1.796
2013-08-09,0
2013-08-12,0
2013-08-13,1.7890000000000001
2013-08-14,1.796
2013-08-15,0
2013-08-16,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,-1.8820000000000001
2013-09-13,-0.9365
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,0
2013-09-23,0
2013-09-24,0
2013-09-25,-0.9725
2013-09-26,0
2013-09-27,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-07,0
2013-10-08,0
2013-10-09,5.2525
2013-10-10,0
2013-10-11,2.098
2013-10-14,0
2013-10-15,0
2013-10-16,3.1785
2013-10-17,0
2013-10-18,0
2013-10-21,0
2013-10-22,8.043
2013-10-23,4.432
2013-10-24,0
2013-10-25,-1.1475
2013-10-28,0
2013-10-29,0
2013-10-30,0
2013-10-31,0
2013-11-01,0
2013-11-04,0
2013-11-05,0
2013-11-06,0
2013-11-07,1.097
2013-11-08,2.187
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-14,0
2013-11-15,0
2013-11-18,0
2013-11-19,0
2013-11-20,2.135
2013-11-21,0
2013-11-22,0
2013-11-25,0
2013-11-26,3.2115
2013-11-27,3.303
2013-11-28,3.303
2013-11-29,5.6274999999999995
2013-12-02,4.568
2013-12-03,2.29
2013-12-04,2.2720000000000002
2013-12-05,2.237
2013-12-06,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,2.19
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,1.0625
2013-12-23,0
2013-12-24,1.0615
2013-12-25,1.0615
2013-12-26,0
2013-12-27,0
2013-12-30,1.1085
2013-12-31,2.216
2014-01-01,2.216
2014-01-02,0
2014-01-03,0
2014-01-06,0
2014-01-07,0
2014-01-08,1.184
2014-01-09,5.9825
2014-01-10,2.419
2014-01-13,6.0025
2014-01-14,1.181
2014-01-15,0
2014-01-16,1.1795
2014-01-17,0
2014-01-20,0
2014-01-21,1.1320000000000001
2014-01-22,3.4154999999999998
2014-01-23,0
2014-01-24,0
2014-01-27,8.7
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
2014-02-03,0
2014-02-04,0
2014-02-05,0
2014-02-06,0
2014-02-07,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,1.1785
2014-02-14,3.552
2014-02-17,3.552
2014-02-18,1.1825
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-24,0
2014-02-25,0
2014-02-26,1.1985000000000001
2014-02-27,11.925
2014-02-28,0
2014-03-03,2.395
2014-03-04,0
2014-03-05,10.926
2014-03-06,1.2245
2014-03-07,1.245
2014-03-10,0
2014-03-11,7.554
2014-03-12,2.519
2014-03-13,14.922
2014-03-14,7.353
2014-03-17,0
2014-03-18,1.2755
2014-03-19,1.2615
2014-03-20,0
2014-03-21,0
