Date,f_flow
2011-08-12,-243.024
2011-08-15,-6.057
2011-08-16,11.9985
2011-08-17,-12.0131
2011-08-18,-34.4369
2011-08-19,101.764
2011-08-22,84.8237
2011-08-23,157.905
2011-08-24,-17.7763
2011-08-25,-29.169
2011-08-26,0
2011-08-29,0
2011-08-30,48.8477
2011-08-31,0
2011-09-01,0
2011-09-02,-47.2938
2011-09-05,-47.2938
2011-09-06,-105.624
2011-09-07,30.1859
2011-09-08,41.8127
2011-09-09,93.0282
2011-09-12,-163.939
2011-09-13,0
2011-09-14,17.9688
2011-09-15,0
2011-09-16,-245.14
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,-62.6338
2011-09-23,34.3763
2011-09-26,-40.8192
2011-09-27,64.8285
2011-09-28,-34.6396
2011-09-29,29.101
2011-09-30,-90.8021
2011-10-03,-5.5147
2011-10-04,-16.9175
2011-10-05,40.1969
2011-10-06,0
2011-10-07,40.6024
2011-10-10,23.9902
2011-10-11,-12.0027
2011-10-12,-242.423
2011-10-13,-42.3004
2011-10-14,-6.1482
2011-10-17,-30.1456
2011-10-18,578.288
2011-10-19,315.914
2011-10-20,24.4118
2011-10-21,304.669
2011-10-24,-44.0845
2011-10-25,-24.6862
2011-10-26,68.603
2011-10-27,-32.252
2011-10-28,19.3586
2011-10-31,-37.7602
2011-11-01,-1186.91
2011-11-02,68.3881
2011-11-03,38.0101
2011-11-04,-25.1806
2011-11-07,-12.6713
2011-11-08,-269.36
2011-11-09,-37.0748
2011-11-10,87.264
2011-11-11,0
2011-11-14,-50.3556
2011-11-15,0
2011-11-16,-62.2287
2011-11-17,-61.1864
2011-11-18,0
2011-11-21,0
2011-11-22,-41.8524
2011-11-23,-70.1679
2011-11-24,-70.1679
2011-11-25,0
2011-11-28,12.0073
2011-11-29,36.1125
2011-11-30,62.7941
2011-12-01,0
2011-12-02,-50.1322
2011-12-05,0
2011-12-06,19.0151
2011-12-07,-152.461
2011-12-08,-18.6572
2011-12-09,31.6175
2011-12-12,-18.6882
2011-12-13,49.4139
2011-12-14,122.15
2011-12-15,73.5343
2011-12-16,36.8858
2011-12-19,12.1502
2011-12-20,93.8617
2011-12-21,0
2011-12-22,31.4224
2011-12-23,19.0248
2011-12-26,19.0248
2011-12-27,19.0251
2011-12-28,-18.7924
2011-12-29,56.9828
2011-12-30,-25.2185
2012-01-02,-25.2185
2012-01-03,249.687
2012-01-04,70.4531
2012-01-05,44.964
2012-01-06,-25.6385
2012-01-09,179.88
2012-01-10,45.3701
2012-01-11,0
2012-01-12,116.986
2012-01-13,-161.679
2012-01-16,-161.679
2012-01-17,12.9808
2012-01-18,170.639
2012-01-19,85.7415
2012-01-20,-19.7996
2012-01-23,0
2012-01-24,-26.3864
2012-01-25,0
2012-01-26,0
2012-01-27,-39.6351
2012-01-30,59.3034
2012-01-31,-79.0365
2012-02-01,-159.509
2012-02-02,-19.9613
2012-02-03,0
2012-02-06,-26.9962
2012-02-07,-40.5777
2012-02-08,0
2012-02-09,-6.7904
2012-02-10,0
2012-02-13,0
2012-02-14,27.1409
2012-02-15,114.771
2012-02-16,34.132
2012-02-17,0
2012-02-20,0
2012-02-21,-20.544
2012-02-22,34.1252
2012-02-23,-267.361
2012-02-24,-418.933
2012-02-27,-13.7539
2012-02-28,34.5085
2012-02-29,-75.5733
2012-03-01,172.821
2012-03-02,13.782399999999999
2012-03-05,-61.7821
2012-03-06,223.065
2012-03-07,40.849
2012-03-08,27.5016
2012-03-09,41.4028
2012-03-12,0
2012-03-13,-14.0593
2012-03-14,42.1266
2012-03-15,14.1246
2012-03-16,-56.5661
2012-03-19,-21.2958
2012-03-20,49.542699999999996
2012-03-21,63.5824
2012-03-22,42.0861
2012-03-23,21.1093
2012-03-26,21.3048
2012-03-27,-42.4962
2012-03-28,-14.0975
2012-03-29,-49.268299999999996
2012-03-30,183.669
2012-04-02,0
2012-04-03,70.9089
2012-04-04,0
2012-04-05,-28.0672
2012-04-06,-28.0672
2012-04-09,55.4991
2012-04-10,-177.301
2012-04-11,130.547
2012-04-12,0
2012-04-13,-55.0302
2012-04-16,0
2012-04-17,0
2012-04-18,62.5802
2012-04-19,110.601
2012-04-20,145.337
2012-04-23,-75.4913
2012-04-24,27.5515
2012-04-25,0
2012-04-26,56.2382
2012-04-27,49.3259
2012-04-30,14.0399
2012-05-01,-141.184
2012-05-02,-323.948
2012-05-03,-34.9485
2012-05-04,-27.5082
2012-05-07,-61.916
2012-05-08,-61.6614
2012-05-09,13.615
2012-05-10,0
2012-05-11,-34.0196
2012-05-14,13.4587
2012-05-15,26.7656
2012-05-16,273.238
2012-05-17,157.552
2012-05-18,-45.6142
2012-05-21,-66.2076
2012-05-22,-6.6245
2012-05-23,-6.6339
2012-05-24,0
2012-05-25,19.893
2012-05-28,19.893
2012-05-29,26.8215
2012-05-30,6.6117
2012-05-31,184.732
2012-06-01,-283.153
2012-06-04,199.52
2012-06-05,97.0981
2012-06-06,185.476
2012-06-07,26.4968
2012-06-08,20.0322
2012-06-11,79.1244
2012-06-12,33.3529
2012-06-13,-92.7678
2012-06-14,113.866
2012-06-15,-142.109
2012-06-18,-67.7694
2012-06-19,6.812
2012-06-20,-95.2052
2012-06-21,-86.4518
2012-06-22,227.724
2012-06-25,13.1821
2012-06-26,119.217
2012-06-27,-20.0536
2012-06-28,-126.737
2012-06-29,252.962
2012-07-02,472.924
2012-07-03,-13.7973
2012-07-04,-13.7973
2012-07-05,-82.3906
2012-07-06,-204.109
2012-07-09,101.888
2012-07-10,-20.2133
2012-07-11,114.548
2012-07-12,-67.0448
2012-07-13,122.673
2012-07-16,67.9938
2012-07-17,123.297
2012-07-18,62.0682
2012-07-19,27.6634
2012-07-20,27.3857
2012-07-23,-61.07
2012-07-24,6.7247
2012-07-25,-6.7228
2012-07-26,82.0046
2012-07-27,55.7152
2012-07-30,104.42
2012-07-31,-374.291
2012-08-01,-27.6489
2012-08-02,-41.1666
2012-08-03,881.05
2012-08-06,-763.983
2012-08-07,-70.445
2012-08-08,-42.3073
2012-08-09,0
2012-08-10,0
2012-08-13,0
2012-08-14,-28.2644
2012-08-15,0
2012-08-16,0
2012-08-17,-28.5607
2012-08-20,-21.4198
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,28.4262
2012-08-27,0
2012-08-28,0
2012-08-29,-28.4216
2012-08-30,-21.1544
2012-08-31,0
2012-09-03,0
2012-09-04,-453.04
2012-09-05,-381.939
2012-09-06,0
2012-09-07,-195.698
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,44.1758
2012-09-14,162.62
2012-09-17,0
2012-09-18,139.833
2012-09-19,243.159
2012-09-20,44.1939
2012-09-21,44.1904
2012-09-24,-279.242
2012-09-25,245.905
2012-09-26,-7.1929
2012-09-27,0
2012-09-28,245.803
2012-10-01,913.374
2012-10-02,195.913
2012-10-03,14.5667
2012-10-04,36.68
2012-10-05,44.0164
2012-10-08,7.3115
2012-10-09,28.9536
2012-10-10,-21.5826
2012-10-11,-79.1674
2012-10-12,0
2012-10-15,-21.7018
2012-10-16,0
2012-10-17,66.0528
2012-10-18,168.394
2012-10-19,86.4009
2012-10-22,72.035
2012-10-23,7.0978
2012-10-24,-56.6191
2012-10-25,21.2961
2012-10-26,418.548
2012-10-29,418.548
2012-10-30,418.548
2012-10-31,149.004
2012-11-01,-638.486
2012-11-02,-170.556
2012-11-05,-92.5981
2012-11-06,-14.3589
2012-11-07,0
2012-11-08,-6.9299
2012-11-09,27.7656
2012-11-12,0
2012-11-13,-83.0027
2012-11-14,-20.4717
2012-11-15,-27.2516
2012-11-16,-13.6927
2012-11-19,-48.8819
2012-11-20,27.9536
2012-11-21,35.025
2012-11-22,35.025
2012-11-23,7.0974
2012-11-26,0
2012-11-27,98.6506
2012-11-28,85.2489
2012-11-29,92.7606
2012-11-30,14.2739
2012-12-03,49.7197
2012-12-04,141.82
2012-12-05,0
2012-12-06,99.8217
2012-12-07,64.3586
2012-12-10,693.937
2012-12-11,302.443
2012-12-12,115.288
2012-12-13,35.81
2012-12-14,64.1921
2012-12-17,115.48
2012-12-18,-21.9028
2012-12-19,-57.5871
2012-12-20,152.03
2012-12-21,172.14
2012-12-24,64.3991
2012-12-25,64.3991
2012-12-26,0
2012-12-27,85.3689
2012-12-28,91.4671
2012-12-31,186.043
2013-01-01,186.043
2013-01-02,-14.6779
2013-01-03,29.2958
2013-01-04,7.3572
2013-01-07,36.6775
2013-01-08,29.2598
2013-01-09,-14.6689
2013-01-10,0
2013-01-11,-22.1706
2013-01-14,0
2013-01-15,-81.307
2013-01-16,110.91
2013-01-17,89.2283
2013-01-18,0
2013-01-21,0
2013-01-22,-29.9775
2013-01-23,-75.06
2013-01-24,-292.753
2013-01-25,-30.1875
2013-01-28,0
2013-01-29,53.0026
2013-01-30,30.1798
2013-01-31,-150.51
2013-02-01,0
2013-02-04,-15.0289
2013-02-05,83.5235
2013-02-06,15.1946
2013-02-07,22.7639
2013-02-08,-22.8929
2013-02-11,22.8794
2013-02-12,15.2756
2013-02-13,61.1734
2013-02-14,0
2013-02-15,160.556
2013-02-18,160.556
2013-02-19,-30.8139
2013-02-20,0
2013-02-21,30.2478
2013-02-22,-22.8884
2013-02-25,37.445
2013-02-26,45.2165
2013-02-27,0
2013-02-28,15.2559
2013-03-01,863.941
2013-03-04,291.858
2013-03-05,147.337
2013-03-06,15.5286
2013-03-07,54.4609
2013-03-08,54.7036
2013-03-11,54.8915
2013-03-12,-31.2915
2013-03-13,-23.5079
2013-03-14,-86.6726
2013-03-15,-23.6024
2013-03-18,109.529
2013-03-19,85.8555
2013-03-20,54.9976
2013-03-21,23.3798
2013-03-22,141.263
2013-03-25,116.775
2013-03-26,141.263
2013-03-27,47.0591
2013-03-28,228.391
2013-03-29,228.391
2013-04-01,-15.682
2013-04-02,47.2919
2013-04-03,101.393
2013-04-04,-70.4854
2013-04-05,-31.1891
2013-04-08,0
2013-04-09,0
2013-04-10,-63.7959
2013-04-11,24.0129
2013-04-12,-39.9025
2013-04-15,-233.925
2013-04-16,31.6331
2013-04-17,-179.296
2013-04-18,38.7175
2013-04-19,-195.312
2013-04-22,0
2013-04-23,71.3764
2013-04-24,87.2446
2013-04-25,0
2013-04-26,0
2013-04-29,0
2013-04-30,-16.055
2013-05-01,214.718
2013-05-02,-32.114
2013-05-03,0
2013-05-06,65.036
2013-05-07,236.971
2013-05-08,98.509
2013-05-09,57.2785
2013-05-10,16.437
2013-05-13,32.873
2013-05-14,124.56
2013-05-15,0
2013-05-16,0
2013-05-17,-109.114
2013-05-20,-50.323
2013-05-21,0
2013-05-22,-33.338
2013-05-23,-24.9305
2013-05-24,0
2013-05-27,0
2013-05-28,-267.489
2013-05-29,-49.807
2013-05-30,-50.0011
2013-05-31,-16.429
2013-06-03,33.056
2013-06-04,24.6545
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-10,0
2013-06-11,57.373
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-17,33.058
2013-06-18,91.6115
2013-06-19,-16.427
2013-06-20,208.237
2013-06-21,0
2013-06-24,-15.867
2013-06-25,240.27
2013-06-26,185.08
2013-06-27,170.046
2013-06-28,161.26
2013-07-01,-1062.08
2013-07-02,-162.09
2013-07-03,-24.3335
2013-07-04,-24.3335
2013-07-05,-163.88
2013-07-08,0
2013-07-09,141.084
2013-07-10,24.902
2013-07-11,151.46
2013-07-12,202.574
2013-07-15,126.788
2013-07-16,117.891
2013-07-17,50.6761
2013-07-18,-42.4425
2013-07-19,51.0129
2013-07-22,0
2013-07-23,187.1
2013-07-24,0
2013-07-25,-33.9761
2013-07-26,0
2013-07-29,67.755
2013-07-30,0
2013-07-31,25.4231
2013-08-01,94.3779
2013-08-02,197.672
2013-08-05,0
2013-08-06,0
2013-08-07,255.12
2013-08-08,34.1581
2013-08-09,0
2013-08-12,0
2013-08-13,153.467
2013-08-14,-84.835
2013-08-15,-16.728
2013-08-16,16.674
2013-08-19,-49.723
2013-08-20,-332.78
2013-08-21,-157.17
2013-08-22,0
2013-08-23,58.6435
2013-08-26,-116.811
2013-08-27,-82.11
2013-08-28,32.944
2013-08-29,33.007
2013-08-30,-32.905
2013-09-02,-32.905
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,-41.7125
2013-09-09,-33.7081
2013-09-10,42.4425
2013-09-11,323.588
2013-09-12,42.445
2013-09-13,34.0521
2013-09-16,136.966
2013-09-17,206.33
2013-09-18,60.9116
2013-09-19,191.115
2013-09-20,0
2013-09-23,248.918
2013-09-24,-93.7234
2013-09-25,-186.946
2013-09-26,-264.381
2013-09-27,0
2013-09-30,118.206
2013-10-01,0
2013-10-02,-93.5804
2013-10-03,-151.757
2013-10-04,0
2013-10-07,-75.7686
2013-10-08,-49.903
2013-10-09,58.2569
2013-10-10,212.65
2013-10-11,-179.747
2013-10-14,-60.1625
2013-10-15,85.335
2013-10-16,-86.525
2013-10-17,-17.4241
