Date,f_flow
2014-02-13,0
2014-02-14,0
2014-02-17,0
2014-02-18,-3.459
2014-02-19,-10.2945
2014-02-20,0
2014-02-21,0
2014-02-24,0
2014-02-25,0
2014-02-26,-6.78
2014-02-27,0
2014-02-28,0
2014-03-03,0
2014-03-04,0
2014-03-05,0
2014-03-06,0
2014-03-07,0
2014-03-10,0
2014-03-11,0
2014-03-12,0
2014-03-13,0
2014-03-14,0
2014-03-17,0
2014-03-18,0
2014-03-19,3.6285
2014-03-20,0
2014-03-21,17.9325
2014-03-24,3.55
2014-03-25,3.5505
2014-03-26,7.132
2014-03-27,3.5495
2014-03-28,10.7925
2014-03-31,3.6355
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,0
2014-04-07,0
2014-04-08,0
2014-04-09,14.732
2014-04-10,0
2014-04-11,-7.414
2014-04-14,0
2014-04-15,0
2014-04-16,-14.972
2014-04-17,0
2014-04-18,0
2014-04-21,0
2014-04-22,3.7965
2014-04-23,0
2014-04-24,0
2014-04-25,0
2014-04-28,0
2014-04-29,0
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-05,0
2014-05-06,0
2014-05-07,0
2014-05-08,0
2014-05-09,-7.304
2014-05-12,-7.264
2014-05-13,0
2014-05-14,-7.419
2014-05-15,0
2014-05-16,-11.2095
2014-05-19,0
2014-05-20,-3.6935000000000002
2014-05-21,-7.436
2014-05-22,-3.7325
2014-05-23,-11.0415
2014-05-26,-11.0415
2014-05-27,0
2014-05-28,0
2014-05-29,-14.758
2014-05-30,18.4675
2014-06-02,0
2014-06-03,7.665
2014-06-04,0
2014-06-05,0
2014-06-06,0
2014-06-09,3.8585000000000003
2014-06-10,11.688
2014-06-11,0
2014-06-12,0
2014-06-13,0
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,-7.793
2014-06-23,0
2014-06-24,0
2014-06-25,7.652
2014-06-26,0
2014-06-27,0
2014-06-30,0
2014-07-01,0
2014-07-02,0
2014-07-03,0
2014-07-04,0
2014-07-07,0
2014-07-08,0
2014-07-09,3.9635
2014-07-10,0
2014-07-11,0
2014-07-14,0
2014-07-15,0
2014-07-16,0
2014-07-17,0
2014-07-18,0
2014-07-21,0
2014-07-22,0
2014-07-23,4.114
2014-07-24,0
2014-07-25,0
2014-07-28,0
2014-07-29,0
2014-07-30,-4.019
2014-07-31,-11.85
2014-08-01,0
2014-08-04,0
2014-08-05,0
2014-08-06,0
2014-08-07,-20.04
2014-08-08,0
2014-08-11,0
2014-08-12,0
2014-08-13,16.512
2014-08-14,0
2014-08-15,4.14
2014-08-18,0
2014-08-19,0
2014-08-20,0
2014-08-21,0
2014-08-22,0
2014-08-25,0
2014-08-26,4.1595
2014-08-27,0
2014-08-28,0
2014-08-29,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,0
2014-09-05,0
2014-09-08,4.253
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-15,-8.38
2014-09-16,-4.1635
2014-09-17,4.1835
2014-09-18,0
2014-09-19,0
2014-09-22,-8.494
2014-09-23,0
2014-09-24,-4.2485
2014-09-25,0
2014-09-26,4.252
2014-09-29,4.199
2014-09-30,0
2014-10-01,4.191
2014-10-02,0
2014-10-03,0
2014-10-06,0
2014-10-07,0
2014-10-08,-16.19
2014-10-09,4.129
2014-10-10,-12.273
2014-10-13,-8.106
2014-10-14,0
2014-10-15,4.0555
2014-10-16,0
2014-10-17,-8.06
