Date,f_flow
2013-06-27,0
2013-06-28,5.927
2013-07-01,0
2013-07-02,0
2013-07-03,-22.728
2013-07-04,-22.728
2013-07-05,-13.9325
2013-07-08,-2.757
2013-07-09,0
2013-07-10,19.0505
2013-07-11,0
2013-07-12,14.1725
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,0
2013-07-19,2.965
2013-07-22,0
2013-07-23,0
2013-07-24,0
2013-07-25,0
2013-07-26,0
2013-07-29,0
2013-07-30,0
2013-07-31,0
2013-08-01,-14.165
2013-08-02,5.754
2013-08-05,2.8815
2013-08-06,-2.8785
2013-08-07,0
2013-08-08,0
2013-08-09,0
2013-08-12,0
2013-08-13,0
2013-08-14,0
2013-08-15,0
2013-08-16,2.875
2013-08-19,-2.783
2013-08-20,-5.558
2013-08-21,-10.624
2013-08-22,-79.8095
2013-08-23,0
2013-08-26,-12.97
2013-08-27,-4.835
2013-08-28,-9.574
2013-08-29,-7.38
2013-08-30,0
2013-09-02,0
2013-09-03,-2.4455
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-09,0
2013-09-10,8.0535
2013-09-11,-2.6705
2013-09-12,-8.1225
2013-09-13,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,-14.725
2013-09-23,-2.8975
2013-09-24,0
2013-09-25,-2.847
2013-09-26,-5.615
2013-09-27,0
2013-09-30,-2.7625
2013-10-01,-5.703
2013-10-02,5.633
2013-10-03,5.705
2013-10-04,-5.733
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-21,17.904
2013-10-22,0
2013-10-23,0
2013-10-24,11.948
2013-10-25,0
2013-10-28,0
2013-10-29,0
2013-10-30,-2.9725
2013-10-31,0
2013-11-01,-5.674
2013-11-04,-14.1575
2013-11-05,0
2013-11-06,-11.166
2013-11-07,-2.7895
2013-11-08,-13.495
2013-11-11,0
2013-11-12,-7.8705
2013-11-13,0
2013-11-14,0
2013-11-15,5.468
2013-11-18,-2.8
2013-11-19,0
2013-11-20,0
2013-11-21,0
2013-11-22,0
2013-11-25,0
2013-11-26,-2.8085
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-12-02,0
2013-12-03,-10.73
2013-12-04,-8.022
2013-12-05,0
2013-12-06,-2.7115
2013-12-09,16.431
2013-12-10,0
2013-12-11,5.422
2013-12-12,0
2013-12-13,2.7215
2013-12-16,0
