Date,gdp_growth
2018-02-15,6.7
2018-02-16,6.7
2018-02-19,6.7
2018-02-20,6.7
2018-02-21,6.7
2018-02-22,6.7
2018-02-23,6.7
2018-02-26,6.7
2018-02-27,6.7
2018-02-28,6.7
2018-03-01,6.7
2018-03-02,6.7
2018-03-05,6.7
2018-03-06,6.7
2018-03-07,6.7
2018-03-08,6.7
2018-03-09,6.7
2018-03-12,6.7
2018-03-13,6.7
2018-03-14,6.7
2018-03-15,6.7
2018-03-16,6.7
2018-03-19,6.7
2018-03-20,6.7
2018-03-21,6.7
2018-03-22,6.7
2018-03-23,6.7
2018-03-26,6.7
2018-03-27,6.7
2018-03-28,6.7
2018-03-29,6.7
2018-03-30,6.8
2018-04-02,6.8
2018-04-03,6.8
2018-04-04,6.8
2018-04-05,6.8
2018-04-06,6.7
2018-04-09,6.7
2018-04-10,6.7
2018-04-11,6.7
2018-04-12,6.7
2018-04-13,6.7
2018-04-16,6.7
2018-04-17,6.7
2018-04-18,6.7
2018-04-19,6.7
2018-04-20,6.7
2018-04-23,6.7
2018-04-24,6.7
2018-04-25,6.7
2018-04-26,6.7
2018-04-27,6.7
2018-04-30,6.7
2018-05-01,6.7
2018-05-02,6.7
2018-05-03,6.7
2018-05-04,6.7
2018-05-07,6.7
2018-05-08,6.7
2018-05-09,6.7
2018-05-10,6.7
2018-05-11,6.7
2018-05-14,6.7
2018-05-15,6.7
2018-05-16,6.7
2018-05-17,6.7
2018-05-18,6.55
2018-05-21,6.55
2018-05-22,6.55
2018-05-23,6.55
2018-05-24,6.55
2018-05-25,6.55
2018-05-28,6.55
2018-05-29,6.55
2018-05-30,6.55
2018-05-31,6.55
2018-06-01,6.55
2018-06-04,6.55
2018-06-05,6.55
2018-06-06,6.55
2018-06-07,6.55
2018-06-08,6.55
2018-06-11,6.55
2018-06-12,6.55
2018-06-13,6.55
2018-06-14,6.55
2018-06-15,6.55
2018-06-18,6.55
2018-06-19,6.55
2018-06-20,6.55
2018-06-21,6.55
2018-06-22,6.55
