Date,gdp_growth
2018-02-27,5.1
2018-02-28,5.1
2018-03-01,5.1
2018-03-02,5.1
2018-03-05,5.1
2018-03-06,5.1
2018-03-07,5.1
2018-03-08,5.1
2018-03-09,5.1
2018-03-12,5.1
2018-03-13,5.1
2018-03-14,5.1
2018-03-15,5.1
2018-03-16,5.1
2018-03-19,5.1
2018-03-20,5.1
2018-03-21,5.1
2018-03-22,5.1
2018-03-23,5.1
2018-03-26,5.1
2018-03-27,5.1
2018-03-28,5.1
2018-03-29,5.1
2018-03-30,5.05
2018-04-02,5.05
2018-04-03,5.05
2018-04-04,5.05
2018-04-05,5.05
2018-04-06,5
2018-04-09,5
2018-04-10,5
2018-04-11,5
2018-04-12,5
2018-04-13,5
2018-04-16,5
2018-04-17,5
2018-04-18,5
2018-04-19,5
2018-04-20,5
2018-04-23,5
2018-04-24,5
2018-04-25,5
2018-04-26,5
2018-04-27,5
2018-04-30,5
2018-05-01,5
2018-05-02,5
2018-05-03,5
2018-05-04,5
2018-05-07,5
2018-05-08,5
2018-05-09,5
2018-05-10,5
2018-05-11,5
2018-05-14,5
2018-05-15,5
2018-05-16,5
2018-05-17,5
2018-05-18,5
2018-05-21,5
2018-05-22,5
2018-05-23,5
2018-05-24,5
2018-05-25,5
2018-05-28,5
2018-05-29,5
2018-05-30,4.75
2018-05-31,4.75
2018-06-01,4.75
2018-06-04,4.75
2018-06-05,4.75
2018-06-06,4.75
2018-06-07,4.75
2018-06-08,4.75
2018-06-11,4.75
2018-06-12,4.75
2018-06-13,4.75
2018-06-14,4.75
2018-06-15,4.75
2018-06-18,4.75
2018-06-19,4.75
2018-06-20,4.75
2018-06-21,4.75
2018-06-22,4.75
2018-06-25,4.75
2018-06-26,4.75
2018-06-27,4.75
2018-06-28,4.75
2018-06-29,4.75
2018-07-02,4.75
2018-07-03,4.75
2018-07-04,4.75
2018-07-05,4.75
2018-07-06,4.75
2018-07-09,4.75
2018-07-10,4.75
2018-07-11,4.75
2018-07-12,4.75
2018-07-13,4.75
2018-07-16,4.75
2018-07-17,4.75
2018-07-18,4.75
2018-07-19,4.75
2018-07-20,4.75
2018-07-23,4.75
2018-07-24,4.75
2018-07-25,4.75
2018-07-26,4.75
2018-07-27,4.75
2018-07-30,4.75
2018-07-31,4.75
2018-08-01,4.75
2018-08-02,4.75
2018-08-03,4.75
2018-08-06,4.75
2018-08-07,4.75
2018-08-08,4.75
2018-08-09,4.75
2018-08-10,4.5
2018-08-13,4.5
2018-08-14,4.5
2018-08-15,4.5
2018-08-16,4.5
2018-08-17,4.5
2018-08-20,4.5
2018-08-21,4.5
2018-08-22,4.5
2018-08-23,4.8
2018-08-24,4.8
2018-08-27,4.8
2018-08-28,4.8
2018-08-29,4.8
2018-08-30,4.8
2018-08-31,4.8
2018-09-03,4.8
2018-09-04,4.8
2018-09-05,4.8
2018-09-06,4.8
2018-09-07,4.8
2018-09-10,4.8
2018-09-11,4.8
2018-09-12,4.8
2018-09-13,4.8
2018-09-14,4.8
2018-09-17,4.8
2018-09-18,4.8
2018-09-19,4.8
2018-09-20,4.8
2018-09-21,4.8
2018-09-24,4.8
2018-09-25,4.8
2018-09-26,4.8
2018-09-27,4.8
2018-09-28,4.8
2018-10-01,4.8
2018-10-02,4.8
2018-10-03,4.8
2018-10-04,4.8
2018-10-05,4.8
2018-10-08,4.8
2018-10-09,4.8
2018-10-10,4.8
2018-10-11,4.8
2018-10-12,4.85
2018-10-15,4.85
2018-10-16,4.85
2018-10-17,4.85
2018-10-18,4.85
2018-10-19,4.85
2018-10-22,4.85
2018-10-23,4.85
2018-10-24,4.85
2018-10-25,4.85
2018-10-26,4.85
2018-10-29,4.85
2018-10-30,4.85
2018-10-31,4.85
2018-11-01,4.85
2018-11-02,4.85
2018-11-05,4.85
2018-11-06,4.85
2018-11-07,4.85
2018-11-08,4.8
2018-11-09,4.8
2018-11-12,4.8
2018-11-13,4.8
2018-11-14,4.8
2018-11-15,4.8
2018-11-16,4.8
2018-11-19,4.8
2018-11-20,4.8
2018-11-21,4.8
2018-11-22,4.8
2018-11-23,4.62
2018-11-26,4.66
2018-11-27,4.66
