Date,gdp_growth
2018-03-30,3.8
2018-04-02,3.8
2018-04-03,3.8
2018-04-04,3.8
2018-04-05,3.8
2018-04-06,3.65
2018-04-09,3.65
2018-04-10,3.65
2018-04-11,3.65
2018-04-12,3.65
2018-04-13,3.65
2018-04-16,3.65
2018-04-17,3.65
2018-04-18,3.65
2018-04-19,3.65
2018-04-20,3.65
2018-04-23,3.65
2018-04-24,3.65
2018-04-25,3.65
2018-04-26,3.65
2018-04-27,3.65
2018-04-30,3.65
2018-05-01,3.65
2018-05-02,3.65
2018-05-03,3.65
2018-05-04,3.65
2018-05-07,3.65
2018-05-08,3.65
2018-05-09,3.65
2018-05-10,3.65
2018-05-11,3.65
2018-05-14,3.65
2018-05-15,3.65
2018-05-16,3.65
2018-05-17,3.65
2018-05-18,3.65
2018-05-21,3.65
2018-05-22,3.65
2018-05-23,3.65
2018-05-24,3.65
2018-05-25,3.65
2018-05-28,3.65
2018-05-29,3.65
2018-05-30,3.65
2018-05-31,3.65
2018-06-01,3.65
2018-06-04,3.65
2018-06-05,3.65
2018-06-06,3.65
2018-06-07,3.65
2018-06-08,3.65
2018-06-11,3.65
2018-06-12,3.65
2018-06-13,3.65
2018-06-14,3.65
2018-06-15,3.65
2018-06-18,3.65
2018-06-19,3.65
2018-06-20,3.65
2018-06-21,3.65
2018-06-25,3.8
2018-06-26,3.8
2018-06-27,3.8
2018-06-28,3.8
2018-06-29,3.8
2018-07-02,3.8
2018-07-03,3.8
2018-07-04,3.8
2018-07-05,3.8
2018-07-06,3.8
2018-07-09,3.8
2018-07-10,3.8
2018-07-11,3.8
2018-07-12,3.8
2018-07-13,3.8
2018-07-16,3.8
2018-07-17,3.8
2018-07-18,3.8
2018-07-19,3.8
2018-07-20,3.8
2018-07-23,3.8
2018-07-24,3.8
2018-07-25,3.8
2018-07-26,3.8
2018-07-27,3.8
2018-07-30,3.8
2018-07-31,3.8
2018-08-01,3.8
2018-08-02,3.8
2018-08-03,3.8
2018-08-06,3.8
2018-08-07,3.8
2018-08-08,3.8
2018-08-09,3.8
2018-08-10,3.8
2018-08-13,3.8
2018-08-14,3.8
2018-08-15,3.8
2018-08-16,3.8
2018-08-17,3.8
2018-08-20,3.8
2018-08-21,3.8
2018-08-22,3.8
2018-08-23,3.8
2018-08-24,3.8
2018-08-27,3.8
2018-08-28,3.8
2018-08-29,3.8
2018-08-30,3.8
2018-08-31,3.8
2018-09-03,3.8
2018-09-04,3.8
2018-09-05,3.8
2018-09-06,3.8
2018-09-07,3.8
2018-09-10,3.8
2018-09-11,3.8
2018-09-12,3.8
2018-09-13,3.8
2018-09-14,3.8
2018-09-17,3.8
2018-09-18,3.8
2018-09-19,3.8
2018-09-20,3.8
2018-09-21,3.8
2018-09-24,3.5
2018-09-25,3.5
2018-09-26,3.5
2018-09-27,3.5
2018-09-28,3.5
2018-10-01,3.5
2018-10-02,3.5
2018-10-03,3.5
2018-10-04,3.5
2018-10-05,3.5
2018-10-08,3.1
2018-10-09,3.1
2018-10-10,3.1
2018-10-11,3.1
2018-10-12,3.1
2018-10-15,3.1
2018-10-16,3.1
2018-10-17,3.1
2018-10-18,3.1
2018-10-19,3.1
2018-10-22,3.1
2018-10-23,3.1
2018-10-24,3.1
2018-10-25,3.1
2018-10-26,3.1
2018-10-29,3.1
2018-10-30,3.1
2018-10-31,2.65
2018-11-01,2.65
2018-11-02,2.65
2018-11-05,2.65
2018-11-06,2.65
2018-11-07,2.65
2018-11-08,2.65
2018-11-09,2.65
2018-11-12,2.65
2018-11-13,2.65
2018-11-14,2.65
2018-11-15,2.65
2018-11-16,2.65
2018-11-19,2.65
2018-11-20,2.65
2018-11-21,2.65
2018-11-22,2.65
2018-11-23,2.65
2018-11-26,2.65
2018-11-27,2.65
2018-11-28,2.65
2018-11-29,2.65
2018-11-30,2.65
2018-12-03,2.65
2018-12-04,2.65
2018-12-05,2.65
2018-12-06,2.65
2018-12-07,2.65
2018-12-10,2.65
2018-12-11,2.65
2018-12-12,2.65
2018-12-13,2.65
2018-12-14,2.65
2018-12-17,2.95
2018-12-18,2.95
2018-12-19,2.95
2018-12-20,2.95
2018-12-21,2.95
2018-12-24,2.95
2018-12-25,3.3
2018-12-26,3.3
2018-12-27,3.3
2018-12-28,3.3
2018-12-31,3.3
2019-01-01,3.3
2019-01-02,3.3
2019-01-03,3.3
2019-01-04,3.3
2019-01-07,3.3
2019-01-08,3.3
2019-01-09,2.95
2019-01-10,2.95
2019-01-11,2.95
2019-01-14,2.95
2019-01-15,2.95
2019-01-16,2.95
2019-01-17,2.95
2019-01-18,2.95
2019-01-21,2.95
2019-01-22,2.95
2019-01-23,2.95
2019-01-24,2.95
2019-01-25,2.95
2019-01-28,2.95
2019-01-29,2.6
2019-01-30,2.6
2019-01-31,2.6
2019-02-01,2.6
2019-02-04,2.6
2019-02-05,2.6
2019-02-06,2.6
2019-02-07,2.6
2019-02-08,2.6
2019-02-11,2.6
2019-02-12,2.6
2019-02-13,2.6
2019-02-14,2.6
2019-02-15,2.6
2019-02-18,2.6
2019-02-19,2.6
2019-02-20,2.6
2019-02-21,2.6
2019-02-22,2.6
2019-02-25,2.6
2019-02-26,2.6
2019-02-27,2.6
2019-02-28,2.6
2019-03-01,2.6
2019-03-04,2.6
2019-03-05,2.6
2019-03-06,2.6
2019-03-07,2.6
2019-03-08,2.6
2019-03-11,2.6
2019-03-12,2.6
2019-03-13,2.6
2019-03-14,2.9
2019-03-15,2.9
2019-03-18,2.9
2019-03-19,2.55
2019-03-20,2.55
2019-03-21,2.55
2019-03-22,2.55
2019-03-25,2.55
2019-03-26,2.55
2019-03-27,2.55
2019-03-28,2.55
2019-03-29,2.55
2019-04-01,2.55
2019-04-02,2.55
2019-04-03,2.55
2019-04-04,2.55
2019-04-05,2.55
2019-04-08,2.55
2019-04-09,2.55
2019-04-10,2.7
2019-04-11,2.7
2019-04-12,2.7
2019-04-15,2.7
2019-04-16,2.7
2019-04-17,2.7
2019-04-18,2.7
2019-04-19,2.7
2019-04-22,2.7
2019-04-23,2.7
2019-04-24,2.7
2019-04-25,2.7
2019-04-26,2.7
2019-04-29,2.7
2019-04-30,3
2019-05-01,3
2019-05-02,3
2019-05-03,3
2019-05-06,3
2019-05-07,3
2019-05-08,3
2019-05-09,3
2019-05-10,3
2019-05-13,3
2019-05-14,3
2019-05-15,3
2019-05-16,3
2019-05-17,3
2019-05-20,3
2019-05-21,3
2019-05-22,3
2019-05-23,3
2019-05-24,3
2019-05-27,3
2019-05-28,3
2019-05-29,3
2019-05-30,3
2019-05-31,3
2019-06-03,3
2019-06-04,3
2019-06-05,3
2019-06-06,3
2019-06-07,3
2019-06-10,3
2019-06-11,3
2019-06-12,3
2019-06-13,3
2019-06-14,3
2019-06-17,3
2019-06-18,3
2019-06-19,3
2019-06-20,3
2019-06-21,3
2019-06-24,3
2019-06-25,3.2
2019-06-26,3.2
2019-06-27,3.2
2019-06-28,3.2
2019-07-01,3.2
2019-07-02,3.2
2019-07-03,3.2
2019-07-04,3.2
2019-07-05,3.2
2019-07-08,3.2
2019-07-09,3.2
2019-07-10,3.2
2019-07-11,3.2
2019-07-12,3.2
2019-07-15,3.2
2019-07-16,3.2
2019-07-17,3.2
2019-07-18,3.2
2019-07-19,2.8
2019-07-22,2.8
2019-07-23,2.8
2019-07-24,2.8
2019-07-25,2.8
2019-07-26,2.8
2019-07-29,2.8
2019-07-30,2.8
2019-07-31,2.8
2019-08-01,2.8
2019-08-02,2.8
2019-08-05,2.8
2019-08-06,2.8
2019-08-07,2.8
2019-08-08,2.8
2019-08-09,2.8
2019-08-12,2.8
2019-08-13,2.8
2019-08-14,2.8
2019-08-15,2.8
2019-08-16,2.8
2019-08-19,2.8
2019-08-20,2.8
2019-08-21,2.8
2019-08-22,2.8
2019-08-23,2.8
2019-08-26,2.8
2019-08-27,2.8
2019-08-28,2.8
2019-08-29,2.8
2019-08-30,2.8
2019-09-02,2.8
2019-09-03,2.8
2019-09-04,2.8
2019-09-05,2.8
2019-09-06,2.8
2019-09-09,2.8
2019-09-10,2.8
2019-09-11,2.8
2019-09-12,2.8
2019-09-13,2.8
2019-09-16,2.8
2019-09-17,2.8
2019-09-18,2.8
2019-09-19,2.8
2019-09-20,2.8
2019-09-23,2.7
2019-09-24,2.6
2019-09-25,2.6
2019-09-26,2.6
2019-09-27,2.6
2019-09-30,2.6
2019-10-01,2.6
2019-10-02,2.6
2019-10-03,2.6
2019-10-04,2.6
2019-10-07,2.6
2019-10-08,2.6
2019-10-09,2.6
2019-10-10,2.6
2019-10-11,2.6
2019-10-14,2.6
2019-10-15,2.6
2019-10-16,2.6
2019-10-17,2.6
2019-10-18,2.6
2019-10-21,2.6
2019-10-22,2.6
2019-10-23,2.6
2019-10-24,2.6
2019-10-25,2.6
2019-10-28,2.6
2019-10-29,2.6
2019-10-30,2.6
2019-10-31,2.6
2019-11-01,2.6
2019-11-04,2.6
