Date,mkt_cap
2016-02-26,61.999
2016-02-29,61.421
2016-03-01,62.679
2016-03-02,64.8725
2016-03-03,65.87
2016-03-04,67.2875
2016-03-07,67.0775
2016-03-08,68.814
2016-03-09,72.276
2016-03-10,72.219
2016-03-11,73.568
2016-03-14,72.675
2016-03-15,74.529
2016-03-16,75.738
2016-03-17,76.83
2016-03-18,76.947
2016-03-21,77.142
2016-03-22,76.9665
2016-03-23,76.518
2016-03-24,76.7325
2016-03-25,76.7325
2016-03-28,79.18
2016-03-29,81.02
2016-03-30,86.331
2016-03-31,86.373
2016-04-01,85.974
2016-04-04,84.903
2016-04-05,84.147
2016-04-06,85.554
2016-04-07,84.609
2016-04-08,84.8817
2016-04-11,91.485
2016-04-12,92.745
2016-04-13,93.33
2016-04-14,93.06
2016-04-15,97.948
2016-04-18,99.1465
2016-04-19,100.838
2016-04-20,104.542
2016-04-21,102.925
2016-04-22,101.626
2016-04-25,101.063
2016-04-26,101.136
2016-04-27,100.083
2016-04-28,101.528
2016-04-29,102.459
2016-05-02,103.341
2016-05-03,101.773
2016-05-04,101.332
2016-05-05,104.25
2016-05-06,108.654
2016-05-09,106.574
2016-05-10,109.578
2016-05-11,110.532
2016-05-12,110.24
2016-05-13,109.233
2016-05-16,110.134
2016-05-17,110.664
2016-05-18,109.578
2016-05-19,108.703
2016-05-20,109.419
2016-05-23,108.809
2016-05-24,108.65
2016-05-25,109.631
2016-05-26,109.657
2016-05-27,113.668
2016-05-30,113.668
2016-05-31,115.417
2016-06-01,115.94
2016-06-02,113.94
2016-06-03,116.505
2016-06-06,116.37
2016-06-07,116.91
2016-06-08,119.488
2016-06-09,120.698
2016-06-10,118.855
2016-06-13,118.25
2016-06-14,116.078
2016-06-15,117.618
2016-06-16,118.415
2016-06-17,118.002
2016-06-20,118.745
2016-06-21,118.69
2016-06-22,116.93
2016-06-23,119.405
2016-06-24,114.73
2016-06-27,112.42
2016-06-28,116.76
2016-06-29,121.41
2016-06-30,122.63
2016-07-01,123.69
2016-07-04,123.69
2016-07-05,124.089
2016-07-06,124.345
2016-07-07,125.998
2016-07-08,128.179
2016-07-11,127.395
2016-07-12,129.447
2016-07-13,128.307
2016-07-14,127.138
2016-07-15,126.112
2016-07-18,126.226
2016-07-19,125.685
2016-07-20,128.354
2016-07-21,127.861
2016-07-22,128.905
2016-07-25,129.688
2016-07-26,131.196
2016-07-27,131.515
2016-07-28,131.602
2016-07-29,134.908
2016-08-01,134.125
2016-08-02,134.27
2016-08-03,132.646
2016-08-04,133.574
2016-08-05,136.172
2016-08-08,144.869
2016-08-09,145.751
2016-08-10,145.877
2016-08-11,146.601
2016-08-12,146.444
2016-08-15,147.137
2016-08-16,146.129
2016-08-17,168.3
2016-08-18,169.884
2016-08-19,169.308
2016-08-22,173.558
2016-08-23,174.434
2016-08-24,172.609
2016-08-25,172.901
2016-08-26,170.565
2016-08-29,171.404
2016-08-30,169.944
2016-08-31,170.893
2016-09-01,174.233
2016-09-02,176.009
2016-09-05,176.009
2016-09-06,180.486
2016-09-07,184.688
2016-09-08,182.925
2016-09-09,178.65
2016-09-12,181.412
2016-09-13,175.598
2016-09-14,176.176
2016-09-15,177.254
2016-09-16,176.83
2016-09-19,178.37
2016-09-20,182.286
2016-09-21,183.105
2016-09-22,182.013
