Date,mkt_cap
2011-08-12,451.321
2011-08-15,455.764
2011-08-16,446.832
2011-08-17,452.183
2011-08-18,441.741
2011-08-19,436.962
2011-08-22,438.558
2011-08-23,446.082
2011-08-24,448.893
2011-08-25,442.125
2011-08-26,453.6
2011-08-29,451.92
2011-08-30,461.104
2011-08-31,468.048
2011-09-01,470.176
2011-09-02,455.766
2011-09-05,455.766
2011-09-06,445.647
2011-09-07,458.796
2011-09-08,458.354
2011-09-09,452.719
2011-09-12,453.382
2011-09-13,460.122
2011-09-14,453.492
2011-09-15,453.161
2011-09-16,452.608
2011-09-19,446.38
2011-09-20,441.504
2011-09-21,426.276
2011-09-22,408.069
2011-09-23,393.638
2011-09-26,399.606
2011-09-27,406.875
2011-09-28,376.635
2011-09-29,378.21
2011-09-30,368.235
2011-10-03,364.035
2011-10-04,354.359
2011-10-05,359.058
2011-10-06,369.667
2011-10-07,365.341
2011-10-10,374.843
2011-10-11,379.148
2011-10-12,388.577
2011-10-13,388.885
2011-10-14,397.905
2011-10-17,393.6
2011-10-18,396.778
2011-10-19,391.96
2011-10-20,389.91
2011-10-21,403.52
2011-10-24,414.029
2011-10-25,411.285
2011-10-26,419.16
2011-10-27,435.342
2011-10-28,431.526
2011-10-31,415.459
2011-11-01,401.217
2011-11-02,411.625
2011-11-03,416.277
2011-11-04,417.356
2011-11-07,415.708
2011-11-08,416.532
2011-11-09,404.275
2011-11-10,409.734
2011-11-11,417.047
2011-11-14,417.047
2011-11-15,414.266
2011-11-16,413.03
2011-11-17,405.614
2011-11-18,397.786
2011-11-21,396.447
2011-11-22,410.88
2011-11-23,402.641
2011-11-24,402.641
2011-11-25,401.25
2011-11-28,406.617
2011-11-29,415.03
2011-11-30,437.202
2011-12-01,441.161
2011-12-02,443.52
2011-12-05,447.304
2011-12-06,442.111
2011-12-07,444.1
2011-12-08,436.586
2011-12-09,443.658
2011-12-12,437.801
2011-12-13,427.967
2011-12-14,421.447
2011-12-15,424.652
2011-12-16,427.414
2011-12-19,422.331
2011-12-20,427.967
2011-12-21,425.757
2011-12-22,425.92
2011-12-23,427.79
2011-12-26,427.79
2011-12-27,424.6
2011-12-28,417.89
2011-12-29,419.32
2011-12-30,422.07
2012-01-02,422.07
2012-01-03,431.211
2012-01-04,431.649
2012-01-05,432.306
2012-01-06,428.043
2012-01-09,430.986
2012-01-10,436.109
2012-01-11,438.725
2012-01-12,442.867
2012-01-13,442.322
2012-01-16,442.322
2012-01-17,447.99
2012-01-18,457.691
2012-01-19,457.909
2012-01-20,454.312
2012-01-23,459.462
2012-01-24,455.739
2012-01-25,465.813
2012-01-26,473.259
2012-01-27,474.244
2012-01-30,471.069
2012-01-31,473.478
2012-02-01,483.442
2012-02-02,494.061
