Date,mkt_cap
2011-08-12,1907-06-28 05:31:12
2011-08-15,1907-10-22 10:33:36
2011-08-16,1907-08-24 17:45:36
2011-08-17,1907-10-22 08:24:00
2011-08-18,1907-06-23 06:57:36
2011-08-19,1907-07-30 22:04:48
2011-08-22,1907-10-09 17:16:48
2011-08-23,1908-02-17 12:43:12
2011-08-24,1908-02-03 13:26:24
2011-08-25,1907-12-26 11:02:24
2011-08-26,1908-03-08 01:55:12
2011-08-29,1908-06-01 13:26:24
2011-08-30,1908-05-29 21:21:36
2011-08-31,1908-07-06 15:36:00
2011-09-01,1908-06-23 23:16:48
2011-09-02,1908-04-06 12:43:12
2011-09-05,1908-04-06 12:43:12
2011-09-06,1908-01-28 01:55:12
2011-09-07,1908-05-21 12:57:36
2011-09-08,1908-03-16 22:48:00
2011-09-09,1907-12-12 22:04:48
2011-09-12,1907-10-16 17:16:48
2011-09-13,1907-10-23 02:52:48
2011-09-14,1907-09-27 12:28:48
2011-09-15,1907-11-16 10:33:36
2011-09-16,1907-12-09 11:31:12
2011-09-19,1907-09-18 13:26:24
2011-09-20,1907-08-15 09:50:24
2011-09-21,1907-05-01 10:19:12
2011-09-22,1906-12-05 02:38:24
2011-09-23,1906-12-06 19:55:12
2011-09-26,1907-01-22 02:52:48
2011-09-27,1907-04-12 06:00:00
2011-09-28,1907-01-30 21:07:12
2011-09-29,1907-01-24 07:12:00
2011-09-30,1906-10-30 11:02:24
2011-10-03,1906-08-09 08:38:24
2011-10-04,1906-10-03 02:24:00
2011-10-05,1906-11-26 16:19:12
2011-10-06,1907-03-16 16:19:12
2011-10-07,1907-03-19 21:21:36
2011-10-10,1907-07-19 15:50:24
2011-10-11,1907-06-30 02:09:36
2011-10-12,1907-08-18 01:12:00
2011-10-13,1907-08-27 20:09:36
2011-10-14,1907-10-05 17:02:24
2011-10-17,1907-07-19 21:21:36
2011-10-18,1907-08-11 19:40:48
2011-10-19,1907-06-04 00:00:00
2011-10-20,1907-05-27 19:12:00
2011-10-21,1907-07-19 19:12:00
2011-10-24,1907-11-18 17:02:24
2011-10-25,1907-09-16 00:28:48
2011-10-26,1907-10-26 05:02:24
2011-10-27,1908-05-21 11:45:36
2011-10-28,1908-05-01 02:09:36
2011-10-31,1907-12-29 00:28:48
2011-11-01,1907-09-16 08:24:00
2011-11-02,1907-10-20 20:24:00
2011-11-03,1908-01-02 03:50:24
2011-11-04,1907-12-19 12:57:36
2011-11-07,1908-01-08 08:24:00
2011-11-08,1908-02-14 11:45:36
2011-11-09,1907-09-17 16:33:36
2011-11-10,1907-11-02 11:45:36
2011-11-11,1908-01-24 10:33:36
2011-11-14,1907-11-16 02:38:24
2011-11-15,1907-10-06 17:16:48
2011-11-16,1907-08-05 14:24:00
2011-11-17,1907-06-08 03:21:36
2011-11-18,1907-06-03 06:28:48
2011-11-21,1907-03-11 05:31:12
2011-11-22,1907-03-12 10:33:36
2011-11-23,1906-12-09 21:07:12
2011-11-24,1906-12-09 21:07:12
2011-11-25,1906-11-25 06:14:24
2011-11-28,1907-03-18 12:43:12
2011-11-29,1907-04-19 04:48:00
2011-11-30,1907-10-03 01:40:48
2011-12-01,1907-09-06 06:28:48
2011-12-02,1907-10-09 03:50:24
2011-12-05,1907-11-24 10:33:36
2011-12-06,1907-10-20 02:52:48
2011-12-07,1907-11-04 22:48:00
2011-12-08,1907-08-03 09:50:24
2011-12-09,1907-09-19 16:04:48
2011-12-12,1907-06-25 04:33:36
2011-12-13,1907-05-23 07:26:24
2011-12-14,1907-04-16 18:28:48
2011-12-15,1907-04-19 04:48:00
2011-12-16,1907-04-19 04:48:00
2011-12-19,1907-02-13 15:36:00
2011-12-20,1907-04-18 07:55:12
2011-12-21,1907-04-19 13:40:48
2011-12-22,1907-04-27 01:55:12
2011-12-23,1907-05-11 21:21:36
2011-12-26,1907-05-11 21:21:36
2011-12-27,1907-05-06 22:48:00
2011-12-28,1907-01-31 02:09:36
2011-12-29,1907-03-13 18:28:48
2011-12-30,1907-03-12 12:57:36
2012-01-02,1907-03-12 12:57:36
2012-01-03,1907-05-30 00:14:24
2012-01-04,1907-06-30 21:07:12
2012-01-05,1907-05-26 07:55:12
2012-01-06,1907-04-20 18:43:12
2012-01-09,1907-04-16 06:14:24
2012-01-10,1907-06-06 12:00:00
2012-01-11,1907-06-22 08:38:24
2012-01-12,1907-07-04 13:26:24
2012-01-13,1907-07-04 21:36:00
2012-01-16,1907-07-04 21:36:00
2012-01-17,1907-07-27 00:57:36
2012-01-18,1907-09-14 05:45:36
2012-01-19,1907-09-09 07:40:48
2012-01-20,1907-08-20 12:00:00
2012-01-23,1907-08-30 05:31:12
2012-01-24,1907-08-08 08:09:36
2012-01-25,1907-11-06 19:55:12
2012-01-26,1907-11-15 09:36:00
2012-01-27,1907-11-27 15:21:36
2012-01-30,1907-10-30 11:45:36
2012-01-31,1907-11-05 14:38:24
2012-02-01,1907-12-04 23:31:12
2012-02-02,1907-12-06 05:02:24
2012-02-03,1908-01-22 20:24:00
2012-02-06,1907-12-25 21:50:24
2012-02-07,1908-02-29 12:00:00
2012-02-08,1908-03-05 12:00:00
2012-02-09,1908-03-03 00:00:00
2012-02-10,1907-12-17 18:00:00
2012-02-13,1908-02-03 06:00:00
2012-02-14,1907-12-25 06:00:00
2012-02-15,1907-12-16 12:00:00
2012-02-16,1907-12-30 06:00:00
2012-02-17,1907-12-03 02:38:24
2012-02-20,1907-12-03 02:38:24
2012-02-21,1908-01-13 07:12:00
2012-02-22,1908-01-08 07:12:00
2012-02-23,1908-02-07 06:14:24
2012-02-24,1908-01-24 05:45:36
2012-02-27,1907-12-17 08:38:24
2012-02-28,1907-12-18 13:55:12
2012-02-29,1907-11-12 18:00:00
2012-03-01,1907-10-23 15:50:24
2012-03-02,1907-10-02 04:04:48
2012-03-05,1907-08-19 06:57:36
2012-03-06,1907-05-19 23:02:24
2012-03-07,1907-05-26 05:31:12
2012-03-08,1907-05-14 04:48:00
2012-03-09,1907-05-08 09:36:00
2012-03-12,1907-04-16 08:38:24
2012-03-13,1907-06-12 04:48:00
2012-03-14,1907-05-11 21:07:12
2012-03-15,1907-06-15 16:19:12
2012-03-16,1907-07-01 22:04:48
2012-03-19,1907-07-14 16:19:12
2012-03-20,1907-05-16 12:28:48
2012-03-21,1907-05-03 18:14:24
2012-03-22,1907-04-07 01:55:12
2012-03-23,1907-05-14 04:48:00
2012-03-26,1907-06-24 23:02:24
2012-03-27,1907-05-31 14:24:00
2012-03-28,1907-05-25 17:31:12
2012-03-29,1907-05-08 04:04:48
2012-03-30,1907-05-21 22:48:00
2012-04-02,1907-06-04 17:16:48
2012-04-03,1907-03-26 08:09:36
2012-04-04,1907-02-22 12:43:12
2012-04-05,1907-03-01 04:19:12
2012-04-06,1907-03-01 04:19:12
2012-04-09,1907-02-07 16:19:12
2012-04-10,1907-01-02 09:36:00
2012-04-11,1907-01-14 18:43:12
2012-04-12,1907-03-24 11:16:48
2012-04-13,1907-02-18 16:33:36
2012-04-16,1907-02-28 19:40:48
2012-04-17,1907-03-12 10:04:48
2012-04-18,1907-03-06 19:55:12
2012-04-19,1907-03-10 04:19:12
2012-04-20,1907-03-23 14:24:00
2012-04-23,1907-02-11 08:24:00
2012-04-24,1907-03-04 14:09:36
2012-04-25,1907-04-11 14:24:00
2012-04-26,1907-04-16 01:55:12
2012-04-27,1907-05-02 20:24:00
2012-04-30,1907-04-18 07:26:24
2012-05-01,1907-05-01 17:31:12
2012-05-02,1907-04-25 00:28:48
2012-05-03,1907-04-01 12:57:36
2012-05-04,1907-01-25 13:55:12
2012-05-07,1907-01-24 11:02:24
2012-05-08,1906-12-02 22:04:48
2012-05-09,1906-10-30 07:55:12
2012-05-10,1906-11-30 11:02:24
2012-05-11,1906-11-07 02:38:24
2012-05-14,1906-10-13 15:36:00
2012-05-15,1906-08-23 16:48:00
2012-05-16,1906-06-30 19:12:00
2012-05-17,1906-05-05 02:09:36
