Date,mkt_cap
2012-09-14,400.055
2012-09-17,395.711
2012-09-18,394.897
2012-09-19,399.648
2012-09-20,397.34
2012-09-21,393.675
2012-09-24,393.132
2012-09-25,390.824
2012-09-26,387.295
2012-09-27,392.725
2012-09-28,383.629
2012-10-01,385.53
2012-10-02,386.344
2012-10-03,380.236
2012-10-04,386.887
2012-10-05,388.381
2012-10-08,384.037
2012-10-09,363.169
2012-10-10,347.802
2012-10-11,348.056
2012-10-12,347.929
2012-10-15,352.745
2012-10-16,357.815
2012-10-17,360.224
2012-10-18,360.486
2012-10-19,352.296
2012-10-22,355.068
2012-10-23,345.744
2012-10-24,343.602
2012-10-25,346.374
2012-10-26,347.382
2012-10-29,347.382
2012-10-30,347.382
2012-10-31,348.768
2012-11-01,351.918
2012-11-02,349.776
2012-11-05,349.902
2012-11-06,354.186
2012-11-07,350.406
2012-11-08,346.752
2012-11-09,342.972
2012-11-12,344.106
2012-11-13,339.444
2012-11-14,338.184
2012-11-15,336.168
2012-11-16,333.9
2012-11-19,344.106
2012-11-20,343.476
2012-11-21,345.114
2012-11-22,345.114
2012-11-23,356.328
2012-11-26,358.344
2012-11-27,343.785
2012-11-28,348.459
2012-11-29,349.935
2012-11-30,351.903
2012-12-03,353.379
2012-12-04,356.208
2012-12-05,357.93
2012-12-06,358.422
2012-12-07,356.331
2012-12-10,357.561
2012-12-11,360.144
2012-12-12,356.823
2012-12-13,352.518
2012-12-14,354.609
2012-12-17,357.561
2012-12-18,362.85
2012-12-19,364.326
2012-12-20,367.893
2012-12-21,366.171
2012-12-24,365.187
2012-12-25,365.187
2012-12-26,365.31
2012-12-27,368.754
2012-12-28,364.941
2012-12-31,371.46
2013-01-01,371.46
2013-01-02,376.134
2013-01-03,363.84
2013-01-04,366.84
2013-01-07,365.64
2013-01-08,356.804
2013-01-09,355.737
2013-01-10,360.596
2013-01-11,363.084
2013-01-14,365.336
2013-01-15,362.136
2013-01-16,369.603
2013-01-17,372.154
2013-01-18,373.491
2013-01-21,373.491
2013-01-22,373.734
2013-01-23,372.762
2013-01-24,375.435
2013-01-25,382.482
2013-01-28,385.641
2013-01-29,392.985
2013-01-30,396.552
2013-01-31,394.338
2013-02-01,402.825
2013-02-04,395.445
2013-02-05,399.504
2013-02-06,399.135
2013-02-07,393.108
2013-02-08,394.461
2013-02-11,390.865
2013-02-12,394.267
2013-02-13,402.043
2013-02-14,399.735
2013-02-15,399.249
2013-02-18,399.249
2013-02-19,403.623
2013-02-20,400.707
2013-02-21,393.66
2013-02-22,400.877
2013-02-25,381.449
2013-02-26,387.97
2013-02-27,393.403
2013-02-28,390.505
2013-03-01,394.007
2013-03-04,398.475
2013-03-05,401.494
2013-03-06,398.958
2013-03-07,404.029
2013-03-08,401.252
2013-03-11,415.456
2013-03-12,413.215
2013-03-13,410.85
2013-03-14,412.344
2013-03-15,414.709
2013-03-18,407.115
2013-03-19,403.753
2013-03-20,404.874
2013-03-21,391.2
2013-03-22,396.212
2013-03-25,393.523
2013-03-26,396.212
2013-03-27,394.501
2013-03-28,397.435
2013-03-29,397.435
2013-04-01,395.601
2013-04-02,398.535
2013-04-03,397.435
2013-04-04,393.89
2013-04-05,393.89
2013-04-08,394.99
2013-04-09,399.513
2013-04-10,404.648
2013-04-11,407.826
2013-04-12,407.337
2013-04-15,395.846
2013-04-16,400.124
2013-04-17,383.987
2013-04-18,380.32
2013-04-19,380.809
2013-04-22,382.276
2013-04-23,383.254
2013-04-24,387.533
2013-04-25,393.401
2013-04-26,398.046
2013-04-29,401.958
2013-04-30,400.286
2013-05-01,398.233
2013-05-02,395.577
2013-05-03,400.407
2013-05-06,400.407
2013-05-07,402.218
2013-05-08,407.29
2013-05-09,402.943
2013-05-10,404.875
2013-05-13,402.824
2013-05-14,400.588
2013-05-15,402.097
2013-05-16,402.339
2013-05-17,405.237
2013-05-20,406.444
2013-05-21,410.55
2013-05-22,407.048
2013-05-23,401.373
2013-05-24,399.924
2013-05-27,399.924
2013-05-28,401.494
2013-05-29,401.011
2013-05-30,406.203
2013-05-31,395.456
2013-06-03,404.15
2013-06-04,399.562
2013-06-05,389.781
2013-06-06,393.162
2013-06-07,396.784
2013-06-10,393.886
2013-06-11,392.317
2013-06-12,391.351
2013-06-13,396.422
2013-06-14,397.871
2013-06-17,400.165
2013-06-18,393.403
2013-06-19,384.571
2013-06-20,366.556
2013-06-21,360.786
2013-06-24,352.182
2013-06-25,375.765
2013-06-26,377.364
2013-06-27,369
2013-06-28,368.899
2013-07-01,374.963
2013-07-02,371.002
2013-07-03,381.518
2013-07-04,381.518
2013-07-05,381.264
2013-07-08,385.193
2013-07-09,396.288
2013-07-10,399.126
2013-07-11,411.51
2013-07-12,409.446
2013-07-15,410.736
2013-07-16,415.638
2013-07-17,416.154
2013-07-18,417.444
2013-07-19,420.798
2013-07-22,421.314
2013-07-23,425.829
2013-07-24,425.571
2013-07-25,430.86
2013-07-26,441.792
2013-07-29,440.066
2013-07-30,436.747
2013-07-31,439.402
2013-08-01,439.137
2013-08-02,439.27
2013-08-05,443.354
2013-08-06,452.497
2013-08-07,454.408
2013-08-08,460.141
2013-08-09,463.768
2013-08-12,455.305
2013-08-13,457.885
2013-08-14,460.6
2013-08-15,454.762
2013-08-16,458.156
2013-08-19,455.034
2013-08-20,454.41
2013-08-21,441.72
2013-08-22,449.955
2013-08-23,453.735
2013-08-26,450.63
2013-08-27,445.124
2013-08-28,443.631
2013-08-29,440.237
2013-08-30,433.721
2013-09-02,433.721
2013-09-03,444.038
2013-09-04,448.789
2013-09-05,444.31
2013-09-06,448.925
2013-09-09,455.17
2013-09-10,462.093
2013-09-11,465.487
2013-09-12,463.315
2013-09-13,461.55
2013-09-16,467.523
2013-09-17,470.238
2013-09-18,483.813
2013-09-19,490.866
2013-09-20,486.588
2013-09-23,482.862
2013-09-24,482.31
2013-09-25,475.962
2013-09-26,478.17
2013-09-27,475.272
2013-09-30,472.65
2013-10-01,479.964
2013-10-02,476.514
2013-10-03,474.996
2013-10-04,469.338
2013-10-07,465.612
2013-10-08,468.154
2013-10-09,466.752
2013-10-10,474.886
2013-10-11,478.393
