Date,mkt_cap
2011-08-12,2932.39
2011-08-15,3002.03
2011-08-16,2897.66
2011-08-17,2884.22
2011-08-18,2710.85
2011-08-19,2654.59
2011-08-22,2619.27
2011-08-23,2717.28
2011-08-24,2744.82
2011-08-25,2629.31
2011-08-26,2670.05
2011-08-29,2743.63
2011-08-30,2717.35
2011-08-31,2755.16
2011-09-01,2686.68
2011-09-02,2607
2011-09-05,2607
2011-09-06,2486.56
2011-09-07,2586.23
2011-09-08,2499.85
2011-09-09,2389.66
2011-09-12,2410.97
2011-09-13,2451.6
2011-09-14,2573.37
2011-09-15,2670.71
2011-09-16,2645.97
2011-09-19,2552.2
2011-09-20,2579.38
2011-09-21,2482.89
2011-09-22,2359.94
2011-09-23,2406.9
2011-09-26,2493.68
2011-09-27,2584.54
2011-09-28,2533.01
2011-09-29,2614.37
2011-09-30,2466.45
2011-10-03,2366.22
2011-10-04,2429.7
2011-10-05,2484
2011-10-06,2569.73
2011-10-07,2529.82
2011-10-10,2679.35
2011-10-11,2686.02
2011-10-12,2759.45
2011-10-13,2747.43
2011-10-14,2786.14
2011-10-17,2659.23
2011-10-18,2725.38
2011-10-19,2664.52
2011-10-20,2649.97
2011-10-21,2717.27
2011-10-24,2760.24
2011-10-25,2715.12
2011-10-26,2746.22
2011-10-27,2970.43
2011-10-28,3012.98
2011-10-31,2868.36
2011-11-01,2716.82
2011-11-02,2791.39
2011-11-03,2908.26
2011-11-04,2824
2011-11-07,2819.92
2011-11-08,2872.93
2011-11-09,2660.92
2011-11-10,2732.95
2011-11-11,2825.55
2011-11-14,2748.6
2011-11-15,2675.11
2011-11-16,2583.3
2011-11-17,2561.06
2011-11-18,2523.06
2011-11-21,2382.43
2011-11-22,2353.73
2011-11-23,2281.34
2011-11-24,2281.34
2011-11-25,2263.87
2011-11-28,2393.66
2011-11-29,2383.39
2011-11-30,2543.68
2011-12-01,2520.25
2011-12-02,2488.39
2011-12-05,2504.3
2011-12-06,2482.28
2011-12-07,2484.72
2011-12-08,2377.54
2011-12-09,2455.49
2011-12-12,2338.56
2011-12-13,2283.75
2011-12-14,2259.39
2011-12-15,2278.88
2011-12-16,2263.04
2011-12-19,2235.03
2011-12-20,2351.65
2011-12-21,2332.11
2011-12-22,2347.98
2011-12-23,2356.53
