Date,mkt_cap
2011-09-26,1901-04-01 08:32:38.400000
2011-09-27,1901-04-10 15:37:26.400000
2011-09-28,1901-04-05 13:56:38.400000
2011-09-29,1901-04-16 18:38:52.800000
2011-09-30,1901-04-01 13:36:28.800000
2011-10-03,1901-03-20 22:46:33.600000
2011-10-04,1901-03-30 05:51:21.600000
2011-10-05,1901-03-29 14:38:24
2011-10-06,1901-04-10 20:42:43.200000
2011-10-07,1901-04-04 12:36:00
2011-10-10,1901-05-03 08:09:36
2011-10-11,1901-05-01 14:52:48
2011-10-12,1901-05-10 10:26:24
2011-10-13,1901-05-08 01:40:48
2011-10-14,1901-05-13 21:00:00
2011-10-17,1901-05-02 21:50:24
2011-10-18,1901-05-13 19:33:36
2011-10-19,1901-05-03 09:00:00
2011-10-20,1901-05-10 23:42:43.200000
2011-10-21,1901-05-24 16:33:36
2011-10-24,1901-05-27 17:38:24
2011-10-25,1901-05-20 08:09:36
2011-10-26,1901-05-28 01:29:16.800000
2011-10-27,1901-06-21 13:29:16.800000
2011-10-28,1901-06-18 17:15:21.600000
2011-10-31,1901-05-28 01:29:16.800000
2011-11-01,1901-05-10 13:29:16.800000
2011-11-02,1901-05-14 06:44:38.400000
2011-11-03,1901-05-25 10:30:43.200000
2011-11-04,1901-05-19 12:44:38.400000
2011-11-07,1901-05-11 05:15:21.600000
2011-11-08,1901-05-19 12:44:38.400000
2011-11-09,1901-04-25 06:00:00
2011-11-10,1901-04-28 18:00:00
2011-11-11,1901-05-08 19:29:16.800000
2011-11-14,1901-05-03 08:15:21.600000
2011-11-15,1901-04-29 11:02:24
2011-11-16,1901-04-23 08:52:48
2011-11-17,1901-04-17 22:23:31.200000
2011-11-18,1901-04-20 23:28:19.200000
2011-11-21,1901-04-10 23:19:40.800000
2011-11-22,1901-04-10 12:53:16.800000
2011-11-23,1901-03-31 07:33:36
2011-11-24,1901-03-31 07:33:36
2011-11-25,1901-03-25 15:50:24
2011-11-28,1901-04-11 09:46:04.800000
2011-11-29,1901-04-12 11:52:48
2011-11-30,1901-04-27 12:50:24
2011-12-01,1901-04-27 18:01:26.400000
2011-12-02,1901-04-19 14:15:21.600000
2011-12-05,1901-04-23 05:28:19.200000
2011-12-06,1901-04-23 05:28:19.200000
2011-12-07,1901-04-26 20:39:50.400000
2011-12-08,1901-04-16 14:25:26.400000
2011-12-09,1901-04-25 08:45:36
2011-12-12,1901-04-13 14:36:57.600000
2011-12-13,1901-04-06 08:11:02.400000
2011-12-14,1901-04-03 18:37:26.400000
2011-12-15,1901-04-11 11:18:14.400000
2011-12-16,1901-04-08 11:29:45.600000
2011-12-19,1901-04-09 23:24:00
2011-12-20,1901-04-11 06:00:00
2011-12-21,1901-04-09 18:47:31.200000
2011-12-22,1901-04-12 22:19:12
2011-12-23,1901-04-15 10:48:00
2011-12-26,1901-04-15 10:48:00
2011-12-27,1901-04-15 15:50:24
2011-12-28,1901-04-11 06:00:00
2011-12-29,1901-04-17 08:09:36
2011-12-30,1901-04-30 07:55:12
2012-01-02,1901-04-30 07:55:12
2012-01-03,1901-05-11 12:14:24
2012-01-04,1901-05-08 17:09:36
2012-01-05,1901-04-30 07:55:12
2012-01-06,1901-04-25 04:04:48
2012-01-09,1901-04-28 14:38:24
2012-01-10,1901-05-10 13:29:16.800000
2012-01-11,1901-05-06 15:00:00
2012-01-12,1901-05-12 18:00:00
2012-01-13,1901-05-07 01:29:16.800000
2012-01-16,1901-05-07 01:29:16.800000
2012-01-17,1901-05-11 15:21:36
2012-01-18,1901-05-26 19:40:48
2012-01-19,1901-06-03 23:02:24
2012-01-20,1901-05-31 05:16:48
2012-01-23,1901-06-03 17:45:36
2012-01-24,1901-05-27 07:12:00
2012-01-25,1901-05-28 14:31:12
