Date,mkt_cap
2013-10-07,300.384
2013-10-08,297.36
2013-10-09,274.131
2013-10-10,279.396
2013-10-11,281.268
2013-10-14,286.433
2013-10-15,286.79
2013-10-16,288.526
2013-10-17,292.145
2013-10-18,293.989
2013-10-21,295.715
2013-10-22,299.64
2013-10-23,298.69
2013-10-24,299.642
2013-10-25,299.047
2013-10-28,298.571
2013-10-29,299.166
2013-10-30,298.452
2013-10-31,297.739
2013-11-01,295.953
2013-11-04,297.619
2013-11-05,294.763
2013-11-06,298.214
2013-11-07,292.74
2013-11-08,294.525
2013-11-11,296.072
2013-11-12,294.882
2013-11-13,296.905
2013-11-14,297.738
2013-11-15,299.228
2013-11-18,298.989
2013-11-19,299.586
2013-11-20,296.599
2013-11-21,298.272
2013-11-22,299.825
2013-11-25,299.944
2013-11-26,300.184
2013-11-27,301.537
2013-11-28,301.537
2013-11-29,301.976
2013-12-02,299.706
2013-12-03,298.75
2013-12-04,295.619
2013-12-05,294.209
2013-12-06,298.033
2013-12-09,297.196
2013-12-10,297.077
2013-12-11,294.448
2013-12-12,289.668
2013-12-13,290.026
2013-12-16,293.611
2013-12-17,287.92
2013-12-18,290.988
2013-12-19,292.05
2013-12-20,295.354
2013-12-23,298.068
2013-12-24,300.546
2013-12-25,300.546
2013-12-26,302.434
2013-12-27,303.496
2013-12-30,304.322
2013-12-31,305.974
2014-01-01,305.974
2014-01-02,301.126
2014-01-03,300.664
2014-01-06,300.428
2014-01-07,302.316
2014-01-08,302.434
2014-01-09,302.788
2014-01-10,305.03
2014-01-13,303.024
2014-01-14,307.862
2014-01-15,307.154
2014-01-16,315.778
2014-01-17,312.376
2014-01-20,312.376
2014-01-21,313.47
2014-01-22,314.32
2014-01-23,314.806
2014-01-24,305.208
2014-01-27,303.264
2014-01-28,305.329
2014-01-29,300.955
2014-01-30,300.591
2014-01-31,295.488
2014-02-03,291.843
2014-02-04,294.273
2014-02-05,295.488
2014-02-06,301.806
2014-02-07,304.114
2014-02-10,303.264
2014-02-11,307.273
2014-02-12,307.638
2014-02-13,309.46
2014-02-14,311.04
2014-02-17,311.04
2014-02-18,314.017
2014-02-19,310.918
2014-02-20,310.554
2014-02-21,310.797
2014-02-24,312.255
2014-02-25,311.89
2014-02-26,308.974
2014-02-27,311.04
2014-02-28,312.255
2014-03-03,303.75
2014-03-04,311.769
2014-03-05,311.526
2014-03-06,316.143
2014-03-07,320.112
2014-03-10,310.486
2014-03-11,309.639
2014-03-12,309.518
2014-03-13,302.621
2014-03-14,302.137
2014-03-17,306.493
2014-03-18,308.792
2014-03-19,304.436
2014-03-20,305.162
2014-03-21,303.226
2014-03-24,301.98
2014-03-25,302.855
2014-03-26,260.1
2014-03-27,261.324
2014-03-28,263.67
2014-03-31,266.424
2014-04-01,268.566
2014-04-02,268.158
2014-04-03,267.036
2014-04-04,265.302
2014-04-07,264.588
2014-04-08,246.715
2014-04-09,249.47
2014-04-10,245.29
2014-04-11,242.535
2014-04-14,241.49
2014-04-15,240.255
2014-04-16,242.344
2014-04-17,242.535
2014-04-18,242.535
2014-04-21,242.82
2014-04-22,243.105
2014-04-23,242.44
2014-04-24,241.585
2014-04-25,239.4
2014-04-28,240.16
2014-04-29,242.25
2014-04-30,244.15
2014-05-01,244.388
2014-05-02,242.82
2014-05-05,242.44
2014-05-06,242.155
2014-05-07,243.874
2014-05-08,244.53
2014-05-09,243.485
2014-05-12,234.395
2014-05-13,233.038
2014-05-14,232.223
2014-05-15,229.68
2014-05-16,228.781
2014-05-19,229.86
2014-05-20,228.96
2014-05-21,230.4
2014-05-22,230.58
2014-05-23,231.525
2014-05-26,231.525
2014-05-27,232.47
2014-05-28,231.3
2014-05-29,232.92
2014-05-30,233.28
2014-06-02,233.1
2014-06-03,233.236
2014-06-04,233.1
2014-06-05,237.382
2014-06-06,238.468
2014-06-09,238.288
2014-06-10,237.925
2014-06-11,236.386
2014-06-12,236.477
2014-06-13,235.662
2014-06-16,235.843
2014-06-17,236.386
2014-06-18,238.468
2014-06-19,238.92
2014-06-20,238.287
2014-06-23,236.567
2014-06-24,227.062
2014-06-25,223.213
2014-06-26,222.25
2014-06-27,219.71
2014-06-30,221.44
2014-07-01,222.651
2014-07-02,222.824
2014-07-03,224.121
2014-07-04,224.121
2014-07-07,221.267
2014-07-08,218.931
2014-07-09,219.926
2014-07-10,215.212
2014-07-11,214.347
2014-07-14,215.644
2014-07-15,214.001
2014-07-16,215.211
2014-07-17,196.823
2014-07-18,198.191
2014-07-21,185.579
2014-07-22,183.642
2014-07-23,184.276
2014-07-24,184.983
2014-07-25,182.227
2014-07-28,182.19
2014-07-29,182.301
2014-07-30,183.493
2014-07-31,179.619
2014-08-01,178.874
2014-08-04,177.831
2014-08-05,174.268
2014-08-06,174.783
2014-08-07,161.728
2014-08-08,161.934
2014-08-11,163.475
2014-08-12,162.619
2014-08-13,163.167
2014-08-14,159.996
2014-08-15,161.135
2014-08-18,161.671
2014-08-19,162.475
2014-08-20,162.475
2014-08-21,164.016
2014-08-22,162.81
2014-08-25,164.083
2014-08-26,164.686
2014-08-27,165.289
2014-08-28,164.82
2014-08-29,164.82
2014-09-01,164.82
2014-09-02,165.423
2014-09-03,164.142
2014-09-04,163.152
2014-09-05,164.01
2014-09-08,162.624
2014-09-09,162.36
2014-09-10,162.954
2014-09-11,162.228
2014-09-12,162.558
2014-09-15,162.822
2014-09-16,163.152
2014-09-17,161.568
2014-09-18,163.548
2014-09-19,163.35
2014-09-22,162.492
2014-09-23,161.379
2014-09-24,161.832
2014-09-25,159.654
2014-09-26,159.918
2014-09-29,159.192
2014-09-30,159.324
2014-10-01,157.344
2014-10-02,155.43
2014-10-03,155.43
2014-10-06,157.014
2014-10-07,153.978
2014-10-08,156.75
2014-10-09,152.922
2014-10-10,150.414
2014-10-13,149.688
2014-10-14,149.886
2014-10-15,148.368
2014-10-16,145.992
2014-10-17,149.094
2014-10-20,150.084
2014-10-21,152.988
2014-10-22,150.744
2014-10-23,152.064
2014-10-24,152.724
2014-10-27,152.856
2014-10-28,156.09
2014-10-29,146.727
2014-10-30,147.798
2014-10-31,149.689
2014-11-03,148.428
2014-11-04,148.491
2014-11-05,149.499
2014-11-06,149.562
2014-11-07,149.121
2014-11-10,150.57
2014-11-11,151.326
2014-11-12,150.066
2014-11-13,151.011
2014-11-14,151.263
2014-11-17,151.326
2014-11-18,153.279
2014-11-19,145.358
2014-11-20,144.763
2014-11-21,144.704
2014-11-24,145.715
2014-11-25,146.37
2014-11-26,147.203
2014-11-27,147.203
2014-11-28,148.214
2014-12-01,148.333
2014-12-02,150.887
2014-12-03,150.222
2014-12-04,150.101
2014-12-05,155.124
2014-12-08,153.822
2014-12-09,152.83
2014-12-10,151.652
2014-12-11,151.032
2014-12-12,148.056
2014-12-15,145.514
2014-12-16,145.14
2014-12-17,144.956
2014-12-18,148.676
2014-12-19,147.6
2014-12-22,149.261
2014-12-23,149.63
