Date,mkt_cap
2011-08-12,1687.28
2011-08-15,1726.58
2011-08-16,1693.83
2011-08-17,1691.21
2011-08-18,1621.78
2011-08-19,1612.61
2011-08-22,1612.61
2011-08-23,1661.08
2011-08-24,1634.88
2011-08-25,1615.23
2011-08-26,1638.81
2011-08-29,1673.53
2011-08-30,1672.87
2011-08-31,1709.53
2011-09-01,1682.09
2011-09-02,1658.54
2011-09-05,1658.54
2011-09-06,1650.7
2011-09-07,1693.86
2011-09-08,1665.08
2011-09-09,1606.53
2011-09-12,1589.58
2011-09-13,1589.22
2011-09-14,1586.6
2011-09-15,1608.84
2011-09-16,1614.07
2011-09-19,1549.81
2011-09-20,1548.51
2011-09-21,1484.91
2011-09-22,1436.89
2011-09-23,1471.12
2011-09-26,1467.87
2011-09-27,1507.89
2011-09-28,1455.6
2011-09-29,1467.87
2011-09-30,1412.4
2011-10-03,1365.76
2011-10-04,1370.88
2011-10-05,1383.94
2011-10-06,1415.08
2011-10-07,1406.15
2011-10-10,1480.16
2011-10-11,1473.78
2011-10-12,1505.68
2011-10-13,1488.24
2011-10-14,1514.95
2011-10-17,1485.7
2011-10-18,1506.05
2011-10-19,1478.49
2011-10-20,1465.81
2011-10-21,1476.72
2011-10-24,1519.56
2011-10-25,1494.36
2011-10-26,1509.48
2011-10-27,1602.72
2011-10-28,1611.54
2011-10-31,1543.5
2011-11-01,1486.8
2011-11-02,1527.12
2011-11-03,1542.24
2011-11-04,1538.46
2011-11-07,1543.5
2011-11-08,1551.06
2011-11-09,1477.98
2011-11-10,1474.2
2011-11-11,1498.14
2011-11-14,1495.62
2011-11-15,1499.4
2011-11-16,1464.12
2011-11-17,1439.38
2011-11-18,1431.84
2011-11-21,1400.44
2011-11-22,1399.13
2011-11-23,1362.33
2011-11-24,1362.33
2011-11-25,1348.66
2011-11-28,1393.4
2011-11-29,1386.56
2011-11-30,1453.6
2011-12-01,1443.71
2011-12-02,1440.01
2011-12-05,1454.83
2011-12-06,1440.01
2011-12-07,1445.57
2011-12-08,1386.9
2011-12-09,1403.15
2011-12-12,1374.8
2011-12-13,1364.31
2011-12-14,1335.9
2011-12-15,1323.5
2011-12-16,1338.05
2011-12-19,1291.91
2011-12-20,1292.34
2011-12-21,1301.86
2011-12-22,1311.38
2011-12-23,1310.61
2011-12-26,1310.61
2011-12-27,1296.39
2011-12-28,1280.11
2011-12-29,1291.93
2011-12-30,1274.69
2012-01-02,1274.69
2012-01-03,1318.24
2012-01-04,1311.57
2012-01-05,1308.06
2012-01-06,1294.2
2012-01-09,1282.53
2012-01-10,1317.54
2012-01-11,1319.88
2012-01-12,1330.38
2012-01-13,1351.22
2012-01-16,1351.22
2012-01-17,1366.51
2012-01-18,1385.33
2012-01-19,1393.56
2012-01-20,1404.14
2012-01-23,1413.55
2012-01-24,1412.38
2012-01-25,1441.78
2012-01-26,1438.25
2012-01-27,1460.59
2012-01-30,1446.48
2012-01-31,1455.89
2012-02-01,1472.35
2012-02-02,1474.7
2012-02-03,1497.05
2012-02-06,1492.34
2012-02-07,1495.87
2012-02-08,1514.69
2012-02-09,1508.81
2012-02-10,1475.88
2012-02-13,1499.4
2012-02-14,1494.7
2012-02-15,1495.87
2012-02-16,1498.22
2012-02-17,1506.46
2012-02-20,1506.46
2012-02-21,1513.51
2012-02-22,1512.34
2012-02-23,1536.86
2012-02-24,1530.88
2012-02-27,1523.7
2012-02-28,1533.27
2012-02-29,1545.51
2012-03-01,1558.7
2012-03-02,1556.3
2012-03-05,1531.12
2012-03-06,1481.96
2012-03-07,1491.56
2012-03-08,1529.92
2012-03-09,1525.13
2012-03-12,1509.54
2012-03-13,1543.11
2012-03-14,1532.32
2012-03-15,1540.72
2012-03-16,1547.91
2012-03-19,1539.52
2012-03-20,1519.13
