Date,mkt_cap
2011-08-12,2980.06
2011-08-15,3011.04
2011-08-16,2924
2011-08-17,2909.82
2011-08-18,2775.08
2011-08-19,2701.07
2011-08-22,2702.37
2011-08-23,2825.68
2011-08-24,2785.72
2011-08-25,2702.44
2011-08-26,2731.46
2011-08-29,2808.2
2011-08-30,2810.27
2011-08-31,2849.68
2011-09-01,2818.57
2011-09-02,2769.89
2011-09-05,2769.89
2011-09-06,2732.74
2011-09-07,2809.63
2011-09-08,2739.8
2011-09-09,2719.56
2011-09-12,2727.86
2011-09-13,2698.8
2011-09-14,2675.96
2011-09-15,2727.86
2011-09-16,2765.23
2011-09-19,2688.42
2011-09-20,2643.5
2011-09-21,2588.04
2011-09-22,2418.05
2011-09-23,2460.75
2011-09-26,2411.88
2011-09-27,2492.68
2011-09-28,2441.17
2011-09-29,2446
2011-09-30,2362
2011-10-03,2330
2011-10-04,2404
2011-10-05,2405.48
2011-10-06,2436.41
2011-10-07,2406.77
2011-10-10,2489.76
2011-10-11,2497.66
2011-10-12,2523.35
2011-10-13,2507.54
2011-10-14,2533.23
2011-10-17,2475.74
2011-10-18,2511.17
2011-10-19,2473.78
2011-10-20,2428.51
2011-10-21,2472.79
2011-10-24,2548.56
2011-10-25,2501.12
2011-10-26,2530.43
2011-10-27,2641.81
2011-10-28,2595.89
2011-10-31,2529.45
2011-11-01,2516.75
2011-11-02,2559.74
2011-11-03,2553.88
2011-11-04,2567.56
2011-11-07,2563.65
2011-11-08,2587.1
2011-11-09,2481.58
2011-11-10,2456.18
2011-11-11,2505.03
2011-11-14,2503.07
2011-11-15,2518.71
2011-11-16,2458.13
2011-11-17,2413.19
2011-11-18,2405.78
2011-11-21,2316.81
2011-11-22,2324.57
2011-11-23,2227.22
2011-11-24,2227.22
2011-11-25,2221.43
2011-11-28,2300.56
2011-11-29,2294.77
2011-11-30,2371.2
2011-12-01,2398.08
2011-12-02,2369.28
2011-12-05,2378.88
2011-12-06,2325.12
2011-12-07,2340.48
2011-12-08,2275.2
2011-12-09,2302.08
2011-12-12,2273.28
2011-12-13,2252.34
2011-12-14,2236.75
2011-12-15,2213.64
2011-12-16,2194.92
2011-12-19,2136.76
2011-12-20,2093.65
2011-12-21,2166.43
2011-12-22,2192.55
2011-12-23,2223.34
2011-12-26,2223.34
2011-12-27,2207.48
2011-12-28,2168.29
2011-12-29,2203.75
2011-12-30,2185.09
2012-01-02,2185.09
2012-01-03,2209.34
2012-01-04,2200.01
2012-01-05,2220.54
2012-01-06,2206.55
2012-01-09,2219.61
2012-01-10,2270.92
2012-01-11,2274.65
2012-01-12,2282.12
2012-01-13,2244.46
2012-01-16,2244.46
2012-01-17,2256.54
2012-01-18,2290.91
2012-01-19,2324.36
2012-01-20,2315.07
2012-01-23,2335.51
2012-01-24,2332.72
2012-01-25,2352.23
2012-01-26,2348.51
2012-01-27,2344.8
2012-01-30,2326.22
2012-01-31,2368.95
2012-02-01,2402.39
2012-02-02,2402.4
2012-02-03,2447.68
2012-02-06,2415.34
2012-02-07,2428.27
2012-02-08,2455.57
2012-02-09,2477.62
2012-02-10,2425.24
2012-02-13,2451.89
2012-02-14,2437.19
2012-02-15,2459.24
2012-02-16,2457.23
2012-02-17,2467.9
2012-02-20,2467.9
2012-02-21,2444.78
2012-02-22,2485.54
2012-02-23,2473
2012-02-24,2491.11
2012-02-27,2470.58
2012-02-28,2507.9
2012-02-29,2553.24
2012-03-01,2594.51
2012-03-02,2566.37
2012-03-05,2521.34
2012-03-06,2463.94
2012-03-07,2499.62
2012-03-08,2531.54
2012-03-09,2527.79
2012-03-12,2495.86
2012-03-13,2569.1
2012-03-14,2548.45
2012-03-15,2561.59
2012-03-16,2541.14
2012-03-19,2539.27
2012-03-20,2492.42
2012-03-21,2517.72
2012-03-22,2510.22
2012-03-23,2533.65
2012-03-26,2516.4
2012-03-27,2507.08
2012-03-28,2508.94
2012-03-29,2475.39
2012-03-30,2500.56
2012-04-02,2488.44
2012-04-03,2434.38
2012-04-04,2394.31
2012-04-05,2406.49
2012-04-06,2406.49
2012-04-09,2385.17
2012-04-10,2354.58
2012-04-11,2388.9
2012-04-12,2408.04
2012-04-13,2404.37
2012-04-16,2389.7
2012-04-17,2387.87
2012-04-18,2362.19
2012-04-19,2362.19
2012-04-20,2343.85
2012-04-23,2309.01
2012-04-24,2329.18
2012-04-25,2369.53
2012-04-26,2384.2
2012-04-27,2358.52
2012-04-30,2348.44
2012-05-01,2358.52
2012-05-02,2399.13
2012-05-03,2389.98
2012-05-04,2369.85
2012-05-07,2355.21
2012-05-08,2331.42
2012-05-09,2313.12
2012-05-10,2322.27
2012-05-11,2294.82
2012-05-14,2258.22
2012-05-15,2265.54
2012-05-16,2219.79
2012-05-17,2261.76
2012-05-18,2232
2012-05-21,2271.74
2012-05-22,2269.89
2012-05-23,2219.04
2012-05-24,2191.44
2012-05-25,2169.36
2012-05-28,2169.36
2012-05-29,2261.36
2012-05-30,2196
2012-05-31,2179.84
2012-06-01,2078.72
2012-06-04,2059.26
2012-06-05,2070.87
2012-06-06,2119.98
2012-06-07,2119.98
2012-06-08,2089.62
2012-06-11,2073.55
2012-06-12,2090.35
2012-06-13,2074.13
2012-06-14,2085.64
2012-06-15,2119.69
2012-06-18,2124.97
2012-06-19,2148.76
2012-06-20,2140.25
2012-06-21,2074.62
2012-06-22,2081.69
2012-06-25,2039.88
2012-06-26,2049.1
2012-06-27,2051.14
2012-06-28,2027.01
2012-06-29,2083.99
2012-07-02,2083.99
2012-07-03,2124.89
2012-07-04,2124.89
2012-07-05,2111.26
2012-07-06,2078.88
2012-07-09,2080.58
2012-07-10,2053.32
2012-07-11,2055.02
2012-07-12,1993.17
2012-07-13,2008.31
2012-07-16,1990.8
2012-07-17,2005.92
2012-07-18,1985.36
2012-07-19,1985.7
2012-07-20,2010.12
2012-07-23,1992.38
2012-07-24,2010.57
2012-07-25,1974.32
2012-07-26,1971.29
2012-07-27,2031.48
2012-07-30,2021.45
2012-07-31,2029.96
2012-08-01,2036.63
2012-08-02,2023.28
2012-08-03,2073.32
2012-08-06,2095.7
2012-08-07,2137.19
2012-08-08,2174.77
2012-08-09,2242.34
2012-08-10,2264.16
2012-08-13,2246.36
2012-08-14,2262.38
2012-08-15,2258.82
2012-08-16,2278.4
2012-08-17,2267.46
2012-08-20,2260.33
2012-08-21,2272.82
2012-08-22,2275.36
2012-08-23,2257.5
2012-08-24,2266.43
2012-08-27,2255.72
2012-08-28,2234.29
2012-08-29,2237.86
2012-08-30,2228.93
2012-08-31,2261.08
2012-09-03,2261.08
2012-09-04,2254.83
2012-09-05,2236.07
2012-09-06,2261.08
2012-09-07,2293.22
2012-09-10,2288.76
2012-09-11,2319.04
2012-09-12,2356.58
2012-09-13,2401.28
2012-09-14,2434.4
2012-09-17,2449.82
2012-09-18,2466.05
2012-09-19,2478.77
2012-09-20,2474.16
2012-09-21,2477.78
2012-09-24,2485.99
2012-09-25,2446.56
2012-09-26,2438
2012-09-27,2468.36
2012-09-28,2486
2012-10-01,2503.66
2012-10-02,2523.01
2012-10-03,2511.84
2012-10-04,2509.98
2012-10-05,2513.7
2012-10-08,2476.46
2012-10-09,2446.67
2012-10-10,2429.91
2012-10-11,2424.32
2012-10-12,2411.29
2012-10-15,2442.94
2012-10-16,2460.48
2012-10-17,2466.19
2012-10-18,2441.84
2012-10-19,2391.51
2012-10-22,2412.02
2012-10-23,2345.98
2012-10-24,2360.83
2012-10-25,2364.54
2012-10-26,2340.42
2012-10-29,2340.42
2012-10-30,2340.42
2012-10-31,2340.42
2012-11-01,2370.11
2012-11-02,2345.98
2012-11-05,2368.26
2012-11-06,2392.38
2012-11-07,2358.98
2012-11-08,2360.83
2012-11-09,2399.81
2012-11-12,2407.23
2012-11-13,2358.98
2012-11-14,2334.85
2012-11-15,2353.41
2012-11-16,2355.26
2012-11-19,2383.1
2012-11-20,2381.96
2012-11-21,2357.96
2012-11-22,2357.96
2012-11-23,2468.03
2012-11-26,2493.2
2012-11-27,2506.51
2012-11-28,2546.78
2012-11-29,2592.78
2012-11-30,2606.23
2012-12-03,2594.7
2012-12-04,2604.31
2012-12-05,2633.32
2012-12-06,2656.66
2012-12-07,2675.22
2012-12-10,2661.34
2012-12-11,2682.84
2012-12-12,2700.08
2012-12-13,2725.3
2012-12-14,2733.18
2012-12-17,2731.03
2012-12-18,2694.65
2012-12-19,2664.66
2012-12-20,2664.66
2012-12-21,2632.63
2012-12-24,2632.63
2012-12-25,2632.63
2012-12-26,2650.65
2012-12-27,2681.34
2012-12-28,2697.42
2012-12-31,2737.62
2013-01-01,2737.62
2013-01-02,2777.82
2013-01-03,2749.68
2013-01-04,2739.63
2013-01-07,2709.25
2013-01-08,2685.36
2013-01-09,2709.48
2013-01-10,2769.42
2013-01-11,2749.22
2013-01-14,2743.16
2013-01-15,2727
2013-01-16,2700.74
2013-01-17,2706.8
2013-01-18,2716.9
2013-01-21,2716.9
2013-01-22,2722.96
2013-01-23,2714.88
2013-01-24,2688.62
2013-01-25,2674.48
2013-01-28,2664.38
2013-01-29,2704.78
2013-01-30,2702.76
2013-01-31,2706.8
2013-02-01,2714.88
2013-02-04,2710.84
2013-02-05,2712.86
2013-02-06,2722.93
2013-02-07,2712.86
2013-02-08,2722.93
2013-02-11,2730.98
2013-02-12,2737.03
2013-02-13,2739.04
2013-02-14,2757.17
2013-02-15,2747.1
2013-02-18,2747.1
2013-02-19,2763.21
2013-02-20,2753.14
2013-02-21,2720.91
2013-02-22,2735.01
2013-02-25,2682.65
2013-02-26,2694.73
2013-02-27,2720.91
2013-02-28,2722.93
2013-03-01,2729.98
2013-03-04,2688.69
2013-03-05,2733
2013-03-06,2730.98
