Date,mkt_cap
2011-08-12,1143.01
2011-08-15,1167.02
2011-08-16,1155.13
2011-08-17,1162.08
2011-08-18,1109.13
2011-08-19,1096.48
2011-08-22,1139.53
2011-08-23,1174.57
2011-08-24,1175.3
2011-08-25,1137.34
2011-08-26,1151.21
2011-08-29,1181.14
2011-08-30,1176.03
2011-08-31,1195.74
2011-09-01,1188.44
2011-09-02,1168
2011-09-05,1168
2011-09-06,1140.26
2011-09-07,1172.38
2011-09-08,1157.71
2011-09-09,1127.12
2011-09-12,1127.85
2011-09-13,1128.58
2011-09-14,1147.56
2011-09-15,1168.73
2011-09-16,1169.46
2011-09-19,1137.34
2011-09-20,1149.02
2011-09-21,1106.68
2011-09-22,1065.07
2011-09-23,1073.83
2011-09-26,1099.38
2011-09-27,1124.93
2011-09-28,1100.11
2011-09-29,1113.25
2011-09-30,1078.21
2011-10-03,1057.04
2011-10-04,1070.91
2011-10-05,1091.35
2011-10-06,1128.58
2011-10-07,1130.04
2011-10-10,1168.73
2011-10-11,1159.97
2011-10-12,1208.25
2011-10-13,1211.25
2011-10-14,1230.75
2011-10-17,1206
2011-10-18,1220.25
2011-10-19,1203.75
2011-10-20,1212.75
2011-10-21,1241.25
2011-10-24,1258.5
2011-10-25,1272.58
2011-10-26,1293.31
2011-10-27,1344
2011-10-28,1332.48
2011-10-31,1281.02
2011-11-01,1248.77
2011-11-02,1266.43
2011-11-03,1298.69
2011-11-04,1293.31
2011-11-07,1292.54
2011-11-08,1317.89
2011-11-09,1243.39
2011-11-10,1261.82
2011-11-11,1289.47
2011-11-14,1269.5
2011-11-15,1271.04
2011-11-16,1246.46
2011-11-17,1227.26
2011-11-18,1226.5
2011-11-21,1190.4
2011-11-22,1185.02
2011-11-23,1155.07
2011-11-24,1155.07
2011-11-25,1152
2011-11-28,1194.24
2011-11-29,1204.22
2011-11-30,1260.29
2011-12-01,1252.61
2011-12-02,1251.84
2011-12-05,1264.13
2011-12-06,1264.9
2011-12-07,1275.65
2011-12-08,1241.86
2011-12-09,1266.43
2011-12-12,1236.48
2011-12-13,1246.44
2011-12-14,1248.98
2011-12-15,1258.49
2011-12-16,1265.56
2011-12-19,1262.2
2011-12-20,1281.54
2011-12-21,1277.51
2011-12-22,1292.82
2011-12-23,1302.5
2011-12-26,1302.5
