Date,mkt_cap
2011-08-12,4059.12
2011-08-15,4148.94
2011-08-16,4148.94
2011-08-17,4153.92
2011-08-18,3856.91
2011-08-19,3692.44
2011-08-22,3642.44
2011-08-23,3847.34
2011-08-24,3790.8
2011-08-25,3685.8
2011-08-26,3807.06
2011-08-29,3967.77
2011-08-30,3957.73
2011-08-31,4068.23
2011-09-01,4019.44
2011-09-02,3910.21
2011-09-05,3910.21
2011-09-06,3861.55
2011-09-07,4016.82
2011-09-08,3895.71
2011-09-09,3723.76
2011-09-12,3723.04
2011-09-13,3738.03
2011-09-14,3683.25
2011-09-15,3762.29
2011-09-16,3822.93
2011-09-19,3679.52
2011-09-20,3698.07
2011-09-21,3566.07
2011-09-22,3258.55
2011-09-23,3304.24
2011-09-26,3339.87
2011-09-27,3477.03
2011-09-28,3352.59
2011-09-29,3433.9
2011-09-30,3259.9
2011-10-03,3168.9
2011-10-04,3276
2011-10-05,3213.27
2011-10-06,3313.45
2011-10-07,3304.59
2011-10-10,3458.61
2011-10-11,3438.17
2011-10-12,3543.8
2011-10-13,3506.32
2011-10-14,3599.68
2011-10-17,3497.25
2011-10-18,3584.1
2011-10-19,3569.34
2011-10-20,3483.12
2011-10-21,3547.01
2011-10-24,3714.39
2011-10-25,3586.52
2011-10-26,3608.31
2011-10-27,3820.62
2011-10-28,3709.04
2011-10-31,3576.07
2011-11-01,3519.91
2011-11-02,3569.69
2011-11-03,3554.7
2011-11-04,3596.58
2011-11-07,3604.85
2011-11-08,3609.3
2011-11-09,3402.6
2011-11-10,3385.43
2011-11-11,3457.03
2011-11-14,3440.64
2011-11-15,3416.02
2011-11-16,3331.08
2011-11-17,3218.6
2011-11-18,3216.72
2011-11-21,3079.8
2011-11-22,3102.41
2011-11-23,2943.9
2011-11-24,2943.9
2011-11-25,2929.11
2011-11-28,3075.21
2011-11-29,3133.18
2011-11-30,3315.95
2011-12-01,3311.22
2011-12-02,3288.15
2011-12-05,3336.06
2011-12-06,3298.2
2011-12-07,3301.16
2011-12-08,3196.47
2011-12-09,3220.65
2011-12-12,3118.17
2011-12-13,3059.51
2011-12-14,2983.91
2011-12-15,2990.9
2011-12-16,2997.48
2011-12-19,2864.89
2011-12-20,2985.32
2011-12-21,3029.33
2011-12-22,3060.13
2011-12-23,3084.53
2011-12-26,3084.53
2011-12-27,3010.16
2011-12-28,2990.99
2011-12-29,3032.82
2011-12-30,3036.31
2012-01-02,3036.31
2012-01-03,3153.09
2012-01-04,3138.56
2012-01-05,3101.38
2012-01-06,3032.24
2012-01-09,3025.27
2012-01-10,3088.01
2012-01-11,3054.9
2012-01-12,3090.34
2012-01-13,3085.49
2012-01-16,3085.49
2012-01-17,3145.13
2012-01-18,3196.66
2012-01-19,3252.24
2012-01-20,3286.4
2012-01-23,3331.57
2012-01-24,3330.99
2012-01-25,3361.67
2012-01-26,3330.41
2012-01-27,3354.73
2012-01-30,3300.88
2012-01-31,3321.14
2012-02-01,3370.36
2012-02-02,3385.41
2012-02-03,3417.84
2012-02-06,3382.56
2012-02-07,3403.44
2012-02-08,3431.86
2012-02-09,3433.02
2012-02-10,3347.18
2012-02-13,3411.56
2012-02-14,3386.04
2012-02-15,3415.62
2012-02-16,3419.1
2012-02-17,3446.36
2012-02-20,3446.36
2012-02-21,3431.28
2012-02-22,3425.48
2012-02-23,3394.16
2012-02-24,3435.92
2012-02-27,3386.62
2012-02-28,3417.94
2012-02-29,3472.17
2012-03-01,3497.98
2012-03-02,3488.12
2012-03-05,3442.88
2012-03-06,3343.12
2012-03-07,3386.04
2012-03-08,3445.27
2012-03-09,3445.27
2012-03-12,3401.42
2012-03-13,3507.58
2012-03-14,3463.73
2012-03-15,3500.08
2012-03-16,3476.45
2012-03-19,3492.55
2012-03-20,3429.28
2012-03-21,3416.11
2012-03-22,3378.32
2012-03-23,3387.06
