Date,mkt_cap
2011-08-12,1929-04-13 09:36:00
2011-08-15,1930-02-16 00:00:00
2011-08-16,1929-11-27 19:12:00
2011-08-17,1930-07-03 16:48:00
2011-08-18,1929-03-18 04:48:00
2011-08-19,1928-10-14 00:00:00
2011-08-22,1928-09-16 04:48:00
2011-08-23,1929-05-05 12:00:00
2011-08-24,1929-03-20 00:00:00
2011-08-25,1928-11-17 21:36:00
2011-08-26,1929-04-08 02:24:00
2011-08-29,1930-03-10 14:24:00
2011-08-30,1930-08-12 19:12:00
2011-08-31,1931-04-06 21:36:00
2011-09-01,1931-06-17 09:36:00
2011-09-02,1930-06-25 00:00:00
2011-09-05,1930-06-25 00:00:00
2011-09-06,1930-01-13 19:12:00
2011-09-07,1930-10-16 07:12:00
2011-09-08,1930-05-31 14:24:00
2011-09-09,1929-02-06 02:24:00
2011-09-12,1928-08-19 07:12:00
2011-09-13,1928-07-27 14:24:00
2011-09-14,1928-10-24 12:00:00
2011-09-15,1929-01-28 09:36:00
2011-09-16,1929-02-02 14:24:00
2011-09-19,1928-05-15 09:36:00
2011-09-20,1928-01-19 12:00:00
2011-09-21,1926-10-28 11:16:48
2011-09-22,1924-12-30 13:55:12
2011-09-23,1925-07-29 11:31:12
2011-09-26,1925-12-31 14:38:24
2011-09-27,1926-07-13 01:55:12
2011-09-28,1925-11-05 19:55:12
2011-09-29,1925-10-12 10:19:12
2011-09-30,1924-10-25 08:09:36
2011-10-03,1924-04-13 03:07:12
2011-10-04,1924-03-04 13:12:00
2011-10-05,1924-07-26 01:40:48
2011-10-06,1925-08-23 05:02:24
2011-10-07,1925-03-20 02:52:48
2011-10-10,1926-02-11 21:07:12
2011-10-11,1926-05-19 17:31:12
2011-10-12,1927-02-15 13:40:48
2011-10-13,1926-11-17 12:28:48
2011-10-14,1927-05-06 10:04:48
2011-10-17,1926-04-08 22:48:00
2011-10-18,1926-12-23 04:48:00
2011-10-19,1926-08-11 04:04:48
2011-10-20,1925-12-27 07:26:24
2011-10-21,1926-07-27 19:26:24
2011-10-24,1927-08-21 09:36:00
2011-10-25,1927-02-01 16:48:00
2011-10-26,1927-07-15 07:12:00
2011-10-27,1929-02-24 14:24:00
2011-10-28,1929-10-13 14:24:00
2011-10-31,1928-09-25 21:36:00
2011-11-01,1927-11-02 00:00:00
2011-11-02,1928-05-26 12:00:00
2011-11-03,1928-07-02 00:00:00
2011-11-04,1928-07-12 00:00:00
2011-11-07,1928-09-27 07:12:00
2011-11-08,1929-01-31 07:12:00
2011-11-09,1927-08-04 07:12:00
2011-11-10,1927-10-12 04:48:00
2011-11-11,1928-05-27 16:48:00
2011-11-14,1928-01-24 09:36:00
2011-11-15,1928-03-19 19:12:00
2011-11-16,1927-10-17 04:48:00
2011-11-17,1927-02-09 11:45:36
2011-11-18,1927-01-17 01:40:48
2011-11-21,1926-05-03 08:52:48
2011-11-22,1926-01-18 11:31:12
2011-11-23,1925-01-23 20:09:36
2011-11-24,1925-01-23 20:09:36
2011-11-25,1924-09-30 22:48:00
2011-11-28,1925-09-13 22:19:12
2011-11-29,1925-06-06 00:43:12
2011-11-30,1926-11-25 19:55:12
2011-12-01,1927-04-18 00:28:48
2011-12-02,1927-05-09 15:50:24
2011-12-05,1928-01-09 09:36:00
2011-12-06,1927-12-20 09:36:00
2011-12-07,1927-11-10 12:00:00
2011-12-08,1926-09-01 07:55:12
2011-12-09,1927-04-27 15:36:00
2011-12-12,1926-06-30 10:33:36
2011-12-13,1925-12-17 10:04:48
2011-12-14,1925-05-08 01:26:24
2011-12-15,1925-04-16 07:40:48
2011-12-16,1925-06-12 10:48:00
2011-12-19,1924-11-20 09:21:36
2011-12-20,1925-09-18 09:50:24
2011-12-21,1925-08-23 06:43:12
2011-12-22,1925-11-30 01:12:00
2011-12-23,1926-01-25 08:52:48
2011-12-26,1926-01-25 08:52:48
2011-12-27,1925-12-22 02:09:36
2011-12-28,1925-04-09 18:57:36
2011-12-29,1925-06-09 04:33:36
2011-12-30,1925-08-24 22:04:48
2012-01-02,1925-08-24 22:04:48
2012-01-03,1926-09-06 00:28:48
2012-01-04,1926-10-11 22:33:36
2012-01-05,1925-10-08 06:28:48
2012-01-06,1925-07-06 07:26:24
2012-01-09,1926-01-18 04:33:36
2012-01-10,1926-08-02 01:26:24
2012-01-11,1926-09-26 19:12:00
2012-01-12,1927-02-01 04:48:00
2012-01-13,1926-09-14 15:36:00
2012-01-16,1926-09-14 15:36:00
2012-01-17,1927-05-04 18:57:36
2012-01-18,1928-02-15 00:00:00
2012-01-19,1928-03-16 04:48:00
