Date,mkt_cap
2011-08-12,496.188
2011-08-15,508.662
2011-08-16,496.881
2011-08-17,483.516
2011-08-18,457.564
2011-08-19,456.688
2011-08-22,463.915
2011-08-23,469.171
2011-08-24,467.054
2011-08-25,459.243
2011-08-26,470.996
2011-08-29,488.954
2011-08-30,491.509
2011-08-31,502.678
2011-09-01,502.167
2011-09-02,492.093
2011-09-05,492.093
2011-09-06,482.311
2011-09-07,499.977
2011-09-08,490.998
2011-09-09,479.537
2011-09-12,486.975
2011-09-13,520.215
2011-09-14,518.635
2011-09-15,525.429
2011-09-16,523.928
2011-09-19,507.338
2011-09-20,501.492
2011-09-21,477.397
2011-09-22,450.932
2011-09-23,454.25
2011-09-26,471.156
2011-09-27,484.191
2011-09-28,478.56
2011-09-29,489.285
2011-09-30,469.282
2011-10-03,466.626
2011-10-04,478.412
2011-10-05,484.637
2011-10-06,496.755
2011-10-07,491.692
2011-10-10,513.936
2011-10-11,507.047
2011-10-12,516.343
2011-10-13,529.932
2011-10-14,535.006
2011-10-17,518.064
2011-10-18,533.286
2011-10-19,516.086
2011-10-20,517.528
2011-10-21,535.304
2011-10-24,554.136
2011-10-25,544.456
2011-10-26,553.784
2011-10-27,588.016
2011-10-28,593.897
2011-10-31,564.26
2011-11-01,548.329
2011-11-02,563.993
2011-11-03,580.102
2011-11-04,571.024
2011-11-07,579.568
2011-11-08,587.934
2011-11-09,549.041
2011-11-10,549.318
2011-11-11,545.36
2011-11-14,536.35
2011-11-15,533.12
2011-11-16,528.615
2011-11-17,512.295
2011-11-18,506.604
2011-11-21,492.408
2011-11-22,491.484
2011-11-23,471.274
2011-11-24,471.274
2011-11-25,473.183
2011-11-28,501.569
2011-11-29,493.601
2011-11-30,537.674
2011-12-01,530.038
2011-12-02,521.821
2011-12-05,532.611
2011-12-06,533.856
2011-12-07,537.342
2011-12-08,511.114
2011-12-09,530.951
2011-12-12,507.047
2011-12-13,493.518
2011-12-14,488.621
2011-12-15,479.682
2011-12-16,485.433
2011-12-19,472.311
2011-12-20,487.944
2011-12-21,484.137
2011-12-22,490.374
2011-12-23,493.695
2011-12-26,493.695
2011-12-27,496.044
2011-12-28,487.377
2011-12-29,498.396
2011-12-30,500.774
2012-01-02,500.774
2012-01-03,514.14
2012-01-04,508.81
2012-01-05,502.66
2012-01-06,502.496
2012-01-09,505.53
2012-01-10,511.27
2012-01-11,511.106
2012-01-12,517.42
2012-01-13,500.256
2012-01-16,500.256
2012-01-17,511.515
2012-01-18,527.958
2012-01-19,528.849
2012-01-20,528.768
2012-01-23,542.654
2012-01-24,539.666
2012-01-25,547.136
2012-01-26,542.184
2012-01-27,548.744
2012-01-30,537.92
2012-01-31,545.546
2012-02-01,563.504
2012-02-02,571.455
2012-02-03,582.743
