Date,mkt_cap
2012-10-17,499.744
2012-10-18,499.856
2012-10-19,496.272
2012-10-22,503.328
2012-10-23,494.48
2012-10-24,499.408
2012-10-25,529.23
2012-10-26,522.976
2012-10-29,522.976
2012-10-30,522.976
2012-10-31,532.32
2012-11-01,548.16
2012-11-02,545.52
2012-11-05,551.64
2012-11-06,568.137
2012-11-07,569.142
2012-11-08,581.64
2012-11-09,595.63
2012-11-12,612.801
2012-11-13,651.94
2012-11-14,655.2
2012-11-15,654.45
2012-11-16,653.994
2012-11-19,668.85
2012-11-20,693.469
2012-11-21,725.757
2012-11-22,725.757
2012-11-23,740.998
2012-11-26,739.146
2012-11-27,730.729
2012-11-28,733.5
2012-11-29,744.48
2012-11-30,747.12
2012-12-03,741.345
2012-12-04,745.14
2012-12-05,773.711
2012-12-06,785.343
2012-12-07,795.321
2012-12-10,802.845
2012-12-11,802.674
2012-12-12,809.26
2012-12-13,801.348
2012-12-14,812.872
2012-12-17,814.592
2012-12-18,815.796
2012-12-19,814.764
2012-12-20,822.455
2012-12-21,826.35
2012-12-24,824.25
2012-12-25,824.25
2012-12-26,832.125
2012-12-27,831.95
2012-12-28,832.475
2012-12-31,848.75
2013-01-01,848.75
2013-01-02,874.825
2013-01-03,910.889
2013-01-04,910.425
2013-01-07,905.85
2013-01-08,893.223
2013-01-09,915.678
2013-01-10,956.352
2013-01-11,945.6
2013-01-14,967.456
2013-01-15,967.456
2013-01-16,969.22
2013-01-17,972.16
2013-01-18,980.863
2013-01-21,980.863
2013-01-22,992.413
2013-01-23,987.836
2013-01-24,988.632
2013-01-25,978.085
2013-01-28,984.699
2013-01-29,1000.18
2013-01-30,1015.72
2013-01-31,1036.22
2013-02-01,1043.54
2013-02-04,1041.97
2013-02-05,1065.8
2013-02-06,1132.39
2013-02-07,1165.67
2013-02-08,1180.25
2013-02-11,1179.04
2013-02-12,1179.76
2013-02-13,1187.78
2013-02-14,1237.42
2013-02-15,1241.47
2013-02-18,1241.47
2013-02-19,1219.46
2013-02-20,1241.76
2013-02-21,1228.27
2013-02-22,1229.57
2013-02-25,1233.44
2013-02-26,1234.51
2013-02-27,1260.14
2013-02-28,1273.98
2013-03-01,1278.31
2013-03-04,1259.07
2013-03-05,1269.91
2013-03-06,1275.33
2013-03-07,1279.66
2013-03-08,1294.84
2013-03-11,1279.66
2013-03-12,1258.25
2013-03-13,1235.76
2013-03-14,1231.05
2013-03-15,1216.68
2013-03-18,1195.14
2013-03-19,1212.58
2013-03-20,1241.95
2013-03-21,1229.17
2013-03-22,1266.1
2013-03-25,1257.73
2013-03-26,1273.63
2013-03-27,1275.59
2013-03-28,1264.15
2013-03-29,1264.15
2013-04-01,1249.92
2013-04-02,1251.59
2013-04-03,1233.18
2013-04-04,1234.3
2013-04-05,1205.05
2013-04-08,1206.42
2013-04-09,1224.3
2013-04-10,1233.65
2013-04-11,1228.7
2013-04-12,1217.7
2013-04-15,1174.17
2013-04-16,1169.46
2013-04-17,1147.83
2013-04-18,1152.11
2013-04-19,1185.48
2013-04-22,1214.62
2013-04-23,1210.02
2013-04-24,1220.86
2013-04-25,1233.86
2013-04-26,1225.73
2013-04-29,1240.91
2013-04-30,1251.75
2013-05-01,1233.86
