Date,mkt_cap
2013-06-27,684.8
2013-06-28,692.01
2013-07-01,688.282
2013-07-02,678.263
2013-07-03,634.388
2013-07-04,634.388
2013-07-05,614.57
2013-07-08,603.454
2013-07-09,615.609
2013-07-10,614.946
2013-07-11,635.06
2013-07-12,655.463
2013-07-15,679.487
2013-07-16,686.186
2013-07-17,698.891
2013-07-18,694.155
2013-07-19,690.78
2013-07-22,690.316
2013-07-23,690.432
2013-07-24,667.232
2013-07-25,669.9
2013-07-26,661.084
2013-07-29,657.256
2013-07-30,669.784
2013-07-31,651.34
2013-08-01,647.972
2013-08-02,663.871
2013-08-05,660.33
2013-08-06,656.886
2013-08-07,647.497
2013-08-08,663.184
2013-08-09,666.504
2013-08-12,674.519
2013-08-13,672.229
2013-08-14,673.718
2013-08-15,659.863
2013-08-16,655.04
2013-08-19,629.177
2013-08-20,627.315
2013-08-21,582.587
2013-08-22,490.848
2013-08-23,494.4
2013-08-26,479.281
2013-08-27,444.092
2013-08-28,434.672
2013-08-29,432.273
2013-08-30,430.938
2013-09-02,430.938
2013-09-03,429.137
2013-09-04,434.447
2013-09-05,432.057
2013-09-06,439.226
2013-09-09,465.953
2013-09-10,482.67
2013-09-11,482.673
2013-09-12,470.624
2013-09-13,468.512
2013-09-16,490.688
2013-09-17,492.272
2013-09-18,519.904
2013-09-19,537.416
2013-09-20,498.636
2013-09-23,492.405
2013-09-24,486.71
2013-09-25,477.763
2013-09-26,467.016
2013-09-27,458.499
2013-09-30,457.828
2013-10-01,473.386
2013-10-02,475.922
2013-10-03,476.448
2013-10-04,480.238
2013-10-07,473.349
2013-10-08,460.65
2013-10-09,466.875
2013-10-10,479.989
2013-10-11,481.732
2013-10-14,486.131
2013-10-15,481.649
2013-10-16,486.297
2013-10-17,491.443
2013-10-18,494.514
2013-10-21,511.872
2013-10-22,519.956
2013-10-23,513.248
2013-10-24,521.488
2013-10-25,526.768
2013-10-28,529.32
2013-10-29,529.144
2013-10-30,514.238
2013-10-31,505.33
2013-11-01,489.157
2013-11-04,476.112
2013-11-05,459.144
2013-11-06,453.378
2013-11-07,447.353
2013-11-08,428.891
2013-11-11,416.172
2013-11-12,403.62
2013-11-13,412.067
2013-11-14,427.18
2013-11-15,434.34
2013-11-18,435.63
2013-11-19,431.652
2013-11-20,428.454
2013-11-21,433.524
2013-11-22,440.856
2013-11-25,439.14
2013-11-26,435.938
2013-11-27,429.35
2013-11-28,429.35
2013-11-29,434.155
2013-12-02,422.918
2013-12-03,402.113
2013-12-04,395.678
2013-12-05,390.498
2013-12-06,401.898
2013-12-09,418.608
2013-12-10,421.209
2013-12-11,416.252
2013-12-12,415.787
2013-12-13,422.526
2013-12-16,431.106
2013-12-17,409.656
2013-12-18,415.029
2013-12-19,396.896
2013-12-20,388.889
2013-12-23,392.85
2013-12-24,411.221
2013-12-25,411.221
2013-12-26,407.225
2013-12-27,404.95
2013-12-30,458.782
2013-12-31,459.919
2014-01-01,459.919
2014-01-02,459.4
2014-01-03,458.28
2014-01-06,485.829
2014-01-07,497.315
2014-01-08,484.984
2014-01-09,490.326
2014-01-10,524.253
2014-01-13,512.265
2014-01-14,520.59
2014-01-15,520.035
2014-01-16,510.944
2014-01-17,496.384
2014-01-20,496.384
2014-01-21,495.936
2014-01-22,508.161
2014-01-23,495.611
2014-01-24,479.115
2014-01-27,497.25
2014-01-28,499.845
2014-01-29,485.688
2014-01-30,490.998
2014-01-31,494.564
2014-02-03,483.446
2014-02-04,513.337
2014-02-05,514.108
2014-02-06,535.447
2014-02-07,532.042
2014-02-10,528.382
2014-02-11,541.436
2014-02-12,535.702
2014-02-13,536.301
2014-02-14,545.413
2014-02-17,545.413
2014-02-18,536.787
2014-02-19,513.252
2014-02-20,521.737
2014-02-21,527.951
2014-02-24,525.322
2014-02-25,504.17
2014-02-26,496.283
2014-02-27,510.6
2014-02-28,516.428
2014-03-03,501.787
2014-03-04,521.356
2014-03-05,526.702
2014-03-06,538.366
2014-03-07,526.095
2014-03-10,520.263
2014-03-11,512.4
2014-03-12,523.136
2014-03-13,519.675
2014-03-14,526.563
2014-03-17,536.28
2014-03-18,554.392
2014-03-19,547.933
2014-03-20,554.961
2014-03-21,545.202
2014-03-24,542.682
2014-03-25,561.637
2014-03-26,589.687
2014-03-27,595.077
2014-03-28,606.816
2014-03-31,627.972
2014-04-01,641.986
2014-04-02,639.54
2014-04-03,643.252
2014-04-04,643.86
2014-04-07,631.472
2014-04-08,646.987
2014-04-09,636.339
2014-04-10,625.691
2014-04-11,622.236
2014-04-14,622.125
2014-04-15,591.832
2014-04-16,570.291
2014-04-17,581.672
2014-04-18,581.672
2014-04-21,576.368
2014-04-22,568.7
2014-04-23,562.76
2014-04-24,555.012
2014-04-25,536.046
2014-04-28,541.623
2014-04-29,541.31
2014-04-30,542.742
2014-05-01,546.006
2014-05-02,547.998
2014-05-05,545.703
2014-05-06,549.036
2014-05-07,554.49
2014-05-08,561.193
2014-05-09,560.178
2014-05-12,565.152
2014-05-13,566.471
2014-05-14,565.558
2014-05-15,551.246
