Date,pb
2009-03-10,1.6642000000000001
2009-03-11,1.6665999999999999
2009-03-12,1.6831
2009-03-13,1.6985999999999999
2009-03-16,1.7311999999999999
2009-03-17,1.7508
2009-03-18,1.7077
2009-03-19,1.7168999999999999
2009-03-20,1.701
2009-03-23,1.7612
2009-03-24,1.7671000000000001
2009-03-25,1.7816
2009-03-26,1.7778
2009-03-27,1.7919
2009-03-30,1.7187999999999999
2009-03-31,1.5518
2009-04-01,1.5836000000000001
2009-04-02,1.6131
2009-04-03,1.6019
2009-04-06,1.5998
2009-04-07,1.5927
2009-04-08,1.6064
2009-04-09,1.6389
2009-04-10,1.6389
2009-04-13,1.6739000000000002
2009-04-14,1.6798
2009-04-15,1.6671
2009-04-16,1.7021
2009-04-17,1.6936
2009-04-20,1.6479
2009-04-21,1.6732
2009-04-22,1.6764000000000001
2009-04-23,1.6800000000000002
2009-04-24,1.6644999999999999
2009-04-27,1.6151
2009-04-28,1.6147
2009-04-29,1.6766999999999999
2009-04-30,1.6764999999999999
2009-05-01,1.6625
2009-05-04,1.7505
2009-05-05,1.7688000000000001
2009-05-06,1.7762
2009-05-07,1.8050000000000002
2009-05-08,1.8561
2009-05-11,1.849
2009-05-12,1.8552
2009-05-13,1.8212000000000002
2009-05-14,1.855
2009-05-15,1.9024999999999999
2009-05-18,1.9647000000000001
2009-05-19,1.9595
2009-05-20,1.9602
2009-05-21,1.9531
2009-05-22,1.9517
2009-05-25,1.9695
2009-05-26,1.9845000000000002
2009-05-27,1.9281000000000001
2009-05-28,1.9574
2009-05-29,1.9708999999999999
2009-06-01,2.0269
2009-06-02,2.0273
2009-06-03,1.9976
2009-06-04,2.0057
2009-06-05,2.0256
2009-06-08,2.0036
2009-06-09,2.0192
2009-06-10,2.0187
2009-06-11,2.0258
2009-06-12,2.0339
2009-06-15,2.0147
2009-06-16,2.0306
2009-06-17,1.9806
2009-06-18,2.0281
2009-06-19,2.0489
2009-06-22,2.0024
2009-06-23,1.9825
2009-06-24,1.9929999999999999
2009-06-25,2.0217
2009-06-26,2.0631
2009-06-29,2.0557
2009-06-30,1.9412
2009-07-01,1.9398
2009-07-02,1.9059
2009-07-03,1.9220000000000002
2009-07-06,1.9194
2009-07-07,1.9068
2009-07-08,1.8776000000000002
2009-07-09,1.8736000000000002
2009-07-10,1.8626
2009-07-13,1.9008
2009-07-14,1.9186
2009-07-15,1.9741
2009-07-16,1.9928
