Date,pb
2015-12-31,1.0906
2016-01-01,1.0906
2016-01-04,1.0754
2016-01-05,1.0794
2016-01-06,1.0702
2016-01-07,1.0653
2016-01-08,1.0688
2016-01-11,1.0253
2016-01-12,1.0092
2016-01-13,0.973
2016-01-14,0.9274
2016-01-15,0.9269
2016-01-18,0.9334
2016-01-19,0.9572
2016-01-20,0.9104
2016-01-21,0.9049
2016-01-22,0.9103
2016-01-25,0.9346
2016-01-26,0.9342
2016-01-27,0.9472
2016-01-28,0.9632
2016-01-29,0.9635
2016-02-01,0.9486
2016-02-02,0.9613
2016-02-03,0.9692
2016-02-04,0.9831
2016-02-05,0.9805
2016-02-08,0.9635
2016-02-09,0.943
2016-02-10,0.9492
2016-02-11,0.9213
2016-02-12,0.9257
2016-02-15,0.9303
2016-02-16,0.9371
2016-02-17,0.9454
2016-02-18,0.9526
2016-02-19,0.9571
2016-02-22,0.9647
2016-02-23,0.9678
2016-02-24,0.9618
2016-02-25,0.9668
2016-02-26,0.9662
2016-02-29,0.9734
2016-03-01,0.9777
2016-03-02,0.9728
2016-03-03,0.9759
2016-03-04,0.9823
2016-03-07,0.9961
2016-03-08,1.0003
2016-03-09,1.006
2016-03-10,1.0351
2016-03-11,1.0364
2016-03-14,0.9944
2016-03-15,1.0195
2016-03-16,1.0389
2016-03-17,1.083
2016-03-18,1.0761
2016-03-21,1.0719
2016-03-22,1.0553
2016-03-23,1.0548
2016-03-24,1.0727
2016-03-25,1.0727
2016-03-28,1.0767
2016-03-29,1.0832
2016-03-30,1.0808
2016-03-31,1.2002
2016-04-01,1.2027
2016-04-04,1.2094
2016-04-05,1.2258
2016-04-06,1.1903
2016-04-07,1.1998
2016-04-08,1.2009
2016-04-11,1.1722
2016-04-12,1.1766
2016-04-13,1.1938
2016-04-14,1.1952
2016-04-15,1.1997
2016-04-18,1.2227000000000001
2016-04-19,1.2445
2016-04-20,1.2333
2016-04-21,1.2207
2016-04-22,1.2171
2016-04-25,12801402.291
2016-04-26,12762239.873
2016-04-27,12700287.252
2016-04-28,12645116.427
2016-04-29,12652997.974
2016-05-02,12655564.059
2016-05-03,12264236.114
2016-05-04,12125117.655
2016-05-05,12247739.854
2016-05-06,12333337.114
2016-05-09,12414535.371
2016-05-10,12335719.907
2016-05-11,1.1663000000000001
2016-05-12,1.1711
2016-05-13,1.1672
2016-05-16,1.1413
2016-05-17,1.1581
2016-05-18,1.1632
2016-05-19,1.1461000000000001
2016-05-20,1.1454
2016-05-23,1.1413
2016-05-24,1.1527
2016-05-25,1.1569
2016-05-26,1.153
2016-05-27,1.1504
2016-05-30,1.1436
2016-05-31,1.1457
2016-06-01,1.159
2016-06-02,1.1788
2016-06-03,1.1878
2016-06-06,1.1723
2016-06-07,1.1868
