Date,pb
2019-03-28,2.6017
2019-03-29,2.5976
2019-04-01,2.4667
2019-04-02,2.4793
2019-04-03,2.4793
2019-04-04,2.5044
2019-04-05,2.5093
2019-04-08,2.4923
2019-04-09,2.5252
2019-04-10,2.5206
2019-04-11,2.4829
2019-04-12,2.48
2019-04-15,2.4978
2019-04-16,2.5156
2019-04-17,2.5156
2019-04-18,2.5418
2019-04-19,2.5418
2019-04-22,2.496
2019-04-23,2.5223
2019-04-24,2.5103999999999997
2019-04-25,2.46
2019-04-26,2.4788
2019-04-29,2.4836
2019-04-30,2.4857
2019-05-01,2.4857
2019-05-02,2.4489
2019-05-03,2.4172000000000002
2019-05-06,2.3778
2019-05-07,2.4065
2019-05-08,2.3909000000000002
2019-05-09,2.1599
2019-05-10,2.1676
2019-05-13,2.123
2019-05-14,2.1029
2019-05-15,2.0558
2019-05-16,2.0179
2019-05-17,1.987
2019-05-20,2.0292
2019-05-21,2.0441
2019-05-22,2.0325
2019-05-23,2.0902
2019-05-24,2.1175
2019-05-27,2.1525
2019-05-28,2.1219
2019-05-29,2.1553
2019-05-30,2.1553
2019-05-31,2.2298
2019-06-03,2.2298
2019-06-04,2.2298
2019-06-05,2.2298
2019-06-06,2.2298
2019-06-07,2.2298
2019-06-10,2.2841
2019-06-11,2.2845
2019-06-12,2.277
2019-06-13,2.2720000000000002
2019-06-14,2.2551
2019-06-17,2.2234
2019-06-18,2.2586
2019-06-19,2.3069
2019-06-20,2.3196
2019-06-21,2.3182
2019-06-24,2.3129
2019-06-25,2.2519
2019-06-26,2.2328
2019-06-27,2.2622999999999998
2019-06-28,2.2718
2019-07-01,2.2856
2019-07-02,2.2875
2019-07-03,2.2805
2019-07-04,2.278
2019-07-05,2.2851
2019-07-08,2.2684
2019-07-09,2.2885
2019-07-10,2.2994
2019-07-11,2.3128
2019-07-12,2.3
2019-07-15,2.3378
2019-07-16,2.3284000000000002
2019-07-17,2.3112
2019-07-18,2.3228
2019-07-19,2.3406000000000002
2019-07-22,2.3327999999999998
2019-07-23,2.3211
2019-07-24,2.3119
2019-07-25,2.3147
2019-07-26,2.2795
2019-07-29,2.2736
2019-07-30,2.2991
2019-07-31,2.3011
2019-08-01,2.2755
2019-08-02,2.2368
2019-08-05,2.1433
2019-08-06,2.1159
2019-08-07,2.1668
2019-08-08,2.207
2019-08-09,2.1943
2019-08-12,2.1773
2019-08-13,2.1751
2019-08-14,2.1736
2019-08-15,2.1805
2019-08-16,2.1802
2019-08-19,2.1904
2019-08-20,2.1816
2019-08-21,2.1644
2019-08-22,2.1657
2019-08-23,2.1744
2019-08-26,2.1545
2019-08-27,2.174
2019-08-28,2.1694
2019-08-29,2.1756
2019-08-30,2.2095
2019-09-02,2.1863
2019-09-03,2.1667
2019-09-04,2.1785
2019-09-05,2.1986
2019-09-06,2.214
2019-09-09,2.2307
2019-09-10,2.2322
2019-09-11,2.2536
2019-09-12,2.2424
2019-09-13,2.2462
2019-09-16,2.2123
2019-09-17,2.2098
2019-09-18,2.2262
2019-09-19,2.2059
2019-09-20,2.2014
2019-09-23,2.1878
2019-09-24,2.1493
2019-09-25,2.1447
2019-09-26,2.1768
2019-09-27,2.1649
2019-09-30,2.1722
2019-10-01,2.1554
2019-10-02,2.1181
2019-10-03,2.11
2019-10-04,2.1311
2019-10-07,2.1024
2019-10-08,2.1202
2019-10-09,2.1101
2019-10-10,2.1084
2019-10-11,2.144
2019-10-14,2.1576
2019-10-15,2.1685
2019-10-16,2.1764
2019-10-17,2.1875999999999998
2019-10-18,2.1984
2019-10-21,2.2138
2019-10-22,2.234
2019-10-23,2.2521
2019-10-24,2.2879
2019-10-25,2.2500999999999998
2019-10-28,2.2563
2019-10-29,2.263
2019-10-30,2.2645
2019-10-31,2.2281
2019-11-01,2.2174
2019-11-04,2.2127
2019-11-05,2.2656
2019-11-06,2.2338
2019-11-07,2.2146
2019-11-08,2.2157999999999998
2019-11-11,2.2001
2019-11-12,2.2126
2019-11-13,2.1896
2019-11-14,2.1712
2019-11-15,2.194
2019-11-18,2.1901
2019-11-19,2.2102
2019-11-20,2.2134
2019-11-21,2.1948
2019-11-22,2.1877
2019-11-25,2.1707
2019-11-26,2.144
2019-11-27,2.1446
2019-11-28,2.1123
2019-11-29,2.1299
2019-12-02,2.175
2019-12-03,2.1769
2019-12-04,2.1688
2019-12-05,2.1973
2019-12-06,2.2152
2019-12-09,2.2232
2019-12-10,2.2188
2019-12-11,2.2115
2019-12-12,2.1948
2019-12-13,2.2323
2019-12-16,2.2342
2019-12-17,2.2528
2019-12-18,2.2794
2019-12-19,2.2559
2019-12-20,2.2692
2019-12-23,2.2761
2019-12-24,2.2761
2019-12-25,2.2761
2019-12-26,2.2782999999999998
2019-12-27,2.2823
2019-12-30,2.2691
2019-12-31,2.2185
2020-01-01,2.2185
2020-01-02,2.2099
2020-01-03,2.2294
2020-01-06,2.203
2020-01-07,2.2229
2020-01-08,2.1992
2020-01-09,2.2294
2020-01-10,2.2457
2020-01-13,2.274
2020-01-14,2.2897
2020-01-15,2.2746
2020-01-16,2.2832
2020-01-17,2.2881
2020-01-20,2.2692
2020-01-21,2.266
2020-01-22,2.261
2020-01-23,2.2716
2020-01-24,2.2797
2020-01-27,2.2297
2020-01-28,2.2172
2020-01-29,2.2163
2020-01-30,2.1853
2020-01-31,2.13
2020-02-03,2.0938
2020-02-04,2.1244
2020-02-05,2.1575
2020-02-06,2.1676
2020-02-07,2.1601
2020-02-10,2.1349
2020-02-11,2.1388
2020-02-12,2.1217
2020-02-13,2.1008
2020-02-14,2.1009
2020-02-17,2.1073
2020-02-18,2.1132
2020-02-19,2.1250999999999998
2020-02-20,2.1285
2020-02-21,2.0944
2020-02-24,2.0411
2020-02-25,2.0391
2020-02-26,1.9902
2020-02-27,1.9232
2020-02-28,1.859
2020-03-02,1.7689
2020-03-03,1.8306
2020-03-04,1.9142000000000001
2020-03-05,1.8999000000000001
2020-03-06,1.8304
2020-03-09,1.6629
2020-03-10,1.7032
2020-03-11,1.6742
2020-03-12,1.5526
2020-03-13,1.5386
2020-03-16,1.4371
