Date,pb
2005-09-02,2.8357
2005-09-05,2.8327
2005-09-06,2.8723
2005-09-07,2.8714
2005-09-08,2.8804
2005-09-09,2.8635
2005-09-12,2.8413
2005-09-13,2.815
2005-09-14,2.8144
2005-09-15,2.8109
2005-09-16,2.8016
2005-09-19,2.8098
2005-09-20,2.8256
2005-09-21,2.7957
2005-09-22,2.7645
2005-09-23,2.7978
2005-09-26,2.8289999999999997
2005-09-27,2.8247999999999998
2005-09-28,2.8504
2005-09-29,2.8438
2005-09-30,2.8288
2005-10-03,2.8342
2005-10-04,2.8595
2005-10-05,2.8527
2005-10-06,2.8283
2005-10-07,2.8262
2005-10-10,2.8122
2005-10-11,2.8042
2005-10-12,2.7772
2005-10-13,2.7474
2005-10-14,2.7351
2005-10-17,2.738
2005-10-18,2.7232
2005-10-19,2.6685
2005-10-20,2.664
2005-10-21,2.6282
2005-10-24,2.6734999999999998
2005-10-25,2.6981
2005-10-26,2.7043
2005-10-27,2.6616999999999997
2005-10-28,2.6659
2005-10-31,2.7102
2005-11-01,2.743
2005-11-02,2.7611
2005-11-03,2.7794
2005-11-04,2.7475
2005-11-07,2.7774
2005-11-08,2.7752
2005-11-09,2.7802
2005-11-10,2.7925
2005-11-11,2.8045999999999998
2005-11-14,2.8128
2005-11-15,2.8172
2005-11-16,2.803
2005-11-17,2.7968
2005-11-18,2.8188
2005-11-21,2.8282
2005-11-22,2.8468999999999998
2005-11-23,2.8637
2005-11-24,2.843
2005-11-25,2.8473
2005-11-28,2.8477
2005-11-29,2.8363
2005-11-30,2.8396
2005-12-01,2.8814
2005-12-02,2.8998
2005-12-05,2.9144
2005-12-06,2.9349
2005-12-07,2.9249
2005-12-08,2.9523
2005-12-09,2.9683
2005-12-12,2.9724
2005-12-13,2.9574
2005-12-14,2.9447
2005-12-15,2.9600999999999997
2005-12-16,3.0037
2005-12-19,2.9882
2005-12-20,2.9596999999999998
2005-12-21,2.9808
2005-12-22,2.9642
2005-12-23,3.0039
2005-12-26,3.0039
2005-12-27,3.0039
2005-12-28,3.0156
2005-12-29,3.0255
2005-12-30,3.0177
2006-01-02,3.0177
2006-01-03,2.9289
2006-01-04,2.9557
2006-01-05,2.9461
2006-01-06,2.9577
2006-01-09,2.9592
2006-01-10,2.9215
2006-01-11,2.9568
2006-01-12,2.975
2006-01-13,2.9759
2006-01-16,2.985
2006-01-17,2.9823
2006-01-18,2.9553000000000003
2006-01-19,2.9427
2006-01-20,2.9227
2006-01-23,2.92
2006-01-24,2.9323
2006-01-25,2.9354
2006-01-26,2.9514
