Date,pb
2005-05-06,1.8134000000000001
2005-05-09,1.8271
2005-05-10,1.8176
2005-05-11,1.822
2005-05-12,1.8031000000000001
2005-05-13,1.7669000000000001
2005-05-16,1.7669000000000001
2005-05-17,1.7669000000000001
2005-05-18,1.7931
2005-05-19,1.8041
2005-05-20,1.8165
2005-05-23,1.803
2005-05-24,1.8155000000000001
2005-05-25,1.8142
2005-05-26,1.8404
2005-05-27,1.8435000000000001
2005-05-30,1.8509
2005-05-31,1.8325
2005-06-01,1.8795
2005-06-02,1.8911
2005-06-03,1.8867
2005-06-06,1.8921000000000001
2005-06-07,1.9
2005-06-08,1.9180000000000001
2005-06-09,1.9153
2005-06-10,1.9444
2005-06-13,1.9359
2005-06-14,1.9596
2005-06-15,1.9535
2005-06-16,1.9627
2005-06-17,1.9792
2005-06-20,1.9769
2005-06-21,1.9763
2005-06-22,1.9726
2005-06-23,2.0006
2005-06-24,2.022
2005-06-27,2.003
2005-06-28,2.0313
2005-06-29,2.0365
2005-06-30,2.0856
2005-07-01,2.105
2005-07-04,2.1427
2005-07-05,2.1365
2005-07-06,2.1836
2005-07-07,2.1321
2005-07-08,2.1999
2005-07-11,2.192
2005-07-12,2.173
2005-07-13,2.1831
2005-07-14,2.1807
2005-07-15,2.1532999999999998
2005-07-18,2.153
2005-07-19,2.1595
2005-07-20,2.1393
2005-07-21,2.1438
2005-07-22,2.167
2005-07-25,2.1878
2005-07-26,2.1848
2005-07-27,2.1824
2005-07-28,2.1831
2005-07-29,2.2003
2005-08-01,2.1958
2005-08-02,2.2226
2005-08-03,2.2423
2005-08-04,2.2209
2005-08-05,2.2074
2005-08-08,2.2435
2005-08-09,2.2648
2005-08-10,2.2602
2005-08-11,2.2728
2005-08-12,2.2701000000000002
2005-08-15,2.2728
2005-08-16,2.2462
2005-08-17,2.2343
2005-08-18,2.2323
2005-08-19,2.2723
2005-08-22,2.3012
2005-08-23,2.3053
2005-08-24,2.2885
2005-08-25,2.2859
2005-08-26,2.2861000000000002
2005-08-29,2.2991
2005-08-30,2.3024
2005-08-31,2.3263
2005-09-01,2.3522
2005-09-02,2.3393
2005-09-05,2.33
2005-09-06,2.3556
2005-09-07,2.3368
2005-09-08,2.3193
2005-09-09,2.3295
2005-09-12,2.3498
2005-09-13,2.3279
2005-09-14,2.3423
