Date,pb
2005-06-06,2.0185
2005-06-07,2.0243
2005-06-08,2.018
2005-06-09,2.0265
2005-06-10,2.0325
2005-06-13,2.0466
2005-06-14,2.0269
2005-06-15,2.0602
2005-06-16,2.0526
2005-06-17,2.0718
2005-06-20,2.0705
2005-06-21,2.0728
2005-06-22,2.1083
2005-06-23,2.1015
2005-06-24,2.0709
2005-06-27,2.0556
2005-06-28,2.0709
2005-06-29,2.0714
2005-06-30,1.9935
2005-07-01,2.0161
2005-07-04,2.0366
2005-07-05,2.0182
2005-07-06,2.026
2005-07-07,1.9969000000000001
2005-07-08,2.0244
2005-07-11,2.0215
2005-07-12,2.0508
2005-07-13,2.0704
2005-07-14,2.0703
2005-07-15,2.0616
2005-07-18,2.0385
2005-07-19,2.0521
2005-07-20,2.0615
2005-07-21,2.0417
2005-07-22,2.0237
2005-07-25,2.0382
2005-07-26,2.0588
2005-07-27,2.0793
2005-07-28,2.1001
2005-07-29,2.1245
2005-08-01,2.1412
2005-08-02,2.1869
2005-08-03,2.1513
2005-08-04,2.1537
2005-08-05,2.1574
2005-08-08,2.1953
2005-08-09,2.1906
2005-08-10,2.1671
2005-08-11,2.1589
2005-08-12,2.1419
2005-08-15,2.1419
2005-08-16,2.1675
2005-08-17,2.147
2005-08-18,2.1161
2005-08-19,2.1138
2005-08-22,2.1284
2005-08-23,2.1277
2005-08-24,2.127
2005-08-25,2.1204
2005-08-26,2.143
2005-08-29,2.1573
2005-08-30,2.1749
2005-08-31,2.1813
2005-09-01,2.2525
2005-09-02,2.2597
2005-09-05,2.2325
2005-09-06,2.2505
2005-09-07,2.2515
2005-09-08,2.2318
2005-09-09,2.273
2005-09-12,2.3051
2005-09-13,2.3033
2005-09-14,2.3163
2005-09-15,2.3548
2005-09-16,2.3883
2005-09-19,2.4544
2005-09-20,2.4457
2005-09-21,2.4226
2005-09-22,2.4224
2005-09-23,2.4043
2005-09-26,2.4298
2005-09-27,2.4503
2005-09-28,2.4148
2005-09-29,2.4124
2005-09-30,2.3346
2005-10-03,2.3794
2005-10-04,2.3664
2005-10-05,2.3239
2005-10-06,2.2433
2005-10-07,2.2362
2005-10-10,2.2249
2005-10-11,2.2646
2005-10-12,2.2388
2005-10-13,2.1427
2005-10-14,2.1213
2005-10-17,2.1398
2005-10-18,2.1477
2005-10-19,2.0912
2005-10-20,2.1308
2005-10-21,2.125
2005-10-24,2.137
2005-10-25,2.1636
2005-10-26,2.1389
2005-10-27,2.1002
2005-10-28,2.1123
2005-10-31,2.1364
2005-11-01,2.1364
2005-11-02,2.2095
2005-11-03,2.25
2005-11-04,2.2591
2005-11-07,2.2423
2005-11-08,2.2211
2005-11-09,2.2246
2005-11-10,2.2259
2005-11-11,2.2259
2005-11-14,2.2411
2005-11-15,2.2184
2005-11-16,2.2115
2005-11-17,2.2532
2005-11-18,2.2463
2005-11-21,2.2116
2005-11-22,2.1977
2005-11-23,2.2183
2005-11-24,2.2193
2005-11-25,2.2236
2005-11-28,2.2421
2005-11-29,2.2416
2005-11-30,2.2554
2005-12-01,2.2682
2005-12-02,2.3052
2005-12-05,2.2897
2005-12-06,2.2681
2005-12-07,2.2867
2005-12-08,2.2772
2005-12-09,2.2717
2005-12-12,2.2741
2005-12-13,2.2669
2005-12-14,2.2976
2005-12-15,2.2822
2005-12-16,2.2882
2005-12-19,2.29
2005-12-20,2.3241
2005-12-21,2.3339
2005-12-22,2.334
2005-12-23,2.3506
2005-12-26,2.3506
2005-12-27,2.376
2005-12-28,2.3517
2005-12-29,2.3670999999999998
2005-12-30,2.3376
2006-01-02,2.3045
2006-01-03,2.3624
2006-01-04,2.4303
2006-01-05,2.4159
2006-01-06,2.4377
2006-01-09,2.4313000000000002
2006-01-10,2.3926
2006-01-11,2.435
2006-01-12,2.4135
2006-01-13,2.3667
2006-01-16,2.4042
2006-01-17,2.3964
2006-01-18,2.3702
2006-01-19,2.4289
2006-01-20,2.4378
2006-01-23,2.4516
2006-01-24,2.427
2006-01-25,2.4562
2006-01-26,2.4256
2006-01-27,2.4358
2006-01-30,2.4431
2006-01-31,2.3643
2006-02-01,2.3792
2006-02-02,2.3622
2006-02-03,2.3028
2006-02-06,2.3756
2006-02-07,2.3868
2006-02-08,2.3709
2006-02-09,2.3753
2006-02-10,2.3407
2006-02-13,2.3314
2006-02-14,2.3453
2006-02-15,2.3565
2006-02-16,2.3173
2006-02-17,2.3995
2006-02-20,2.4355
2006-02-21,2.4257
2006-02-22,2.4149
2006-02-23,2.4217
2006-02-24,2.4595000000000002
2006-02-27,2.4789
2006-02-28,2.3833
2006-03-01,2.4388
2006-03-02,2.4651
2006-03-03,2.4431
2006-03-06,2.4682
2006-03-07,2.4045
2006-03-08,2.3429
2006-03-09,2.3427
2006-03-10,2.3274
2006-03-13,2.3277
2006-03-14,2.2839
2006-03-15,2.3317
2006-03-16,2.3926
2006-03-17,2.3985
2006-03-20,2.3895
2006-03-21,2.3731
2006-03-22,2.3622
2006-03-23,2.3991
2006-03-24,2.4053
2006-03-27,2.4358
2006-03-28,2.3973
2006-03-29,2.3970000000000002
2006-03-30,2.4273
2006-03-31,2.3255
2006-04-03,2.3672
2006-04-04,2.3672
2006-04-05,2.348
2006-04-06,2.3686
2006-04-07,2.4086
2006-04-10,2.4072
2006-04-11,2.3931
2006-04-12,2.4092000000000002
2006-04-13,2.4226
2006-04-14,2.4226
2006-04-17,2.4226
2006-04-18,2.4629
2006-04-19,2.4564
2006-04-20,2.5191
2006-04-21,2.5615
2006-04-24,2.5993
2006-04-25,2.5907999999999998
2006-04-26,2.6127000000000002
2006-04-27,2.5385
2006-04-28,2.5475
2006-05-01,2.5475
2006-05-02,2.5383
2006-05-03,2.5383
2006-05-04,2.5821
2006-05-05,2.5986000000000002
2006-05-08,2.6237
2006-05-09,2.5808
2006-05-10,2.5644
2006-05-11,2.6375
2006-05-12,2.5962
2006-05-15,2.5126
2006-05-16,2.491
2006-05-17,2.4125
2006-05-18,2.3998
2006-05-19,2.3822
2006-05-22,2.2535
2006-05-23,2.2873
2006-05-24,2.202
2006-05-25,2.2478
2006-05-26,2.2676
2006-05-29,2.2646
2006-05-30,2.2336
2006-05-31,2.2136
2006-06-01,2.1022
2006-06-02,2.1611
2006-06-05,2.1728
2006-06-06,2.1143
2006-06-07,2.1062
2006-06-08,2.0513
2006-06-09,2.0176
2006-06-12,1.9605000000000001
2006-06-13,1.8896
2006-06-14,1.881
2006-06-15,1.881
2006-06-16,1.8872
2006-06-19,1.9477
2006-06-20,1.9449999999999998
2006-06-21,1.9529999999999998
2006-06-22,1.9415
2006-06-23,1.9535
2006-06-26,1.9915
2006-06-27,2.0966
2006-06-28,2.1308
2006-06-29,2.1178
2006-06-30,2.2165
2006-07-03,2.2199
2006-07-04,2.2386
2006-07-05,2.1936
2006-07-06,2.2622999999999998
2006-07-07,2.3183
2006-07-10,2.3416
2006-07-11,2.3176
2006-07-12,2.3479
2006-07-13,2.2544
2006-07-14,2.2484
2006-07-17,2.2136
2006-07-18,2.2506
2006-07-19,2.2602
2006-07-20,2.3455
2006-07-21,2.3342
2006-07-24,2.3489
2006-07-25,2.3684
2006-07-26,2.3826
2006-07-27,2.469
2006-07-28,2.4668
2006-07-31,2.4661
2006-08-01,2.4197
2006-08-02,2.3905
2006-08-03,2.3113
2006-08-04,2.3449999999999998
2006-08-07,2.3181
2006-08-08,2.3079
2006-08-09,2.3652
2006-08-10,2.3092
2006-08-11,2.238
2006-08-14,2.2565
2006-08-15,2.2565
2006-08-16,2.2904999999999998
2006-08-17,2.2628
2006-08-18,2.2782
2006-08-21,2.2754
2006-08-22,2.293
2006-08-23,2.2908
2006-08-24,2.2529
2006-08-25,2.2293
2006-08-28,2.2135
2006-08-29,2.2696
2006-08-30,2.3025
2006-08-31,2.2704
