Date,pb
2014-12-23,1.4372
2014-12-24,1.4358
2014-12-25,1.4358
2014-12-26,1.4503
2014-12-29,1.4405000000000001
2014-12-30,1.4506999999999999
2014-12-31,1.4799
2015-01-01,1.4799
2015-01-02,1.4817
2015-01-05,1.45
2015-01-06,1.4541
2015-01-07,1.4546999999999999
2015-01-08,1.4579
2015-01-09,1.4586000000000001
2015-01-12,1.4524
2015-01-13,1.4228
2015-01-14,1.3725
2015-01-15,1.3797
2015-01-16,1.3889
2015-01-19,1.3908
2015-01-20,1.3961999999999999
2015-01-21,1.3917
2015-01-22,1.4085
2015-01-23,1.3916
2015-01-26,1.4097
2015-01-27,1.4123
2015-01-28,1.3898
2015-01-29,1.3778000000000001
2015-01-30,1.389
2015-02-02,1.3879000000000001
2015-02-03,1.4077
2015-02-04,1.4134
2015-02-05,1.4263
2015-02-06,1.3934
2015-02-09,1.4109
2015-02-10,1.3942999999999999
2015-02-11,1.3841
2015-02-12,1.4039
2015-02-13,1.4228
2015-02-16,1.4224999999999999
2015-02-17,1.4098
2015-02-18,1.4125
2015-02-19,1.3999
2015-02-20,1.3919000000000001
2015-02-23,1.3768
2015-02-24,1.3757
2015-02-25,1.3742
2015-02-26,1.3702
2015-02-27,1.3738000000000001
2015-03-02,1.3001
2015-03-03,1.3005
2015-03-04,1.2998
2015-03-05,1.2967
2015-03-06,1.2624
2015-03-09,1.2419
2015-03-10,1.2271
2015-03-11,1.2308
2015-03-12,1.2356
2015-03-13,1.2302
2015-03-16,1.2187000000000001
2015-03-17,1.2223
2015-03-18,1.2392
2015-03-19,1.2393
2015-03-20,1.2544
2015-03-23,1.2497
2015-03-24,1.2505
2015-03-25,1.2432
2015-03-26,1.2294
2015-03-27,1.2231
2015-03-30,1.2362
2015-03-31,1.2692999999999999
2015-04-01,1.2971
2015-04-02,1.2873
2015-04-03,1.2873
2015-04-06,1.302
2015-04-07,1.2932000000000001
2015-04-08,1.2871000000000001
2015-04-09,1.2647
2015-04-10,1.2644
2015-04-13,1.2569
2015-04-14,1.2623
2015-04-15,1.2746
2015-04-16,1.276
2015-04-17,1.2652
2015-04-20,1.2638
2015-04-21,1.2633
2015-04-22,1.2650000000000001
2015-04-23,1.2718
2015-04-24,1.2778
2015-04-27,1.2901
2015-04-28,1.3017
2015-04-29,1.3064
2015-04-30,1.3111
2015-05-01,1.3173
2015-05-04,1.3229
2015-05-05,1.3284
