Date,pb
2014-12-23,0.4935
2014-12-24,0.5008
2014-12-25,0.5034
2014-12-26,0.5074
2014-12-29,0.4892
2014-12-30,0.4869
2014-12-31,0.6046
2015-01-01,0.6046
2015-01-02,0.6117
2015-01-05,0.614
2015-01-06,0.6154
2015-01-07,0.6107
2015-01-08,0.6576
2015-01-09,0.6357
2015-01-12,0.6144
2015-01-13,0.5957
2015-01-14,0.6046
2015-01-15,0.6174
2015-01-16,0.6275
2015-01-19,0.6252
2015-01-20,0.6148
2015-01-21,0.6375
2015-01-22,0.6634
2015-01-23,0.6708
2015-01-26,0.6359
2015-01-27,0.6419
2015-01-28,0.6269
2015-01-29,0.6097
2015-01-30,0.5989
2015-02-02,0.6075
2015-02-03,0.6426
2015-02-04,0.6285
2015-02-05,0.6563
2015-02-06,0.6753
2015-02-09,0.6849
2015-02-10,0.6735
2015-02-11,0.6807
2015-02-12,0.7027
2015-02-13,0.7473
2015-02-16,0.735
2015-02-17,0.7301
2015-02-18,0.7591
2015-02-19,0.7373
2015-02-20,0.7418
2015-02-23,0.7258
2015-02-24,0.7219
2015-02-25,0.7193
2015-02-26,0.7377
2015-02-27,0.7322
2015-03-02,0.7176
2015-03-03,0.7279
2015-03-04,0.7073
2015-03-05,0.7239
2015-03-06,0.7165
2015-03-09,0.7145
2015-03-10,0.6767
2015-03-11,0.6727
2015-03-12,0.6801
2015-03-13,0.6589
2015-03-16,0.6471
2015-03-17,0.655
2015-03-18,0.6703
2015-03-19,0.6739
2015-03-20,0.6919
2015-03-23,0.6786
2015-03-24,0.6979
2015-03-25,0.6975
2015-03-26,0.6853
2015-03-27,0.6797
2015-03-30,0.692
2015-03-31,0.6744
2015-04-01,0.6962
2015-04-02,0.7187
2015-04-03,0.7192
2015-04-06,0.7406
2015-04-07,0.7464
2015-04-08,0.7542
2015-04-09,0.767
2015-04-10,0.7717
2015-04-13,0.7664
2015-04-14,0.7721
2015-04-15,0.799
2015-04-16,0.813
2015-04-17,0.763
2015-04-20,0.7655
2015-04-21,0.7683
2015-04-22,0.7634
2015-04-23,0.7855
2015-04-24,0.7891
2015-04-27,0.7838
2015-04-28,0.784
2015-04-29,0.7915
2015-04-30,0.7889
2015-05-01,0.7854
2015-05-04,0.7826
2015-05-05,0.8153
2015-05-06,0.8175
2015-05-07,0.8063
2015-05-08,0.8049
2015-05-11,0.7953
2015-05-12,0.8175
2015-05-13,0.8221
2015-05-14,0.8074
2015-05-15,0.8219
2015-05-18,0.8232
2015-05-19,0.8046
2015-05-20,0.7875
2015-05-21,0.8
2015-05-22,0.8043
2015-05-25,0.8002
2015-05-26,0.7866
2015-05-27,0.773
2015-05-28,0.7619
2015-05-29,0.7442
2015-06-01,0.721
2015-06-02,0.7334
2015-06-03,0.7153
2015-06-04,0.6945
2015-06-05,0.6934
2015-06-08,0.6975
2015-06-09,0.7109
2015-06-10,0.7278
2015-06-11,0.7148
2015-06-12,0.7095
2015-06-15,0.7201
2015-06-16,0.7304
2015-06-17,0.73
2015-06-18,0.7357
2015-06-19,0.7258
2015-06-22,0.7358
2015-06-23,0.7258
2015-06-24,0.7178
2015-06-25,0.7089
2015-06-26,0.707
2015-06-29,0.7001
2015-06-30,0.7263
2015-07-01,0.7224
2015-07-02,0.7254
2015-07-03,0.7167
2015-07-06,0.7028
2015-07-07,0.6877
2015-07-08,0.6843
2015-07-09,0.6957
2015-07-10,0.7026
2015-07-13,0.7075
2015-07-14,0.7129
2015-07-15,0.7071
2015-07-16,0.715
2015-07-17,0.7081
2015-07-20,0.7001
2015-07-21,0.7032
2015-07-22,0.7003
2015-07-23,0.6898
2015-07-24,0.6666
2015-07-27,0.6527
2015-07-28,0.6483
2015-07-29,0.6698
2015-07-30,0.6716
2015-07-31,0.6718
2015-08-03,0.6564
2015-08-04,0.6526
2015-08-05,0.6619
2015-08-06,0.6458
2015-08-07,0.6497
2015-08-10,0.6588
2015-08-11,0.6481
2015-08-12,0.6487
2015-08-13,0.6443
2015-08-14,0.6518
2015-08-17,0.6433
2015-08-18,0.6334
2015-08-19,0.6234
2015-08-20,0.6203
2015-08-21,0.5982
2015-08-24,0.5692
2015-08-25,0.589
2015-08-26,0.5869
2015-08-27,0.6265
2015-08-28,0.6435
2015-08-31,0.6361
2015-09-01,0.6509
2015-09-02,0.6377
2015-09-03,0.6561
2015-09-04,0.6398
2015-09-07,0.6286
2015-09-08,0.6385
2015-09-09,0.6421
2015-09-10,0.6442
2015-09-11,0.6388
2015-09-14,0.6516
2015-09-15,0.6512
2015-09-16,0.6723
2015-09-17,0.667
2015-09-18,0.6655
2015-09-21,0.6522
2015-09-22,0.6347
2015-09-23,0.6356
2015-09-24,0.6197
2015-09-25,0.634
2015-09-28,0.6248
2015-09-29,0.632
2015-09-30,0.7082
2015-10-01,0.7034
2015-10-02,0.6871
2015-10-05,0.7232
2015-10-06,0.7408
2015-10-07,0.7631
2015-10-08,0.7673
2015-10-09,0.7956
2015-10-12,0.7891
2015-10-13,0.7791
2015-10-14,0.7768
2015-10-15,0.7878
2015-10-16,0.7855
2015-10-19,0.7797
2015-10-20,0.7853
2015-10-21,0.7255
2015-10-22,0.7312
2015-10-23,0.7436
2015-10-26,0.7284
2015-10-27,0.7077
2015-10-28,0.7195
2015-10-29,0.7071
2015-10-30,0.7093
2015-11-02,0.7192
2015-11-03,0.7479
2015-11-04,0.7475
2015-11-05,0.7396
2015-11-06,0.7194
2015-11-09,0.7198
2015-11-10,0.7165
2015-11-11,0.7107
2015-11-12,0.6963
2015-11-13,0.6809
2015-11-16,0.6903
2015-11-17,0.7253
2015-11-18,0.7401
2015-11-19,0.7423
2015-11-20,0.7503
2015-11-23,0.7589
2015-11-24,0.7342
2015-11-25,0.7404
2015-11-26,0.7363
2015-11-27,0.7221
2015-11-30,0.7103
2015-12-01,0.7136
2015-12-02,0.709
2015-12-03,0.7032
2015-12-04,0.6906
2015-12-07,0.6697
2015-12-08,0.6582
2015-12-09,0.6656
2015-12-10,0.6678
2015-12-11,0.6515
2015-12-14,0.6448
2015-12-15,0.6632
2015-12-16,0.6662
2015-12-17,0.6703
2015-12-18,0.6527
2015-12-21,0.6422
2015-12-22,0.6463
2015-12-23,0.6652
2015-12-24,0.6628
2015-12-25,0.6596
2015-12-28,0.6432
2015-12-29,0.6537
2015-12-30,0.6443
2015-12-31,0.7144
2016-01-01,0.7144
2016-01-04,0.7018
2016-01-05,0.7076
2016-01-06,0.6946
2016-01-07,0.6916
2016-01-08,0.6892
2016-01-11,0.6559
2016-01-12,0.6569
2016-01-13,0.6553
2016-01-14,0.6529
2016-01-15,0.6151
2016-01-18,0.6083
2016-01-19,0.6216
2016-01-20,0.5929
2016-01-21,0.5953
2016-01-22,0.6507
2016-01-25,0.6413
2016-01-26,0.6446
2016-01-27,0.6655
2016-01-28,0.6874
2016-01-29,0.7077
2016-02-01,0.6922
2016-02-02,0.6654
2016-02-03,0.6671
2016-02-04,0.6993
2016-02-05,0.6875
2016-02-08,0.6672
2016-02-09,0.6536
2016-02-10,0.659
2016-02-11,0.6355
2016-02-12,0.655
2016-02-15,0.6726
2016-02-16,0.6747
2016-02-17,0.7021
2016-02-18,0.7106
2016-02-19,0.6874
2016-02-22,0.7183
2016-02-23,0.7105
