Date,pb
2005-08-10,1.7088999999999999
2005-08-11,1.7319
2005-08-12,1.7343
2005-08-15,1.7391999999999999
2005-08-16,1.7436
2005-08-17,1.7407
2005-08-18,1.7457
2005-08-19,1.742
2005-08-22,1.7698
2005-08-23,1.7737
2005-08-24,1.779
2005-08-25,1.7684
2005-08-26,1.7825
2005-08-29,1.7622
2005-08-30,1.7861
2005-08-31,1.7823
2005-09-01,1.7778
2005-09-02,1.7906
2005-09-05,1.8024
2005-09-06,1.7968
2005-09-07,1.7953999999999999
2005-09-08,1.7871000000000001
2005-09-09,1.8066
2005-09-12,1.8307
2005-09-13,1.838
2005-09-14,1.8317999999999999
2005-09-15,1.8537
2005-09-16,1.8544
2005-09-19,1.8544
2005-09-20,1.8885999999999998
2005-09-21,1.8965
2005-09-22,1.8976
2005-09-23,1.8976
2005-09-26,1.9399
2005-09-27,1.8991
2005-09-28,1.9475
2005-09-29,1.9891
2005-09-30,1.8377
2005-10-03,1.8326
2005-10-04,1.8466
2005-10-05,1.8324
2005-10-06,1.7795
2005-10-07,1.7826
2005-10-10,1.7826
2005-10-11,1.8279999999999998
2005-10-12,1.8247
2005-10-13,1.8260999999999998
2005-10-14,1.8148
2005-10-17,1.8072
2005-10-18,1.8088
2005-10-19,1.7893
2005-10-20,1.7939
2005-10-21,1.7957
2005-10-24,1.7823
2005-10-25,1.804
2005-10-26,1.8216
2005-10-27,1.8392
2005-10-28,1.8288
2005-10-31,1.8595000000000002
2005-11-01,1.8978000000000002
2005-11-02,1.9059
2005-11-03,1.9059
2005-11-04,1.9353
2005-11-07,1.9372
2005-11-08,1.9377
2005-11-09,1.9277
2005-11-10,1.9234
2005-11-11,1.9354
2005-11-14,1.9179
2005-11-15,1.911
2005-11-16,1.9299
2005-11-17,1.9627
2005-11-18,1.9928
2005-11-21,1.9916
2005-11-22,1.9883
2005-11-23,1.9883
2005-11-24,1.9798
2005-11-25,1.9946000000000002
2005-11-28,2.0158
2005-11-29,2.0134
2005-11-30,1.9999
2005-12-01,2.033
2005-12-02,2.0658
2005-12-05,2.0809
2005-12-06,2.0726
2005-12-07,2.082
2005-12-08,2.0423
2005-12-09,2.0745
