Date,pb
2005-04-06,2.6844
2005-04-07,2.6936
2005-04-08,2.692
2005-04-11,2.6907
2005-04-12,2.6798
2005-04-13,2.6898
2005-04-14,2.6985
2005-04-15,2.6932
2005-04-18,2.651
2005-04-19,2.6753
2005-04-20,2.6479
2005-04-21,2.6419
2005-04-22,2.6458
2005-04-25,2.6398
2005-04-26,2.6469
2005-04-27,2.6132
2005-04-28,2.6173
2005-04-29,2.6265
2005-05-02,2.6512000000000002
2005-05-03,2.6547
2005-05-04,2.6852
2005-05-05,2.6852
2005-05-06,2.6972
2005-05-09,2.6871
2005-05-10,2.6518
2005-05-11,2.6534
2005-05-12,2.6668
2005-05-13,2.6648
2005-05-16,2.6648
2005-05-17,2.6656
2005-05-18,2.6877
2005-05-19,2.697
2005-05-20,2.6978
2005-05-23,2.7062
2005-05-24,2.7252
2005-05-25,2.7326
2005-05-26,2.7512
2005-05-27,2.761
2005-05-30,2.7603999999999997
2005-05-31,2.7469
2005-06-01,2.7577
2005-06-02,2.7667
2005-06-03,2.7593
2005-06-06,2.7497
2005-06-07,2.7715
2005-06-08,2.7718
2005-06-09,2.7744999999999997
2005-06-10,2.773
2005-06-13,2.7842000000000002
2005-06-14,2.785
2005-06-15,2.7784
2005-06-16,2.7789
2005-06-17,2.782
2005-06-20,2.7716
2005-06-21,2.7958
2005-06-22,2.7929
2005-06-23,2.7865
2005-06-24,2.7647
2005-06-27,2.7513
2005-06-28,2.7595
2005-06-29,2.783
2005-06-30,2.6526
2005-07-01,2.6633
2005-07-04,2.6667
2005-07-05,2.6672000000000002
2005-07-06,2.6774
2005-07-07,2.6532999999999998
2005-07-08,2.6803
2005-07-11,2.7003
2005-07-12,2.6888
2005-07-13,2.7177
2005-07-14,2.7401
2005-07-15,2.7432
2005-07-18,2.7437
2005-07-19,2.7504999999999997
2005-07-20,2.762
2005-07-21,2.7546
2005-07-22,2.7566
2005-07-25,2.7617000000000003
2005-07-26,2.7692
2005-07-27,2.7875
2005-07-28,2.8097
2005-07-29,2.8063000000000002
2005-08-01,2.8106
2005-08-02,2.8363
2005-08-03,2.8306
2005-08-04,2.8135
2005-08-05,2.8114
2005-08-08,2.8226
2005-08-09,2.8242000000000003
2005-08-10,2.8445
2005-08-11,2.8407999999999998
2005-08-12,2.8273
2005-08-15,2.8216
2005-08-16,2.8228999999999997
2005-08-17,2.8204000000000002
2005-08-18,2.8064
2005-08-19,2.8239
2005-08-22,2.8186999999999998
2005-08-23,2.7934
2005-08-24,2.7813
2005-08-25,2.7584
2005-08-26,2.7385
2005-08-29,2.7472
2005-08-30,2.7503
2005-08-31,2.7706
2005-09-01,2.7849
2005-09-02,2.7753
2005-09-05,2.781
2005-09-06,2.8104
2005-09-07,2.8407
2005-09-08,2.8396
2005-09-09,2.8489
2005-09-12,2.8592
2005-09-13,2.8455
2005-09-14,2.862
2005-09-15,2.8706
2005-09-16,2.8952999999999998
2005-09-19,2.8921
2005-09-20,2.9055
2005-09-21,2.8746
2005-09-22,2.8645
2005-09-23,2.8845
2005-09-26,2.9121
2005-09-27,2.9112
2005-09-28,2.9327
2005-09-29,2.9148
2005-09-30,2.8653
2005-10-03,2.9097
2005-10-04,2.9232
2005-10-05,2.9153000000000002
2005-10-06,2.8791
2005-10-07,2.8821
2005-10-10,2.883
2005-10-11,2.8894
2005-10-12,2.8689999999999998
2005-10-13,2.8457
2005-10-14,2.8459
2005-10-17,2.8522
2005-10-18,2.876
2005-10-19,2.8228999999999997
2005-10-20,2.85
2005-10-21,2.8358
2005-10-24,2.8613
2005-10-25,2.8721
2005-10-26,2.8852
2005-10-27,2.8626
2005-10-28,2.8439
2005-10-31,2.9115
2005-11-01,2.9370000000000003
2005-11-02,2.9448
2005-11-03,2.9859999999999998
2005-11-04,2.9821999999999997
2005-11-07,3.002
2005-11-08,3.0019
2005-11-09,2.995
2005-11-10,2.997
2005-11-11,3.041
2005-11-14,3.027
2005-11-15,3.0317
2005-11-16,3.0099
2005-11-17,3.0337
2005-11-18,3.0742
2005-11-21,3.0853
2005-11-22,3.0926
2005-11-23,3.1028000000000002
2005-11-24,3.0949
2005-11-25,3.1051
2005-11-28,3.0723
2005-11-29,3.0771
2005-11-30,3.0631
2005-12-01,3.1225
2005-12-02,3.1424
2005-12-05,3.1407
2005-12-06,3.1531000000000002
2005-12-07,3.1471
2005-12-08,3.1376
2005-12-09,3.1398
2005-12-12,3.1394
2005-12-13,3.1447
2005-12-14,3.1186
2005-12-15,3.094
2005-12-16,3.1087
2005-12-19,3.1268
2005-12-20,3.1201
2005-12-21,3.1336
2005-12-22,3.1189
2005-12-23,3.1116
2005-12-26,3.1116
2005-12-27,3.1329
2005-12-28,3.138
2005-12-29,3.1638
2005-12-30,3.1491
2006-01-02,3.1506
2006-01-03,3.1705
2006-01-04,3.2114
2006-01-05,3.2034
2006-01-06,3.2092
2006-01-09,3.207
2006-01-10,3.1877
2006-01-11,3.226
2006-01-12,3.2446
2006-01-13,3.2463
2006-01-16,3.2599
2006-01-17,3.24
2006-01-18,3.2164
2006-01-19,3.2346
2006-01-20,3.2045
2006-01-23,3.2064
2006-01-24,3.202
2006-01-25,3.1957
2006-01-26,3.2242
2006-01-27,3.2358000000000002
2006-01-30,3.2414
2006-01-31,3.2524
2006-02-01,3.2621
2006-02-02,3.2444
2006-02-03,3.2671
2006-02-06,3.2678
2006-02-07,3.2665
2006-02-08,3.2641
2006-02-09,3.2816
2006-02-10,3.2772
2006-02-13,3.2868
2006-02-14,3.2842000000000002
2006-02-15,3.2458
2006-02-16,3.289
2006-02-17,3.2929
2006-02-20,3.3089
2006-02-21,3.3311
2006-02-22,3.3482
2006-02-23,3.3244
2006-02-24,3.313
2006-02-27,3.3302
2006-02-28,3.2889
2006-03-01,3.3254
2006-03-02,3.3069
2006-03-03,3.3043
2006-03-06,3.304
