Date,pb
2005-07-25,2.0378
2005-07-26,2.0445
2005-07-27,2.0448
2005-07-28,2.0473
2005-07-29,2.0435
2005-08-01,2.045
2005-08-02,2.0458
2005-08-03,2.0391
2005-08-04,2.0306
2005-08-05,2.0113
2005-08-08,2.008
2005-08-09,2.0278
2005-08-10,2.0535
2005-08-11,2.043
2005-08-12,2.02
2005-08-15,2.0177
2005-08-16,2.0154
2005-08-17,2.0105
2005-08-18,2.0046
2005-08-19,2.0172
2005-08-22,2.0226
2005-08-23,2.0082
2005-08-24,2.0005
2005-08-25,1.9804
2005-08-26,1.9748
2005-08-29,1.9796
2005-08-30,1.9788999999999999
2005-08-31,1.9939
2005-09-01,1.9919
2005-09-02,1.9924
2005-09-05,2.0032
2005-09-06,2.0202
2005-09-07,2.0243
2005-09-08,2.0272
2005-09-09,2.031
2005-09-12,2.0344
2005-09-13,2.0233
2005-09-14,2.0259
2005-09-15,2.0251
2005-09-16,2.039
2005-09-19,2.039
2005-09-20,2.0516
2005-09-21,2.023
2005-09-22,2.0037
2005-09-23,2.013
2005-09-26,2.0421
2005-09-27,2.0349
2005-09-28,2.0547
2005-09-29,2.0444
2005-09-30,2.0347
2005-10-03,2.0609
2005-10-04,2.0739
2005-10-05,2.0579
2005-10-06,2.0352
2005-10-07,2.0279
2005-10-10,2.0253
2005-10-11,2.0225
2005-10-12,2.0014
2005-10-13,1.99
2005-10-14,2.0078
2005-10-17,2.0078
2005-10-18,2.0063
2005-10-19,1.9729
2005-10-20,1.9857
2005-10-21,1.9722
2005-10-24,1.9891999999999999
2005-10-25,1.9841
2005-10-26,1.992
2005-10-27,1.9623
2005-10-28,1.9607
2005-10-31,2.004
2005-11-01,2.0078
2005-11-02,2.0246
2005-11-03,2.035
2005-11-04,2.0309
2005-11-07,2.0426
2005-11-08,2.0508
2005-11-09,2.0576
2005-11-10,2.0752
2005-11-11,2.1016
2005-11-14,2.1057
2005-11-15,2.1054
2005-11-16,2.094
2005-11-17,2.1048999999999998
2005-11-18,2.1174
2005-11-21,2.1204
2005-11-22,2.1274
2005-11-23,2.1378
2005-11-24,2.1281
2005-11-25,2.1322
2005-11-28,2.134
2005-11-29,2.1478
2005-11-30,2.1446
2005-12-01,2.1814
2005-12-02,2.1967
2005-12-05,2.1911
2005-12-06,2.2141
2005-12-07,2.2103
2005-12-08,2.2085
2005-12-09,2.2069
2005-12-12,2.2187
2005-12-13,2.2194
2005-12-14,2.212
2005-12-15,2.2245
2005-12-16,2.2472
2005-12-19,2.2447
2005-12-20,2.2431
2005-12-21,2.26
2005-12-22,2.2556
2005-12-23,2.2615
2005-12-26,2.2615
2005-12-27,2.2691
2005-12-28,2.2622999999999998
2005-12-29,2.2732
2005-12-30,2.2503
2006-01-02,2.2496
2006-01-03,2.2518000000000002
2006-01-04,2.2667
2006-01-05,2.2574
2006-01-06,2.2708
2006-01-09,2.2814
2006-01-10,2.2564
2006-01-11,2.2685
2006-01-12,2.2713
2006-01-13,2.2379
2006-01-16,2.2387
2006-01-17,2.22
2006-01-18,2.1978
2006-01-19,2.2127
2006-01-20,2.1866
2006-01-23,2.1854
2006-01-24,2.1866
2006-01-25,2.2147
2006-01-26,2.2511
2006-01-27,2.2758
2006-01-30,2.2771
2006-01-31,2.2736
2006-02-01,2.3034
2006-02-02,2.2837
2006-02-03,2.2935
2006-02-06,2.3014
2006-02-07,2.3102
2006-02-08,2.3168
2006-02-09,2.3458
2006-02-10,2.3385
2006-02-13,2.3557
2006-02-14,2.3635
2006-02-15,2.3643
2006-02-16,2.3744
2006-02-17,2.3835
2006-02-20,2.3883
2006-02-21,2.384
2006-02-22,2.3963
2006-02-23,2.3903
2006-02-24,2.3905
2006-02-27,2.4065
2006-02-28,2.3635
2006-03-01,2.3689999999999998
2006-03-02,2.3486000000000002
2006-03-03,2.3365
2006-03-06,2.3567
2006-03-07,2.3428
2006-03-08,2.3186
2006-03-09,2.339
2006-03-10,2.3579
2006-03-13,2.3726
2006-03-14,2.3806
2006-03-15,2.3945
2006-03-16,2.3937
2006-03-17,2.3942
2006-03-20,2.4134
2006-03-21,2.422
2006-03-22,2.4311
2006-03-23,2.4427
2006-03-24,2.4427
2006-03-27,2.4311
2006-03-28,2.4169
2006-03-29,2.4205
2006-03-30,2.4361
2006-03-31,2.1387
2006-04-03,2.149
2006-04-04,2.1307
2006-04-05,2.1314
2006-04-06,2.1349
2006-04-07,2.13
2006-04-10,2.1327
2006-04-11,2.0952
2006-04-12,2.0932
2006-04-13,2.0897
2006-04-14,2.0897
2006-04-17,2.0897
2006-04-18,2.0819
2006-04-19,2.1153
2006-04-20,2.1385
2006-04-21,2.157
2006-04-24,2.1418
2006-04-25,2.1412
2006-04-26,2.1468
2006-04-27,2.1389
2006-04-28,2.1151
2006-05-01,2.1151
2006-05-02,2.112
2006-05-03,2.0894
2006-05-04,2.099
2006-05-05,2.1262
2006-05-08,2.1347
2006-05-09,2.1369
2006-05-10,2.1193
2006-05-11,2.1028000000000002
2006-05-12,2.0491
2006-05-15,2.0281
2006-05-16,2.0319
2006-05-17,1.9697
2006-05-18,1.9691999999999998
2006-05-19,1.9744000000000002
2006-05-22,1.9340000000000002
2006-05-23,1.9832
2006-05-24,1.9656
2006-05-25,1.9809999999999999
2006-05-26,2.0106
2006-05-29,2.011
2006-05-30,1.9582000000000002
2006-05-31,1.9844
2006-06-01,2.0026
2006-06-02,1.9967000000000001
2006-06-05,1.9823
2006-06-06,1.9438
2006-06-07,1.9661
2006-06-08,1.9106
2006-06-09,1.9393
2006-06-12,1.9158
2006-06-13,1.8740999999999999
2006-06-14,1.8791
2006-06-15,1.9284
2006-06-16,1.9142000000000001
2006-06-19,1.9314
2006-06-20,1.937
2006-06-21,1.9474
2006-06-22,1.9598
2006-06-23,1.955
2006-06-26,1.9483000000000001
2006-06-27,1.9251
2006-06-28,1.9253
2006-06-29,1.9630999999999998
2006-06-30,2.1449
2006-07-03,2.1609
2006-07-04,2.1658
2006-07-05,2.1365
2006-07-06,2.1566
2006-07-07,2.1404
2006-07-10,2.1474
2006-07-11,2.1252
2006-07-12,2.1375
2006-07-13,2.1059
2006-07-14,2.0716
2006-07-17,2.0836
2006-07-18,2.0848
2006-07-19,2.145
2006-07-20,2.1536
2006-07-21,2.1387
2006-07-24,2.1892
2006-07-25,2.1792
2006-07-26,2.186
2006-07-27,2.2096
2006-07-28,2.2318
2006-07-31,2.224
2006-08-01,2.1992
2006-08-02,2.2274
2006-08-03,2.2031
2006-08-04,2.2279
2006-08-07,2.1992
2006-08-08,2.195
2006-08-09,2.2077
2006-08-10,2.1962
2006-08-11,2.1957
2006-08-14,2.2189
2006-08-15,2.2462
2006-08-16,2.2596
2006-08-17,2.2667
2006-08-18,2.2641999999999998
2006-08-21,2.2535
2006-08-22,2.2611
2006-08-23,2.2477
2006-08-24,2.265
2006-08-25,2.2732
2006-08-28,2.2908
2006-08-29,2.2952
2006-08-30,2.3079
2006-08-31,2.3066
2006-09-01,2.3179
2006-09-04,2.3325
2006-09-05,2.3233
2006-09-06,2.2989
2006-09-07,2.2862
2006-09-08,2.2923
2006-09-11,2.2894
2006-09-12,2.3238
2006-09-13,2.3346999999999998
2006-09-14,2.3379
2006-09-15,2.3598
2006-09-18,2.3572
2006-09-19,2.3338
2006-09-20,2.3676
2006-09-21,2.3737
2006-09-22,2.3508
2006-09-25,2.355
2006-09-26,2.3925
2006-09-27,2.3976
2006-09-28,2.3976
2006-09-29,2.4115
2006-10-02,2.2249
2006-10-03,2.2213
2006-10-04,2.2365
2006-10-05,2.2439
2006-10-06,2.2451
2006-10-09,2.2431
2006-10-10,2.2533
2006-10-11,2.2553
2006-10-12,2.2664
2006-10-13,2.2632
2006-10-16,2.2622999999999998
2006-10-17,2.2305
2006-10-18,2.2445
2006-10-19,2.2472
2006-10-20,2.2418
2006-10-23,2.2582
2006-10-24,2.2578
2006-10-25,2.2560000000000002
2006-10-26,2.2488
2006-10-27,2.2357
2006-10-30,2.2237
2006-10-31,2.2163
2006-11-01,2.2167
2006-11-02,2.2113
2006-11-03,2.2228
2006-11-06,2.2537
2006-11-07,2.2666
2006-11-08,2.2675
2006-11-09,2.2503
2006-11-10,2.2476
2006-11-13,2.254
2006-11-14,2.251
2006-11-15,2.2691
2006-11-16,2.2634
2006-11-17,2.2524
2006-11-20,2.2508
2006-11-21,2.2528
2006-11-22,2.247
2006-11-23,2.2391
2006-11-24,2.2249
2006-11-27,2.1901
2006-11-28,2.1885
2006-11-29,2.2075
2006-11-30,2.1874000000000002
2006-12-01,2.1764
2006-12-04,2.1827
2006-12-05,2.1977
2006-12-06,2.1909
2006-12-07,2.1936
2006-12-08,2.1916
2006-12-11,2.2084
2006-12-12,2.2274
2006-12-13,2.2587
2006-12-14,2.2832
2006-12-15,2.2884
2006-12-18,2.2853
2006-12-19,2.2796
2006-12-20,2.2943
2006-12-21,2.2896
2006-12-22,2.2748
2006-12-25,2.2748
2006-12-26,2.2748
2006-12-27,2.3061
2006-12-28,2.3034
2006-12-29,2.2965999999999998
2007-01-01,2.2965999999999998
2007-01-02,2.3258
2007-01-03,2.3281
2007-01-04,2.3283
2007-01-05,2.3056
2007-01-08,2.2999
2007-01-09,2.3178
2007-01-10,2.2999
2007-01-11,2.3349
2007-01-12,2.3508
2007-01-15,2.3608000000000002
2007-01-16,2.3617
2007-01-17,2.3648
2007-01-18,2.3667
2007-01-19,2.3731999999999998
2007-01-22,2.3553
2007-01-23,2.3514
2007-01-24,2.3692
2007-01-25,2.3526
2007-01-26,2.3381
2007-01-29,2.3407999999999998
2007-01-30,2.3521
2007-01-31,2.3396
2007-02-01,2.3626
2007-02-02,2.3737
2007-02-05,2.3701
2007-02-06,2.3776
2007-02-07,2.3896
2007-02-08,2.3687
2007-02-09,2.3844
2007-02-12,2.3633
2007-02-13,2.3735
2007-02-14,2.3821
2007-02-15,2.3819
2007-02-16,2.3742
2007-02-19,2.3914
2007-02-20,2.3894
2007-02-21,2.3957
2007-02-22,2.3966
2007-02-23,2.4007
2007-02-26,2.4019
2007-02-27,2.344
2007-02-28,2.3047
2007-03-01,2.2593
2007-03-02,2.2695
2007-03-05,2.2522
2007-03-06,2.257
2007-03-07,2.2743
2007-03-08,2.3069
2007-03-09,2.3174
2007-03-12,2.3226
2007-03-13,2.3024
2007-03-14,2.2527
2007-03-15,2.3081
2007-03-16,2.3135
2007-03-19,2.3723
2007-03-20,2.4098
2007-03-21,2.4146
2007-03-22,2.4507
2007-03-23,2.4713
2007-03-26,2.4425
2007-03-27,2.4345
2007-03-28,2.4202
2007-03-29,2.4511
2007-03-30,2.4459
2007-04-02,2.4258
2007-04-03,2.4475
2007-04-04,2.456
2007-04-05,2.4646
2007-04-06,2.4646
2007-04-09,2.4646
2007-04-10,2.4922
2007-04-11,2.4814
2007-04-12,2.4637000000000002
2007-04-13,2.4859
2007-04-16,2.5431
2007-04-17,2.5467
2007-04-18,2.5427
2007-04-19,2.5323
2007-04-20,2.5648999999999997
2007-04-23,2.5586
2007-04-24,2.5458
2007-04-25,2.5651
2007-04-26,2.5602
2007-04-27,2.5460000000000003
2007-04-30,2.5462
2007-05-01,2.5462
2007-05-02,2.5458
2007-05-03,2.566
2007-05-04,2.5759
2007-05-07,2.5768
2007-05-08,2.5539
2007-05-09,2.5442
2007-05-10,2.5234
2007-05-11,2.5364
2007-05-14,2.5263
2007-05-15,2.5346
2007-05-16,2.5139
2007-05-17,2.5211
2007-05-18,2.5337
2007-05-21,2.533
2007-05-22,2.5478
2007-05-23,2.5521000000000003
2007-05-24,2.5285
2007-05-25,2.5343999999999998
2007-05-28,2.5436
2007-05-29,2.5460000000000003
2007-05-30,2.5391
2007-05-31,2.5623
2007-06-01,2.5738
2007-06-04,2.5763
2007-06-05,2.5633
2007-06-06,2.526
2007-06-07,2.5125
2007-06-08,2.5082
2007-06-11,2.5235
2007-06-12,2.5109
2007-06-13,2.5136
2007-06-14,2.5505
2007-06-15,2.5849
2007-06-18,2.5797
2007-06-19,2.5725
2007-06-20,2.5786
2007-06-21,2.5770999999999997
2007-06-22,2.5755
2007-06-25,2.5663
2007-06-26,2.5561
2007-06-27,2.5414
2007-06-28,2.5617
2007-06-29,2.5654
2007-07-02,2.4798
2007-07-03,2.4986
2007-07-04,2.5078
2007-07-05,2.4962
2007-07-06,2.5036
2007-07-09,2.5152
2007-07-10,2.5113
2007-07-11,2.5073
2007-07-12,2.5353
2007-07-13,2.5473
2007-07-16,2.5681000000000003
2007-07-17,2.5622
2007-07-18,2.5423
2007-07-19,2.5637
2007-07-20,2.5408
2007-07-23,2.551
2007-07-24,2.5225999999999997
2007-07-25,2.4968
2007-07-26,2.433
2007-07-27,2.4066
2007-07-30,2.4
2007-07-31,2.438
2007-08-01,2.3803
2007-08-02,2.4092000000000002
2007-08-03,2.3819
2007-08-06,2.3628
2007-08-07,2.3875
2007-08-08,2.4319
2007-08-09,2.3705
2007-08-10,2.3064
2007-08-13,2.3572
2007-08-14,2.3392
2007-08-15,2.3263
2007-08-16,2.2457
2007-08-17,2.2975
2007-08-20,2.3226
2007-08-21,2.3233
2007-08-22,2.3609
2007-08-23,2.3961
2007-08-24,2.3959
2007-08-27,2.4012000000000002
2007-08-28,2.3545
2007-08-29,2.3613
2007-08-30,2.3899
2007-08-31,2.4051
2007-09-03,2.4093999999999998
2007-09-04,2.4255
2007-09-05,2.3878
2007-09-06,2.4041
2007-09-07,2.3657
2007-09-10,2.3523
2007-09-11,2.3924
2007-09-12,2.4052
2007-09-13,2.4336
2007-09-14,2.4178
2007-09-17,2.4006
2007-09-18,2.4367
2007-09-19,2.4834
2007-09-20,2.4722
2007-09-21,2.477
2007-09-24,2.4634
2007-09-25,2.4457
2007-09-26,2.4676
2007-09-27,2.4801
2007-09-28,2.4797000000000002
2007-10-01,2.6077
2007-10-02,2.5999
2007-10-03,2.5978
2007-10-04,2.5997
2007-10-05,2.6169000000000002
2007-10-08,2.6192
2007-10-09,2.6382
2007-10-10,2.6543
2007-10-11,2.6586
2007-10-12,2.6688
2007-10-15,2.5885
2007-10-16,2.576
2007-10-17,2.5998
2007-10-18,2.5858
2007-10-19,2.5826000000000002
2007-10-22,2.548
2007-10-23,2.5647
2007-10-24,2.5376
2007-10-25,2.5516
2007-10-26,2.5364
2007-10-29,2.5465999999999998
2007-10-30,2.5274
2007-10-31,2.5507
2007-11-01,2.4798
2007-11-02,2.4798
2007-11-05,2.4723
2007-11-06,2.4703
2007-11-07,2.446
2007-11-08,2.4173
2007-11-09,2.3734
2007-11-12,2.3762
2007-11-13,2.3791
2007-11-14,2.3965
2007-11-15,2.3685
2007-11-16,2.3345000000000002
2007-11-19,2.2938
2007-11-20,2.2892
2007-11-21,2.2318
2007-11-22,2.2366
2007-11-23,2.2784
2007-11-26,2.2726
2007-11-27,2.2857
2007-11-28,2.3237
2007-11-29,2.3237
2007-11-30,2.3578
2007-12-03,2.3912
2007-12-04,2.3714
2007-12-05,2.4102
2007-12-06,2.4195
2007-12-07,2.4326
2007-12-10,2.4433
2007-12-11,2.4375
2007-12-12,2.4269
2007-12-13,2.3918
2007-12-14,2.4123
2007-12-17,2.3830999999999998
2007-12-18,2.3779
2007-12-19,2.3696
2007-12-20,2.3837
2007-12-21,2.41
2007-12-24,2.4242
2007-12-25,2.4242
2007-12-26,2.4242
2007-12-27,2.4121
2007-12-28,2.4116
2007-12-31,2.255
2008-01-01,2.255
2008-01-02,2.2224
2008-01-03,2.2077
2008-01-04,2.185
2008-01-07,2.1909
2008-01-08,2.1824
2008-01-09,2.1566
2008-01-10,2.1271
2008-01-11,2.1141
2008-01-14,2.1263
2008-01-15,2.0632
2008-01-16,2.035
2008-01-17,2.0392
2008-01-18,1.9915
2008-01-21,1.8740999999999999
2008-01-22,1.9189
2008-01-23,1.8626
2008-01-24,1.9768
2008-01-25,1.9529999999999998
2008-01-28,1.9522
2008-01-29,1.986
2008-01-30,1.9723000000000002
2008-01-31,1.9654
2008-02-01,2.0079
2008-02-04,2.0077
2008-02-05,1.9416
2008-02-06,1.9675
2008-02-07,1.9296
2008-02-08,1.9257
2008-02-11,1.904
2008-02-12,1.9534
2008-02-13,1.9637
2008-02-14,1.9522
2008-02-15,1.9229
2008-02-18,1.9691999999999998
2008-02-19,1.9879
2008-02-20,1.9687999999999999
2008-02-21,1.9879
2008-02-22,1.9788999999999999
2008-02-25,2.0146
2008-02-26,2.0371
2008-02-27,2.0308
2008-02-28,1.9877
2008-02-29,1.9619
2008-03-03,1.9299
2008-03-04,1.911
2008-03-05,1.9426999999999999
2008-03-06,1.9138
2008-03-07,1.9071
2008-03-10,1.8847
2008-03-11,1.9081000000000001
2008-03-12,1.9247
2008-03-13,1.905
2008-03-14,1.8874
2008-03-17,1.8159999999999998
2008-03-18,1.8660999999999999
2008-03-19,1.8660999999999999
2008-03-20,1.8818000000000001
2008-03-21,1.8818000000000001
2008-03-24,1.8818000000000001
2008-03-25,1.9232
2008-03-26,1.9215
2008-03-27,1.9416
2008-03-28,1.9314
2008-03-31,1.9506000000000001
2008-04-01,2.0097
2008-04-02,2.03
2008-04-03,2.013
2008-04-04,2.037
2008-04-07,2.0469
2008-04-08,2.0382
2008-04-09,2.016
2008-04-10,2.0105
2008-04-11,1.9849
2008-04-14,1.9745
2008-04-15,1.9817
2008-04-16,2.0219
2008-04-17,2.0141
2008-04-18,2.0714
2008-04-21,2.0406
2008-04-22,2.0154
2008-04-23,2.0232
2008-04-24,2.0063
2008-04-25,2.0137
2008-04-28,2.0283
2008-04-29,2.0091
2008-04-30,2.0336
2008-05-01,2.0336
2008-05-02,2.0685000000000002
2008-05-05,2.0613
2008-05-06,2.0435
2008-05-07,2.0596
2008-05-08,2.0543
2008-05-09,2.0404
2008-05-12,2.0432
2008-05-13,2.035
2008-05-14,2.0605
2008-05-15,2.0698
2008-05-16,2.0654
2008-05-19,2.0747
2008-05-20,2.0411
2008-05-21,2.0248
2008-05-22,2.0198
2008-05-23,1.995
2008-05-26,1.9872
2008-05-27,1.9834
2008-05-28,2.0128
2008-05-29,2.0155
2008-05-30,2.0375
2008-06-02,2.0331
2008-06-03,2.048
2008-06-04,2.0368
2008-06-05,2.0425
2008-06-06,1.9771
2008-06-09,1.96
2008-06-10,1.9558
2008-06-11,1.9262000000000001
2008-06-12,1.9525000000000001
2008-06-13,1.9512
2008-06-16,1.9422000000000001
2008-06-17,1.9391
2008-06-18,1.9009
2008-06-19,1.8598
2008-06-20,1.8206
2008-06-23,1.8133
2008-06-24,1.8091
2008-06-25,1.8315000000000001
2008-06-26,1.7825
2008-06-27,1.7631000000000001
2008-06-30,1.7966
2008-07-01,1.763
2008-07-02,1.7547000000000001
2008-07-03,1.7723
2008-07-04,1.7511
2008-07-07,1.7707000000000002
2008-07-08,1.7455
2008-07-09,1.7788
2008-07-10,1.7285
2008-07-11,1.6726999999999999
2008-07-14,1.6985000000000001
2008-07-15,1.6593
2008-07-16,1.6813
2008-07-17,1.7328999999999999
2008-07-18,1.7599
2008-07-21,1.7810000000000001
2008-07-22,1.7769
2008-07-23,1.8073000000000001
2008-07-24,1.7689
2008-07-25,1.7617
2008-07-28,1.7396
2008-07-29,1.7439
2008-07-30,1.7631999999999999
2008-07-31,1.742
2008-08-01,1.7233
2008-08-04,1.7347000000000001
2008-08-05,1.8071000000000002
2008-08-06,1.8412
2008-08-07,1.8141
2008-08-08,1.8531
2008-08-11,1.8739
2008-08-12,1.8847
2008-08-13,1.8655
2008-08-14,1.8431
2008-08-15,1.8673
2008-08-18,1.8628
2008-08-19,1.8069
