Date,pb
2016-10-28,0.3611
2016-10-31,0.3598
2016-11-01,1.1865
2016-11-02,1.1716
2016-11-03,1.1707
2016-11-04,1.1629
2016-11-07,1.1696
2016-11-08,1.1749
2016-11-09,1.1611
2016-11-10,1.1360999999999999
2016-11-11,1.1176
2016-11-14,1.1047
2016-11-15,1.1123
2016-11-16,1.0947
2016-11-17,1.1026
2016-11-18,1.0803
2016-11-21,1.0901
2016-11-22,1.0916
2016-11-23,1.083
2016-11-24,1.0878
2016-11-25,1.0934
2016-11-28,1.0839
2016-11-29,1.093
2016-11-30,1.0958
2016-12-01,1.0862
2016-12-02,1.0826
2016-12-05,1.0968
2016-12-06,1.1293
2016-12-07,1.1421999999999999
2016-12-08,1.1529
2016-12-09,1.1477
2016-12-12,1.1578
2016-12-13,1.1784
2016-12-14,1.1661
2016-12-15,1.1577
2016-12-16,1.1652
2016-12-19,1.1598
2016-12-20,1.1572
2016-12-21,1.1575
2016-12-22,1.155
2016-12-23,1.1596
2016-12-26,1.1596
2016-12-27,1.16
2016-12-28,1.1477
2016-12-29,1.1557
2016-12-30,1.1651
2017-01-02,1.2865
2017-01-03,1.2798
2017-01-04,1.2872
2017-01-05,1.3092
2017-01-06,1.3135
2017-01-09,1.3066
2017-01-10,1.3046
2017-01-11,1.2816
2017-01-12,1.3044
2017-01-13,1.316
2017-01-16,1.2981
2017-01-17,1.3075999999999999
2017-01-18,1.3061
2017-01-19,1.2966
2017-01-20,1.3048
2017-01-23,1.3006
2017-01-24,1.3145
2017-01-25,1.3385
2017-01-26,1.3245
2017-01-27,1.3276
2017-01-30,1.3054000000000001
2017-01-31,1.3124
2017-02-01,1.3085
2017-02-02,1.3248
2017-02-03,1.3309
2017-02-06,1.3085
2017-02-07,1.2969
2017-02-08,1.2974
2017-02-09,1.308
2017-02-10,1.2927
2017-02-13,1.3045
2017-02-14,1.3037
2017-02-15,1.3155000000000001
2017-02-16,1.3233
2017-02-17,1.3099
2017-02-20,1.3115999999999999
2017-02-21,1.3054999999999999
2017-02-22,1.2962
2017-02-23,1.3046
2017-02-24,1.2945
2017-02-27,1.3023
2017-02-28,1.3178
2017-03-01,1.3197999999999999
2017-03-02,1.3111
2017-03-03,1.3285
2017-03-06,1.3333
2017-03-07,1.3311
