Date,pb
2000-02-07,2.4234
2000-02-08,2.4192
2000-02-09,2.388
2000-02-10,2.4605
2000-02-11,2.4225
2000-02-14,2.4024
2000-02-15,2.4175
2000-02-16,2.4084
2000-02-17,2.3984
2000-02-18,2.3214
2000-02-21,2.3038
2000-02-22,2.2677
2000-02-23,2.3539
2000-02-24,2.3396
2000-02-25,2.2993
2000-02-28,2.3818
2000-02-29,2.0812
2000-03-01,2.1523
2000-03-02,2.2544
2000-03-03,2.3005
2000-03-06,2.2671
2000-03-07,2.2826
2000-03-08,2.3481
2000-03-09,2.3675
2000-03-10,2.3198
2000-03-13,2.2684
2000-03-14,2.217
2000-03-15,2.25
2000-03-16,2.2482
2000-03-17,2.249
2000-03-20,2.26
2000-03-21,2.2678
2000-03-22,2.2155
2000-03-23,2.2626
2000-03-24,2.2989
2000-03-27,2.3274
2000-03-28,2.2651
2000-03-29,2.235
2000-03-30,2.1535
2000-03-31,2.3199
2000-04-03,2.2532
2000-04-04,2.1775
2000-04-05,2.1974
2000-04-06,2.2614
2000-04-07,2.3165
2000-04-10,2.263
2000-04-11,2.2013
2000-04-12,2.1364
2000-04-13,2.0822
2000-04-14,1.9463
2000-04-17,1.9167999999999998
2000-04-18,2.0248
2000-04-19,1.9548999999999999
2000-04-20,1.9607
2000-04-21,1.9607
2000-04-24,1.9524
2000-04-25,2.0543
2000-04-26,2.0597
2000-04-27,2.0846999999999998
2000-04-28,2.025
2000-05-01,2.041
2000-05-02,2.0281
2000-05-03,1.9718
2000-05-04,1.9788999999999999
2000-05-05,1.9687999999999999
2000-05-08,1.9117
2000-05-09,1.883
2000-05-10,1.8386
2000-05-11,1.8420999999999998
2000-05-12,1.8939
2000-05-15,1.9151
2000-05-16,1.9306999999999999
2000-05-17,1.8660999999999999
2000-05-18,1.8356
2000-05-19,1.7587000000000002
2000-05-22,1.7155
2000-05-23,1.6818
2000-05-24,1.762
2000-05-25,1.7218
2000-05-26,1.7168999999999999
2000-05-29,1.7405
2000-05-30,1.822
2000-05-31,1.8124
2000-06-01,1.8801999999999999
2000-06-02,2.0131
2000-06-05,1.9846
2000-06-06,1.8683
2000-06-07,1.8373
2000-06-08,1.8467
2000-06-09,1.862
2000-06-12,1.8818000000000001
2000-06-13,1.9247
2000-06-14,1.9634
2000-06-15,1.9167999999999998
2000-06-16,1.8894
2000-06-19,1.8876
2000-06-20,1.8952
2000-06-21,1.9415
2000-06-22,1.8695
2000-06-23,1.8515000000000001
2000-06-26,1.8756
2000-06-27,1.9195
2000-06-28,1.9162
2000-06-29,1.9518
2000-06-30,2.1638
2000-07-03,2.2933
2000-07-04,2.34
2000-07-05,2.2859
2000-07-06,2.2575
2000-07-07,2.288
2000-07-10,2.3148
2000-07-11,2.2746
2000-07-12,2.3292
2000-07-13,2.3285
2000-07-14,2.3553
2000-07-17,2.3284000000000002
2000-07-18,2.3049
2000-07-19,2.1431
2000-07-20,2.1672
2000-07-21,2.1543
2000-07-24,2.1329
2000-07-25,2.1554
2000-07-26,2.1421
2000-07-27,2.0999
2000-07-28,2.032
2000-07-31,2.0558
2000-08-01,2.0628
2000-08-02,2.0713
2000-08-03,2.0505
2000-08-04,2.0782
2000-08-07,2.1021
2000-08-08,2.0999
2000-08-09,2.0631
2000-08-10,2.0512
2000-08-11,2.0738
2000-08-14,2.083
2000-08-15,2.0875
2000-08-16,2.0987999999999998
2000-08-17,2.1152
2000-08-18,2.0624
2000-08-21,2.041
2000-08-22,2.0457
2000-08-23,2.0429
2000-08-24,2.0328
2000-08-25,2.0038
2000-08-28,2.0195
2000-08-29,2.0342
2000-08-30,2.1094
2000-08-31,2.2257
2000-09-01,2.2433
2000-09-04,2.2727
2000-09-05,2.2758
2000-09-06,2.2566
2000-09-07,2.2995
2000-09-08,2.2735
2000-09-11,2.2533
2000-09-12,2.2171
2000-09-13,2.2473
2000-09-14,2.2492
2000-09-15,2.2475
2000-09-18,2.1554
2000-09-19,2.1657
2000-09-20,2.1911
2000-09-21,2.1383
2000-09-22,2.1229
2000-09-25,2.1341
2000-09-26,2.1042
2000-09-27,2.078
2000-09-28,2.1133
2000-09-29,2.0913
2000-10-02,1.9785
2000-10-03,1.9779
2000-10-04,2.0063
2000-10-05,2.0089
2000-10-06,1.9464000000000001
2000-10-09,1.9418
2000-10-10,1.9376
2000-10-11,1.888
2000-10-12,1.8308
2000-10-13,1.8455
2000-10-16,1.8314
2000-10-17,1.8018999999999998
2000-10-18,1.8239999999999998
2000-10-19,1.8938000000000001
2000-10-20,1.8834
2000-10-23,1.8657
2000-10-24,1.9295
2000-10-25,1.9064
2000-10-26,2.0463
2000-10-27,2.0921
2000-10-30,2.1159
2000-10-31,2.0406
2000-11-01,2.0433
2000-11-02,2.0428
2000-11-03,1.9958
2000-11-06,2.002
2000-11-07,2.03
2000-11-08,2.0116
2000-11-09,1.9689
2000-11-10,1.9403000000000001
2000-11-13,1.8934
2000-11-14,1.9473
2000-11-15,1.9769999999999999
2000-11-16,1.9735
2000-11-17,2.0113
2000-11-20,2.0195
2000-11-21,1.9804
2000-11-22,1.9167
2000-11-23,1.9348999999999998
2000-11-24,1.9623
2000-11-27,1.9577
2000-11-28,1.9140000000000001
2000-11-29,1.9064999999999999
2000-11-30,1.8248
2000-12-01,1.822
2000-12-04,1.7811
2000-12-05,1.8782999999999999
2000-12-06,1.8723
2000-12-07,1.8676
2000-12-08,1.8777
2000-12-11,1.8851
2000-12-12,1.8777
2000-12-13,1.8542
2000-12-14,1.8460999999999999
2000-12-15,1.8136999999999999
2000-12-18,1.8185
2000-12-19,1.8031000000000001
2000-12-20,1.7017
2000-12-21,1.7101
2000-12-22,1.7405
