Date,pb
2013-10-17,1.1138
2013-10-18,1.1232
2013-10-21,1.1212
2013-10-22,1.1222
2013-10-23,1.1135
2013-10-24,1.1131
2013-10-25,1.1051
2013-10-28,1.1159
2013-10-29,1.1185
2013-10-30,1.1241
2013-10-31,1.1045
2013-11-01,1.1111
2013-11-04,1.1001
2013-11-05,1.0967
2013-11-06,1.0965
2013-11-07,1.0908
2013-11-08,1.0755
2013-11-11,1.0672
2013-11-12,1.0794
2013-11-13,1.0574
2013-11-14,1.0644
2013-11-15,1.0926
2013-11-18,1.1029
2013-11-19,1.1169
2013-11-20,1.1046
2013-11-21,1.0856
2013-11-22,1.0944
2013-11-25,1.0981
2013-11-26,1.1042
2013-11-27,1.0985
2013-11-28,1.1084
2013-11-29,1.1107
2013-12-02,1.1046
2013-12-03,1.0886
2013-12-04,1.0754
2013-12-05,1.0754
2013-12-06,1.0752
2013-12-09,1.093
2013-12-10,1.0896
2013-12-11,1.0814
2013-12-12,1.0765
2013-12-13,1.0711
2013-12-16,1.0713
2013-12-17,1.0754
2013-12-18,1.0801
2013-12-19,1.0718
2013-12-20,1.0755
2013-12-23,1.0872
2013-12-24,1.0891
2013-12-25,1.0891
2013-12-26,1.0874
2013-12-27,1.0949
2013-12-30,1.0975
2013-12-31,1.0651
2014-01-01,1.0651
2014-01-02,1.044
2014-01-03,1.0257
2014-01-06,1.0189
2014-01-07,1.0189
2014-01-08,1.0222
2014-01-09,1.0156
2014-01-10,1.0114
2014-01-13,1.0218
2014-01-14,1.0183
2014-01-15,1.0178
2014-01-16,1.0197
2014-01-17,1.015
2014-01-20,1.0168
2014-01-21,1.0214
2014-01-22,1.0228
2014-01-23,1.0041
2014-01-24,0.9891
2014-01-27,0.9725
2014-01-28,0.9784
2014-01-29,1.0009
2014-01-30,1.0009
2014-01-31,1.0009
2014-02-03,0.9749
2014-02-04,0.9574
2014-02-05,0.9668
2014-02-06,0.9758
2014-02-07,0.9867
2014-02-10,0.9894
2014-02-11,0.9943
2014-02-12,1.0044
2014-02-13,0.9963
2014-02-14,1.0069
2014-02-17,1.0137
2014-02-18,1.0085
2014-02-19,1.0065
2014-02-20,0.9912
2014-02-21,1.0089
2014-02-24,1.0018
2014-02-25,1.0121
2014-02-26,1.0233
2014-02-27,1.0258
2014-02-28,1.0274
2014-03-03,1.0141
2014-03-04,1.0041
2014-03-05,1.0164
2014-03-06,1.0241
2014-03-07,1.0265
2014-03-10,1.0096
2014-03-11,1.0148
2014-03-12,0.992
2014-03-13,0.9918
2014-03-14,0.9795
2014-03-17,0.9888
2014-03-18,0.9935
2014-03-19,0.9898
2014-03-20,0.9732
2014-03-21,0.9785
2014-03-24,0.9871
2014-03-25,0.9829
2014-03-26,1.0021
2014-03-27,1.0141
2014-03-28,1.0177
2014-03-31,1.0205
2014-04-01,1.0288
2014-04-02,1.0344
2014-04-03,1.0325
2014-04-04,1.0365
2014-04-07,1.037
2014-04-08,1.0423
2014-04-09,1.0552
2014-04-10,1.0616
2014-04-11,1.0596
2014-04-14,1.0551
2014-04-15,1.0497
2014-04-16,1.0532
2014-04-17,1.0513
2014-04-18,1.0589
2014-04-21,1.0559
2014-04-22,1.0599
