Date,pb
2017-06-14,2.52
2017-06-15,2.425
2017-06-16,2.4305
2017-06-19,2.4487
2017-06-20,2.3969
2017-06-21,2.4209
2017-06-22,2.416
2017-06-23,2.4557
2017-06-26,2.4659
2017-06-27,2.4465
2017-06-28,2.4344
2017-06-29,2.3994
2017-06-30,2.2565
2017-07-03,2.2483
2017-07-04,2.2368
2017-07-05,2.2179
2017-07-06,2.2192
2017-07-07,2.1938
2017-07-10,2.2039
2017-07-11,2.1833
2017-07-12,2.261
2017-07-13,2.285
2017-07-14,2.3467000000000002
2017-07-17,2.3774
2017-07-18,2.3505
2017-07-19,2.3928
2017-07-20,2.3921
2017-07-21,2.4025
2017-07-24,2.4151
2017-07-25,2.3922
2017-07-26,2.4081
2017-07-27,2.4117
2017-07-28,2.4161
2017-07-31,2.3833
2017-08-01,2.3719
2017-08-02,2.366
2017-08-03,2.3609999999999998
2017-08-04,2.3529
2017-08-07,2.412
2017-08-08,2.4191
2017-08-09,2.373
2017-08-10,2.3750999999999998
2017-08-11,2.3312
2017-08-14,2.378
2017-08-15,2.3574
2017-08-16,2.4027
2017-08-17,2.4081
2017-08-18,2.4013999999999998
2017-08-21,2.4131
2017-08-22,2.4309
2017-08-23,2.4359
2017-08-24,2.4538
2017-08-25,2.4745
2017-08-28,2.4726
2017-08-29,2.4781
2017-08-30,2.4562
2017-08-31,2.4754
2017-09-01,2.4758
2017-09-04,2.445
2017-09-05,2.4524
2017-09-06,2.4264
2017-09-07,2.4405
2017-09-08,2.4173
2017-09-11,2.4249
2017-09-12,2.4185
2017-09-13,2.3842
2017-09-14,2.3824
2017-09-15,2.3602
2017-09-18,2.3565
2017-09-19,2.3503
2017-09-20,2.3613
2017-09-21,2.3493
2017-09-22,2.3637
2017-09-25,2.3424
2017-09-26,2.2914
2017-09-27,2.2574
2017-09-28,2.2569
2017-09-29,2.2849
2017-10-02,2.26
2017-10-03,2.2754
2017-10-04,2.3132
2017-10-05,2.3168
2017-10-06,2.3109
2017-10-09,2.3027
2017-10-10,2.3533
2017-10-11,2.3773
2017-10-12,2.4031000000000002
2017-10-13,2.441
2017-10-16,2.4571
2017-10-17,2.4121
2017-10-18,2.4041
2017-10-19,2.4001
2017-10-20,2.3646
2017-10-23,2.3583
2017-10-24,2.3475
2017-10-25,2.311
2017-10-26,2.2818
2017-10-27,2.2934
2017-10-30,2.3307
2017-10-31,2.3098
2017-11-01,2.3348
2017-11-02,2.3429
2017-11-03,2.3158
2017-11-06,2.3265000000000002
2017-11-07,2.3441
2017-11-08,2.3546
2017-11-09,2.3344
2017-11-10,2.308
2017-11-13,2.2491
2017-11-14,2.2587
2017-11-15,2.2543
2017-11-16,2.3137
2017-11-17,2.3849
2017-11-20,2.4050000000000002
2017-11-21,2.4422
2017-11-22,2.4485
2017-11-23,2.4148
2017-11-24,2.4167
2017-11-27,2.4441
2017-11-28,2.4867
2017-11-29,2.4959
2017-11-30,2.4734
2017-12-01,2.3967
2017-12-04,2.432
2017-12-05,2.4347
2017-12-06,2.3536
2017-12-07,2.3143000000000002
2017-12-08,2.3069
2017-12-11,2.3089
2017-12-12,2.2615
2017-12-13,2.2961
2017-12-14,2.3419
2017-12-15,2.3682
2017-12-18,2.5201000000000002
2017-12-19,2.5341
2017-12-20,2.5484
2017-12-21,2.5506
2017-12-22,2.5677
2017-12-25,2.5788
2017-12-26,2.5888999999999998
2017-12-27,2.6630000000000003
2017-12-28,2.6630000000000003
2017-12-29,2.6939
2018-01-01,2.5431
2018-01-02,2.5221999999999998
2018-01-03,2.5177
2018-01-04,2.5585
2018-01-05,2.5685000000000002
2018-01-08,2.5554
2018-01-09,2.564
2018-01-10,2.5317
2018-01-11,2.5033
2018-01-12,2.5169
2018-01-15,2.5441000000000003
2018-01-16,2.5949999999999998
2018-01-17,2.6212
2018-01-18,2.6558
2018-01-19,2.6195
2018-01-22,2.6615
2018-01-23,2.7068
2018-01-24,2.7492
2018-01-25,2.7873
2018-01-26,2.7386
2018-01-29,2.6749
2018-01-30,2.6146000000000003
2018-01-31,2.6384
2018-02-01,2.6322
2018-02-02,2.5548
2018-02-05,2.4844
2018-02-06,2.4483
2018-02-07,2.5244
2018-02-08,2.4747
2018-02-09,2.4526
2018-02-12,2.5046
2018-02-13,2.5407
2018-02-14,2.5962
2018-02-15,2.7332
2018-02-16,2.7169
2018-02-19,2.6781
2018-02-20,2.6283
2018-02-21,2.6896
2018-02-22,2.6669
2018-02-23,2.7204
2018-02-26,2.701
2018-02-27,2.6897
2018-02-28,2.6222
2018-03-01,2.6016
2018-03-02,2.5759
2018-03-05,2.6212999999999997
2018-03-06,2.7024
2018-03-07,2.6712
2018-03-08,2.6583
2018-03-09,2.6883
2018-03-12,2.6813000000000002
2018-03-13,2.6859
2018-03-14,2.6523
2018-03-15,2.6096
2018-03-16,2.575
2018-03-19,2.5652
2018-03-20,2.6037
2018-03-21,2.6134
