Date,pb
2008-02-28,3.6601
2008-02-29,3.6601
2008-03-03,3.6710000000000003
2008-03-04,3.6166
2008-03-05,3.6286
2008-03-06,3.6104000000000003
2008-03-07,3.6104000000000003
2008-03-10,3.5488
2008-03-11,3.551
2008-03-12,3.5869999999999997
2008-03-13,3.6856
2008-03-14,3.5896
2008-03-17,3.5324
2008-03-18,3.5028
2008-03-19,3.4521
2008-03-20,3.3916
2008-03-21,3.3916
2008-03-24,3.2792
2008-03-25,3.2486
2008-03-26,3.307
2008-03-27,3.2942
2008-03-28,3.2942
2008-03-31,3.2373
2008-04-01,3.2688
2008-04-02,3.2797
2008-04-03,3.3054
2008-04-04,3.3054
2008-04-07,3.3903
2008-04-08,3.4222
2008-04-09,3.4693
2008-04-10,3.5798
2008-04-11,3.5798
2008-04-14,3.6632
2008-04-15,3.8273
2008-04-16,3.9264
2008-04-17,4.0737
2008-04-18,4.0737
2008-04-21,3.9926
2008-04-22,3.9848
2008-04-23,4.0233
2008-04-24,4.0103
2008-04-25,4.0103
2008-04-28,3.9751
2008-04-29,3.9926
2008-04-30,3.993
2008-05-01,3.9969
2008-05-02,3.9969
2008-05-05,4.0148
2008-05-06,4.098
2008-05-07,4.1202
2008-05-08,4.1132
2008-05-09,4.1132
2008-05-12,4.1353
2008-05-13,4.1566
2008-05-14,4.1743
2008-05-15,4.1659
2008-05-16,4.1659
2008-05-19,4.2276
2008-05-20,4.3173
2008-05-21,4.2865
2008-05-22,4.2034
2008-05-23,4.2034
2008-05-26,4.1933
2008-05-27,4.2324
2008-05-28,4.1895
2008-05-29,4.1877
2008-05-30,4.1877
2008-06-02,4.2169
2008-06-03,4.2196
2008-06-04,4.2278
2008-06-05,4.2434
2008-06-06,4.2434
2008-06-09,4.3594
2008-06-10,4.3953
2008-06-11,4.43
2008-06-12,4.3795
2008-06-13,4.3795
2008-06-16,4.3953
2008-06-17,4.3513
2008-06-18,4.3122
2008-06-19,4.2405
2008-06-20,4.2405
2008-06-23,4.3194
2008-06-24,4.2661999999999995
2008-06-25,4.2419
2008-06-26,4.1599
2008-06-27,4.1599
2008-06-30,3.3471
2008-07-01,3.3893
2008-07-02,3.4208
2008-07-03,3.4166
2008-07-04,3.4166
2008-07-07,3.3655
2008-07-08,3.3456
2008-07-09,3.3346
2008-07-10,3.3022
2008-07-11,3.3022
2008-07-14,3.3105
2008-07-15,3.2868
2008-07-16,3.2525
2008-07-17,3.2534
2008-07-18,3.2534
2008-07-21,3.3014
2008-07-22,3.3165
2008-07-23,3.2929
2008-07-24,3.3041
2008-07-25,3.3041
2008-07-28,3.2862999999999998
2008-07-29,3.2426
2008-07-30,3.2449
2008-07-31,3.2617
2008-08-01,3.2617
2008-08-04,3.2626
2008-08-05,3.2409
2008-08-06,3.2411
2008-08-07,3.2379
2008-08-08,3.2379
2008-08-11,3.0957
2008-08-12,3.1022
2008-08-13,3.1152
2008-08-14,3.0897
2008-08-15,3.0897
2008-08-18,3.107
2008-08-19,3.1206
2008-08-20,3.1132
2008-08-21,3.0543
2008-08-22,3.0543
2008-08-25,3.0035
2008-08-26,2.9237
2008-08-27,2.9274
2008-08-28,2.8784
2008-08-29,2.8784
2008-09-01,2.9546
2008-09-02,2.9026
2008-09-03,2.8575
2008-09-04,2.798
2008-09-05,2.798
2008-09-08,2.7338
2008-09-09,2.7677
2008-09-10,2.6912000000000003
2008-09-11,2.6328
2008-09-12,2.6328
2008-09-15,2.3079
2008-09-16,2.3038
2008-09-17,2.4989
2008-09-18,2.4221
2008-09-19,2.4221
2008-09-22,2.6550000000000002
2008-09-23,2.6504
2008-09-24,2.555
2008-09-25,2.4974
2008-09-26,2.4974
2008-09-29,2.5999
2008-09-30,2.6675
2008-10-01,2.6675
2008-10-02,2.6675
2008-10-03,2.6675
2008-10-06,2.3715
2008-10-07,2.3417
2008-10-08,2.1386
2008-10-09,2.1834
2008-10-10,2.1834
2008-10-13,2.1957
2008-10-14,2.4067
2008-10-15,2.3167
2008-10-16,2.2267
2008-10-17,2.2267
2008-10-20,2.2677
2008-10-21,2.335
2008-10-22,2.2517
2008-10-23,2.1505
2008-10-24,2.1505
2008-10-27,1.9287
2008-10-28,1.819
2008-10-29,1.9102000000000001
2008-10-30,1.9611
2008-10-31,1.9611
2008-11-03,2.048
2008-11-04,2.0814
2008-11-05,2.1224
2008-11-06,2.1006
2008-11-07,2.1006
