Date,pb
2005-07-04,2.1505
2005-07-05,2.1167
2005-07-06,2.104
2005-07-07,2.0377
2005-07-08,2.0599
2005-07-11,2.064
2005-07-12,2.0905
2005-07-13,2.1323
2005-07-14,2.1415
2005-07-15,2.1135
2005-07-18,2.102
2005-07-19,2.0924
2005-07-20,2.1012
2005-07-21,2.0949
2005-07-22,2.0949
2005-07-25,2.1405
2005-07-26,2.1298
2005-07-27,2.1572
2005-07-28,2.1779
2005-07-29,2.2012
2005-08-01,2.1998
2005-08-02,2.2412
2005-08-03,2.2546
2005-08-04,2.2409
2005-08-05,2.2374
2005-08-08,2.2325
2005-08-09,2.2168
2005-08-10,2.225
2005-08-11,2.2124
2005-08-12,2.2124
2005-08-15,2.1959
2005-08-16,2.1668
2005-08-17,2.1609
2005-08-18,2.1845
2005-08-19,2.217
2005-08-22,2.2545
2005-08-23,2.2537
2005-08-24,2.2702
2005-08-25,2.2547
2005-08-26,2.2735
2005-08-29,2.2603
2005-08-30,2.2622999999999998
2005-08-31,2.2786
2005-09-01,2.3235
2005-09-02,2.3157
2005-09-05,2.3091
2005-09-06,2.2994
2005-09-07,2.3119
2005-09-08,2.3416
2005-09-09,2.3263
2005-09-12,2.3203
2005-09-13,2.2974
2005-09-14,2.3129
2005-09-15,2.2927
2005-09-16,2.2848
2005-09-19,2.295
2005-09-20,2.3474
2005-09-21,2.3409
2005-09-22,2.3589
2005-09-23,2.3454
2005-09-26,2.3418
2005-09-27,2.3467000000000002
2005-09-28,2.3504
2005-09-29,2.3384
2005-09-30,2.2979
2005-10-03,2.2633
2005-10-04,2.249
2005-10-05,2.2573
2005-10-06,2.2355
2005-10-07,2.2276
2005-10-10,2.2192
2005-10-11,2.2241
2005-10-12,2.2298
2005-10-13,2.212
2005-10-14,2.1883
2005-10-17,2.173
2005-10-18,2.1663
2005-10-19,2.1216
2005-10-20,2.116
2005-10-21,2.1329
2005-10-24,2.1329
2005-10-25,2.0947
2005-10-26,2.1322
2005-10-27,2.1339
2005-10-28,2.1195
2005-10-31,2.123
2005-11-01,2.1602
2005-11-02,2.1861
2005-11-03,2.2106
2005-11-04,2.218
2005-11-07,2.2007
2005-11-08,2.176
2005-11-09,2.1775
2005-11-10,2.1718
2005-11-11,2.1632
2005-11-14,2.1581
2005-11-15,2.1469
2005-11-16,2.1207
2005-11-17,2.1141
2005-11-18,2.1433
2005-11-21,2.1321
2005-11-22,2.1384
2005-11-23,2.1275
2005-11-24,2.1298
2005-11-25,2.1323
2005-11-28,2.1278
2005-11-29,2.1342
2005-11-30,2.118
2005-12-01,2.095
2005-12-02,2.0936
2005-12-05,2.0936
2005-12-06,2.154
2005-12-07,2.2235
2005-12-08,2.2207
2005-12-09,2.2348
2005-12-12,2.2348
2005-12-13,2.2263
2005-12-14,2.2346
2005-12-15,2.2166
2005-12-16,2.2199
2005-12-19,2.2227
2005-12-20,2.2534
2005-12-21,2.2498
2005-12-22,2.2466
2005-12-23,2.2525
2005-12-26,2.2644
2005-12-27,2.2795
2005-12-28,2.2721
2005-12-29,2.2885
2005-12-30,2.2996
2006-01-02,2.2996
2006-01-03,2.3275
2006-01-04,2.3997
2006-01-05,2.3868
2006-01-06,2.4082
2006-01-09,2.4622
2006-01-10,2.4493
2006-01-11,2.4506
2006-01-12,2.4058
2006-01-13,2.4048
2006-01-16,2.3942
2006-01-17,2.3992
2006-01-18,2.3519
2006-01-19,2.3746
2006-01-20,2.3885
2006-01-23,2.3951000000000002
2006-01-24,2.382
2006-01-25,2.4418
2006-01-26,2.4407
2006-01-27,2.4356999999999998
2006-01-30,2.4218
2006-01-31,2.4475
2006-02-01,2.4451
2006-02-02,2.3986
2006-02-03,2.3986
2006-02-06,2.3878
2006-02-07,2.3821
2006-02-08,2.351
2006-02-09,2.354
2006-02-10,2.3629
2006-02-13,2.3629
2006-02-14,2.3246
2006-02-15,2.3097
2006-02-16,2.3448
2006-02-17,2.3637
2006-02-20,2.3567
2006-02-21,2.3176
2006-02-22,2.3327
2006-02-23,2.3375
2006-02-24,2.3688000000000002
2006-02-27,2.4173
2006-02-28,2.38
2006-03-01,2.392
2006-03-02,2.4032
2006-03-03,2.4077
2006-03-06,2.4022
2006-03-07,2.359
2006-03-08,2.2849
2006-03-09,2.3094
2006-03-10,2.3078
2006-03-13,2.3205999999999998
2006-03-14,2.3355
2006-03-15,2.3379
2006-03-16,2.3386
2006-03-17,2.331
2006-03-20,2.291
2006-03-21,2.2765
2006-03-22,2.242
2006-03-23,2.273
2006-03-24,2.2766
2006-03-27,2.2813
2006-03-28,2.261
2006-03-29,2.2484
2006-03-30,2.2582
2006-03-31,2.1681
2006-04-03,2.1852
2006-04-04,2.2155
2006-04-05,2.3099
2006-04-06,2.3099
2006-04-07,2.3195
2006-04-10,2.268
2006-04-11,2.2543
2006-04-12,2.2407
2006-04-13,2.2407
2006-04-14,2.2407
2006-04-17,2.2647
2006-04-18,2.2736
2006-04-19,2.2736
2006-04-20,2.301
2006-04-21,2.3013
2006-04-24,2.2952
2006-04-25,2.2701000000000002
2006-04-26,2.296
2006-04-27,2.2837
2006-04-28,2.2662
2006-05-01,2.2662
2006-05-02,2.2687
2006-05-03,2.291
2006-05-04,2.2647
2006-05-05,2.2647
2006-05-08,2.3192
2006-05-09,2.3352
2006-05-10,2.3322
2006-05-11,2.3165
2006-05-12,2.3165
2006-05-15,2.2566
2006-05-16,2.2469
2006-05-17,2.2445
2006-05-18,2.1955
2006-05-19,2.1914
2006-05-22,2.1322
2006-05-23,2.1431
2006-05-24,2.0947
2006-05-25,2.0554
2006-05-26,2.1101
2006-05-29,2.1314
2006-05-30,2.098
2006-05-31,2.0918
2006-06-01,2.0779
2006-06-02,2.1114
2006-06-05,2.0814
2006-06-06,2.0378
2006-06-07,1.9872
2006-06-08,1.9501
2006-06-09,1.9268999999999998
2006-06-12,1.9268999999999998
2006-06-13,1.9268999999999998
2006-06-14,1.8582
2006-06-15,1.8633
2006-06-16,1.9302000000000001
2006-06-19,1.9072
2006-06-20,1.8612
2006-06-21,1.8740999999999999
2006-06-22,1.9116
2006-06-23,1.9119000000000002
2006-06-26,1.9085
2006-06-27,1.9053
2006-06-28,1.9365999999999999
2006-06-29,1.95
2006-06-30,2.0002
2006-07-03,2.0273
2006-07-04,2.0679
2006-07-05,2.0142
2006-07-06,2.0383
2006-07-07,2.0327
2006-07-10,2.0304
2006-07-11,2.0304
2006-07-12,2.0326
2006-07-13,1.9788000000000001
