Date,pb
2006-01-03,2.7721999999999998
2006-01-04,2.7821
2006-01-05,2.7826
2006-01-06,2.8087999999999997
2006-01-09,2.8188
2006-01-10,2.8179
2006-01-11,2.8276
2006-01-12,2.8099
2006-01-13,2.8133
2006-01-16,2.8133
2006-01-17,2.8031
2006-01-18,2.7922000000000002
2006-01-19,2.8078
2006-01-20,2.7563
2006-01-23,2.7615
2006-01-24,2.7681
2006-01-25,2.7633
2006-01-26,2.7833
2006-01-27,2.8043
2006-01-30,2.8119
2006-01-31,2.7994
2006-02-01,2.8059
2006-02-02,2.7804
2006-02-03,2.7654
2006-02-06,2.7677
2006-02-07,2.7452
2006-02-08,2.769
2006-02-09,2.7649
2006-02-10,2.7718
2006-02-13,2.7627
2006-02-14,2.7904
2006-02-15,2.8001
2006-02-16,2.8205
2006-02-17,2.8158
2006-02-20,2.8158
2006-02-21,2.8067
2006-02-22,2.8277
2006-02-23,2.8171
2006-02-24,2.8196
2006-02-27,2.8301
2006-02-28,2.7967
2006-03-01,2.8198
2006-03-02,2.8148999999999997
2006-03-03,2.8085
2006-03-06,2.789
2006-03-07,2.7838000000000003
2006-03-08,2.7893
2006-03-09,2.7757
2006-03-10,2.7961
2006-03-13,2.802
2006-03-14,2.8312
2006-03-15,2.8432
2006-03-16,2.8482
2006-03-17,2.8524000000000003
2006-03-20,2.8464
2006-03-21,2.8293
2006-03-22,2.8464
2006-03-23,2.8391
2006-03-24,2.842
2006-03-27,2.8365
2006-03-28,2.8182
2006-03-29,2.8393
2006-03-30,2.8335
2006-03-31,2.774
2006-04-03,2.782
2006-04-04,2.7994
2006-04-05,2.8115
2006-04-06,2.8061
2006-04-07,2.7771
2006-04-10,2.7788
2006-04-11,2.7573
2006-04-12,2.7607
2006-04-13,2.763
2006-04-14,2.763
2006-04-17,2.7549
2006-04-18,2.8028
2006-04-19,2.8077
2006-04-20,2.8120000000000003
2006-04-21,2.8117
2006-04-24,2.8023
2006-04-25,2.7887
2006-04-26,2.7965
2006-04-27,2.8061
2006-04-28,2.8093
2006-05-01,2.7934
2006-05-02,2.8106
2006-05-03,2.7996
2006-05-04,2.8089
2006-05-05,2.838
2006-05-08,2.835
2006-05-09,2.8362
2006-05-10,2.8311
2006-05-11,2.7948
2006-05-12,2.7633
2006-05-15,2.7702999999999998
2006-05-16,2.765
2006-05-17,2.7185
2006-05-18,2.6973000000000003
2006-05-19,2.7085
2006-05-22,2.6977
2006-05-23,2.686
2006-05-24,2.6902
2006-05-25,2.7209
2006-05-26,2.7352
2006-05-29,2.7352
2006-05-30,2.6912000000000003
2006-05-31,2.7100999999999997
2006-06-01,2.7433
2006-06-02,2.7477
2006-06-05,2.6989
2006-06-06,2.6959
2006-06-07,2.6794000000000002
2006-06-08,2.6831
2006-06-09,2.6710000000000003
2006-06-12,2.6372
2006-06-13,2.61
2006-06-14,2.6236
2006-06-15,2.6794000000000002
2006-06-16,2.6695
2006-06-19,2.6446
2006-06-20,2.6446
2006-06-21,2.6704
2006-06-22,2.6562
2006-06-23,2.6538
2006-06-26,2.6645
2006-06-27,2.6403
2006-06-28,2.6563
2006-06-29,2.7134
2006-06-30,2.6623
2006-07-03,2.6791
2006-07-04,2.6791
2006-07-05,2.6597
2006-07-06,2.6663
2006-07-07,2.6483
2006-07-10,2.6522
2006-07-11,2.6630000000000003
2006-07-12,2.6339
2006-07-13,2.5996
2006-07-14,2.5869999999999997
2006-07-17,2.5834
2006-07-18,2.5867
2006-07-19,2.6347
2006-07-20,2.6123
2006-07-21,2.5938
2006-07-24,2.637
2006-07-25,2.6536
2006-07-26,2.6527
2006-07-27,2.642
2006-07-28,2.674
2006-07-31,2.6692
2006-08-01,2.6593999999999998
2006-08-02,2.6751
2006-08-03,2.6786
2006-08-04,2.6766
2006-08-07,2.6691000000000003
2006-08-08,2.6601
2006-08-09,2.6485
2006-08-10,2.6614
2006-08-11,2.6529
2006-08-14,2.6561
2006-08-15,2.6924
2006-08-16,2.713
2006-08-17,2.7173
2006-08-18,2.7274000000000003
2006-08-21,2.7174
2006-08-22,2.7202
2006-08-23,2.7082
2006-08-24,2.7145
2006-08-25,2.7117
2006-08-28,2.7257
2006-08-29,2.7308
2006-08-30,2.7308
2006-08-31,2.7275
2006-09-01,2.7425
2006-09-04,2.7425
2006-09-05,2.7471
2006-09-06,2.7196
2006-09-07,2.7065
2006-09-08,2.7168
2006-09-11,2.7182
2006-09-12,2.7465
2006-09-13,2.757
2006-09-14,2.7532
2006-09-15,2.7608
2006-09-18,2.7628
2006-09-19,2.7567
2006-09-20,2.7711
2006-09-21,2.7561
2006-09-22,2.7494
2006-09-25,2.7746
2006-09-26,2.7955
2006-09-27,2.7960000000000003
2006-09-28,2.8015
2006-09-29,2.7907
2006-10-02,2.7025
2006-10-03,2.7082
2006-10-04,2.7409
2006-10-05,2.7469
2006-10-06,2.7396000000000003
2006-10-09,2.7417
2006-10-10,2.7474
2006-10-11,2.7403
2006-10-12,2.7664999999999997
2006-10-13,2.7721
2006-10-16,2.7792
2006-10-17,2.769
2006-10-18,2.7728
2006-10-19,2.7748
2006-10-20,2.7782
2006-10-23,2.7953
2006-10-24,2.7961
2006-10-25,2.8058
2006-10-26,2.8196
2006-10-27,2.7953
2006-10-30,2.795
2006-10-31,2.7923999999999998
2006-11-01,2.7716
2006-11-02,2.7706
2006-11-03,2.7638
2006-11-06,2.797
2006-11-07,2.8034
2006-11-08,2.8093
2006-11-09,2.7944
2006-11-10,2.8014
2006-11-13,2.8086
2006-11-14,2.8264
2006-11-15,2.8332
2006-11-16,2.8397
2006-11-17,2.8446
2006-11-20,2.8418
2006-11-21,2.8464
2006-11-22,2.8531
2006-11-23,2.8531
2006-11-24,2.8413
2006-11-27,2.8023
2006-11-28,2.8121
2006-11-29,2.838
2006-11-30,2.8373
2006-12-01,2.8262
2006-12-04,2.8523
2006-12-05,2.8637
2006-12-06,2.8599
2006-12-07,2.8487
2006-12-08,2.8539
2006-12-11,2.8602
2006-12-12,2.8571999999999997
2006-12-13,2.8606
2006-12-14,2.8853999999999997
2006-12-15,2.8887
2006-12-18,2.8799
2006-12-19,2.8861
2006-12-20,2.8814
2006-12-21,2.8708
2006-12-22,2.8556
2006-12-25,2.8556
2006-12-26,2.8688000000000002
2006-12-27,2.8888
2006-12-28,2.8845
2006-12-29,2.87
2007-01-01,2.87
2007-01-02,2.87
2007-01-03,2.8263
2007-01-04,2.8204000000000002
2007-01-05,2.8032
2007-01-08,2.8095
2007-01-09,2.808
2007-01-10,2.814
2007-01-11,2.8319
2007-01-12,2.8456
2007-01-15,2.8456
2007-01-16,2.8479
2007-01-17,2.8454
2007-01-18,2.8369999999999997
2007-01-19,2.8452
2007-01-22,2.8302
2007-01-23,2.8402
2007-01-24,2.8643
2007-01-25,2.832
2007-01-26,2.8283
2007-01-29,2.8252
2007-01-30,2.8415
2007-01-31,2.8586
2007-02-01,2.874
2007-02-02,2.8781
2007-02-05,2.8731999999999998
2007-02-06,2.8752
2007-02-07,2.8792
2007-02-08,2.8758
2007-02-09,2.8554
2007-02-12,2.8467000000000002
2007-02-13,2.8684
2007-02-14,2.8903
2007-02-15,2.8917
2007-02-16,2.8891999999999998
2007-02-19,2.8891999999999998
2007-02-20,2.8975
2007-02-21,2.8933999999999997
2007-02-22,2.8906
2007-02-23,2.879
2007-02-26,2.8752
2007-02-27,2.7754
2007-02-28,2.787
2007-03-01,2.7798
2007-03-02,2.7500999999999998
2007-03-05,2.7236000000000002
2007-03-06,2.7658
2007-03-07,2.759
2007-03-08,2.7788
2007-03-09,2.7807
2007-03-12,2.7881
2007-03-13,2.7314
2007-03-14,2.7496
2007-03-15,2.7598000000000003
