Date,pc_ratio
2015-08-11,1
2015-08-12,1
2015-08-13,0.3333
2015-08-14,0.3333
2015-08-17,0.3333
2015-08-18,0.25
2015-08-19,0.0714
2015-08-20,0.0714
2015-08-21,0.0714
2015-08-24,0.1389
2015-08-25,0.1389
2015-08-26,0.1087
2015-08-27,0.0758
2015-08-28,0.0758
2015-08-31,0.8333
2015-09-01,1.0151
2015-09-02,0.7791
2015-09-03,0.7701
2015-09-04,0.7701
2015-09-07,0.7701
2015-09-08,2.2209
2015-09-09,2.4535
2015-09-10,2.5116
2015-09-11,2.5116
2015-09-14,2.5116
2015-09-15,2.5116
2015-09-16,2.5
2015-09-17,2.0283
2015-09-18,2.0283
2015-09-21,1.8396
2015-09-22,5.7941
2015-09-23,5.7941
2015-09-24,5.6765
2015-09-25,5.8824
2015-09-28,5.8824
2015-09-29,5.8824
2015-09-30,5.8824
2015-10-01,6.1765
2015-10-02,6.1765
2015-10-05,5.4359
2015-10-06,5.6923
2015-10-07,8.4616
2015-10-08,6.1111
2015-10-09,6.1296
2015-10-12,7.0185
2015-10-13,6.7679
2015-10-14,5.5135
2015-10-15,5.1519
2015-10-16,5.1519
2015-10-19,5.1519
2015-10-20,4.6463
2015-10-21,4.6463
2015-10-22,5.0976
2015-10-23,5.6350999999999996
2015-10-26,5.6350999999999996
2015-10-27,5.6350999999999996
2015-10-28,5.6350999999999996
2015-10-29,5.7162
2015-10-30,5.7162
2015-11-02,6.1350999999999996
2015-11-03,6.1350999999999996
2015-11-04,6.1067
2015-11-05,5.9481
2015-11-06,5.9481
2015-11-09,6.5974
2015-11-10,6.1205
2015-11-11,6.1205
2015-11-12,6.1205
2015-11-13,6.4
2015-11-16,6.4
2015-11-17,6.5417
2015-11-18,6.5417
2015-11-19,6.5417
2015-11-20,6.5417
2015-11-23,5.3958
2015-11-24,5.3444
2015-11-25,5.3667
2015-11-26,5.3667
2015-11-27,5.3667
2015-11-30,5.3667
2015-12-01,5.3667
2015-12-02,5.0842
2015-12-03,5.0842
2015-12-04,5.0842
2015-12-07,5.0842
2015-12-08,5.0842
2015-12-09,4.8788
2015-12-10,5.0842
2015-12-11,5.0842
2015-12-14,5.0842
2015-12-15,5.0842
2015-12-16,5.0842
2015-12-17,5.0842
2015-12-18,5.0842
2015-12-21,5.4269
2015-12-22,4.7875
2015-12-23,4.7875
2015-12-24,4.7875
2015-12-25,4.7875
2015-12-28,4.7875
2015-12-29,4.7284
2015-12-30,4.7284
2015-12-31,4.7284
2016-01-01,4.7284
2016-01-04,4.4186
2016-01-05,5.0116
2016-01-06,5.0233
2016-01-07,5.0233
2016-01-08,5.1977
2016-01-11,5.2442
2016-01-12,5.2442
2016-01-13,4.5149
2016-01-14,4.5149
2016-01-15,5.0645
2016-01-18,5.0645
2016-01-19,4.593
2016-01-20,5.3023
2016-01-21,5.3023
2016-01-22,5.3023
2016-01-25,5.3023
2016-01-26,7.7442
2016-01-27,5.3492
2016-01-28,5.5
2016-01-29,6
2016-02-01,5.9206
2016-02-02,5.9206
2016-02-03,5.9206
2016-02-04,5.9206
2016-02-05,5.9365
2016-02-08,5.5294
2016-02-09,6.9853
2016-02-10,2.9321
2016-02-11,2.9259
2016-02-12,2.6146000000000003
2016-02-15,2.6146000000000003
2016-02-16,2.6146000000000003
2016-02-17,2.6146000000000003
2016-02-18,2.6283
2016-02-19,2.6283
