Date,pc_ratio
2017-09-18,0.0435
2017-09-19,0.1304
2017-09-20,1.0869
2017-09-21,1.0869
2017-09-22,1
2017-09-25,1
2017-09-26,1.1304
2017-09-27,1.04
2017-09-28,1.04
2017-09-29,1.04
2017-10-02,1.04
2017-10-03,1.04
2017-10-04,1.04
2017-10-05,1.04
2017-10-06,1.04
2017-10-09,1.04
2017-10-10,1.04
2017-10-11,1.04
2017-10-12,1.12
2017-10-13,2
2017-10-16,2
2017-10-17,2
2017-10-18,1.8519
2017-10-19,1.9189
2017-10-20,1.9189
2017-10-23,1.8649
2017-10-24,1.2433
2017-10-25,1.2433
2017-10-26,1.6316000000000002
2017-10-27,1.6316000000000002
2017-10-30,1.6316000000000002
2017-10-31,1.5854
2017-11-01,1.5854
2017-11-02,1.5854
2017-11-03,1.5854
2017-11-06,1.5476
2017-11-07,1.5476
2017-11-08,1.5476
2017-11-09,1.5476
2017-11-10,1.5476
2017-11-13,0.5518
2017-11-14,0.5518
2017-11-15,0.5518
2017-11-16,0.3621
2017-11-17,0.3652
2017-11-20,0.42
2017-11-21,0.3809
2017-11-22,0.5905
2017-11-23,0.5905
2017-11-24,0.5905
2017-11-27,0.5905
2017-11-28,0.5905
2017-11-29,0.7619
2017-11-30,1.4906
2017-12-01,1.2619
2017-12-04,0.4814
2017-12-05,0.4829
2017-12-06,0.5092
2017-12-07,0.5078
2017-12-08,0.5933
2017-12-11,0.5842
2017-12-12,0.5298
2017-12-13,0.524
2017-12-14,0.524
2017-12-15,0.5228
2017-12-18,0.4897
2017-12-19,0.5059
2017-12-20,0.4954
2017-12-21,0.4583
2017-12-22,0.4583
2017-12-25,0.4583
2017-12-26,0.453
2017-12-27,0.3889
2017-12-28,0.2991
2017-12-29,0.2991
2018-01-01,0.2991
2018-01-02,0.3119
2018-01-03,0.3113
2018-01-04,0.2979
2018-01-05,0.2954
2018-01-08,0.2901
2018-01-09,0.2793
2018-01-10,0.2793
2018-01-11,0.2793
2018-01-12,0.2788
2018-01-15,0.2788
2018-01-16,0.2815
2018-01-17,0.2871
2018-01-18,0.2871
2018-01-19,0.2866
2018-01-22,0.3164
2018-01-23,0.1945
2018-01-24,0.1984
2018-01-25,0.1924
2018-01-26,0.1921
2018-01-29,0.1851
2018-01-30,0.1626
2018-01-31,0.1614
2018-02-01,0.1733
2018-02-02,0.1733
2018-02-05,0.1733
2018-02-06,0.1733
2018-02-07,0.1733
2018-02-08,0.1733
2018-02-09,0.1888
2018-02-12,0.1935
2018-02-13,0.1935
2018-02-14,0.2026
2018-02-15,0.2157
2018-02-16,0.2172
2018-02-19,0.2172
2018-02-20,0.4
2018-02-21,0.2198
2018-02-22,0.2198
2018-02-23,0.2198
2018-02-26,0.2182
2018-02-27,0.2218
2018-02-28,0.2218
2018-03-01,0.2218
2018-03-02,0.2218
2018-03-05,0.2218
2018-03-06,0.2582
2018-03-07,0.2545
2018-03-08,0.2545
2018-03-09,0.2545
2018-03-12,0.2509
2018-03-13,0.2509
2018-03-14,0.25
2018-03-15,0.25
2018-03-16,0.2852
2018-03-19,0.2881
2018-03-20,0.3945
2018-03-21,0.4037
2018-03-22,0.4129
2018-03-23,0.422
2018-03-26,0.4312
2018-03-27,0.3395
2018-03-28,0.1715
2018-03-29,0.1715
2018-03-30,0.1715
2018-04-02,0.1687
2018-04-03,0.1687
2018-04-04,0.1687
2018-04-05,0.1687
2018-04-06,0.168
2018-04-09,0.168
2018-04-10,0.1781
2018-04-11,0.1724
2018-04-12,0.1541
2018-04-13,0.1541
2018-04-16,0.1507
2018-04-17,0.1828
2018-04-18,0.1828
2018-04-19,0.1828
2018-04-20,0.1828
2018-04-23,0.1684
2018-04-24,0.1538
2018-04-25,0.1486
2018-04-26,0.1497
2018-04-27,0.1497
2018-04-30,0.1497
2018-05-01,0.1497
2018-05-02,0.1497
2018-05-03,0.1293
2018-05-04,0.1293
2018-05-07,0.1293
2018-05-08,0.1284
2018-05-09,0.1284
2018-05-10,0.1284
2018-05-11,0.1445
2018-05-14,0.1065
2018-05-15,0.1057
2018-05-16,0.1057
2018-05-17,0.1057
2018-05-18,0.1094
2018-05-21,0.1115
2018-05-22,0.2388
2018-05-23,0.2286
2018-05-24,0.2286
2018-05-25,0.2286
2018-05-28,0.2286
2018-05-29,0.2286
2018-05-30,0.2254
2018-05-31,0.2254
2018-06-01,0.2254
