Date,pc_ratio
2011-08-12,2.1698
2011-08-15,2.1663
2011-08-16,2.1568
2011-08-17,2.1632
2011-08-18,1.8146
2011-08-19,1.8203
2011-08-22,1.1364
2011-08-23,1.4019
2011-08-24,1.3454
2011-08-25,1.3373
2011-08-26,1.2998
2011-08-29,1.2976
2011-08-30,1.2898
2011-08-31,1.2692
2011-09-01,1.2598
2011-09-02,1.2612999999999999
2011-09-05,1.2612999999999999
2011-09-06,1.2447
2011-09-07,1.2405
2011-09-08,1.2099
2011-09-09,1.2107999999999999
2011-09-12,1.2106
2011-09-13,1.2134
2011-09-14,1.2158
2011-09-15,1.1313
2011-09-16,1.1302
2011-09-19,1.0616
2011-09-20,1.1214
2011-09-21,1.1229
2011-09-22,1.1376
2011-09-23,1.1336
2011-09-26,1.1072
2011-09-27,1.1268
2011-09-28,1.1259000000000001
2011-09-29,1.1211
2011-09-30,1.133
2011-10-03,1.1335
2011-10-04,1.1299
2011-10-05,1.1239
2011-10-06,1.1344
2011-10-07,1.1297
2011-10-10,1.2109
2011-10-11,1.2163
2011-10-12,1.416
2011-10-13,1.4294
2011-10-14,1.4276
2011-10-17,1.4344999999999999
2011-10-18,1.5129000000000001
2011-10-19,1.4867
2011-10-20,1.279
2011-10-21,1.3
2011-10-24,1.1353
2011-10-25,1.3908
2011-10-26,1.3649
2011-10-27,1.3709
2011-10-28,1.52
2011-10-31,1.5333
2011-11-01,1.5329000000000002
2011-11-02,1.5314
2011-11-03,1.5314
2011-11-04,1.5319
2011-11-07,1.5286
2011-11-08,1.5255999999999998
2011-11-09,1.5242
2011-11-10,1.5051
2011-11-11,1.5166
2011-11-14,1.4833
2011-11-15,1.4925
2011-11-16,1.4923
2011-11-17,1.5063
2011-11-18,1.4241
2011-11-21,1.3639000000000001
2011-11-22,1.1371
2011-11-23,1.1273
2011-11-24,1.1273
2011-11-25,1.1082
2011-11-28,1.1046
2011-11-29,1.1078000000000001
2011-11-30,1.0859
2011-12-01,1.066
2011-12-02,1.0629
2011-12-05,1.0514000000000001
2011-12-06,1.0298
2011-12-07,1.0644
2011-12-08,1.0606
2011-12-09,1.0874
2011-12-12,1.0878
2011-12-13,1.1044
2011-12-14,1.0802
2011-12-15,1.0936
2011-12-16,1.0183
2011-12-19,0.9791
2011-12-20,1.0184
2011-12-21,1.0151
2011-12-22,1.0141
2011-12-23,1.0256
2011-12-26,1.0256
2011-12-27,1.0244
2011-12-28,1.0239
