Date,pc_ratio
2011-08-12,0.9338
2011-08-15,0.9317
2011-08-16,0.9186
2011-08-17,0.9833
2011-08-18,0.975
2011-08-19,0.9707
2011-08-22,0.925
2011-08-23,1.1844000000000001
2011-08-24,1.1183
2011-08-25,1.0911
2011-08-26,0.9693
2011-08-29,0.9669
2011-08-30,1.1122
2011-08-31,1.0536
2011-09-01,1.0483
2011-09-02,1.043
2011-09-05,1.043
2011-09-06,1.0263
2011-09-07,1.0708
2011-09-08,1.0702
2011-09-09,1.2084
2011-09-12,1.6017000000000001
2011-09-13,1.8618000000000001
2011-09-14,1.8638
2011-09-15,1.9956
2011-09-16,1.9836
2011-09-19,1.9567999999999999
2011-09-20,3.1899
2011-09-21,3.0969
2011-09-22,3.5312
2011-09-23,3.9339
2011-09-26,4.5892
2011-09-27,4.5608
2011-09-28,4.5382
2011-09-29,4.8199
2011-09-30,5.0085
2011-10-03,5.0276
2011-10-04,4.9793
2011-10-05,4.9277999999999995
2011-10-06,4.3572
2011-10-07,4.2814
2011-10-10,4.3829
2011-10-11,5.7999
2011-10-12,5.4841
2011-10-13,5.4641
2011-10-14,5.3868
2011-10-17,5.4252
2011-10-18,5.5469
2011-10-19,5.1172
2011-10-20,5.0218
2011-10-21,5.0985
2011-10-24,5.2826
2011-10-25,4.6685
2011-10-26,4.4955
2011-10-27,4.4385
2011-10-28,2.8895999999999997
2011-10-31,2.8636
2011-11-01,2.8616
2011-11-02,1.982
2011-11-03,1.982
2011-11-04,1.6482999999999999
2011-11-07,2.0439
2011-11-08,2.0219
2011-11-09,2.1503
2011-11-10,2.1634
2011-11-11,2.1703
2011-11-14,2.1436
2011-11-15,2.1330999999999998
2011-11-16,2.1319
2011-11-17,2.0749
2011-11-18,2.0468
2011-11-21,2.0346
2011-11-22,1.472
2011-11-23,1.4628999999999999
2011-11-24,1.4628999999999999
2011-11-25,1.4606
2011-11-28,1.4483
2011-11-29,1.3545
2011-11-30,1.339
2011-12-01,1.3326
2011-12-02,1.3268
2011-12-05,1.2585
2011-12-06,1.2485
2011-12-07,1.2446
2011-12-08,1.2467
2011-12-09,1.2558
2011-12-12,1.2646
2011-12-13,1.2642
2011-12-14,1.2789
2011-12-15,1.278
2011-12-16,1.2726
2011-12-19,1.0166
2011-12-20,1.1138
2011-12-21,1.0371
2011-12-22,1.0283
2011-12-23,1.0044
2011-12-26,1.0044
2011-12-27,1.0036
2011-12-28,0.9914
2011-12-29,0.9938
2011-12-30,0.9918
2012-01-02,0.9918
2012-01-03,1.0068
2012-01-04,0.9718
2012-01-05,0.9873
2012-01-06,1.0024
2012-01-09,1.0076
2012-01-10,1.0078
2012-01-11,0.9989
2012-01-12,0.9913
2012-01-13,0.9846
2012-01-16,0.9846
2012-01-17,0.9832
2012-01-18,0.9869
2012-01-19,0.9864
2012-01-20,0.9869
2012-01-23,1.2008
2012-01-24,1.0739
2012-01-25,1.0735999999999999
2012-01-26,0.9072
2012-01-27,0.9088
2012-01-30,0.9051
2012-01-31,0.9118
2012-02-01,0.9066
2012-02-02,0.8544
2012-02-03,0.8514
2012-02-06,0.8561
2012-02-07,0.8628
2012-02-08,0.8441
2012-02-09,0.8441
2012-02-10,0.8408
2012-02-13,0.8507
2012-02-14,0.8798
2012-02-15,0.8775
2012-02-16,0.8786
2012-02-17,0.8913
2012-02-20,0.8913
2012-02-21,0.9293
2012-02-22,0.8861
2012-02-23,0.8848
2012-02-24,0.8746
2012-02-27,0.874
2012-02-28,0.8718
2012-02-29,0.8868
2012-03-01,0.8994
2012-03-02,0.9026
2012-03-05,0.9018
2012-03-06,0.9095
2012-03-07,0.9145
2012-03-08,0.9141
2012-03-09,0.9089
2012-03-12,0.9096
2012-03-13,0.9172
2012-03-14,0.9284
2012-03-15,0.927
2012-03-16,0.9301
2012-03-19,0.9896
2012-03-20,1.1784
2012-03-21,1.4468
2012-03-22,1.4377
2012-03-23,1.4316
2012-03-26,1.4371
2012-03-27,1.4064
2012-03-28,1.4064
2012-03-29,1.4097
2012-03-30,1.4217
2012-04-02,1.4166
2012-04-03,1.3809
2012-04-04,1.3820000000000001
2012-04-05,1.3894
2012-04-06,0.001
2012-04-09,1.3749
2012-04-10,1.3779
2012-04-11,1.3846
2012-04-12,1.3820999999999999
2012-04-13,1.2610000000000001
2012-04-16,1.2742
2012-04-17,1.2717
2012-04-18,1.2686
2012-04-19,1.2648
2012-04-20,1.2581
2012-04-23,1.1728
2012-04-24,1.3225
2012-04-25,1.3121
2012-04-26,1.3085
2012-04-27,1.2906
2012-04-30,1.2826
2012-05-01,1.2737
2012-05-02,1.2643
2012-05-03,1.2664
2012-05-04,1.2644
2012-05-07,1.2331
2012-05-08,1.2316
2012-05-09,1.2235
2012-05-10,1.2142
2012-05-11,1.2253
2012-05-14,1.1919
2012-05-15,1.1889
2012-05-16,1.2008
2012-05-17,1.2967
