Date,pc_ratio
2012-09-14,0.0714
2012-09-17,0.0588
2012-09-18,0.0588
2012-09-19,0.0588
2012-09-20,0.05
2012-09-21,0.05
2012-09-24,0.0833
2012-09-25,0.0833
2012-09-26,0.0833
2012-09-27,0.5
2012-09-28,0.5
2012-10-01,22.0833
2012-10-02,22.0833
2012-10-03,23.0833
2012-10-04,23.0833
2012-10-05,23.0833
2012-10-08,7.4865
2012-10-09,7.4865
2012-10-10,7.5946
2012-10-11,8.2647
2012-10-12,8.2647
2012-10-15,8.2647
2012-10-16,8.2647
2012-10-17,8.2647
2012-10-18,8.2647
2012-10-19,8.2647
2012-10-22,8.2647
2012-10-23,31.2223
2012-10-24,31.2223
2012-10-25,31.2223
2012-10-26,31.2223
2012-10-29,31.2223
2012-10-30,31.2223
2012-10-31,31.2223
2012-11-01,31.2223
2012-11-02,31.4444
2012-11-05,31.5556
2012-11-06,32.5556
2012-11-07,32.7778
2012-11-08,16.3889
2012-11-09,16.3889
2012-11-12,16.3889
2012-11-13,16.4444
2012-11-14,16.4444
2012-11-15,16.4444
2012-11-16,16.4444
2012-11-19,16.4444
2012-11-20,19.7333
2012-11-21,19.7333
2012-11-22,19.7333
2012-11-23,20.9333
2012-11-26,20.9333
2012-11-27,20.9333
2012-11-28,20.9333
2012-11-29,20.9333
2012-11-30,20.9333
2012-12-03,20.9333
2012-12-04,20.9333
2012-12-05,20.9333
2012-12-06,20.9333
2012-12-07,20.9333
2012-12-10,20.9333
2012-12-11,20.9333
2012-12-12,20.9333
2012-12-13,20.9333
2012-12-14,20.9333
2012-12-17,20.9333
2012-12-18,20.9333
2012-12-19,18.4706
2012-12-20,13.6522
2012-12-21,13.6522
2012-12-24,18.4706
2012-12-25,18.4706
2012-12-26,15.4
2012-12-27,15.4
2012-12-28,15.4
2012-12-31,15.4
2013-01-01,15.4
2013-01-02,15.4
2013-01-03,15.4
2013-01-04,15.45
2013-01-07,14.7619
2013-01-08,14.7619
2013-01-09,14.7619
2013-01-10,14.7619
2013-01-11,14
2013-01-14,14
2013-01-15,14
2013-01-16,14
2013-01-17,14
2013-01-18,14
2013-01-21,14
2013-01-22,16.3889
2013-01-23,16.3889
2013-01-24,15.5789
2013-01-25,14.8
2013-01-28,9.0625
2013-01-29,9.0625
2013-01-30,8.2857
2013-01-31,8.2857
2013-02-01,8.2857
2013-02-04,8.3429
2013-02-05,8.3429
2013-02-06,8.3429
2013-02-07,8.3429
2013-02-08,8.3429
2013-02-11,8.3429
2013-02-12,12.6286
2013-02-13,9.1846
2013-02-14,9.1846
2013-02-15,9.1231
2013-02-18,9.1231
2013-02-19,9.1231
2013-02-20,9.1231
2013-02-21,9.1231
2013-02-22,9.1231
2013-02-25,9.1231
2013-02-26,9.1384
2013-02-27,8.8657
2013-02-28,6.8276
2013-03-01,6.6742
2013-03-04,6.6742
2013-03-05,7.9775
2013-03-06,7.9775
2013-03-07,8.0899
2013-03-08,8.0899
2013-03-11,8.3721
2013-03-12,8.3838
2013-03-13,8.3838
2013-03-14,8.3838
2013-03-15,8.3838
2013-03-18,8.3838
2013-03-19,4.5625
2013-03-20,4.5625
2013-03-21,4.5
2013-03-22,4.3529
2013-03-25,4.3529
2013-03-26,4.3529
2013-03-27,4.3529
2013-03-28,4.3529
2013-03-29,4.3529
2013-04-01,3.8824
2013-04-02,3.8824
2013-04-03,3.8824
2013-04-04,3.8824
2013-04-05,3.9412000000000003
2013-04-08,3.9412000000000003
2013-04-09,3.9412000000000003
2013-04-10,3.9412000000000003
2013-04-11,3.8824
2013-04-12,3.8824
2013-04-15,3.8824
2013-04-16,3.8824
2013-04-17,3.8824
2013-04-18,3.8824
2013-04-19,3.8824
2013-04-22,3.7647
2013-04-23,0.8421
2013-04-24,2.8235
2013-04-25,2.8235
2013-04-26,2.4
2013-04-29,2.4
2013-04-30,2.4
2013-05-01,2.4
2013-05-02,2.4
2013-05-03,2.4
2013-05-06,2.55
2013-05-07,2.55
2013-05-08,1.5758
2013-05-09,1.5758
2013-05-10,1.6667
2013-05-13,1.6667
2013-05-14,1.6667
2013-05-15,2.5758
2013-05-16,2.5758
2013-05-17,2.5758
2013-05-20,2.5758
2013-05-21,2.4849
2013-05-22,2.4849
2013-05-23,2.5625
2013-05-24,2.5625
2013-05-27,2.5625
2013-05-28,2.5625
2013-05-29,2.5625
2013-05-30,2.5625
2013-05-31,2.5625
2013-06-03,2.625
2013-06-04,2.625
2013-06-05,2.4
2013-06-06,2.4286
2013-06-07,2.4286
2013-06-10,2.4286
2013-06-11,2.4286
2013-06-12,2.4
2013-06-13,2.4
2013-06-14,2.4
2013-06-17,2.4571
2013-06-18,2.4571
2013-06-19,2.4571
2013-06-20,2.5429
2013-06-21,2.0454
2013-06-24,2.4286
2013-06-25,2.4516
2013-06-26,2.375
2013-06-27,2.375
2013-06-28,2.375
2013-07-01,2.375
2013-07-02,2.375
2013-07-03,2.4063
2013-07-04,2.4063
2013-07-05,2.303
2013-07-08,2.303
2013-07-09,2.303
2013-07-10,2.2424
2013-07-11,1.85
2013-07-12,1.85
2013-07-15,1.85
2013-07-16,1.85
2013-07-17,1.85
2013-07-18,1.25
2013-07-19,1.25
2013-07-22,1.4151
2013-07-23,1.4151
2013-07-24,1.3889
2013-07-25,1.3559
2013-07-26,1.3115
2013-07-29,1.3226
2013-07-30,1.3226
2013-07-31,1.3226
2013-08-01,1.3226
2013-08-02,1.5806
2013-08-05,1.5806
2013-08-06,1.5312999999999999
2013-08-07,1.1396
2013-08-08,1.0208
2013-08-09,1.0208
2013-08-12,0.9167
2013-08-13,0.9167
2013-08-14,0.9167
2013-08-15,0.8628
2013-08-16,0.8628
2013-08-19,0.8544
2013-08-20,0.8253
2013-08-21,0.8253
