Date,pc_ratio
2011-08-12,0.47
2011-08-15,0.47
2011-08-16,0.47
2011-08-17,0.47
2011-08-18,0.46
2011-08-19,0.49
2011-08-22,0.47
2011-08-23,0.49
2011-08-24,0.48
2011-08-25,0.48
2011-08-26,0.48
2011-08-29,0.48
2011-08-30,0.48
2011-08-31,0.46
2011-09-01,0.47
2011-09-02,0.47
2011-09-05,0.47
2011-09-06,0.47
2011-09-07,0.47
2011-09-08,0.48
2011-09-09,0.48
2011-09-12,0.48
2011-09-13,0.48
2011-09-14,0.49
2011-09-15,0.49
2011-09-16,0.49
2011-09-19,0.39
2011-09-20,0.39
2011-09-21,0.42
2011-09-22,0.43
2011-09-23,0.43
2011-09-26,0.43
2011-09-27,0.43
2011-09-28,0.43
2011-09-29,0.45
2011-09-30,0.45
2011-10-03,0.46
2011-10-04,0.46
2011-10-05,0.46
2011-10-06,0.46
2011-10-07,0.46
2011-10-10,0.46
2011-10-11,0.43
2011-10-12,0.46
2011-10-13,0.44
2011-10-14,0.46
2011-10-17,0.45
2011-10-18,0.45
2011-10-19,0.45
2011-10-20,0.44
2011-10-21,0.44
2011-10-24,0.45
2011-10-25,0.44
2011-10-26,0.45
2011-10-27,0.46
2011-10-28,0.46
2011-10-31,0.52
2011-11-01,0.5
2011-11-02,0.52
2011-11-03,0.52
2011-11-04,0.51
2011-11-07,0.5
2011-11-08,0.51
2011-11-09,0.54
2011-11-10,0.54
2011-11-11,0.54
2011-11-14,0.55
2011-11-15,0.54
2011-11-16,0.54
2011-11-17,0.54
2011-11-18,0.54
2011-11-21,0.53
2011-11-22,0.53
2011-11-23,0.54
2011-11-24,0.54
2011-11-25,0.53
2011-11-28,0.54
2011-11-29,0.54
2011-11-30,0.54
2011-12-01,0.54
2011-12-02,0.54
2011-12-05,0.55
2011-12-06,0.55
2011-12-07,0.55
2011-12-08,0.56
2011-12-09,0.56
2011-12-12,0.56
2011-12-13,0.57
2011-12-14,0.57
2011-12-15,0.58
2011-12-16,0.58
2011-12-19,0.49
2011-12-20,0.62
2011-12-21,0.61
2011-12-22,0.61
2011-12-23,0.64
2011-12-26,3
2011-12-27,0.65
2011-12-28,0.65
2011-12-29,0.65
2011-12-30,0.64
2012-01-02,3
2012-01-03,0.65
2012-01-04,0.64
2012-01-05,0.64
2012-01-06,0.64
2012-01-09,0.65
2012-01-10,0.65
2012-01-11,0.64
2012-01-12,0.64
2012-01-13,0.64
2012-01-16,3
2012-01-17,0.65
2012-01-18,0.66
2012-01-19,0.65
2012-01-20,0.64
2012-01-23,0.67
2012-01-24,1.02
2012-01-25,1.03
2012-01-26,1.03
2012-01-27,1.03
2012-01-30,1.05
2012-01-31,1.05
2012-02-01,1.05
2012-02-02,0.97
2012-02-03,0.98
2012-02-06,0.97
2012-02-07,0.97
2012-02-08,0.94
2012-02-09,0.95
2012-02-10,0.95
2012-02-13,0.95
2012-02-14,0.95
2012-02-15,0.94
2012-02-16,0.97
2012-02-17,1
2012-02-20,3
2012-02-21,0.95
2012-02-22,0.88
2012-02-23,0.88
2012-02-24,0.87
2012-02-27,0.87
2012-02-28,0.78
2012-02-29,0.78
2012-03-01,0.79
2012-03-02,0.79
2012-03-05,0.8
2012-03-06,0.72
2012-03-07,0.72
2012-03-08,0.69
2012-03-09,0.7
2012-03-12,0.67
2012-03-13,0.67
2012-03-14,0.66
2012-03-15,0.68
2012-03-16,0.69
2012-03-19,0.77
2012-03-20,0.44
2012-03-21,0.44
2012-03-22,0.44
2012-03-23,0.44
2012-03-26,0.43
2012-03-27,0.47
2012-03-28,0.47
2012-03-29,0.52
2012-03-30,0.52
2012-04-02,0.55
2012-04-03,0.51
2012-04-04,0.51
2012-04-05,0.51
2012-04-06,3
2012-04-09,0.51
2012-04-10,0.49
2012-04-11,0.47
2012-04-12,0.47
2012-04-13,0.48
2012-04-16,0.48
2012-04-17,0.48
2012-04-18,0.48
2012-04-19,0.49
2012-04-20,0.51
2012-04-23,0.49
2012-04-24,0.49
2012-04-25,0.49
2012-04-26,0.47
2012-04-27,0.45
2012-04-30,0.43
2012-05-01,0.45
2012-05-02,0.45
2012-05-03,0.45
2012-05-04,0.45
2012-05-07,0.46
2012-05-08,0.44
2012-05-09,0.48
2012-05-10,0.36
2012-05-11,0.31
2012-05-14,0.31
2012-05-15,0.31
2012-05-16,0.42
2012-05-17,0.42
2012-05-18,0.42
2012-05-21,0.41
2012-05-22,0.41
2012-05-23,0.41
2012-05-24,0.41
2012-05-25,0.42
2012-05-28,0.42
2012-05-29,0.45
2012-05-30,0.44
