Date,pc_ratio
2013-12-24,0.2
2013-12-25,0.2
2013-12-26,0.1333
2013-12-27,0.1333
2013-12-30,0.1333
2013-12-31,0.0667
2014-01-01,0.0667
2014-01-02,0.0667
2014-01-03,0.12
2014-01-06,0.0857
2014-01-07,0.08
2014-01-08,0.0706
2014-01-09,0.0706
2014-01-10,0.0706
2014-01-13,0.0706
2014-01-14,0.1294
2014-01-15,0.1294
2014-01-16,0.11
2014-01-17,0.1068
2014-01-20,0.1068
2014-01-21,0.2051
2014-01-22,0.141
2014-01-23,0.1507
2014-01-24,0.1507
2014-01-27,0.1896
2014-01-28,0.1896
2014-01-29,0.1896
2014-01-30,0.1896
2014-01-31,0.1896
2014-02-03,0.1896
2014-02-04,0.2895
2014-02-05,0.2895
2014-02-06,0.2895
2014-02-07,0.2558
2014-02-10,0.2558
2014-02-11,0.2391
2014-02-12,0.2391
2014-02-13,0.2391
2014-02-14,0.2391
2014-02-17,0.2391
2014-02-18,0.2391
2014-02-19,0.2444
2014-02-20,0.4324
2014-02-21,0.4324
2014-02-24,1.0667
2014-02-25,0.6
2014-02-26,0.6
2014-02-27,0.6
2014-02-28,0.6
2014-03-03,0.6
2014-03-04,0.7857
2014-03-05,0.8667
2014-03-06,0.8667
2014-03-07,0.8667
2014-03-10,0.8667
2014-03-11,0.8667
2014-03-12,0.65
2014-03-13,0.65
2014-03-14,0.65
2014-03-17,0.65
2014-03-18,0.65
2014-03-19,0.52
2014-03-20,0.52
2014-03-21,0.52
2014-03-24,0.1071
2014-03-25,0.1667
2014-03-26,0.1
2014-03-27,0.1
2014-03-28,0.1
2014-03-31,0.1
2014-04-01,0.1
2014-04-02,0.12
2014-04-03,0.12
2014-04-04,0.12
2014-04-07,0.12
2014-04-08,0.12
2014-04-09,0.12
2014-04-10,0.12
2014-04-11,0.52
2014-04-14,0.52
2014-04-15,0.52
2014-04-16,0.52
2014-04-17,0.4333
2014-04-18,0.4333
2014-04-21,0.8125
2014-04-22,0.5
2014-04-23,0.5
2014-04-24,0.5
2014-04-25,0.5
2014-04-28,0.5
2014-04-29,0.5
2014-04-30,0.4
2014-05-01,0.3077
2014-05-02,0.1905
2014-05-05,0.2143
2014-05-06,0.2143
2014-05-07,0.2046
2014-05-08,0.25
2014-05-09,0.3636
2014-05-12,0.3636
2014-05-13,0.4103
2014-05-14,0.3809
2014-05-15,0.2759
2014-05-16,0.1896
2014-05-19,0.5526
2014-05-20,0.4211
2014-05-21,0.8966
2014-05-22,0.8966
2014-05-23,0.8667
2014-05-26,0.8667
2014-05-27,1.4
2014-05-28,1.3548
2014-05-29,1.3548
2014-05-30,1.3548
2014-06-02,2.1191
2014-06-03,2.1191
2014-06-04,2.1191
2014-06-05,2.1191
2014-06-06,2
2014-06-09,2
2014-06-10,2
2014-06-11,2
2014-06-12,2
2014-06-13,3.2632
2014-06-16,4.2368
2014-06-17,4.1316
2014-06-18,4.1316
2014-06-19,3.2708
2014-06-20,3.2708
2014-06-23,10.5789
2014-06-24,5.6512
2014-06-25,3.1154
2014-06-26,2.5313
2014-06-27,2.5313
2014-06-30,2.5313
2014-07-01,2.5313
2014-07-02,2.4059
2014-07-03,2.3143000000000002
2014-07-04,2.3143000000000002
2014-07-07,2.3143000000000002
2014-07-08,2.3143000000000002
2014-07-09,2.2
2014-07-10,2.2
2014-07-11,2.2
2014-07-14,2.2
2014-07-15,1.558
2014-07-16,1.3178
2014-07-17,1.4136
2014-07-18,1.4136
2014-07-21,1.6114000000000002
2014-07-22,1.3812
2014-07-23,1.3744
2014-07-24,1.3286
2014-07-25,1.3286
2014-07-28,1.3286
2014-07-29,1.3286
2014-07-30,1.3286
2014-07-31,1.3223
2014-08-01,1.3223
2014-08-04,1.3223
2014-08-05,1.2798
2014-08-06,1.2798
2014-08-07,1.2291
2014-08-08,1.2291
2014-08-11,1.1772
2014-08-12,1.1772
2014-08-13,1.1772
2014-08-14,1.2026
2014-08-15,0.6356
2014-08-18,0.6858
2014-08-19,0.775
2014-08-20,0.775
2014-08-21,0.825
2014-08-22,0.825
2014-08-25,0.825
2014-08-26,0.825
2014-08-27,0.825
2014-08-28,0.825
2014-08-29,0.825
2014-09-01,0.825
2014-09-02,0.875
2014-09-03,0.875
2014-09-04,0.875
2014-09-05,0.9893
2014-09-08,1.0161
2014-09-09,1.0161
2014-09-10,1.0161
2014-09-11,1.0161
2014-09-12,1.0161
2014-09-15,1.0161
2014-09-16,0.9358
2014-09-17,0.9358
2014-09-18,1.3262
2014-09-19,1.2728
2014-09-22,1.1287
2014-09-23,1.1937
2014-09-24,1.1937
2014-09-25,1.1937
2014-09-26,1.4555
2014-09-29,1.4555
2014-09-30,1.4555
2014-10-01,1.4555
2014-10-02,1.4555
2014-10-03,1.4555
2014-10-06,1.4555
2014-10-07,1.4555
2014-10-08,1.4555
2014-10-09,1.343
2014-10-10,1.343
2014-10-13,1.343
2014-10-14,1.1643
2014-10-15,1.1643
2014-10-16,1.1559
2014-10-17,1.3574
2014-10-20,1.3678
2014-10-21,1.3838
2014-10-22,1.5853000000000002
2014-10-23,1.4713
2014-10-24,1.4007
2014-10-27,1.4007
2014-10-28,1.3543
2014-10-29,1.2943
2014-10-30,1.2781
2014-10-31,1.2781
2014-11-03,1.2781
2014-11-04,1.341
2014-11-05,1.3633
2014-11-06,1.3633
2014-11-07,1.5204
2014-11-10,1.5361
2014-11-11,1.3109
2014-11-12,1.6087
2014-11-13,1.6087
2014-11-14,1.6518000000000002
2014-11-17,1.6518000000000002
2014-11-18,1.6518000000000002
2014-11-19,1.7067999999999999
2014-11-20,1.8338999999999999
2014-11-21,1.8338999999999999
2014-11-24,1.9129
2014-11-25,2.6591
2014-11-26,2.6591
2014-11-27,2.6591
2014-11-28,2.6591
2014-12-01,2.6591
2014-12-02,2.6875
2014-12-03,2.6761
2014-12-04,2.7614
2014-12-05,2.7614
2014-12-08,2.7614
2014-12-09,2.7614
2014-12-10,2.7614
2014-12-11,2.7614
2014-12-12,2.7614
2014-12-15,2.5682
2014-12-16,1.9567
2014-12-17,2.6511
2014-12-18,1.7170999999999998
2014-12-19,1.9365999999999999
2014-12-22,1.9365999999999999
2014-12-23,1.6146
2014-12-24,1.4646
2014-12-25,1.4646
2014-12-26,1.3083
2014-12-29,1.1993
2014-12-30,1.2586
2014-12-31,1.4563
2015-01-01,1.4563
2015-01-02,1.4563
2015-01-05,1.4563
2015-01-06,1.4563
2015-01-07,1.7186
2015-01-08,1.7186
2015-01-09,1.7186
2015-01-12,1.7186
2015-01-13,1.9811
2015-01-14,2.1567
2015-01-15,2.1567
2015-01-16,2.1977
2015-01-19,2.1977
2015-01-20,2.1977
2015-01-21,1.9428999999999998
2015-01-22,1.9809999999999999
2015-01-23,1.9083999999999999
2015-01-26,1.9083999999999999
2015-01-27,1.9083999999999999
2015-01-28,1.7195
2015-01-29,1.7195
2015-01-30,1.7195
