Date,pc_ratio
2013-10-07,0.1579
2013-10-08,0.1579
2013-10-09,0.2632
2013-10-10,0.2174
2013-10-11,0.1786
2013-10-14,0.1786
2013-10-15,0.1563
2013-10-16,0.1786
2013-10-17,0.1786
2013-10-18,0.2439
2013-10-21,0.3571
2013-10-22,0.44
2013-10-23,0.44
2013-10-24,0.44
2013-10-25,0.64
2013-10-28,6.84
2013-10-29,6.5769
2013-10-30,6.5769
2013-10-31,6.5769
2013-11-01,6.5769
2013-11-04,5.1111
2013-11-05,5.1111
2013-11-06,5.1111
2013-11-07,5.1111
2013-11-08,5.1111
2013-11-11,4
2013-11-12,3.68
2013-11-13,3.9149000000000003
2013-11-14,3.8085
2013-11-15,3.6531000000000002
2013-11-18,5.2647
2013-11-19,4.6061
2013-11-20,4.6667
2013-11-21,4.9091000000000005
2013-11-22,4.9091000000000005
2013-11-25,4.9091000000000005
2013-11-26,4.2632
2013-11-27,4.1539
2013-11-28,4.1539
2013-11-29,4.1539
2013-12-02,4.1539
2013-12-03,4.1539
2013-12-04,4.359
2013-12-05,4.359
2013-12-06,4.359
2013-12-09,4.359
2013-12-10,4.359
2013-12-11,4.359
2013-12-12,4.359
2013-12-13,4.359
2013-12-16,4.359
2013-12-17,4.359
2013-12-18,5.8621
2013-12-19,5.8621
2013-12-20,5.8621
2013-12-23,14.1667
2013-12-24,0.1667
2013-12-25,0.1667
2013-12-26,0.2
2013-12-27,0.2
2013-12-30,0.2
2013-12-31,0.5
2014-01-01,0.5
2014-01-02,0.5
2014-01-03,1
2014-01-06,1
2014-01-07,1
2014-01-08,1
2014-01-09,1
2014-01-10,1
2014-01-13,0.625
2014-01-14,0.92
2014-01-15,0.92
2014-01-16,0.92
2014-01-17,1.2
2014-01-20,1.2
2014-01-21,0.6
2014-01-22,0.4667
2014-01-23,0.4667
2014-01-24,0.4667
2014-01-27,0.2
2014-01-28,0.2
2014-01-29,0.2
2014-01-30,0.2
2014-01-31,0.2
2014-02-03,0.3143
2014-02-04,0.3143
2014-02-05,0.3143
2014-02-06,0.3143
2014-02-07,0.2
2014-02-10,0.1667
2014-02-11,0.1667
2014-02-12,0.1667
2014-02-13,0.1667
2014-02-14,0.1667
2014-02-17,0.1667
2014-02-18,0.1667
2014-02-19,0.1667
2014-02-20,0.4048
2014-02-21,0.4048
2014-02-24,0.1429
2014-02-25,0.1429
2014-02-26,0.1064
2014-02-27,0.0981
2014-02-28,0.0981
2014-03-03,0.1961
2014-03-04,0.1961
2014-03-05,0.1961
2014-03-06,0.1961
2014-03-07,0.1961
2014-03-10,0.1961
2014-03-11,0.1961
2014-03-12,0.1961
2014-03-13,0.1754
2014-03-14,0.1754
2014-03-17,0.1754
2014-03-18,0.1754
2014-03-19,0.1754
2014-03-20,0.1754
2014-03-21,0.1887
2014-03-24,0.1887
2014-03-25,0.0857
2014-03-26,0.0857
2014-03-27,0.0857
2014-03-28,0.0857
2014-03-31,0.0857
2014-04-01,0.3714
2014-04-02,0.3714
2014-04-03,0.6571
2014-04-04,0.6571
2014-04-07,0.6571
2014-04-08,0.6571
2014-04-09,0.6571
2014-04-10,0.6216
2014-04-11,0.6216
2014-04-14,0.6216
2014-04-15,0.6216
2014-04-16,0.6216
2014-04-17,0.973
2014-04-18,0.973
2014-04-21,1.1613
2014-04-22,2.0645
2014-04-23,2.0645
2014-04-24,2.0645
2014-04-25,2.0645
2014-04-28,2.0645
2014-04-29,2.0645
2014-04-30,2.0645
2014-05-01,2.0645
2014-05-02,2.0645
2014-05-05,2.0645
2014-05-06,2.1333
2014-05-07,2.1333
2014-05-08,2.1333
2014-05-09,2.5333
2014-05-12,3.1
2014-05-13,3.1
2014-05-14,3.1
2014-05-15,3.1
2014-05-16,2.1667
2014-05-19,0.9553
2014-05-20,0.6479
2014-05-21,0.6479
2014-05-22,0.4646
2014-05-23,0.4646
2014-05-26,0.4646
2014-05-27,0.4646
2014-05-28,0.4646
2014-05-29,0.4646
2014-05-30,0.3866
2014-06-02,0.3866
2014-06-03,0.3866
2014-06-04,0.3866
2014-06-05,0.3866
2014-06-06,0.3866
2014-06-09,0.3866
2014-06-10,0.3866
2014-06-11,0.3866
2014-06-12,0.3866
2014-06-13,0.3866
2014-06-16,0.3866
2014-06-17,0.3866
2014-06-18,0.3866
2014-06-19,0.3866
2014-06-20,0.3866
2014-06-23,0.4646
2014-06-24,0.202
2014-06-25,0.339
2014-06-26,0.2857
2014-06-27,0.2857
2014-06-30,0.2632
2014-07-01,0.2632
2014-07-02,0.2632
2014-07-03,0.5263
2014-07-04,0.5263
2014-07-07,0.5263
2014-07-08,0.5263
2014-07-09,0.5263
2014-07-10,0.5263
2014-07-11,0.5263
2014-07-14,0.4938
2014-07-15,0.4938
2014-07-16,0.4938
2014-07-17,0.4938
2014-07-18,0.4938
2014-07-21,0.3691
2014-07-22,0.5536
2014-07-23,0.5536
2014-07-24,0.4844
2014-07-25,0.4844
2014-07-28,0.7031
2014-07-29,0.7031
2014-07-30,0.7031
2014-07-31,0.7031
2014-08-01,0.7031
2014-08-04,0.7031
2014-08-05,0.7031
2014-08-06,0.7031
2014-08-07,0.7031
2014-08-08,0.7031
2014-08-11,0.7031
2014-08-12,0.7031
2014-08-13,0.7031
2014-08-14,0.8036
2014-08-15,0.8036
2014-08-18,0.625
2014-08-19,0.5349
2014-08-20,0.5349
2014-08-21,0.9303
2014-08-22,0.9303
2014-08-25,1.093
2014-08-26,1.093
2014-08-27,1.093
2014-08-28,1.093
2014-08-29,1.093
2014-09-01,1.093
2014-09-02,1.093
2014-09-03,0.6977
2014-09-04,0.8604
2014-09-05,0.8604
2014-09-08,0.8604
2014-09-09,0.8604
2014-09-10,0.8604
2014-09-11,0.8604
2014-09-12,1.093
2014-09-15,1.093
2014-09-16,1.093
2014-09-17,1.093
2014-09-18,1.093
2014-09-19,0.9039
2014-09-22,0.6731
2014-09-23,0.4808
2014-09-24,0.4808
2014-09-25,0.4808
2014-09-26,0.4808
2014-09-29,0.4808
2014-09-30,0.4808
2014-10-01,0.5814
2014-10-02,0.6977
2014-10-03,0.6977
2014-10-06,0.6977
2014-10-07,0.4918
2014-10-08,0.4918
2014-10-09,0.4546
2014-10-10,0.4546
2014-10-13,1
2014-10-14,1.0984
2014-10-15,1.0984
2014-10-16,1.0984
2014-10-17,1.4263
2014-10-20,0.8508
2014-10-21,0.9661
2014-10-22,0.9661
2014-10-23,1.0169
2014-10-24,0.8333
2014-10-27,0.7693
2014-10-28,0.7693
2014-10-29,0.7308
2014-10-30,0.7949
2014-10-31,0.7949
2014-11-03,0.7949
2014-11-04,0.7949
2014-11-05,0.859
2014-11-06,1.2179
2014-11-07,1.2179
2014-11-10,1.2179
2014-11-11,1.2179
2014-11-12,0.9314
2014-11-13,0.9314
2014-11-14,0.9804
2014-11-17,1.1236
2014-11-18,1.1236
2014-11-19,1.1348
2014-11-20,1.3418
2014-11-21,1.3418
2014-11-24,1.1868
2014-11-25,0.4725
2014-11-26,0.4506
2014-11-27,0.4506
2014-11-28,0.4506
2014-12-01,0.4506
2014-12-02,0.5384
2014-12-03,0.3956
2014-12-04,0.3564
2014-12-05,0.3564
2014-12-08,0.4045
2014-12-09,0.4158
2014-12-10,0.4158
2014-12-11,0.4158
2014-12-12,0.2842
2014-12-15,0.2842
2014-12-16,0.2842
2014-12-17,0.5895
2014-12-18,0.5185
2014-12-19,0.5333
2014-12-22,0.7579
2014-12-23,0.2381
2014-12-24,0.2476
2014-12-25,0.2476
2014-12-26,0.2476
2014-12-29,0.2476
2014-12-30,0.3263
2014-12-31,0.4316
2015-01-01,0.4316
2015-01-02,0.4316
2015-01-05,0.4316
2015-01-06,0.5789
2015-01-07,0.5789
2015-01-08,0.5789
2015-01-09,0.5789
2015-01-12,0.4783
2015-01-13,0.3174
2015-01-14,0.3478
2015-01-15,0.3478
2015-01-16,0.3448
2015-01-19,0.3448
2015-01-20,0.4105
2015-01-21,0.0384
2015-01-22,0.0961
2015-01-23,0.1154
2015-01-26,0.1154
2015-01-27,0.1154
2015-01-28,0.1154
2015-01-29,0.1154
2015-01-30,0.2388
2015-02-02,0.2388
2015-02-03,0.3134
2015-02-04,0.3134
2015-02-05,0.3134
2015-02-06,0.3134
2015-02-09,0.3134
2015-02-10,0.3134
2015-02-11,0.3134
2015-02-12,0.6418
2015-02-13,0.6418
2015-02-16,0.6418
2015-02-17,0.6418
2015-02-18,0.6418
2015-02-19,0.6418
2015-02-20,0.6567
2015-02-23,0.6716
2015-02-24,0.6567
2015-02-25,0.6567
2015-02-26,0.6567
2015-02-27,0.6567
2015-03-02,0.6567
2015-03-03,0.6567
2015-03-04,0.6471
2015-03-05,0.6471
2015-03-06,0.3729
2015-03-09,0.4322
2015-03-10,0.4322
2015-03-11,0.4322
2015-03-12,0.4068
2015-03-13,0.4068
2015-03-16,0.3898
2015-03-17,0.3408
2015-03-18,0.3408
2015-03-19,0.3793
2015-03-20,0.3793
2015-03-23,0.4483
2015-03-24,0.3548
2015-03-25,0.3548
2015-03-26,0.7119
2015-03-27,0.7119
2015-03-30,0.6
2015-03-31,0.6
2015-04-01,0.6
2015-04-02,0.6
2015-04-03,0.6
2015-04-06,0.6
2015-04-07,0.6
2015-04-08,0.5916
2015-04-09,0.875
2015-04-10,0.875
2015-04-13,0.875
2015-04-14,0.875
2015-04-15,0.875
2015-04-16,0.875
2015-04-17,0.875
2015-04-20,0.4688
2015-04-21,1.1
2015-04-22,1.1
2015-04-23,0.9565
2015-04-24,0.9565
2015-04-27,0.9565
2015-04-28,0.9565
2015-04-29,0.9565
2015-04-30,0.9565
2015-05-01,0.9565
2015-05-04,0.9565
2015-05-05,0.9565
2015-05-06,0.9565
2015-05-07,0.9565
2015-05-08,0.9565
2015-05-11,0.6377
2015-05-12,0.6377
2015-05-13,0.6377
2015-05-14,0.6377
2015-05-15,0.6377
2015-05-18,0.9362
2015-05-19,0.9149
2015-05-20,0.9149
2015-05-21,0.9362
2015-05-22,1.0476
2015-05-25,1.0476
2015-05-26,1.0476
2015-05-27,1.0476
2015-05-28,1.0476
2015-05-29,1.0656
2015-06-01,1.0656
2015-06-02,1.0656
2015-06-03,1.0656
2015-06-04,1.0656
2015-06-05,1.0656
2015-06-08,1.0656
2015-06-09,1.0656
2015-06-10,0.9849
2015-06-11,0.9849
2015-06-12,0.9849
2015-06-15,0.9849
2015-06-16,0.9849
2015-06-17,0.9849
2015-06-18,1.0454
2015-06-19,1.0454
2015-06-22,1.0454
2015-06-23,1.2203
2015-06-24,1.2203
2015-06-25,1.2203
2015-06-26,1.2203
2015-06-29,1.2203
2015-06-30,0.7273
2015-07-01,0.7273
2015-07-02,0.7273
2015-07-03,0.7273
2015-07-06,0.7273
2015-07-07,0.3618
2015-07-08,0.3819
2015-07-09,0.402
2015-07-10,0.4
2015-07-13,0.4179
2015-07-14,0.4179
2015-07-15,0.4179
2015-07-16,0.4378
2015-07-17,0.4378
2015-07-20,0.4608
2015-07-21,0.4724
2015-07-22,0.4724
2015-07-23,0.4724
2015-07-24,0.5133
2015-07-27,0.5133
2015-07-28,0.5099
2015-07-29,0.5099
2015-07-30,0.5099
2015-07-31,0.5099
2015-08-03,0.5099
2015-08-04,0.3399
2015-08-05,0.3833
2015-08-06,0.3833
2015-08-07,0.3656
2015-08-10,0.3656
2015-08-11,0.3656
2015-08-12,0.3656
2015-08-13,0.3656
2015-08-14,0.3656
2015-08-17,0.3656
2015-08-18,0.3656
2015-08-19,0.3656
2015-08-20,0.3656
2015-08-21,0.3656
2015-08-24,0.3189
2015-08-25,0.5303
2015-08-26,0.5303
2015-08-27,0.5151
2015-08-28,0.5151
2015-08-31,0.5151
2015-09-01,0.5151
2015-09-02,0.5151
2015-09-03,0.5303
2015-09-04,0.5303
2015-09-07,0.5303
2015-09-08,0.5303
2015-09-09,0.5303
2015-09-10,0.5303
2015-09-11,0.5303
2015-09-14,0.5303
2015-09-15,0.5303
2015-09-16,0.5303
2015-09-17,0.5303
2015-09-18,0.5303
2015-09-21,0.5303
2015-09-22,0.5303
2015-09-23,0.5303
2015-09-24,0.5303
2015-09-25,0.5303
2015-09-28,0.5303
2015-09-29,0.5303
2015-09-30,0.5303
2015-10-01,0.5303
2015-10-02,0.5303
2015-10-05,0.5303
2015-10-06,0.5454
2015-10-07,0.5454
2015-10-08,0.5454
2015-10-09,0.5454
2015-10-12,0.5682
2015-10-13,0.5682
2015-10-14,0.5909
2015-10-15,0.5909
2015-10-16,0.5985
2015-10-19,0.3955
2015-10-20,0.1964
2015-10-21,0.1964
2015-10-22,0.1964
2015-10-23,0.1964
2015-10-26,0.1964
2015-10-27,0.1964
2015-10-28,0.1964
2015-10-29,0.1964
2015-10-30,0.1964
2015-11-02,0.1964
2015-11-03,0.1964
2015-11-04,0.1964
2015-11-05,0.1964
2015-11-06,0.1964
2015-11-09,0.1964
2015-11-10,0.1964
2015-11-11,0.1964
2015-11-12,0.1964
2015-11-13,0.1964
2015-11-16,0.1964
2015-11-17,0.1964
2015-11-18,0.1964
2015-11-19,0.1964
2015-11-20,0.1964
2015-11-23,0.1964
2015-11-24,0.1964
2015-11-25,0.1964
2015-11-26,0.1964
2015-11-27,0.1964
2015-11-30,0.1964
2015-12-01,0.1964
2015-12-02,0.1964
2015-12-03,0.1964
2015-12-04,0.1964
2015-12-07,0.1964
2015-12-08,0.1964
2015-12-09,0.1964
2015-12-10,0.1964
2015-12-11,0.1964
2015-12-14,0.1964
2015-12-15,0.1964
2015-12-16,0.1964
2015-12-17,0.1964
2015-12-18,0.1964
2015-12-21,0.2321
2015-12-22,0.2321
2015-12-23,0.2321
2015-12-24,0.2321
2015-12-25,0.2321
2015-12-28,0.2321
2015-12-29,0.2321
2015-12-30,0.2321
2015-12-31,0.2321
2016-01-01,0.2321
2016-01-04,0.2321
2016-01-05,0.2321
2016-01-06,0.2321
2016-01-07,0.2321
2016-01-08,0.2321
2016-01-11,0.2321
2016-01-12,0.2321
2016-01-13,0.2321
2016-01-14,0.2321
2016-01-15,0.2321
2016-01-18,0.2321
2016-01-19,0.2321
2016-01-20,0.2321
2016-01-21,0.2321
2016-01-22,0.2321
2016-01-25,0.2321
2016-01-26,0.2321
2016-01-27,0.2321
2016-01-28,0.2321
2016-01-29,0.2321
2016-02-01,0.2321
2016-02-02,0.2321
2016-02-03,0.2321
2016-02-04,0.2321
2016-02-05,0.2321
2016-02-08,0.2321
2016-02-09,0.2321
2016-02-10,0.2321
2016-02-11,0.2321
2016-02-12,0.2321
2016-02-15,0.2321
2016-02-16,0.2321
2016-02-17,0.2321
2016-02-18,0.2321
2016-02-19,0.2321
2016-02-22,0.2321
2016-02-23,0.2321
2016-02-24,0.2321
2016-02-25,0.2321
2016-02-26,0.2321
2016-02-29,0.2321
2016-03-01,0.2321
2016-03-02,0.2321
2016-03-03,0.2321
2016-03-04,0.2321
2016-03-07,2.3333
2016-03-08,2.3333
2016-03-09,2.3333
2016-03-10,2.3333
2016-03-11,2.4286
2016-03-14,2.4286
2016-03-15,2.4286
2016-03-16,3.1429
2016-03-17,3.1429
2016-03-18,5.5
2016-03-21,5.5
2016-03-22,5
2016-03-23,5
2016-03-24,5
2016-03-25,5
2016-03-28,5
2016-03-29,5.25
2016-03-30,5.25
2016-03-31,5.25
2016-04-01,5.25
2016-04-04,5.25
2016-04-05,5.25
2016-04-06,5.25
2016-04-07,5.25
2016-04-08,5.25
2016-04-11,5.25
2016-04-12,5.25
2016-04-13,5.25
2016-04-14,5.25
2016-04-15,4
2016-04-18,4
2016-04-19,0.25
2016-04-20,0.25
2016-04-21,0.25
2016-04-22,0.25
2016-04-25,0.25
2016-04-26,0.25
2016-04-27,0.25
2016-04-28,0.25
2016-04-29,0.25
2016-05-02,0.25
2016-05-03,0.25
2016-05-04,0.25
2016-05-05,0.25
2016-05-06,0.0714
2016-05-09,0.0714
2016-05-10,0.0714
2016-05-11,0.0714
2016-05-12,0.0714
2016-05-13,0.1429
2016-05-16,0.1429
2016-05-17,0.1429
2016-05-18,0.4286
2016-05-19,0.4286
2016-05-20,0.4286
2016-05-23,0.5833
2016-05-24,0.4667
2016-05-25,0.4667
2016-05-26,0.4667
2016-05-27,0.4667
2016-05-30,0.4667
2016-05-31,0.4667
2016-06-01,0.4667
2016-06-02,0.4667
2016-06-03,0.4667
2016-06-06,0.4667
2016-06-07,0.4667
2016-06-08,0.4667
2016-06-09,0.4667
2016-06-10,0.4667
2016-06-13,0.4667
2016-06-14,0.4667
2016-06-15,0.4667
2016-06-16,0.4667
2016-06-17,0.4667
2016-06-20,0.4667
2016-06-21,0.4667
2016-06-22,0.4667
2016-06-23,1.1764999999999999
2016-06-24,1.1764999999999999
2016-06-27,1.2353
2016-06-28,1.2353
2016-06-29,1.2353
2016-06-30,1.2353
2016-07-01,1.2353
2016-07-04,1.2353
2016-07-05,1.2353
2016-07-06,1.2353
2016-07-07,1.2353
2016-07-08,1.2353
2016-07-11,1.2353
