Date,pc_ratio
2011-08-12,2.2143
2011-08-15,2.2143
2011-08-16,2.2143
2011-08-17,2.2143
2011-08-18,2.2143
2011-08-19,2.2143
2011-08-22,2.2143
2011-08-23,2.2143
2011-08-24,2.2143
2011-08-25,2.2143
2011-08-26,2.2143
2011-08-29,2.2143
2011-08-30,2.2143
2011-08-31,2.2143
2011-09-01,2.2143
2011-09-02,2.2143
2011-09-05,2.2143
2011-09-06,2.2143
2011-09-07,2.2143
2011-09-08,2.2143
2011-09-09,2.2143
2011-09-12,2.2143
2011-09-13,38.3333
2011-09-14,20.8333
2011-09-15,23.5
2011-09-16,9.5
2011-09-19,6.1154
2011-09-20,5.1071
2011-09-21,5.0357
2011-09-22,1.1016
2011-09-23,1.2539
2011-09-26,1.2616
2011-09-27,1.2429000000000001
2011-09-28,1.2324
2011-09-29,1.2643
2011-09-30,1.0118
2011-10-03,1.0294
2011-10-04,1.0412
2011-10-05,1.0412
2011-10-06,0.9568
2011-10-07,0.9949
2011-10-10,1.4586000000000001
2011-10-11,1.3289
2011-10-12,1.3289
2011-10-13,1.2809
2011-10-14,1.3405
2011-10-17,1.3291
2011-10-18,1.3502
2011-10-19,1.3502
2011-10-20,1.4894
2011-10-21,1.6160999999999999
2011-10-24,3.5233
2011-10-25,1.6984
2011-10-26,1.8174000000000001
2011-10-27,0.4724
2011-10-28,0.4529
2011-10-31,0.4726
2011-11-01,0.4726
2011-11-02,0.5098
2011-11-03,0.5138
2011-11-04,0.5401
2011-11-07,0.5458
2011-11-08,0.6433
2011-11-09,0.7037
2011-11-10,0.7408
2011-11-11,0.7504
2011-11-14,0.7726
2011-11-15,0.7967
2011-11-16,0.8118
2011-11-17,0.8107
2011-11-18,0.8364
2011-11-21,0.9503
2011-11-22,4.4594
2011-11-23,4.4504
2011-11-24,4.4504
2011-11-25,3.4777
2011-11-28,3.7134
2011-11-29,2.9573
2011-11-30,2.4411
2011-12-01,2.5129
2011-12-02,2.5129
2011-12-05,2.5388
2011-12-06,2.4049
2011-12-07,2.4546
2011-12-08,2.4587
2011-12-09,2.4587
2011-12-12,2.5
2011-12-13,2.5225999999999997
2011-12-14,2.2976
2011-12-15,2.2818
2011-12-16,2.2738
2011-12-19,2.0861
2011-12-20,0.5835
2011-12-21,0.5805
2011-12-22,0.6049
2011-12-23,0.7463
2011-12-26,5
2011-12-27,0.7316
2011-12-28,0.7279
2011-12-29,0.7279
2011-12-30,0.7371
2012-01-02,10
2012-01-03,0.7463
2012-01-04,0.7482
2012-01-05,0.7518
2012-01-06,0.7666
2012-01-09,0.7986
2012-01-10,0.7405
2012-01-11,0.7439
2012-01-12,0.7457
2012-01-13,0.7474
2012-01-16,60
2012-01-17,0.7556
2012-01-18,0.756
2012-01-19,0.8161
2012-01-20,0.8971
2012-01-23,3.4779999999999998
2012-01-24,3.2643
2012-01-25,3.2643
2012-01-26,2.7427
2012-01-27,2.2657
2012-01-30,2.2393
2012-01-31,2.433
2012-02-01,2.3838
2012-02-02,2.2789
2012-02-03,2.2789
2012-02-06,2.2419000000000002
2012-02-07,2.2698
2012-02-08,2.2744
2012-02-09,2.2791
2012-02-10,2.1814
2012-02-13,2.2203
2012-02-14,2.2288
2012-02-15,2.2575
2012-02-16,1.9011
2012-02-17,1.9152
2012-02-20,3.0392
2012-02-21,2.6869
2012-02-22,2.5
2012-02-23,2.0933
2012-02-24,2.0848
2012-02-27,2.0721
2012-02-28,1.9141
2012-02-29,1.6554
2012-03-01,1.5061
2012-03-02,1.5030999999999999
2012-03-05,1.5030999999999999
2012-03-06,1.5276
2012-03-07,1.5732
2012-03-08,1.5579
2012-03-09,1.6006
2012-03-12,1.6006
2012-03-13,1.6311
2012-03-14,1.6311
2012-03-15,1.9243999999999999
2012-03-16,1.9243999999999999
2012-03-19,2.2331
2012-03-20,1.4088
2012-03-21,1.6069
2012-03-22,1.6008
2012-03-23,1.6008
2012-03-26,1.6046
2012-03-27,2.1485
2012-03-28,2.1518
2012-03-29,2.0186
2012-03-30,2.0464
2012-04-02,1.9271
2012-04-03,1.8209
2012-04-04,1.6402
2012-04-05,1.6625
2012-04-06,1.6625
2012-04-09,1.6625
2012-04-10,1.6511
2012-04-11,1.6511
2012-04-12,1.554
2012-04-13,5.2272
2012-04-16,5.2541
2012-04-17,5.2798
2012-04-18,5.4206
2012-04-19,5.6028
2012-04-20,7.1572
2012-04-23,5.0445
2012-04-24,5.03
2012-04-25,3.0258
2012-04-26,3.2011
2012-04-27,3.2535
2012-04-30,3.3333
2012-05-01,3.3721
2012-05-02,3.4708
2012-05-03,3.4939
2012-05-04,3.4716
2012-05-07,3.4635
2012-05-08,3.4449
2012-05-09,3.5137
2012-05-10,3.2288
2012-05-11,3.2421
2012-05-14,3.2015000000000002
2012-05-15,3.2301
2012-05-16,3.2203
2012-05-17,3.2308
2012-05-18,3.1838
2012-05-21,2.8811999999999998
2012-05-22,1.7928
2012-05-23,1.8134000000000001
2012-05-24,1.8580999999999999
2012-05-25,2
2012-05-28,2
2012-05-29,2.0162
2012-05-30,1.9956
2012-05-31,1.9846
2012-06-01,2.0093
2012-06-04,2.0163
2012-06-05,2.0804
2012-06-06,2.1091
2012-06-07,2.1506
2012-06-08,2.1716
2012-06-11,2.2053
2012-06-12,2.0886
2012-06-13,1.8164
2012-06-14,1.7833999999999999
2012-06-15,1.7873
2012-06-18,2.1524
2012-06-19,4.2982
2012-06-20,4.3369
2012-06-21,6.5923
2012-06-22,6.211
2012-06-25,6.2195
2012-06-26,7.1272
2012-06-27,7.0782
2012-06-28,7.6616
2012-06-29,7.5438
2012-07-02,7.4821
2012-07-03,6.0555
2012-07-04,6.0555
2012-07-05,8.5866
2012-07-06,8.9635
2012-07-09,8.9803
2012-07-10,8.9954
2012-07-11,9.0015
2012-07-12,12.0198
2012-07-13,12.0198
2012-07-16,12.0563
2012-07-17,12.1687
2012-07-18,12.4793
2012-07-19,12.4985
2012-07-20,12.4214
2012-07-23,10.4307
2012-07-24,14.0459
2012-07-25,14.5306
2012-07-26,14.4538
2012-07-27,13.6151
2012-07-30,11.9299
2012-07-31,12.1444
2012-08-01,12.3245
2012-08-02,12.3457
2012-08-03,12.6966
2012-08-06,12.7536
2012-08-07,12.7553
2012-08-08,11.7058
2012-08-09,6.1528
2012-08-10,5.9678
2012-08-13,6.0161
2012-08-14,6.0275
2012-08-15,5.8236
2012-08-16,5.6068
2012-08-17,5.5763
2012-08-20,5.8678
2012-08-21,5.3378
2012-08-22,5.197
2012-08-23,5.1539
2012-08-24,5.0223
2012-08-27,5.0204
2012-08-28,4.9676
2012-08-29,4.9658
2012-08-30,4.9658
2012-08-31,4.9509
2012-09-03,4.9509
2012-09-04,4.8983
2012-09-05,4.8992
2012-09-06,4.9386
2012-09-07,4.9649
2012-09-10,4.9589
2012-09-11,5.0838
2012-09-12,3.5339
2012-09-13,3.5339
2012-09-14,3.5314
2012-09-17,3.5346
2012-09-18,3.6069
2012-09-19,4.5534
2012-09-20,4.5534
2012-09-21,4.626
2012-09-24,6.1458
2012-09-25,14.8341
2012-09-26,14.8341
2012-09-27,14.9381
2012-09-28,15.0809
2012-10-01,15.1809
2012-10-02,15.3238
2012-10-03,9.1864
2012-10-04,8.6872
2012-10-05,8.6233
2012-10-08,8.7037
2012-10-09,8.7037
2012-10-10,9.0106
2012-10-11,9.0529
2012-10-12,9.6632
2012-10-15,9.6632
2012-10-16,9.7228
2012-10-17,7.9292
2012-10-18,7.8944
2012-10-19,7.7749
2012-10-22,5.0208
2012-10-23,5.0182
2012-10-24,6.3208
2012-10-25,6.9701
2012-10-26,7.1779
2012-10-29,7.1779
2012-10-30,7.1779
2012-10-31,7.1896
2012-11-01,7.1896
2012-11-02,7.1948
2012-11-05,7.0573
2012-11-06,6.6384
2012-11-07,6.6504
2012-11-08,6.6623
2012-11-09,6.5838
2012-11-12,6.5256
2012-11-13,6.4552
2012-11-14,6.4667
2012-11-15,4.1937
2012-11-16,4.201
2012-11-19,4.2164
2012-11-20,5.9239
2012-11-21,3.8898
2012-11-22,3.8898
2012-11-23,3.911
2012-11-26,3.8152
2012-11-27,3.8232
2012-11-28,3.8373
2012-11-29,3.8304
2012-11-30,3.8534
2012-12-03,3.899
2012-12-04,3.8663
2012-12-05,3.9295999999999998
2012-12-06,3.9502
2012-12-07,3.8531
2012-12-10,3.8596
2012-12-11,3.8596
2012-12-12,3.866
2012-12-13,4.2555
2012-12-14,4.264
2012-12-17,4.2732
2012-12-18,24.152
2012-12-19,23.0038
2012-12-20,23.0487
2012-12-21,23.5589
2012-12-24,26.8603
2012-12-25,26.8603
2012-12-26,15.7031
2012-12-27,15.0795
2012-12-28,15.211
2012-12-31,14.8436
2013-01-01,14.8436
2013-01-02,14.3864
2013-01-03,14.5766
2013-01-04,12.1309
2013-01-07,11.6238
2013-01-08,11.672
2013-01-09,11.672
2013-01-10,11.672
2013-01-11,11.8939
2013-01-14,11.9778
2013-01-15,11.7256
2013-01-16,11.8171
2013-01-17,12
2013-01-18,11.9003
2013-01-21,11.9003
2013-01-22,15.4286
2013-01-23,15.9151
2013-01-24,15.9808
2013-01-25,15.7434
2013-01-28,15.6353
2013-01-29,15.3528
2013-01-30,15.9472
2013-01-31,20.1924
2013-02-01,20.0412
2013-02-04,19.4332
2013-02-05,19.4801
2013-02-06,20
2013-02-07,20.7978
2013-02-08,20.8843
2013-02-11,21.1082
2013-02-12,20.7978
2013-02-13,17.6056
2013-02-14,17.8711
2013-02-15,18.044
2013-02-18,18.044
2013-02-19,19.691
2013-02-20,19.6563
2013-02-21,21.2986
2013-02-22,16.5533
2013-02-25,16.1511
2013-02-26,16.6196
2013-02-27,16.6599
2013-02-28,16.7103
2013-03-01,16.7406
2013-03-04,16.8086
2013-03-05,13.8403
2013-03-06,13.9149
2013-03-07,13.6579
2013-03-08,13.6599
2013-03-11,13.7244
2013-03-12,11.3494
2013-03-13,11.8618
2013-03-14,11.9948
2013-03-15,11.8503
2013-03-18,12.043
2013-03-19,11.4341
2013-03-20,10.3424
2013-03-21,10.2874
2013-03-22,10.4131
2013-03-25,10.4355
2013-03-26,10.3741
2013-03-27,10.3926
2013-03-28,10.4148
2013-03-29,10.4148
2013-04-01,10.2686
2013-04-02,10.2116
2013-04-03,10.2152
2013-04-04,10.0543
2013-04-05,10.2314
2013-04-08,10.2134
2013-04-09,11.5469
2013-04-10,11.4198
2013-04-11,11.4406
2013-04-12,11.6833
2013-04-15,11.2376
2013-04-16,11.2492
2013-04-17,11.1422
2013-04-18,10.9788
2013-04-19,10.9203
2013-04-22,11.6896
2013-04-23,13.3594
2013-04-24,13.4268
2013-04-25,13.7992
2013-04-26,13.8034
2013-04-29,13.9498
2013-04-30,13.8218
2013-05-01,13.7934
2013-05-02,13.7976
2013-05-03,13.8016
2013-05-06,13.3431
2013-05-07,13.5356
2013-05-08,14.2599
2013-05-09,14.2599
2013-05-10,14.3576
2013-05-13,13.8954
2013-05-14,13.8954
2013-05-15,13.8391
2013-05-16,16.977899999999998
2013-05-17,17.2239
2013-05-20,20.7861
2013-05-21,17.1176
2013-05-22,17.2118
2013-05-23,16.3186
2013-05-24,15.9623
2013-05-27,15.9623
2013-05-28,15.9865
2013-05-29,14.6789
2013-05-30,14.1059
2013-05-31,13.7908
2013-06-03,13.9954
2013-06-04,13.4945
2013-06-05,13.9429
2013-06-06,14.1561
2013-06-07,14.1539
2013-06-10,14.1648
2013-06-11,14.1648
2013-06-12,14.4921
2013-06-13,13.6021
2013-06-14,13.6084
2013-06-17,13.7874
2013-06-18,13.7937
2013-06-19,14.7517
2013-06-20,14.9793
2013-06-21,12.6034
2013-06-24,10.912
2013-06-25,8.1906
2013-06-26,7.625
2013-06-27,9.2428
2013-06-28,9.5039
2013-07-01,9.5823
2013-07-02,9.6344
2013-07-03,9.6397
2013-07-04,9.6397
2013-07-05,9.6397
2013-07-08,9.255
2013-07-09,9.2675
2013-07-10,8.8691
2013-07-11,8.7548
2013-07-12,8.5417
2013-07-15,8.7963
2013-07-16,8.831
2013-07-17,8.9954
2013-07-18,8.4853
2013-07-19,8.9761
2013-07-22,14.2353
2013-07-23,13.5898
2013-07-24,13.589
2013-07-25,13.7203
2013-07-26,13.5272
2013-07-29,13
2013-07-30,13
2013-07-31,13.6067
2013-08-01,13.253
2013-08-02,13.2611
2013-08-05,13.3012
2013-08-06,13.8996
2013-08-07,13.9707
2013-08-08,14.2395
2013-08-09,13.770199999999999
2013-08-12,13.8287
2013-08-13,13.8287
2013-08-14,13.9323
2013-08-15,13.5883
2013-08-16,13.7194
2013-08-19,15.9459
2013-08-20,14.9414
2013-08-21,15.0901
2013-08-22,15.1441
2013-08-23,15.1441
2013-08-26,15.3728
2013-08-27,14.5447
2013-08-28,14.5106
2013-08-29,14.2625
2013-08-30,14.25
2013-09-02,14.25
2013-09-03,14.25
2013-09-04,13.8461
2013-09-05,13.9919
2013-09-06,13.9959
2013-09-09,13.4903
2013-09-10,13.4903
2013-09-11,13.0404
2013-09-12,11.0436
2013-09-13,11.2405
2013-09-16,11.0246
2013-09-17,11.1013
2013-09-18,11.1009
2013-09-19,11.6808
2013-09-20,12.5766
2013-09-23,25.3046
2013-09-24,7.16
2013-09-25,7.1126
2013-09-26,7.2119
2013-09-27,7.2318
2013-09-30,7.3643
2013-10-01,7.4967
2013-10-02,7.2229
2013-10-03,7.2548
2013-10-04,7.1188
2013-10-07,6.3278
2013-10-08,6.55
2013-10-09,6.8333
2013-10-10,6.7583
2013-10-11,6.7181
2013-10-14,6.9309
2013-10-15,6.6244
2013-10-16,6.6341
2013-10-17,6.5686
2013-10-18,7.4973
2013-10-21,9.151299999999999
2013-10-22,7.4876
2013-10-23,7.4876
2013-10-24,8.0432
2013-10-25,8.0679
2013-10-28,8.0679
2013-10-29,7.5988
2013-10-30,7.6279
2013-10-31,7.5838
2013-11-01,7.4576
2013-11-04,7.1568
2013-11-05,7.1236
2013-11-06,7.1936
2013-11-07,7.3115
2013-11-08,7.4263
2013-11-11,7.4263
2013-11-12,7.4699
2013-11-13,7.4033
2013-11-14,7.4216
2013-11-15,7.427
2013-11-18,7
2013-11-19,7.0599
2013-11-20,6.1289
2013-11-21,6.134
2013-11-22,6.134
2013-11-25,5.9799
2013-11-26,5.9799
2013-11-27,6.1771
2013-11-28,6.1771
2013-11-29,6.0327
2013-12-02,6.1262
2013-12-03,6.1549
2013-12-04,6.3897
2013-12-05,6.3211
2013-12-06,6.1794
2013-12-09,6.1839
2013-12-10,6.2063
2013-12-11,6.2063
2013-12-12,6.2242
2013-12-13,6.2332
2013-12-16,6.2511
2013-12-17,6.2511
2013-12-18,8.4709
2013-12-19,8.1966
2013-12-20,8.4343
2013-12-23,9.2164
2013-12-24,7.6552
2013-12-25,7.6552
2013-12-26,7.5682
2013-12-27,7.6478
2013-12-30,7.7046
2013-12-31,7.8242
2014-01-01,7.8242
2014-01-02,7.8242
2014-01-03,8.5494
2014-01-06,8.1429
2014-01-07,8.1978
2014-01-08,7.7423
2014-01-09,7.7423
2014-01-10,7.5238
2014-01-13,7.5283
2014-01-14,5.4863
2014-01-15,5.5137
2014-01-16,5.3046
2014-01-17,4.8253
2014-01-20,4.8253
2014-01-21,5.1448
2014-01-22,4.7961
2014-01-23,4.8684
2014-01-24,4.8684
2014-01-27,5.0132
2014-01-28,5.4145
2014-01-29,5.4145
2014-01-30,5.4145
2014-01-31,5.2089
2014-02-03,5.5031
2014-02-04,5.4506
2014-02-05,5.4506
2014-02-06,6.2408
2014-02-07,6.4938
2014-02-10,6.8519
2014-02-11,6.8951
2014-02-12,7.2
2014-02-13,7.3212
2014-02-14,7.3273
2014-02-17,7.3273
2014-02-18,7.3576
2014-02-19,7.3636
2014-02-20,7.7169
2014-02-21,7.7879000000000005
2014-02-24,10.0873
2014-02-25,9.8198
2014-02-26,9.6372
2014-02-27,8.8761
2014-02-28,8.8761
2014-03-03,10.0089
2014-03-04,9.7434
2014-03-05,9.8319
2014-03-06,9.8319
2014-03-07,9.8761
2014-03-10,13.8862
2014-03-11,7.3004
2014-03-12,8.1301
2014-03-13,8.139
2014-03-14,8.2242
