Date,pc_ratio
2011-08-12,0.6583
2011-08-15,0.6429
2011-08-16,0.6438
2011-08-17,0.6415
2011-08-18,0.6255
2011-08-19,0.6248
2011-08-22,0.3214
2011-08-23,0.4598
2011-08-24,0.4407
2011-08-25,0.6284
2011-08-26,0.6483
2011-08-29,0.617
2011-08-30,0.6088
2011-08-31,0.6313
2011-09-01,0.7089
2011-09-02,0.6568
2011-09-05,0.6568
2011-09-06,0.6407
2011-09-07,0.6407
2011-09-08,0.6497
2011-09-09,0.5879
2011-09-12,0.5901
2011-09-13,0.6286
2011-09-14,0.6261
2011-09-15,0.5668
2011-09-16,0.5528
2011-09-19,0.4959
2011-09-20,0.5219
2011-09-21,0.5219
2011-09-22,0.5223
2011-09-23,0.5312
2011-09-26,0.525
2011-09-27,0.5123
2011-09-28,0.4499
2011-09-29,0.3905
2011-09-30,0.3841
2011-10-03,0.4068
2011-10-04,0.4186
2011-10-05,0.3985
2011-10-06,0.407
2011-10-07,0.4102
2011-10-10,0.4075
2011-10-11,0.4009
2011-10-12,0.4009
2011-10-13,0.4004
2011-10-14,0.4031
2011-10-17,0.4031
2011-10-18,0.4335
2011-10-19,0.4335
2011-10-20,0.4347
2011-10-21,0.4314
2011-10-24,0.4234
2011-10-25,0.3963
2011-10-26,0.3542
2011-10-27,0.3476
2011-10-28,0.334
2011-10-31,0.334
2011-11-01,0.3324
2011-11-02,0.3352
2011-11-03,0.3431
2011-11-04,0.3485
2011-11-07,0.3528
2011-11-08,0.3547
2011-11-09,0.382
2011-11-10,0.3791
2011-11-11,0.3791
2011-11-14,0.3771
2011-11-15,0.4476
2011-11-16,0.4969
2011-11-17,0.5168
2011-11-18,0.5203
2011-11-21,0.3134
2011-11-22,0.6285
2011-11-23,0.6436
2011-11-24,0.6436
2011-11-25,0.6459
2011-11-28,0.6962
2011-11-29,0.6743
2011-11-30,0.6743
2011-12-01,0.6914
2011-12-02,0.6914
2011-12-05,0.6777
2011-12-06,0.6553
2011-12-07,0.6659
2011-12-08,0.7812
2011-12-09,0.796
2011-12-12,0.8083
2011-12-13,0.7871
2011-12-14,0.7871
2011-12-15,0.7795
2011-12-16,0.7811
2011-12-19,0.7812
2011-12-20,0.8851
2011-12-21,0.8791
2011-12-22,0.8899
2011-12-23,0.8994
2011-12-26,197.3333
2011-12-27,0.8968
2011-12-28,0.9281
2011-12-29,0.9528
2011-12-30,0.8749
2012-01-02,216.5854
2012-01-03,0.8673
2012-01-04,0.8673
2012-01-05,0.7067
2012-01-06,0.7061
2012-01-09,0.7061
2012-01-10,0.721
2012-01-11,0.6797
2012-01-12,0.6761
2012-01-13,0.6636
2012-01-16,222
2012-01-17,0.6431
2012-01-18,0.7131
2012-01-19,0.6838
2012-01-20,0.6751
2012-01-23,0.7066
2012-01-24,0.5178
2012-01-25,0.513
2012-01-26,0.513
2012-01-27,0.5199
2012-01-30,0.5166
2012-01-31,0.5258
2012-02-01,0.5351
2012-02-02,0.5351
2012-02-03,0.5183
2012-02-06,0.5088
2012-02-07,0.5044
2012-02-08,0.4958
2012-02-09,0.5086
2012-02-10,0.473
2012-02-13,0.4734
2012-02-14,0.6333
2012-02-15,0.664
2012-02-16,0.6661
2012-02-17,0.6742
2012-02-20,216
2012-02-21,0.6451
2012-02-22,0.5593
2012-02-23,0.5549
2012-02-24,0.5549
2012-02-27,0.5549
2012-02-28,0.6018
2012-02-29,0.5886
2012-03-01,0.7014
2012-03-02,0.6973
2012-03-05,0.6808
2012-03-06,0.6776
2012-03-07,0.6765
2012-03-08,0.6765
2012-03-09,0.6609
2012-03-12,0.6609
2012-03-13,0.6534
2012-03-14,0.7218
2012-03-15,0.7446
2012-03-16,0.7434
2012-03-19,0.6289
2012-03-20,0.5933
2012-03-21,0.6028
2012-03-22,0.6056
2012-03-23,0.6235
2012-03-26,0.6235
2012-03-27,0.6561
2012-03-28,0.6651
2012-03-29,0.6557
2012-03-30,0.4139
2012-04-02,0.4018
2012-04-03,0.4269
2012-04-04,0.419
2012-04-05,0.4162
2012-04-06,216.5854
2012-04-09,0.4145
2012-04-10,0.4145
2012-04-11,0.4009
2012-04-12,0.3944
2012-04-13,0.3913
2012-04-16,0.3921
2012-04-17,0.3921
2012-04-18,0.3896
2012-04-19,0.3896
2012-04-20,0.3896
2012-04-23,0.4065
2012-04-24,0.4053
2012-04-25,0.412
2012-04-26,0.4114
2012-04-27,0.4
2012-04-30,0.3787
2012-05-01,0.3753
2012-05-02,0.3709
2012-05-03,0.3703
2012-05-04,0.3701
2012-05-07,0.3665
2012-05-08,0.3604
2012-05-09,0.3389
2012-05-10,0.3568
2012-05-11,0.3549
2012-05-14,0.3549
2012-05-15,0.3518
2012-05-16,0.3896
2012-05-17,0.3508
2012-05-18,0.3428
2012-05-21,0.2795
2012-05-22,0.7041
2012-05-23,0.6923
2012-05-24,0.6645
2012-05-25,0.6645
2012-05-28,0.6645
2012-05-29,0.6645
2012-05-30,0.6526
2012-05-31,0.6526
2012-06-01,0.6526
2012-06-04,0.6272
2012-06-05,0.6272
2012-06-06,0.6254
2012-06-07,0.6254
2012-06-08,0.6165
2012-06-11,0.6165
2012-06-12,0.5571
2012-06-13,0.5571
2012-06-14,0.5571
2012-06-15,0.5529
2012-06-18,0.6418
2012-06-19,0.8196
2012-06-20,0.7779
2012-06-21,0.8659
2012-06-22,0.8483
2012-06-25,0.8736
2012-06-26,0.8784
2012-06-27,0.8784
2012-06-28,0.8799
2012-06-29,0.8799
2012-07-02,0.8998
2012-07-03,0.9858
2012-07-04,0.9858
2012-07-05,0.9388
2012-07-06,0.9388
2012-07-09,0.9388
2012-07-10,0.957
2012-07-11,0.957
2012-07-12,0.7311
